Mot;Occurrence
and;4492
you;16844
boys;161
your;2069
daddy;86
are;2077
smack;11
in;2882
the;9264
middle;50
of;3998
it;7498
take;523
brother;346
outside;59
as;835
fast;62
can;2064
now;1185
dean;1919
go;1142
dad;588
wants;98
us;805
to;7323
pick;75
up;1282
where;853
he;2843
left;152
off;422
saving;55
people;515
hunting;130
things;354
family;224
business;103
john;113
our;463
whole;220
lives;78
have;1887
been;645
searching;9
for;2134
this;3320
demon;477
samuel;26
colt;98
made;175
a;8140
gun;120
they;1569
say;614
kill;505
anything;456
we;4413
finally;43
know;3026
s;8992
gonna;1309
be;1657
how;1277
more;451
demons;236
walking;46
among;8
here;1676
i;15746
come;949
again;339
baby;92
like;1798
dog;48
heat;6
re;3293
not;2430
my;1902
what;5085
hell;790
going;570
on;3047
think;1347
possessed;38
plans;54
sammy;300
all;2187
children;44
m;3144
stay;240
got;1893
stranglehold;2
inside;124
me;4032
feel;182
shoot;80
t;6297
hold;116
much;309
longer;21
aaaaah;2
gasps;14
why;1012
didn;592
still;326
one;1177
bullet;25
creedence;2
clearwater;2
revival;2
bad;255
moon;14
rising;12
plays;10
fear;24
rivers;2
overflowing;2
hear;188
voice;29
rage;9
ruin;11
don;2754
around;287
tonight;77
well;1193
bound;16
life;270
there;1640
rise;18
footsteps;5
get;1467
back;845
or;716
ll;1029
swear;62
god;571
won;226
that;5261
someone;161
else;254
cocks;10
want;1118
bet;61
hope;86
together;115
ah;50
aah;21
aaaah;4
aaaaaah;4
aaah;2
looks;120
nasty;29
weather;8
eye;36
is;2918
taken;35
an;583
oh;1074
did;1052
do;2311
man;623
let;845
significant;2
passenger;2
space;7
intrusion;2
unresponsive;2
b;37
p;68
over;476
heartbeat;3
tell;672
if;1147
okay;1349
even;391
alive;120
woman;69
dr;93
bender;8
mental;5
ward;11
please;426
michael;91
crawford;10
call;248
sam;1529
anybody;72
excuse;111
hi;94
uh;661
was;2314
car;178
accident;39
with;1339
just;2541
need;460
find;503
them;696
blue;30
team;64
c;1233
u;25
hello;166
monitor;6
beeping;6
http;13
www;206
1000fr;30
com;211
ö;2
áé;2
çèíó;2
êóâûì³èùóþ³öæ;2
¾;3
öä;7
½ö¹;3
ñ;3
ï;12
½;3
á;3
ñï½ûóãóúéìòµóãí¾;3
look;895
good;713
considering;23
chuckles;49
no;2748
psychic;43
give;351
some;728
ghost;141
whispering;4
something;744
father;138
awake;17
see;793
him;1151
thank;218
