Mot,Occurrence
i,3209
you,2741
a,1735
the,1571
to,1472
s,1464
je,1429
t,1338
est,1298
de,1196
pas,1087
it,1074
on,1060
tu,1043
and,824
c,789
me,782
that,755
à,751
m,745
que,739
la,724
le,692
un,623
j,618
of,611
we,589
et,581
in,551
ça,551
what,548
en,544
is,494
for,489
vous,486
d,472
l,464
ce,461
les,455
this,442
re,436
il,433
pour,427
une,425
not,419
ai,409
qu,385
have,384
just,380
know,376
susan,373
don,370
as,369
are,369
your,354
my,347
with,338
do,337
be,334
janet,330
moi,317
oh,314
all,312
can,311
no,309
so,300
te,299
bien,291
well,286
bruce,284
roger,274
about,273
uh,266
ne,263
des,262
up,260
was,255
suis,252
qui,252
think,251
ll,251
y,250
at,250
avec,249
right,247
si,245
toi,244
out,242
elle,238
want,237
like,236
he,230
get,229
mais,228
plus,227
if,226
she,225
here,223
go,221
tout,218
how,216
one,211
but,211
yeah,209
there,204
au,200
n,200
es,193
fait,193
va,191
good,185
tom,185
dans,184
du,183
veux,183
être,179
going,178
sais,176
mon,171
non,170
her,165
nous,164
là,163
okay,162
got,159
time,157
they,153
se,150
hey,150
faire,146
trina,145
laurie,145
quoi,144
see,142
why,141
font,138
now,137
an,131
était,131
who,130
sure,128
ma,128
dit,128
let,127
back,125
didn,123
come,123
night,122
rien,121
did,119
peut,119
little,119
could,118
ve,117
some,117
ton,116
sont,115
him,114
ils,113
us,113
been,113
pourquoi,111
peux,110
vais,110
lui,109
take,109
from,109
our,109
really,105
comme,105
party,105
sur,105
aussi,104
were,104
something,104
need,102
où,102
soir,101
cette,100
way,99
alors,98
make,98
more,97
or,97
should,97
too,97
sorry,96
maybe,93
notre,93
dire,92
comment,92
two,92
très,92
would,92
look,91
oui,90
had,89
new,89
merci,88
gonna,88
when,87
tonight,87
même,85
where,84
say,84
home,84
temps,84
mean,84
fais,84
over,81
ta,80
last,79
doug,79
job,78
then,77
tell,77
pos,75
down,75
day,75
off,74
deux,73
week,72
avoir,72
kind,71
aller,71
voir,71
might,71
will,70
vraiment,70
fête,69
am,69
peu,68
femme,68
still,68
things,68
them,68
crois,68
chose,68
thought,67
rick,67
votre,67
toujours,66
depuis,65
quand,65
color,65
doing,65
chez,64
other,64
great,64
encore,64
love,64
ou,64
bon,63
sûr,63
talk,63
été,62
dois,62
only,62
mom,62
ici,61
club,61
brad,61
par,60
um,60
call,60
faut,60
much,59
said,59
ont,59
guys,59
always,59
long,59
bj,59
thank,59
these,59
thanks,58
mieux,58
autre,58
com,58
by,57
thing,57
sylvia,57
into,57
house,56
never,56
better,56
jamais,56
hi,56
melinda,55
tous,55
avais,55
any,55
actually,54
give,54
told,54
ces,53
guess,53
juste,53
coming,53
than,52
son,52
work,52
miller,52
help,52
husband,52
first,51
