Mot;Occurrence
votre;67
attention;13
veuillez;1
éteindre;1
vos;25
cigarettes;4
et;581
finir;14
cocktails;1
j;617
entame;1
notre;93
descente;2
sur;105
o;3
hare;2
l;464
air;29
est;1298
chaud;7
étouffant;2
espère;21
que;739
vous;486
avez;48
prévu;3
trop;46
fort;5
d;345
aller;71
baigner;2
dans;184
le;692
lac;7
attachez;1
ceintures;1
on;665
se;149
retrouve;11
après;40
atterrissage;1
ça;551
va;191
gonfler;1
mais;228
non;167
comment;91
tammy;5
la;723
petite;13
en;544
larmes;2
bien;291
sûr;63
je;1429
vais;110
voir;71
si;245
trouve;14
de;1196
crème;4
suis;252
affreusement;2
gênée;1
m;255
veux;183
tellement;7
calmez;1
c;786
était;131
un;622
accident;2
chemise;5
foutue;1
pas;1087
grave;13
ai;409
autres;30
femme;67
me;271
tuer;6
ma;125
adorer;6
soif;1
voulez;15
quelque;47
chose;67
gênez;2
tout;218
ordre;2
encore;64
une;425
question;20
alors;98
félicitations;11
bruce;119
il;433
reste;28
prêt;16
désolé;41
s;162
peu;68
laissé;6
du;183
seulement;10
aussi;104
fougueuse;1
toutes;15
les;455
raisons;4
être;179
n;195
oubliez;2
prévenir;4
quand;65
ferez;2
crémaillère;11
raccompagner;2
invitée;9
ravie;13
avoir;72
rencontrée;4
mme;16
decker;19
êtes;49
vraiment;70
qu;385
ce;461
qui;251
te;299
captive;1
nos;43
nouveaux;18
voisins;18
ils;113
ont;59
heureux;11
pensais;27
à;751
même;85
fais;84
vite;23
manquait;1
plus;224
tu;1043
déposes;1
gare;8
peux;110
prendre;39
congé;3
idéal;1
pour;422
première;13
semaine;24
changer;18
mieux;58
oui;90
prends;33
prête;9
trois;5
allez;45
reviens;14
ici;61
pilot;1
sous;33
titres;18
loky;8
jarick;11
transcript;5
swsub;2
com;12
cents;1
livre;10
chaque;11
pique;3
nique;2
toujours;66
moi;316
amène;5
plat;5
cher;5
inversait;1
viande;1
t;474
occupes;2
maïs;2
peut;119
offrir;4
villa;2
au;200
bord;3
permettre;1
quelques;26
hamburgers;1
auriez;7
des;262
cartons;2
réserve;2
miller;23
grands;4
petits;4
moyens;4
déménage;7
week;29
end;29
elle;238
dit;128
vrai;46
mon;170
majordome;1
fera;9
courses;4
dorénavant;2
sortie;6
vas;49
manquer;4
sais;176
ne;263
rues;3
ricky;17
arrête;14
moonpies;1
ferais;14
éviter;3
sucre;1
remets;2
charrette;1
bj;27
dépêche;6
toi;244
as;258
faire;146
quoi;144
bon;63
déménager;3
fait;193
honnête;7
sens;24
franchir;1
nouvelle;18
étape;1
contentée;1
avais;55
aurais;43
jamais;56
étais;50
insatisfaite;2
samantha;16
où;102
es;192
magasin;6
a;462
alu;2
viens;46
filer;2
argent;8
minutes;15
certains;7
entre;36
partent;1
fêter;3
juillet;9
parlera;2
disserts;1
prochaine;12
seul;14
long;11
durant;4
session;8
été;62
fêtez;1
indépendance;2
avec;249
modération;1
impatiente;1
laurie;51
nulle;3
part;18
famille;27
donc;23
techniquement;3
père;35
adore;17
dépenser;1
son;50
fini;19
amenez;3
stephens;14
passez;3
courage;2
déménagement;7
là;163
logan;11
dépose;3
montes;1
sinon;7
journée;26
sera;39
gâchée;1
défoncé;1
teinture;1
produits;1
cheveux;3
beurre;4
draps;2
choses;36
étale;1
gagné;8
gosse;2
habite;3
schaumburg;1
ses;32
parents;18
pensé;10
appelait;1
cammy;1
kimmy;1
truc;15
genre;18
avait;38
badge;1
probablement;2
virée;1
exploits;1
ou;64
moins;34
verra;8
moyen;1
courrier;5
semble;11
pourtant;2
apprécié;1
performances;1
jalouse;3
seule;21
hôtesse;3
compte;15
mes;42
yeux;7
salaud;2
essayons;1
rester;32
tranche;2
âge;15
avenir;6
très;92
chérie;22
chambre;18
enfants;35
sont;115
pourrait;35
passer;31
maison;41
face;11
allons;24
y;239
sans;46
eux;15
fois;35
aura;15
nous;164
trouves;8
racontes;2
privés;1
oublie;16
dis;42
maman;35
pose;4
couloir;2
côté;12
emménagent;1
demain;42
fou;5
étaient;7
cachés;1
sol;5
depuis;65
temps;84
ton;114
pervers;3
bientôt;10
assassin;2
surprend;2
détends;3
pensera;2
déménageurs;1
volés;2
cette;100
nana;1
ressemble;9
betsy;3
burdis;2
parle;27
visage;1
pourrais;18
envoyer;3
sa;47
photo;8
donnera;1
mère;39
rentrée;6
aurait;25
autre;58
exact;7
papa;24
pourquoi;111
fermé;3
porte;16
ouvert;8
ouais;25
embrasses;1
rentre;10
boulot;42
salut;43
ta;80
retard;14
manges;1
jour;22
chance;29
soir;101
sloppy;1
joes;1
vendredi;4
lave;2
mains;14
trouvé;22
pote;9
gaffe;5
attrape;2
ferait;12
crise;6
cardiaque;1
faisons;6
bienvenue;9
plains;2
mal;32
dos;5
exténuée;1
gêner;1
fenêtres;2
choisis;2
pièce;16
elles;18
laisse;44
secondes;4
reprendre;9
souffle;1
deux;73
calme;10
problème;15
général;2
excites;1
rejoindre;9
coup;20
bas;21
désolée;40
voulais;37
dire;92
bonsoir;3
partait;2
courir;3
vu;51
étiez;6
dérange;15
mari;43
étions;4
repassera;1
appelle;31
susan;152
trina;58
voici;13
tom;77
quartier;6
dom;1
perignon;1
verres;4
voilà;41
ramenez;2
fête;69
boira;1
ensemble;32
acceptez;1
feux;2
artifice;3
nouvelles;10
têtes;1
possible;12
super;9
faites;17
garder;11
nuit;25
longue;11
acheter;13
alcool;2
chez;64
schaeffer;1
aspirine;1
paquet;2
penses;30
gentil;16
distingué;1
pense;37
mauvais;4
affaires;16
viendront;1
intéressée;2
sérieux;8
tâche;1
facile;18
jette;2
avant;35
laisser;16
doigt;2
seras;5
sûrement;19
dernier;18
appeler;17
téléphone;8
neuf;3
enfin;19
terminé;7
décide;6
tard;17
parce;27
salon;5
espionne;1
devant;9
plaît;20
éviterai;1
comme;105
deviennent;2
sérieuses;1
lu;5
lycée;9
aucune;6
conversation;6
inquiète;9
vieux;12
changent;2
femmes;29
maîtres;2
