Mot;Occurrence
listen;13
up;259
folks;9
it;1073
s;1302
time;155
to;1471
stub;1
out;242
those;41
cigarettes;4
and;823
finish;7
your;353
cocktails;1
i;2733
ve;117
just;380
initiated;1
our;109
descent;1
into;57
o;9
hare;4
the;1570
weather;6
down;74
there;204
is;494
hot;25
muggy;1
so;300
hope;26
bicentennial;2
plans;8
include;3
too;97
rough;3
a;1273
dip;9
in;551
la;1
fasten;1
seat;7
belts;1
good;185
people;48
ll;251
have;384
you;2741
at;250
gate;2
blister;1
not;419
that;755
bad;37
how;216
um;60
tammy;5
young;7
useless;1
tears;1
of;609
course;33
check;25
back;124
for;489
some;117
burn;2
cream;2
goin;1
spirit;3
sky;1
july;9
okay;162
oh;274
m;490
embarrassed;2
hate;8
myself;25
take;108
easy;23
was;255
an;118
accident;5
shirt;5
ruined;3
plenty;10
wife;43
going;178
kill;7
me;511
my;347
love;63
liftin;1
higher;1
than;52
ever;44
been;113
lifted;1
before;41
quench;1
desire;2
be;334
side;8
forever;10
more;97
now;137
once;15
downhearted;1
disappointment;1
closest;2
friend;31
everything;37
any;55
questns;1
uh;266
no;309
ngratulations;1
bruce;165
well;286
but;208
mortgage;1
sorry;96
got;159
kind;71
caught;13
moment;14
wish;23
little;119
lady;21
were;104
still;68
as;111
enthusiastic;1
cat;3
imagine;7
why;141
she;225
wouldn;31
t;864
don;370
forget;18
let;127
know;376
when;87
missus;1
housewarming;11
gonna;88
give;54
guest;6
ride;19
home;83
really;105
nice;50
meeting;14
mrs;21
decker;17
re;436
what;548
interesting;23
new;85
neighbors;17
they;153
look;90
happy;38
yeah;209
thinking;20
same;33
thing;57
right;247
god;45
herit;1
comes;8
drop;11
train;12
can;311
rest;13
day;75
ssage;1
send;8
first;51
week;43
on;395
job;73
this;442
change;20
isn;39
only;62
better;56
hey;150
these;59
ready;29
three;18
come;123
get;228
here;223
font;130
color;65
38b0de;16
www;45
ydy;32
com;46
bbs;32
proudly;16
presents;20
sync;23
ytet;16
åýåýöí;2
þ;2
swingtown;22
season01;1
episode01;1
cents;1
pound;2
whenever;1
we;589
block;3
party;105
always;59
draw;3
most;21
expensive;2
item;2
thpicnic;1
switch;3
bring;19
meat;2
gethe;1
corn;3
may;18
able;8
afford;4
mansion;2
off;74
lake;12
certainlypring;1
few;39
hamburgers;1
extra;11
cardboard;1
boxes;2
sure;128
miller;29
want;237
big;47
all;311
medium;1
whatever;21
spare;3
moving;12
weekend;37
lakeside;1
frank;1
butler;1
will;69
doing;65
shopping;4
from;109
llet;1
them;68
by;57
door;20
hi;55
are;369
today;51
miss;18
cae;1
blocks;4
away;37
ricky;21
last;79
need;102
sugar;1
put;30
mom;62
rick;38
cart;1
bj;32
d;127
hurry;20
whole;29
basement;19
pack;7
if;226
then;77
do;337
even;46
move;11
say;84
honest;11
feel;49
like;236
next;43
hmm;19
guess;53
with;337
way;87
things;68
had;89
idea;38
unsatisfied;2
coupon;1
samantha;27
where;84
run;16
p;4
tin;3
foil;2
money;18
minutes;14
guys;59
heading;9
town;16
fourth;9
hold;19
talking;40
about;273
essays;7
till;10
long;48
during;2
summer;37
session;6
celebra;1
freedom;5
wisely;1
looking;47
forward;6
laurie;94
anywhere;7
family;36
technically;3
am;69
somewhere;12
dad;47
such;11
capitalist;1
everyone;30
mr;44
stephens;21
luck;16
logan;15
giving;4
hop;1
wasting;5
stoned;2
pomade;1
dye;1
hair;10
butter;3
sheets;1
spread;1
took;23
kid;21
lives;16
schaumburg;1
her;165
parents;17
house;56
believe;44
yes;50
name;14
again;31
cammy;1
kimmy;1
something;104
tag;1
probably;16
fired;15
after;44
performance;2
or;92
least;22
kicked;1
commuter;1
service;5
seems;18
enjoyed;2
fine;41
jealous;8
stewardess;3
jerk;3
keep;45
age;9
bracket;1
awhile;1
done;24
darling;1
closer;5
honey;26
bedroom;7
kids;25
around;41
thought;67
could;118
swing;5
across;11
street;8
yet;27
head;19
over;81
without;23
might;71
ourselves;9
seem;17
er;1
wanted;31
nothing;36
said;59
leave;26
hall;4
stop;19
breaking;2
moves;1
tomorrow;40
hiding;3
wholtime;1
perv;2
he;230
also;16
murderer;2
finds;2
swiped;2
relax;8
timed;1
think;251
movers;1
stole;6
em;13
perfect;18
chick;2
looks;18
betsy;3
burdis;2
face;6
should;97
polaroid;1
one;211
telling;18
hadn;10
gone;20
go;220
locked;1
open;37
hello;39
old;45
man;48
