Mot,Occurrence
i,20077
you,16410
to,11747
a,10685
the,10680
s,9758
it,8011
je,6937
t,6853
de,6765
est,5909
that,5722
me,5063
we,5033
que,4999
of,4987
pas,4685
and,4404
on,4284
vous,4030
tu,3999
le,3911
m,3897
in,3678
what,3585
this,3350
is,3343
ce,3320
re,3305
à,3304
il,3234
un,3131
ne,3109
la,3075
c,3036
d,3004
he,2942
for,2798
have,2796
et,2702
l,2669
they,2646
not,2620
know,2536
don,2511
was,2468
n,2468
do,2445
but,2396
can,2392
be,2391
en,2377
j,2370
just,2346
les,2322
qu,2302
your,2275
my,2227
une,2165
are,2123
all,2020
nous,1993
ça,1970
with,1967
no,1955
about,1892
ai,1862
so,1861
pour,1847
there,1840
here,1821
if,1781
she,1779
going,1734
as,1662
ll,1626
des,1606
out,1589
get,1549
mais,1539
right,1524
like,1521
him,1467
qui,1407
up,1361
shawn,1346
ve,1343
bien,1324
tout,1322
si,1293
one,1289
her,1268
y,1266
ils,1255
elle,1233
now,1232
well,1225
moi,1222
want,1198
think,1183
go,1153
at,1142
suis,1130
yeah,1126
us,1122
how,1113
dans,1107
okay,1103
did,1094
got,1092
kyle,1079
tom,1034
been,1031
back,1021
them,1019
collier,1010
who,1004
être,973
were,942
faire,940
avec,932
plus,925
non,916
from,915
te,912
see,910
come,906
time,904
du,891
people,886
why,872
fait,860
some,855
va,844
sais,834
when,834
look,807
oh,801
an,801
était,786
could,786
need,783
let,783
se,783
au,779
maia,770
good,763
tell,760
jordan,759
ici,752
isabelle,748
his,733
peut,731
will,727
mon,725
ont,723
had,713
didn,705
or,695
where,683
make,677
toi,672
sur,672
way,667
là,641
would,636
take,632
something,626
quoi,614
veux,605
comme,597
lui,592
our,589
sont,582
really,575
say,574
has,573
maybe,567
dit,566
ntac,563
oui,558
too,558
sure,558
mean,549
son,548
dire,547
diana,545
over,534
ma,533
help,532
cette,528
any,524
es,523
chose,520
down,520
peux,519
never,516
sorry,509
juste,505
anything,504
place,502
then,501
find,498
should,497
où,496
rien,495
avez,491
doing,490
more,489
thing,486
these,484
richard,482
quand,481
votre,477
little,476
two,471
hey,469
tous,469
pourquoi,463
même,455
by,454
talk,453
gonna,446
work,446
monde,440
lily,435
still,435
ok,434
ces,432
alors,428
said,425
only,423
kind,422
stop,420
maintenant,417
voir,413
told,411
first,405
even,404
avoir,402
call,396
par,393
much,391
into,385
quelque,385
world,383
été,383
ou,382
away,379
everything,379
comment,378
vais,377
temps,376
ca,372
better,371
vraiment,369
give,367
êtes,366
off,363
man,362
ton,361
because,359
alana,358
talking,357
day,355
thought,353
years,352
guess,351
those,349
nothing,347
bon,345
long,344
aussi,339
before,338
remember,337
around,335
gens,330
thank,329
please,328
things,328
every,327
happened,324
guy,323
baldwin,323
pense,321
doesn,320
dois,319
lot,318
ryland,317
jamais,316
peu,315
am,315
feel,315
their,313
life,306
besoin,306
ability,303
keep,303
believe,301
promicin,301
than,301
someone,300
home,298
last,296
again,295
other,294
came,293
personne,292
gary,289
ever,286
does,284
merci,283
guys,283
étais,280
wrong,280
trying,279
donc,279
autre,277
everyone,277
parler,275
future,272
quelqu,272
allez,271
très,270
night,270
ta,268
crois,268
isn,267
name,267
won,264
might,262
avant,261
fais,259
dad,258
after,256
nova,256
mr,255
stay,254
made,254
toujours,253
put,252
anyone,251
part,251
avait,250
tess,250
fois,249
gone,249
depuis,249
encore,247
sa,245
uh,242
wanted,242
listen,241
new,241
happen,240
soit,240
aller,240
leur,239
used,237
very,237
vas,236
avons,235
deux,235
haven,233
avais,233
vu,231
wasn,230
else,230
done,228
center,228
through,227
took,226
tyler,226
mal,225
sommes,225
while,224
try,224
another,220
ans,220
vie,219
moment,219
ago,218
same,218
coming,218
dis,217
idea,215
notre,215
god,214
looking,214
always,213
start,213
job,213
promicine,212
déjà,210
dead,210
supposed,209
sûr,209
dennis,209
kevin,209
mom,208
dr,207
nice,206
sera,204
great,204
huh,203
mes,203
choses,203
bad,202
daughter,202
getting,201
skouris,200
beaucoup,199
yes,199
kill,199
fille,199
use,198
left,197
seattle,197
hear,197
wait,196
seen,195
fine,195
working,195
went,194
pretty,193
thomas,193
april,192
veut,192
après,192
shot,192
saw,191
three,191
change,190
hell,190
enough,189
promise,189
whatever,188
passé,188
baby,188
love,188
marco,186
since,185
mieux,185
leave,184
ready,184
knew,183
ouais,183
entre,183
burkhoff,183
cela,182
doit,182
mind,182
chance,181
already,181
big,181
cet,181
danny,180
eu,180
eh,180
abilities,180
yet,178
understand,178
whole,178
question,177
deal,177
ask,176
morning,176
sans,175
4400s,174
hold,173
thinking,172
accord,172
old,171
girl,171
savoir,170
being,170
soon,170
faut,170
bring,170
thanks,169
real,168
wants,168
wouldn,168
désolé,167
today,167
toutes,167
gave,166
pourrait,166
ses,166
government,165
hands,165
elles,165
aider,164
group,164
endroit,164
minutes,162
père,161
agent,161
together,161
found,160
saying,160
hope,159
school,159
stuff,159
next,159
few,158
prendre,157
toute,157
jour,156
moins,156
hello,156
end,155
parce,155
aux,155
hi,155
trop,154
killed,154
car,154
house,154
own,153
centre,153
inside,153
show,152
kid,152
until,152
vrai,151
com,151
viens,151
eux,150
voulez,150
once,150
called,150
quelques,150
farrell,150
maman,150
either,149
father,149
yourself,149
pris,149
says,149
hurt,148
year,148
trouver,148
actually,148
dieu,147
exactly,147
sait,147
raison,147
papa,146
far,146
important,146
head,146
care,146
pendant,146
months,146
anymore,146
case,146
passe,145
live,144
homme,144
air,144
autres,144
myself,142
arrive,142
which,142
mère,141
p,141
both,140
figure,140
chez,140
must,140
quarantine,139
room,139
vos,138
inhibitor,138
ville,137
sent,137
agents,137
anyway,137
www,135
sous,135
read,135
partir,134
hospital,134
knows,134
course,133
fils,133
bonne,133
city,133
days,132
personnes,132
pu,131
move,131
woman,131
started,131
sounds,130
heard,130
matthew,130
parents,129
meet,129
voulais,129
minute,129
tes,129
futur,129
best,129
salut,128
run,127
seul,127
vois,127
partie,127
building,127
passer,126
different,126
forget,125
peur,125
nom,125
dû,124
mort,124
safe,123
aurais,123
plan,123
mois,123
normal,123
allons,123
brought,123
maison,122
having,122
family,122
train,122
aide,122
sick,122
nos,122
pouvoir,121
aucun,121
taking,120
cas,120
faites,119
phone,119
nobody,119
mommy,119
importe,119
cause,119
choice,119
femme,119
tuer,118
excuse,118
weeks,118
aime,118
gars,118
possible,118
hein,117
money,117
o,116
navarro,116
quel,116
close,116
nuit,116
sorte,116
alone,115
idée,115
aurait,115
happy,114
true,114
problème,114
wish,114
venir,114
prison,114
jusqu,114
parle,114
bailey,114
glad,113
die,113
six,112
second,112
serait,112
taken,112
looks,111
tried,111
hard,111
seule,111
nouveau,111
matter,111
friend,110
against,109
worry,109
u,109
sound,108
couple,108
between,108
point,108
war,107
nikki,107
body,107
voilà,107
least,107
bonjour,107
arrêter,106
étaient,106
many,106
everybody,106
dont,106
wanna,106
bas,106
tomorrow,106
mother,106
sens,105
pouvez,105
brian,105
sweetie,105
five,105
without,105
security,105
laisse,105
regarde,104
font,104
donné,104
open,104
message,104
wife,104
save,103
e,103
word,103
rester,103
ben,103
capacités,102
means,102
travail,102
hui,102
combien,102
hours,102
heidi,102
aujourd,102
ceux,101
probably,101
list,100
door,100
hôpital,100
turn,100
face,100
office,100
problem,100
savez,99
asked,99
trouvé,98
yours,98
parlé,98
week,98
aucune,97
appelle,97
ecoute,97
each,97
moyen,97
tommy,96
souviens,96
easy,96
reste,96
walk,96
gouvernement,96
vont,96
asking,96
medical,95
met,95
behind,95
suppose,95
jours,95
pensais,95
h,95
late,95
aren,95
changed,94
b,94
capacité,94
program,94
longtemps,94
désolée,94
tué,93
most,93
crazy,93
play,93
under,93
making,93
arrivé,92
comprends,92
assez,92
figured,92
telling,92
seems,92
arrête,92
petit,92
somebody,92
ensemble,92
reason,92
free,91
gets,91
arriver,91
groupe,91
fini,91
died,91
contre,91
park,91
couldn,90
police,90
shut,90
x,90
curtis,90
public,89
check,89
doctors,89
makes,89
times,89
though,89
scared,89
porte,89
fight,89
living,89
r,88
piersahl,88
coup,88
retour,88
bébé,88
afraid,88
sécurité,88
questions,88
rest,88
è,87
visions,87
past,87
chaque,87
linda,87
married,87
devrais,87
dose,87
laissez,87
dernière,87
trouble,87
choix,86
ones,86
devons,85
seriessub,85
truth,85
lost,85
f,85
ò,85
disparu,84
tant,84
devrait,84
laisser,84
vient,84
control,84
along,84
corps,84
daddy,84
leurs,83
dirait,83
croire,83
dites,83
outside,83
années,83
knox,83
book,83
hand,82
tête,82
type,82
tard,82
g,82
euh,82
sortir,82
goes,82
k,81
happens,81
eyes,81
ï,81
kids,81
hé,81
sister,81
pick,81
genre,81
friends,81
test,81
í,80
four,80
lives,80
seulement,80
v,80
ô,80
matin,79
human,79
prêt,79
propos,79
worried,79
lsabelle,79
demain,79
penses,79
â,78
death,78
mettre,78
sign,78
sleep,78
aimerais,77
may,77
welcome,77
é,77
plaît,77
chérie,77
changé,77
w,76
worked,76
light,75
voiture,75
needs,75
later,75
entendu,75
comes,74
seeing,74
washington,74
sit,74
ø,74
q,74
simple,73
venu,73
ù,73
wake,73
espère,73
première,73
entire,73
ì,73
virus,73
boulot,73
threat,73
hasn,73
coma,73
murder,73
disappeared,73
hit,72
bureau,72
soir,72
famille,72
mains,72
demande,72
suite,72
almost,72
giving,72
anywhere,72
bit,72
ait,71
heures,71
eight,71
devoir,71
grand,71
ç,71
alive,71
business,71
mis,71
premier,70
number,70
watch,70
standing,70
somewhere,70
uncle,70
changer,70
vivre,70
quarantaine,70
façon,70
ñ,70
savais,70
mrs,70
doctor,70
person,70
meant,70
country,69
weren,69
écoute,69
middle,69
less,69
demandé,69
ä,69
ahead,69
å,69
previously,69
send,69
z,69
devon,69
half,69
brother,69
fin,68
anybody,68
avaient,68
attends,68
ë,68
devez,68
calm,68
ni,68
force,68
answer,68
hauser,67
running,67
essayé,67
darren,67
bye,67
thinks,67
stand,67
