Mot;Occurrence
previously;43
on;1480
the;5946
i;11321
m;1850
blacking;2
out;897
if;1088
you;9190
re;1861
losing;12
chunks;3
of;2801
time;486
should;254
talk;225
to;6779
your;1203
dad;154
about;1054
it;4446
what;1892
s;5070
he;1659
going;1006
do;1427
turn;50
me;2183
over;312
ntac;229
medical;50
let;407
see;499
ve;740
got;515
this;1936
straight;16
two;244
met;57
fell;13
in;1910
love;95
and;2492
spent;16
eight;26
years;158
together;114
some;474
kind;243
alternative;5
reality;10
liv;8
were;549
pretty;104
far;70
gone;134
last;158
night;137
when;462
o;89
d;773
not;1462
be;1425
any;300
big;73
loss;6
right;827
maybe;313
can;1381
save;64
whatever;104
is;1885
there;1075
a;4543
way;393
that;3301
easy;64
say;333
don;1348
t;3465
know;1430
told;234
everything;229
happened;153
yeah;536
need;481
clear;29
head;59
get;823
away;217
from;497
so;1037
figure;75
stuff;107
make;403
happen;153
had;435
leave;95
sorry;302
look;412
interested;21
excuses;5
care;80
how;571
who;602
have;1546
lean;1
just;1319
him;855
lock;8
up;738
l;337
x;83
want;604
next;61
plane;9
skouris;74
where;364
baldwin;106
yet;97
why;472
p;105
holding;29
piece;5
street;26
garbage;11
wants;98
daylight;5
again;154
says;84
dealer;7
sold;20
collier;386
murder;38
weapon;17
handling;4
interview;11
nobody;62
having;73
shipped;1
here;1030
for;1599
questioning;8
one;642
feels;25
good;388
my;1231
partner;30
like;772
hearing;17
fill;7
office;65
we;2927
ready;107
pop;1
champagne;1
but;1360
witness;1
has;349
intel;1
kept;36
media;6
specific;5
details;2
sounds;71
finally;30
caught;17
break;40
diana;254
really;344
go;584
are;1243
okay;680
sound;53
little;257
distracted;7
personal;33
business;25
worry;56
well;616
idea;147
ll;902
touch;36
with;1216
as;506
soon;104
no;1105
problem;40
bye;28
long;163
been;568
calm;37
down;260
asked;58
question;57
kyle;371
month;22
ago;130
remember;184
wha;3
almost;51
arrested;19
smashing;1
store;7
window;5
mean;316
drunk;5
never;300
said;227
was;1330
blacked;5
bunch;26
times;46
after;156
minute;51
place;253
thing;288
knew;109
someplace;22
else;141
mentioned;9
anything;285
tried;67
once;90
wouldn;80
listen;133
could;445
come;501
danny;48
cousin;15
friend;56
which;75
promised;14
wanted;133
thrown;4
back;515
into;215
quarantine;56
came;190
home;165
please;194
tell;416
went;108
stay;111
shawn;574
at;638
center;132
great;115
uncle;25
tommy;39
something;342
ought;7
thinks;35
did;657
during;11
his;406
blackouts;6
us;651
seemed;24
freaked;7
committee;10
latest;3
recommendation;1
year;59
old;62
pipe;1
fitter;1
detroit;1
diagnosed;2
hodgkin;1
disease;19
four;26
months;81
fly;13
days;84
now;711
play;55
games;4
excuse;52
lucy;3
thank;164
needs;47
check;38
text;1
messages;7
because;202
showed;30
listening;15
son;142
think;734
stashed;1
basement;8
put;133
past;61
oh;291
g;74
rough;5
does;163
fault;27
known;25
thomas;78
picked;23
village;1
outside;40
barcelona;1
they;1454
very;144
special;23
wrong;137
least;63
only;229
loop;1
thought;196
doctors;22
fine;126
left;107
three;72
separate;12
consciousness;11
living;49
inside;89
called;98
police;30
them;527
involved;22
until;85
linda;25
she;1103
hasn;47
heard;69
promises;1
call;214
all;1168
glad;57
find;305
sitting;20
rather;18
by;237
phone;72
calls;18
guy;182
deal;118
consultant;3
more;257
than;140
keith;4
petrick;1
prepped;1
prime;2
ministers;1
members;14
parliament;1
an;467
sky;2
news;26
merits;1
few;90
hours;54
homework;3
new;139
different;70
ways;5
cult;6
teach;15
message;35
british;1
press;12
loves;7
gotcha;2
matthew;65
ross;14
coming;118
farrell;56
hi;85
nice;98
meet;59
figured;61
too;297
truth;57
ditched;2
might;167
still;258
show;91
give;194
tour;7
things;196
crazy;46
wait;97
hey;213
brother;24
our;303
first;216
keys;5
actually;100
second;47
key;24
impressed;9
star;7
pupil;1
hold;93
cool;21
sure;326
kids;42
fun;41
work;269
off;203
heal;31
world;247
somebody;56
yours;43
rifle;4
killed;75
start;115
name;158
victor;3
rios;5
r;73
lives;51
sumac;1
drive;20
u;91
c;382
gets;48
cranked;1
starts;10
waving;1
cannon;1
around;184
tony;5
montana;1
swap;1
product;6
wasn;138
describe;2
mr;84
kovec;1
watched;10
sucker;1
caliber;2
saw;107
bullets;3
humongous;1
scope;2
huge;14
neon;2
sign;40
saying;93
miss;24
makes;49
bragging;1
much;229
scored;1
before;191
taken;81
coincidence;11
ask;105
quick;8
later;41
guide;11
sells;1
expecting;11
shaved;1
heads;6
robes;1
didn;415
single;16
tambourine;1
disappointed;14
ah;20
hear;95
complaining;2
boss;18
man;177
workers;2
farm;1
invited;5
party;17
shy;7
her;739
missionary;1
lot;204
potential;8
recruits;1
northmount;3
campus;1
haven;133
while;149
yourself;90
date;19
warden;2
guys;144
hang;14
kegger;1
story;22
wise;3
powerful;28
spoken;15
obey;1
majesty;1
serious;27
since;106
such;19
keggers;1
developed;23
messiah;25
complex;2
woke;36
middle;45
crouching;1
hallway;6
sent;50
uh;99
scared;52
understandable;2
needed;31
help;301
these;271
wish;62
worked;51
then;267
stopped;37
relationship;39
none;26
agreed;15
trusts;3
eggs;10
butter;5
walnuts;1
cocoa;1
powder;1
making;54
brownies;3
difficult;24
forget;80
preheat;1
oven;2
degrees;3
getting;109
complicated;7
relax;28
kidding;5
shouldn;40
sitter;2
sweetie;64
mrs;23
skalka;2
another;108
catch;26
chasing;6
someone;191
hurt;88
worried;47
car;55
border;6
or;362
assigned;5
case;78
hmm;16
hand;55
risk;21
agent;60
option;11
tom;404
better;223
health;13
stays;8
maia;360
visions;19
aren;45
usually;25
vague;8
vision;21
involving;1
mother;61
doesn;155
clearly;13
feel;180
recognize;5
customer;5
husband;22
green;10
card;10
trouble;57
country;40
puerto;1
rico;1
leaving;43
seen;114
weeks;60
qold;1
implicated;1
particularly;5
value;4
take;382
sketch;7
