Mot;Occurrence
si;725
un;2413
photon;1
est;3390
envoyé;21
à;2096
travers;11
écran;11
percé;1
de;4170
deux;156
fentes;1
et;1980
on;1494
l;1646
observe;3
une;1544
fente;2
il;1505
ne;930
passera;7
pas;2774
sinon;15
mais;798
après;104
qu;875
ait;28
quitté;3
avant;115
atteigne;1
sa;179
cible;3
les;1270
tout;366
fait;485
où;220
veux;344
tu;2530
en;1366
venir;63
nulle;7
part;61
je;3653
pense;71
juste;113
que;1979
c;2116
bonne;118
idée;59
t;972
shirt;7
excusez;31
moi;710
secondes;15
horizontal;3
égée;1
huit;17
vertical;2
nabokov;1
mcm;1
poussez;4
votre;129
doigt;9
phylum;1
donc;141
port;5
au;673
prince;9
vous;915
voyez;9
idéal;5
papa;17
doc;1
haïti;1
peux;281
aider;45
oui;357
bien;597
la;2279
banque;5
sperme;8
qi;10
élevé;7
devez;11
le;2348
demander;36
devriez;9
peut;310
être;390
là;277
remplissez;6
ça;1338
merci;269
revient;8
vite;32
prenez;4
temps;128
vais;292
finir;19
mes;226
mots;16
croisés;2
attendez;25
peu;182
leonard;339
pouvoir;28
faire;388
plaisantes;11
es;371
presque;19
pro;2
non;518
nous;391
exerçons;1
arnaque;2
génétique;7
garantir;1
descendance;1
réfléchis;14
ma;439
soeur;15
qui;780
a;1368
même;202
mélange;5
d;1238
adn;7
départ;6
travaille;26
burger;1
king;1
sheldon;380
était;369
ton;366
petit;161
plus;504
pour;1056
acheter;21
ligne;15
t1;1
bande;4
passante;1
sais;289
meurs;5
envie;50
avoir;186
des;1101
transferts;1
rapides;1
pauvre;10
femme;78
placera;1
ses;95
espoirs;3
sur;515
mon;588
elle;562
se;365
retrouve;3
avec;757
gamin;6
sait;31
s;446
doit;106
utiliser;15
intégrale;3
ou;213
différentielle;2
trouver;54
aire;1
sous;125
courbe;1
aimera;1
quand;281
aimerais;39
ce;1013
partir;23
quoi;523
protocole;9
j;1519
ai;1097
jamais;151
renoncé;2
donner;26
partons;2
simplement;8
revoir;47
sympa;33
toujours;129
fâché;5
savoir;54
truc;58
intéressant;34
escaliers;8
vraiment;190
hauteur;1
seule;36
marche;44
varie;1
peine;22
mm;3
plupart;8
gens;54
trébucheront;1
m;627
fiche;26
sûr;123
vrai;103
série;21
expériences;5
ans;113
père;45
fracturé;1
clavicule;1
ils;248
ont;156
internat;2
cause;47
résultat;7
travail;43
lasers;3
nouvelle;48
voisine;11
manifestement;6
amélioration;4
significative;3
par;346
rapport;23
ancien;12
travesti;2
kg;7
maladie;11
peau;10
effet;28
salut;133
pardon;72
te;615
déranger;3
habitons;1
face;26
oh;44
chouette;12
vivons;2
ensemble;61
enfin;46
dans;749
chambres;2
hétérosexuelles;1
séparées;2
eh;21
penny;331
bon;202
bienvenue;11
immeuble;11
pourrait;80
boire;18
café;37
ces;87
quatre;36
super;131
aurait;57
dû;58
inviter;13
déjeuner;14
va;430
commencer;21
saison;12
battlestar;8
galactica;5
déjà;103
regardé;5
dvds;1
commentaires;4
devrait;42
bons;8
voisins;10
sente;1
n;800
avons;33
invité;17
louie;1
louise;1
aurions;3
devons;7
élargir;1
notre;153
cercle;9
très;239
large;2
amis;96
myspace;2
as;648
rencontré;6
aucun;33
beauté;11
prendra;6
repas;24
discutera;2
discuter;20
discute;5
offline;1
difficile;12
écoutes;4
dit;270
réponds;13
quelque;53
chose;91
approprié;8
quel;98
but;13
encore;138
bref;29
amené;5
plats;11
indiens;4
déménagement;3
stressant;1
trouve;37
subis;1
stress;6
compagnie;8
peuvent;15
réconfortant;4
curry;4
laxatif;3
naturel;2
besoin;126
dire;280
colon;2
sain;3
source;7
soucis;7
moins;82
suis;578
expert;8
crois;116
lors;17
invitation;10
devrais;57
éviter;11
références;1
transit;3
intestinal;2
invitez;1
manger;55
chez;137
trop;139
gentil;30
plaisir;28
alors;307
comment;247
amusez;9
coin;12
aujourd;22
hui;22
essayé;30
masturber;1
argent;36
épisode;64
pilot;1
version;26
transcript;7
swsub;6
com;20
titres;58
jesslataree;32
benj;17
fais;208
comme;390
toi;466
prie;8
air;69
vachement;3
sérieux;20
mécanique;5
quantique;18
théorie;30
cordes;21
gribouillée;1
bords;1
cette;234
partie;47
blague;27
caricature;1
approximation;2
born;1
oppenheimer;3
génies;4
exception;3
impressionnant;8
tableau;8
aimes;35
tableaux;2
voilà;129
mien;10
nom;57
chien;19
entends;12
reformulation;1
du;708
genre;44
choses;48
griffonnées;1
mur;6
tous;142
wc;6
mit;7
vu;110
love;1
inventer;3
dimensions;5
arranger;8
calculs;5
inventées;1
elles;61
existent;4
univers;25
justement;2
dérange;21
commence;28
place;61
assieds;22
côté;59
différence;10
parti;27
hiver;8
assez;38
proche;8
radiateur;4
rester;35
chaude;10
point;34
causer;1
transpiration;3
été;116
directement;2
traversée;2
brise;3
obtenue;2
ouvrant;3
fenêtres;5
ici;158
angle;9
télévision;4
ni;56
direct;10
découragerait;1
conversation;19
ouvert;9
causerait;2
distorsion;2
pourrais;72
continuer;4
clair;13
me;678
déplace;3
ailleurs;17
assis;13
souvent;27
visites;4
koothrappali;45
wolowitz;75
viennent;15
mardi;6
soir;105
joué;20
boggle;6
klingon;11
jusqu;55
h;104
souviens;30
dis;136
conséquences;3
négatives;2
soc;1
normal;19
parlé;30
parle;95
accord;131
sagittaire;2
long;21
participes;2
croyance;2
populaire;4
selon;27
laquelle;15
position;7
soleil;11
rapportée;1
constellations;2
définies;1
arbitrairement;1
ta;276
naissance;3
affecte;1
personnalité;5
essaie;37
commencé;14
beaucoup;82
pensent;5
signe;13
eau;25
voyons;35
voir;140
autre;139
végétarienne;2
sauf;18
poisson;15
steak;3
adore;26
steaks;2
