Mot;Occurrence
so;796
if;637
a;4579
photon;1
is;1602
directed;1
through;83
plane;5
with;1127
two;189
slits;3
in;1626
it;2895
and;2322
either;38
slit;2
observed;6
will;250
not;1097
go;614
both;44
s;3931
unobserved;1
however;13
after;79
left;44
the;4821
but;778
before;103
hits;4
its;36
target;2
won;78
t;3007
have;1201
gone;31
agreed;24
what;1519
your;1057
point;103
there;566
no;1020
i;8483
just;842
think;348
good;423
idea;63
for;1097
shirt;16
excuse;119
me;1397
hang;69
on;1221
one;529
across;21
aegean;1
eight;24
down;185
nabokov;1
mcm;1
move;50
finger;7
phylum;1
which;148
makes;35
port;5
au;5
prince;2
see;336
papa;9
doc;1
capitol;1
that;2273
haiti;1
can;820
help;97
you;6108
yes;295
this;1057
high;45
iq;8
sperm;9
bank;6
to;4131
ask;107
maybe;152
shouldn;20
be;868
here;500
place;73
fill;10
these;74
out;559
thank;187
we;1448
ll;523
right;592
back;233
take;218
time;295
finish;15
my;1407
crossword;1
puzzle;2
oh;606
wait;172
leonard;503
don;975
do;848
are;928
kidding;43
re;1063
semi;2
pro;9
committing;1
genetic;11
fraud;4
guarantee;4
our;245
going;571
generate;2
offspring;3
about;559
sister;33
same;61
basic;8
dna;7
mix;6
who;314
hostesses;1
at;573
fuddruckers;1
sheldon;581
was;800
little;312
extra;11
money;53
get;501
fractional;2
bandwidth;1
apartment;81
know;757
yearn;1
faster;3
downloads;1
some;264
poor;17
woman;88
gonna;167
pin;2
her;434
hopes;3
she;514
winds;2
up;527
toddler;1
doesn;130
he;823
should;169
use;62
an;463
integral;2
or;264
differential;3
solve;5
area;11
under;46
curve;3
m;1589
sure;192
still;116
love;91
him;360
wouldn;63
well;500
want;428
leave;54
protocol;10
leaving;20
ve;384
never;144
reneged;1
proffer;2
of;2210
let;356
try;65
walking;12
bye;73
nice;116
meeting;19
mad;18
hear;62
interesting;46
thing;146
stairs;9
really;374
height;1
single;13
step;11
off;165
by;287
as;394
millimeters;2
most;54
people;175
trip;9
care;60
milli;1
seem;19
true;41
did;391
series;22
experiments;5
when;350
father;25
broke;15
his;303
clavicle;1
why;483
they;425
sent;19
boarding;1
school;36
result;14
work;183
lasers;4
new;158
neighbor;19
evidently;1
significant;9
improvement;4
over;193
old;73
pound;7
transvestite;2
skin;9
condition;6
hi;115
mean;157
interrupt;3
live;43
hall;16
together;55
separate;7
heterosexual;1
bedrooms;2
okay;511
guess;91
penny;439
welcome;48
building;20
coffee;44
sometime;10
great;186
invited;15
lunch;15
start;71
season;12
battlestar;8
galactica;5
already;52
watched;4
dvds;3
commentary;2
neighbors;5
invite;10
make;207
feel;89
louie;2
slash;9
louise;1
wrong;106
us;198
need;236
widen;1
circle;13
very;189
wide;6
friends;140
myspace;2
met;19
them;201
beauty;3
meal;11
chat;10
least;36
offline;1
difficult;7
listen;55
says;42
then;284
say;293
something;159
appropriate;17
response;10
end;39
again;126
anyway;54
brought;32
home;103
indian;34
food;67
moving;48
stressful;1
find;83
undergoing;1
stress;7
company;16
comforting;10
effect;17
also;61
curry;4
natural;8
laxative;2
tell;217
clean;15
colon;5
less;32
worry;32
expert;13
believe;110
context;6
luncheon;1
invitation;7
might;100
skip;5
reference;6
bowel;7
movements;2
inviting;4
eat;72
d;625
guys;187
fun;86
around;68
today;46
tried;35
masturbating;1
episode;26
pilot;2
version;4
transcript;9
swsub;11
com;56
sync;43
jesslataree;4
yourself;56
looks;33
like;572
serious;16
stuff;48
actually;92
yeah;436
quantum;24
mechanics;4
string;27
theory;43
doodling;1
edges;3
part;59
joke;26
spoof;1
born;8
oppenheimer;3
approximation;2
those;83
beautiful;20
mind;77
genius;14
impressive;10
board;17
boards;2
holy;16
smokes;4
derivative;3
restatement;3
kind;114
scribbled;1
wall;24
any;159
men;40
room;78
mit;7
come;355
hasn;7
seen;34
below;3
sit;69
broken;14
hearted;1
didn;237
invent;5
dimensions;3
math;26
universe;45
all;669
where;210
l;426
next;74
difference;17
winter;10
seat;20
close;30
enough;68
radiator;3
remain;5
warm;26
yet;40
cause;69
perspiration;3
summer;28
directly;4
path;6
cross;9
breeze;3
created;8
opening;13
windows;9
faces;5
television;10
angle;7
neither;19
direct;3
thus;3
discouraging;1
conversation;27
nor;9
far;31
create;12
parallax;1
distortion;1
could;278
made;90
somewhere;11
else;61
fine;161
lot;65
koothrappali;51
wolowitz;82
tuesday;8
night;202
played;13
klingon;11
boggle;6
till;15
remember;59
sorry;262
has;200
negative;5
social;30
implications;4
said;151
regular;12
probably;52
sagittarius;2
tells;7
way;199
more;214
than;118
participate;4
mass;7
cultural;8
delusion;3
sun;8
apparent;4
position;7
relative;5
arbitrarily;1
defined;1
constellations;2
birth;7
somehow;4
affects;1
personality;4
trying;54
been;218
first;132
water;29
sign;42
vegetarian;1
except;13
fish;22
occasional;1
steak;3
process;12
corn;12
sort;26
job;40
waitress;21
cheesecake;27
factory;21
lactose;14
intolerant;8
anyways;3
writing;8
screenplay;1
sensitive;7
girl;92
comes;38
from;353
lincoln;4
nebraska;11
actress;8
based;33
life;84
omaha;6
movie;43
would;419
story;22
sounds;43
wonderful;14
until;53
fell;11
jerk;8
happening;10
god;131
years;94
lived;9
long;66
took;30
trusted;2
only;158
worse;16
pathetic;10
even;118
though;20
hate;17
lying;10
cheating;3
guts;2
crazy;36
paradox;4
paradoxes;1
nature;9
light;44
look;270
huygens;1
wave;10
confirmed;4
double;18
along;18
albert;8
einstein;15
discovers;3
behaves;1
particles;10
too;180
such;49
mess;4
top;31
everything;48
gross;2
stupid;48
shower;20
works;27
totally;21
weird;18
used;41
thanks;113
sweet;26
development;3
how;517
since;69
had;273
clothes;19
thanksgiving;4
grandmother;12
alzheimer;1
taken;14
rip;3
eyes;16
worst;14
watching;14
carve;3
turkey;6
exactly;50
accomplish;1
sex;100
disappointed;3
male;16
female;17
species;7
engage;5
hypotheticals;1
course;121
carnal;6
relationship;65
were;259
develop;3
briefly;2
possibility;14
helped;7
hindered;1
luke;4
skywalker;4
tears;5
shampoo;5
darth;7
vader;7
conditioner;3
fantastic;11
unbelievable;9
stephen;3
hawking;2
lecture;3
isn;102
became;6
creepy;15
computer;23
voice;11
lady;21
town;14
because;197
anticipating;2
coitus;18
available;14
please;141
stop;70
saying;75
technically;11
interruptus;1
hey;222
trick;7
getting;71
switch;6
