Mot,Occurrence
i,6792
you,3073
a,1925
t,1768
the,1737
s,1731
est,1471
je,1414
to,1409
de,1248
it,1212
que,1161
tu,1142
pas,1139
on,1090
c,1058
me,1049
that,1044
le,957
what,896
il,859
j,784
m,776
he,766
tommy,751
un,733
jimmy,729
ça,714
and,711
à,699
ce,665
et,653
la,636
of,631
qu,627
we,617
l,547
know,542
vous,528
d,518
en,511
this,508
in,503
re,495
les,492
don,490
kevin,442
do,440
is,435
pour,432
was,428
for,428
ai,409
no,395
gonna,389
get,384
with,382
une,377
my,372
as,370
your,367
yeah,366
qui,363
him,357
right,356
all,355
not,346
here,335
out,334
moi,325
quoi,317
go,313
te,310
dokey,305
just,301
okay,298
can,298
about,296
have,294
va,292
but,287
ll,287
be,285
si,281
hey,280
are,280
mais,276
got,275
y,271
veux,268
non,264
up,263
there,262
avec,261
sais,260
bien,252
des,251
ne,249
toi,245
tout,242
how,241
faire,238
they,236
était,235
like,235
want,231
if,230
so,229
now,225
fait,225
huey,221
his,214
là,212
sean,212
joey,208
plus,206
dans,203
good,198
oh,198
suis,193
ouais,192
come,191
back,188
money,187
who,185
lui,184
où,183
mon,180
think,179
jenny,179
did,177
du,176
one,173
n,172
let,172
tell,172
why,172
se,171
where,168
ok,163
au,163
ton,160
es,157
comme,157
rien,156
at,153
donnelly,151
had,148
ils,148
nous,148
see,147
pourquoi,147
louie,147
nicky,146
going,145
dit,143
son,143
ma,141
take,138
need,137
didn,137
être,135
us,134
dire,133
avait,132
been,127
from,127
thing,126
peux,126
were,125
doing,124
comment,123
give,122
when,121
make,120
would,120
alors,119
vais,119
could,119
something,116
fais,116
brother,115
bon,113
peut,113
well,110
guy,108
gotta,107
then,107
man,105
whitey,104
or,104
never,104
say,103
down,102
look,101
elle,101
hell,100
wanna,99
sur,99
quand,99
père,99
ve,98
chose,98
them,98
sal,97
maintenant,97
vas,96
jamais,96
really,94
reilly,93
help,92
mean,92
dis,91
she,90
anything,90
some,87
ont,86
voir,86
time,86
juste,85
guys,85
should,84
people,83
talk,83
allez,82
sure,82
ou,81
way,81
bar,80
an,80
ici,80
said,80
told,79
personne,79
besoin,79
cause,77
any,76
phone,76
veut,76
avoir,76
put,76
argent,75
little,75
too,75
parce,74
off,74
father,74
day,73
ta,73
quelqu,73
fric,73
kill,72
autre,72
her,72
call,72
merci,72
maybe,72
dad,71
salut,71
alo,71
over,70
because,69
thanks,69
cette,68
deal,68
more,68
vraiment,67
faut,67
stop,67
problème,67
only,67
étais,67
hé,66
pense,66
oui,66
bob,65
tous,65
pay,65
gars,65
sa,64
by,63
sûr,63
business,63
frère,63
par,63
toujours,63
savoir,62
dois,62
hein,62
truc,61
aussi,61
keep,61
huh,60
again,60
ces,60
killed,60
much,60
sorry,60
sont,59
firecracker,59
everything,59
peu,58
même,58
quelque,58
doit,58
viens,58
doesn,57
happened,57
wanted,57
très,57
encore,56
aller,56
part,54
our,54
parler,54
things,54
find,54
wait,54
