Mot;Occurrence
alors;119
où;183
sont;59
les;492
corps;21
hé;66
mec;49
ces;60
types;5
mes;51
potes;3
voilà;36
ce;665
qu;627
on;687
va;292
faire;238
joey;43
tu;1142
nous;148
dis;91
comment;123
ils;148
arrivés;2
là;212
et;653
seras;5
enfermé;1
seul;24
en;511
toute;30
sécurité;6
mens;16
t;707
enferme;1
avec;261
autres;27
un;732
nombre;4
incalculable;1
de;1248
personnes;10
aimeraient;1
te;310
la;635
peau;2
deux;49
choses;35
arrivées;1
à;699
jimmy;317
donnelly;71
pour;432
il;859
devienne;1
est;1470
aujourd;32
hui;32
première;10
vous;528
connaissez;4
demi;2
lune;1
i;1570
revenait;1
chaque;15
été;46
c;1056
était;235
comme;157
une;377
fête;3
improvisée;1
venait;4
voler;11
juste;85
assez;25
y;271
participer;2
moment;34
frères;30
devinrent;1
inséparables;2
avait;132
kevin;191
tommy;333
le;957
dernier;6
sean;90
jenny;81
reilly;46
rattachée;1
eux;10
déjà;29
l;546
époque;4
pauvre;2
fou;7
d;401
elle;101
attendez;6
je;1414
me;319
suis;193
trompé;1
année;5
m;255
a;654
surnommé;2
sorbet;3
parce;74
que;1161
sous;15
pression;2
glace;5
donne;38
moi;325
presque;3
plus;199
litres;1
qui;363
ai;409
volée;2
allez;82
revenez;2
personne;79
ne;249
entendue;1
venir;29
jambe;8
écrasée;1
n;172
grandi;1
beaucoup;30
après;41
ça;714
jamais;96
retrouvé;3
chauffeur;2
pas;1139
air;28
trop;36
déranger;1
pourtant;3
dirait;8
rien;156
changé;12
viens;58
dire;133
sa;64
vie;35
effet;5
mais;276
pensez;7
tout;242
suite;15
rêvais;1
synchro;25
traduction;27
_;32
ye;1
yel;1
yell;1
yello;1
yellow;15
s;218
su;7
sub;12
v1;5
saison;7
épisode;7
pilot;1
transcript;6
swsub;5
com;25
merci;72
loky;11
seriessub;10
ok;163
accélère;2
peu;58
flambe;2
plaît;22
au;163
firecracker;29
lounge;4
étais;67
maison;29
correction;1
ta;73
dernière;17
chance;18
passer;16
nuit;27
fille;18
redemande;1
tiens;14
prends;38
mémé;1
j;778
besoin;79
imper;2
plie;2
mets;15
dans;203
poche;4
depuis;34
des;245
temps;44
gens;40
ont;86
accusé;1
irlandais;28
non;264
blancs;1
tous;65
crimes;1
avaient;16
lieu;3
soit;43
disant;1
coulait;2
du;176
sang;12
gipsy;1
ou;81
hispanique;1
leurs;11
veines;2
ma;79
grand;11
mère;38
raconté;6
avant;38
débarquement;1
celtes;2
irlande;2
population;1
bruns;1
commencé;9
chasser;2
fini;20
boulot;25
quelques;20
uns;4
entre;29
terminé;4
se;171
passait;3
toujours;63
quelque;58
chose;97
bas;19
jour;40
anniversaire;6
veillée;14
funèbre;2
vas;96
manquer;3
emporte;1
gagné;9
bar;40
grâce;4
jeu;5
con;14
donny;1
mcq;2
an;4
tôt;8
plancher;1
pourri;2
dettes;5
énormes;1
juré;1
avoir;76
perdu;25
intentionnellement;1
pris;25
joueur;2
cru;5
chanceux;10
fait;225
ait;12
pari;5
dissuadé;1
vraiment;67
as;292
pu;33
perdre;18
chistera;1
sais;260
même;58
jouer;14
hein;62
montre;5
joues;4
doué;2
dessin;1
sortir;27
ses;46
pétrin;2
semblait;2
comprendre;12
mènerait;1
débarrassait;1
deuxième;6
seconde;9
quoi;317
racontez;2
histoire;20
bébé;11
monde;53
aimait;7
surtout;7
filles;3
pourquoi;147
laissaient;1
approcher;1
copines;1
combien;31
doit;58
oh;60
années;6
épousé;1
instituteur;1
celui;20
ci;6
omis;1
préciser;1
volait;2
dealers;1
rembourser;5
crédits;1
voulu;9
cacher;2
quelqu;73
laissé;18
baril;2
huile;3
coeur;8
veux;268
proches;5
casse;13
toi;245
bon;113
