Mot;Occurrence
detective;9
so;229
where;168
are;279
the;1712
bodies;9
oh;138
man;73
these;43
guys;85
my;372
friends;14
here;335
s;1513
deal;57
joey;165
you;3073
tell;172
us;133
how;241
they;236
got;275
there;262
stay;27
in;501
solitary;1
nice;46
and;708
safe;7
lie;19
go;308
to;1409
general;2
population;1
more;68
people;83
than;39
i;5222
can;298
count;4
want;231
see;147
dead;49
two;52
things;54
that;1043
happened;57
jimmy;412
donnelly;80
made;49
him;357
turn;18
out;334
way;80
he;766
did;177
first;41
thing;125
do;440
know;542
what;896
a;1271
half;26
moon;1
ride;4
is;434
it;1212
came;40
around;52
every;26
summer;1
was;428
like;234
an;76
instant;1
block;8
party;5
had;148
just;301
stolen;2
enough;33
for;427
get;384
on;403
now;225
brothers;46
were;125
always;52
together;24
kevin;251
tommy;418
little;75
sean;122
jenny;98
reilly;47
sewn;1
hip;1
even;52
back;188
then;107
she;90
drove;2
poor;5
crazy;22
wait;54
wrong;37
year;10
nickname;1
ice;7
cream;4
cause;65
under;17
pressure;2
m;521
give;122
me;730
some;87
but;286
hardly;1
any;76
left;32
five;26
gallons;1
grunts;15
hey;254
grunting;15
mine;6
stole;12
come;191
no;395
one;172
heard;26
coming;42
of;629
legs;10
shattered;1
never;104
grew;1
much;60
after;46
found;22
driver;10
kids;15
shouting;6
didn;137
t;1061
seem;3
slow;7
down;102
though;6
barely;2
noticed;2
boys;16
boy;10
lucky;22
shot;17
said;80
changed;7
his;214
life;42
not;346
d;117
think;179
awesome;1
long;29
time;86
wanted;57
gunsho;13
ts;13
okay;288
fast;6
forward;4
whistling;1
flush;2
feeling;13
good;198
firecracker;30
lounge;5
please;50
juvie;1
am;47
chance;12
spent;4
night;53
with;382
woman;10
who;185
wouldn;42
stop;65
take;138
this;508
gram;1
don;489
need;137
raincoat;2
folds;1
up;262
put;76
your;366
pocket;6
have;294
rubbers;1
all;354
through;21
history;4
accused;1
black;3
irish;35
crime;4
along;5
supposed;21
gypsy;1
blood;15
or;103
spanish;1
something;116
grandmother;2
told;79
before;45
celts;2
showed;6
ireland;2
race;4
dark;3
haired;1
proceeded;1
wipe;1
could;119
them;98
few;11
ended;1
at;153
going;145
day;73
birthday;7
wake;24
miss;7
paddy;5
music;8
playing;14
chattering;9
won;45
bar;40
crap;18
game;6
donny;1
mccue;2
rotting;2
floors;1
gigantic;1
tax;2
lien;1
swore;2
lose;20
purpose;1
thought;52
himself;18
as;78
gambler;4
believed;5
fact;13
bet;35
somehow;4
dissuaded;1
notion;1
really;94
jai;2
alai;2
why;172
show;19
play;14
knack;1
drawing;1
getting;40
trouble;16
understand;43
anywhere;9
if;230
couldn;30
let;172
second;22
hold;16
which;28
telling;30
story;9
still;48
baby;9
everybody;34
loved;8
especially;7
women;2
their;28
girlfriends;1
near;3
owes;8
couple;28
years;21
married;7
schoolteacher;1
teach;9
forgets;1
mention;7
robs;1
drug;6
dealers;4
pay;65
student;4
loans;1
goes;9
into;44
hiding;2
somebody;53
stuffs;1
oil;2
drum;2
nobody;35
heart;11
mean;92
we;617
item;1
bug;4
off;72
yeah;366
great;44
girl;15
isn;27
bothering;1
concerned;3
husband;18
town;8
might;33
be;285
invited;2
bathroom;5
minutes;13
tried;16
borrow;6
from;127
today;44
bonnie;2
blond;1
introduced;1
business;46
work;53
real;28
shame;1
frankie;22
pass;5
ham;3
finally;8
making;20
move;8
friend;22
afraid;6
without;14
badge;1
well;110
truck;18
morning;22
garment;1
district;2
caught;6
case;9
asked;31
about;296
steal;8
drive;15
gotta;107
naked;4
models;1
art;10
school;33
visit;5
chuckling;10
spread;2
doing;124
robbing;1
trucks;1
talking;41
cop;5
banging;5
machines;1
took;38
money;187
yell;1
other;48
ear;1
been;127
victims;1
negative;2
stereotyping;1
re;495
drunks;1
brawlers;1
sometimes;8
gets;14
mad;4
drunk;5
punch;3
groaning;13
lighten;1
neither;3
son;28
bitch;21
should;84
shirt;9
asking;31
thousand;6
anything;90
became;2
mother;30
teresa;2
big;29
penchant;1
joyriding;1
wanna;99
knew;45
guy;108
would;120
shirts;7
cents;1
apiece;1
only;66
complication;1
apparently;1
while;26
anybody;39
idea;41
hear;35
bobby;26
o;7
j;6
mcgrane;1
italian;14
held;3
ransom;5
right;356
attica;1
ll;287
later;19
bookie;10
owed;9
named;3
louie;80
downtown;23
ran;6
book;12
sal;56
minnetta;7
hand;16
nicky;82
cottero;14
drop;4
by;62
once;18
week;35
keep;61
honest;3
weren;17
since;20
short;3
needed;8
borrowed;2
cab;8
wasn;51
looking;43
news;9
too;75
father;74
worked;17
steelworkers;1
union;16
run;19
italians;29
trying;47
change;15
coffee;11
shop;5
thanks;69
fault;6
listening;4
beating;14
death;10
saw;23
faces;2
three;26
months;7
working;18
photography;1
uh;28
blow;5
favorite;5
movie;7
god;49
kidding;11
ve;98
huey;118
farrell;24
hadn;8
shown;1
will;47
minute;31
over;70
neighborhood;42
old;28
mulligan;1
1890s;1
sure;81
stayed;1
look;101
snatched;1
stuffed;2
trunk;4
car;34
tracks;1
home;34
happy;12
aren;11
stupid;23
course;22
turns;2
nephew;10
stuff;17
proud;4
