Mot,Occurrence
i,2086
you,1015
je,809
s,809
a,791
de,758
on,739
the,708
vous,697
est,692
le,609
pas,598
to,517
t,506
it,483
un,471
that,465
me,465
à,455
il,445
la,437
que,406
m,403
c,394
we,393
et,393
en,379
ça,376
les,336
d,336
ce,330
l,327
and,327
what,306
of,301
j,293
in,284
qu,263
tu,261
ne,257
moi,253
is,249
wolf,222
this,221
ai,215
re,214
all,212
know,203
my,203
he,197
y,191
des,186
pour,185
get,183
right,182
une,181
your,180
don,179
just,177
do,174
mais,171
man,166
out,166
nous,160
come,157
can,156
go,154
n,152
for,150
not,150
allez,148
here,148
gonna,144
va,136
got,135
bien,135
plus,133
du,133
with,131
fait,131
là,128
quoi,126
no,125
tout,124
are,121
qui,120
sur,120
dans,119
se,118
si,117
they,117
ils,117
up,117
mon,116
avec,111
there,111
have,109
if,108
au,103
rien,103
but,103
toi,103
one,102
now,102
sais,100
suis,100
let,99
be,99
okay,97
like,96
about,96
faire,96
him,95
son,94
mr,93
was,92
as,92
ll,91
back,90
yeah,90
lui,89
te,88
cap,88
how,83
veux,82
elle,82
votre,81
at,79
so,78
need,78
move,77
down,75
non,74
bon,74
us,72
think,72
avez,72
bank,71
see,71
beck,71
good,70
ma,70
ou,69
why,69
our,69
his,68
or,68
faut,67
otages,67
she,66
sergent,66
être,66
mec,65
want,65
time,63
comme,63
oui,62
tous,62
take,61
sont,59
fais,59
ici,59
peut,59
an,58
talk,58
over,58
comment,57
please,56
from,56
alors,55
hey,54
où,53
sabian,53
pourquoi,53
ashley,53
gars,52
tonray,52
who,52
chef,51
did,49
ont,49
vie,49
her,49
ces,49
henry,48
say,48
es,48
voir,47
dit,47
cali,47
temps,47
make,46
par,46
gotta,45
ton,45
going,44
cette,44
sarge,44
ve,43
look,43
way,43
peux,43
give,42
place,42
êtes,42
mes,42
fils,42
these,41
ok,41
when,41
tell,40
something,40
accord,40
reste,40
sa,40
doing,40
vos,39
alan,39
really,39
people,39
them,39
leon,39
fbi,39
rabbit,38
find,38
face,38
faites,38
cause,38
sans,37
some,37
dire,37
point,37
autre,37
vais,37
keep,37
était,36
deux,36
then,36
off,36
sera,35
into,35
connie,35
été,35
leur,35
been,35
parler,35
mike,34
put,34
boy,34
notre,34
sorry,34
swat,34
wanna,33
ta,33
juste,33
banque,33
didn,33
home,33
merci,33
dois,33
vas,33
well,33
capitaine,32
plaît,32
life,32
oh,32
hawke,32
fille,32
captain,32
voilà,32
minutes,32
kill,31
guys,31
besoin,31
même,31
peu,31
otage,31
were,31
ouais,30
quand,30
chez,30
has,30
mal,30
hostage,30
bas,30
where,30
nothing,30
would,30
shit,29
talking,29
hold,29
through,29
more,29
chose,29
help,29
again,29
because,28
veut,28
donne,28
team,28
aussi,28
little,28
trop,28
should,28
avant,27
guy,27
never,27
jamais,27
sniper,27
plan,27
mendez,27
monsieur,27
hell,27
robby,27
thing,27
quelqu,27
will,27
nos,26
crois,26
inside,26
vois,26
gun,26
désolé,26
done,26
aller,26
could,26
thank,25
homme,25
part,25
hostages,25
coming,25
agent,25
too,25
daughter,25
très,25
fois,24
abe,24
every,24
said,24
parce,24
doit,24
sergeant,24
lot,24
two,24
monde,24
encore,23
laisse,23
hear,23
wait,23
maintenant,23
dis,23
vu,23
situation,23
personne,23
possible,23
anything,22
mort,22
question,22
chance,22
toujours,22
else,22
things,22
passe,22
away,22
mieux,22
marco,22
am,21
ses,21
ahead,21
avoir,21
maybe,21
any,21
only,21
arme,21
moment,21
instructions,21
boys,20
bouge,20
entre,20
restez,20
quelque,20
ready,20
sortir,20
écoute,20
platoon,20
their,20
sûr,20
section,20
getting,20
teddy,20
mean,20
somebody,20
horst,20
bad,20
écoutez,20
shot,20
show,20
prends,20
someone,20
call,20
bernard,20
shelton,20
than,19
entrée,19
merde,19
sous,19
sort,19
après,19
made,19
yes,19
viens,19
toutes,19
three,19
stay,19
putain,19
car,19
trust,19
control,19
cool,19
by,19
before,19
everybody,19
femme,18
stan,18
aux,18
listen,18
long,18
voulez,18
aime,18
doesn,18
savez,18
other,18
ever,18
very,18
men,17
cas,17
autres,17
thought,17
ass,17
big,17
huh,17
frères,17
savoir,17
déjà,17
soldat,17
contact,17
assaut,17
eu,17
those,17
ordre,17
deke,17
frère,17
laissez,17
tunnel,17
brother,16
happen,16
demande,16
fine,16
pouvez,16
vraiment,16
type,16
puis,16
hommes,16
petit,16
excuse,16
speak,16
père,16
walk,16
damn,16
pig,16
parle,16
passé,16
quel,16
everything,16
eux,16
had,16
sir,15
attention,15
yet,15
dites,15
work,15
vrai,15
derz,15
hands,15
second,15
dehors,15
follow,15
caporal,15
