Mot;Occurrence
synchro;1
darksh;6
sixe;8
herb;8
narkond;1
trad;1
ledje;1
alcid;1
relecture;1
benj;1
sub;7
way;7
fr;7
trois;7
semaines;1
d;292
affilée;1
que;405
vous;697
êtes;42
en;378
retard;2
les;336
gars;52
j;293
attends;14
avec;111
des;186
distributeurs;1
vides;1
et;393
du;133
personnel;1
je;809
vais;37
devoir;10
payer;4
heures;7
sup;1
car;18
c;392
est;692
qu;263
un;471
exemple;3
henry;32
fait;131
pourrais;8
continuer;2
toute;13
la;435
journée;7
rocko;3
s;123
il;445
plaît;32
arrêtez;14
de;758
raconter;2
histoires;1
finissez;4
ce;330
train;6
faire;96
m;177
shelton;10
exactement;3
viens;19
dire;37
à;455
gens;13
sont;59
tout;124
le;609
temps;47
énervés;1
écoutez;20
ai;215
erreurs;1
dans;119
comptes;6
aigreurs;1
estomac;1
accord;40
dis;23
juste;33
on;456
doit;24
attention;10
prêter;2
communautarisme;1
plus;132
présent;10
bonjour;6
karen;4
comment;57
allez;148
avez;72
fini;14
oui;62
voici;2
mes;40
chiffres;2
mon;116
compte;9
ils;117
correspondent;1
excellent;2
ça;376
a;303
été;35
une;181
longue;3
petite;8
pause;3
bernard;8
abe;11
si;117
tu;261
gères;1
alors;55
n;152
pas;598
l;327
information;4
sous;19
titres;6
the;2
silver;1
team;11
www;6
monde;24
terre;12
couché;3
restez;20
y;190
levez;3
mains;9
personne;23
ne;257
bouge;20
assis;7
suite;14
bougez;6
très;25
bien;135
touchez;2
truc;5
bouton;1
asseyez;2
par;46
voilà;32
merci;33
là;128
piggy;7
rien;103
oublié;1
mec;65
couchés;1
détendez;1
mesdames;3
messieurs;2
comme;63
compris;15
braquage;8
ok;41
demande;16
bouger;3
respirer;1
rester;8
silencieux;2
veux;82
mal;30
conjure;1
lever;2
veut;28
argent;5
comprenez;5
inflation;1
suis;100
sûr;20
dit;47
baissez;6
vos;39
suivez;13
nos;26
instructions;11
sortira;8
tous;62
ici;59
sains;7
saufs;7
maintenant;23
montrez;8
abey;1
où;53
se;118
braquer;1
rabbit;19
peux;43
trouver;9
te;88
clés;6
mouse;4
sages;1
calmes;4
nous;160
sommes;9
pigé;3
i;706
toutes;19
unités;7
hold;1
up;1
cours;9
sergent;66
radio;4
saturée;1
flics;9
route;6
environ;2
deux;36
minutes;21
cat;5
pig;9
alertés;1
arrivent;4
passe;22
essaye;1
malin;3
toi;103
retourner;4
merde;19
laissé;5
tomber;4
portable;5
ho;1
entendu;13
bon;74
wolf;113
magnez;1
pour;185
votre;81
coopération;1
bientôt;11
dégage;6
au;103
course;2
flingue;9
sortie;13
arrière;8
sortez;3
derrière;9
rendez;3
repli;11
replie;8
vers;9
banque;33
intérieur;10
papa;8
tirent;2
sur;120
bile;1
doucement;4
occupe;4
quelqu;27
bloque;2
accès;3
qui;120
donnez;14
moi;253
vite;14
ces;49
couvre;8
chérie;7
va;136
t;153
aime;18
vraiment;16
désolé;26
mais;171
prise;7
otages;67
ordres;8
promets;2
arrivera;6
garantis;1
rassembler;1
centre;3
pièce;3
obéissez;1
debout;13
mets;5
activez;2
mot;11
ou;69
hésiterai;1
mettre;8
balle;12
tête;10
silence;2
or;6
rentrez;9
jambes;2
grave;5
ressortie;1
femme;18
elle;82
faut;67
aider;10
occupez;1
aller;26
ouais;30
