Mot;Occurrence
three;15
weeks;1
in;283
a;488
row;1
that;465
you;1015
guys;31
have;109
been;35
late;4
i;1380
m;226
standing;2
here;148
with;131
empty;4
atms;1
and;327
staff;1
certainly;3
to;517
pay;7
overtime;1
cause;32
are;121
what;306
s;686
the;706
word;11
just;177
one;102
example;1
henry;16
truth;1
is;249
can;156
go;144
on;283
all;212
day;12
rocco;2
please;56
will;27
do;174
me;299
favor;7
stop;14
storytelling;1
maybe;21
finish;3
up;116
rewiring;1
or;62
whatever;4
re;214
actually;8
doing;40
there;111
mr;93
shelton;10
this;221
exact;1
point;18
was;92
making;12
everyone;11
so;78
damn;16
pissed;6
off;36
time;63
look;43
got;135
mismatched;1
money;10
counts;2
sour;1
stomach;2
okay;97
saying;12
we;393
gotta;45
be;99
careful;5
take;61
heed;1
tribal;1
lines;3
being;12
drawn;1
everywhere;2
morning;1
hey;54
karen;4
how;83
done;26
yeah;90
my;203
figure;8
count;4
sir;15
oh;28
they;117
match;1
excellent;1
it;483
long;13
ten;3
minutes;11
break;11
come;157
bernard;12
hi;3
abe;13
if;108
ve;43
control;19
of;301
account;2
then;36
don;179
t;353
information;4
everybody;19
get;183
down;75
put;34
hands;15
nobody;9
move;77
sit;11
now;102
keep;37
fingers;3
away;22
from;56
button;1
your;180
floor;4
thank;25
stay;19
right;182
piggy;7
forgetting;1
something;40
man;166
relax;8
ladies;5
gentlemen;3
as;45
rightfully;2
assumed;1
bank;71
robbery;8
asking;5
still;13
breathe;4
silent;1
last;14
thing;27
wanna;33
hurt;8
anybody;11
implore;1
not;150
stand;9
dance;1
want;65
understand;12
inflation;1
bet;4
didn;33
tell;40
follow;15
these;41
simple;9
instructions;10
walk;16
out;165
safe;10
sound;9
reveal;1
yourself;10
ey;1
where;30
rabbit;19
find;38
him;95
he;197
keys;5
mouse;4
great;12
good;70
more;29
calm;14
units;1
progress;2
sarge;44
scanner;1
blowing;1
cops;9
route;4
about;96
two;24
cat;5
pig;7
call;20
solid;1
excited;2
try;10
smart;2
guy;27
hold;28
back;90
dropped;1
cell;3
did;49
