Mot,Occurrence
i,1064
you,734
the,719
s,496
a,488
je,477
est,432
vous,417
la,392
it,392
de,375
to,373
t,346
l,297
pas,291
le,281
me,280
il,257
that,232
que,229
à,228
what,224
un,223
c,218
on,217
m,203
en,199
et,182
in,174
d,172
ça,166
ce,165
les,165
joe,161
of,155
this,153
we,153
and,151
is,149
n,148
ne,147
j,146
tu,145
can,144
ai,140
my,132
une,131
no,130
do,129
have,121
re,121
know,120
y,120
there,118
moi,117
don,117
he,113
elle,112
all,112
qu,111
for,108
just,107
mais,105
pour,105
qui,101
right,97
back,96
key,95
get,92
clé,91
des,88
if,87
was,86
si,84
room,84
are,84
là,84
anna,83
she,83
but,82
here,81
objects,80
your,79
want,78
they,77
objets,77
dans,77
tout,74
miller,74
yeah,74
chambre,72
like,71
not,71
him,71
bien,70
nous,70
be,69
object,69
motel,69
about,67
how,66
ils,66
objet,66
okay,66
out,65
oh,65
with,63
ll,63
au,63
va,63
come,63
mon,63
now,63
plus,62
oui,60
ve,60
non,58
du,58
suis,58
gonna,56
fait,55
an,55
one,55
think,55
sur,54
votre,54
ruber,54
got,52
ma,52
go,52
quoi,52
te,51
se,51
as,50
up,49
need,49
où,49
so,48
who,48
well,47
ici,47
where,47
kreutzfeld,47
her,47
sont,47
at,46
son,46
être,45
cette,45
sais,45
faire,44
see,44
peut,44
did,44
comment,43
fille,42
find,41
god,41
rien,41
daughter,41
avec,40
tell,40
lui,40
man,40
avez,40
take,39
sorry,39
tous,39
bring,38
veux,37
help,37
from,37
lou,37
make,37
était,36
comme,35
been,35
accord,35
êtes,35
ces,34
something,34
homme,33
allez,33
why,33
look,33
please,33
never,32
toi,32
bon,32
peux,32
alors,32
occupant,32
some,31
dieu,31
par,31
let,31
didn,31
yes,30
will,30
hey,29
them,29
vu,29
give,28
pourquoi,28
arlene,28
jennifer,28
faut,27
jamais,27
his,27
these,27
merci,27
sure,26
door,26
has,26
lee,26
time,26
sood,26
detective,26
porte,26
martin,26
had,26
ont,25
good,25
harold,25
or,25
juste,25
hell,24
autre,24
chose,24
order,24
ou,24
wally,24
people,24
us,24
iggy,24
karl,24
way,24
could,24
anything,23
happened,23
saw,23
ordre,23
into,23
comb,23
conroy,23
es,23
really,23
crois,23
won,22
vault,22
inspecteur,22
guy,22
été,22
encore,22
quel,22
things,22
before,22
mean,21
nom,21
then,21
voir,21
salut,21
our,21
down,20
sans,20
when,20
ramener,20
avoir,20
fois,20
name,20
premier,20
trying,19
très,19
stop,19
believe,19
inside,19
dois,19
found,19
em,19
little,18
dit,18
quelque,18
leur,18
prime,18
everything,18
should,18
isaac,18
prie,18
box,18
bus,18
toujours,18
stritzke,18
sa,17
used,17
wait,17
still,17
looking,17
thing,17
aussi,17
avant,17
ever,17
dr,17
going,17
say,17
wrong,16
does,16
savez,16
two,16
écrin,16
vais,16
personne,16
photo,16
thank,16
whatever,16
first,16
watch,16
place,16
any,16
seen,16
glaneurs,16
notre,16
collectors,16
understand,16
même,16
désolé,15
ticket,15
autres,15
peigne,15
pendule,15
legion,15
dites,15
kill,15
gallup,15
chance,15
voulez,15
film,15
gone,15
only,15
again,15
listen,15
other,15
gotta,15
avait,15
hi,15
dead,15
aucun,15
fais,15
over,15
doesn,15
open,14
keep,14
together,14
vie,14
part,14
nobody,14
ta,14
dire,14
prison,14
doing,14
faites,14
even,14
jour,14
else,14
would,14
last,14
aider,14
barbara,14
papa,14
were,14
trouve,14
getting,13
their,13
depuis,13
montre,13
sûr,13
forte,13
voilà,13
cas,13
put,13
clock,13
years,13
new,13
légion,13
vrai,13
possible,13
every,13
while,13
vraiment,13
prendre,13
avais,13
deux,13
picture,13
said,12
disparu,12
killed,12
maybe,12
sera,12
femme,12
dis,12
use,12
away,12
much,12
laissez,12
savoir,12
vas,12
mort,12
went,12
try,12
eu,12
gens,12
leave,12
stay,12
arrête,12
passé,12
pouvoir,12
choses,12
work,12
vue,12
viens,12
tuer,12
