Mot;Occurrence
sous;8
titres;3
berhug;3
prêteur;1
sur;54
gages;5
c;217
est;432
bon;32
je;477
dois;19
vérifier;1
l;297
ai;140
elle;112
réelle;1
argent;2
d;149
abord;3
il;257
dit;18
qu;111
veut;4
fiduciaire;1
des;88
îles;1
anglo;1
normandes;1
transfert;2
de;375
fonds;2
origine;1
inconnue;1
avoir;20
du;58
compte;4
millions;3
content;2
fait;55
affaire;1
avec;40
vous;417
ce;165
que;229
j;146
raté;1
iggy;11
êtes;35
qui;101
bordel;1
la;392
fouine;7
non;57
mon;63
ami;9
marco;3
a;194
une;131
bourde;1
stupide;4
en;199
vendant;1
chose;24
m;74
appartenait;2
vais;16
devoir;2
reprendre;1
bien;70
peur;4
sortez;6
calme;4
à;228
cliquer;1
son;34
stylo;8
tire;2
braquage;1
caisse;1
semble;4
intacte;1
y;120
eu;12
un;223
barbecue;1
ici;47
ou;24
quoi;52
on;124
peut;44
dire;14
ça;166
t;72
arrivé;7
croyais;7
avait;15
corps;6
le;281
cas;13
ruby;2
salut;21
peau;1
pêche;1
sympas;1
les;165
homicides;2
gratin;1
pour;105
toi;32
notre;16
proprio;3
gérant;1
jake;2
squillo;2
s;67
appelle;8
karl;11
kreutzfeld;23
pas;291
présent;2
tu;145
sais;45
mort;12
me;87
demande;6
puisque;1
dirais;4
carbonisé;1
regarde;9
ses;6
fringues;1
crame;1
premier;20
ils;66
ont;25
grillé;2
avant;17
habiller;1
électrocution;1
être;45
et;182
super;4
héros;1
là;84
cordova;2
client;1
nuque;1
brisée;1
comme;35
si;84
tiré;1
canon;1
tout;74
n;147
aucun;15
sens;6
faudrait;1
appeler;4
flics;1
jeté;1
contre;7
mur;2
veux;37
mais;105
témoin;2
ignacio;4
llosa;4
pointé;1
arrivée;2
sortie;4
merde;5
connais;8
joe;59
ouais;11
p;2
tit;2
gars;10
famille;3
difficile;1
allons;6
ramasser;2
montague;5
aller;10
au;63
boulot;1
demain;3
matin;2
aimerais;2
pouvoir;12
dormir;4
peu;11
aurais;9
dû;7
penser;1
perdre;6
clé;91
trouve;14
moi;117
gosse;2
tourne;3
gauche;1
kathy;2
va;63
lac;1
week;1
end;1
venez;11
anna;40
es;23
obligé;1
nous;70
inviter;1
chaque;7
fois;20
rigoles;1
adore;1
ta;14
môme;1
avocat;1
ex;5
bonnes;1
chances;1
père;4
barré;1
ne;147
te;51
enlèveront;1
attends;7
arrête;12
allez;33
ouvre;8
minute;1
où;49
passé;12
envolé;1
nom;21
flic;3
peux;32
sortir;3
table;3
oui;60
ton;6
assiette;1
jeune;2
fille;42
comment;43
était;36
école;1
billy;1
frazier;1
ramené;1
énorme;2
ver;1
terre;2
touché;2
cradingue;1
viens;12
par;31
fais;15
voir;21
main;3
berk;1
visqueux;1
vrai;13
miller;36
trouvé;11
i;185
chez;6
sa;17
mère;5
ferais;3
venir;2
arrive;4
lee;12
petite;6
avez;40
salle;1
interrogatoire;1
dans;77
bureau;1
dérange;2
avais;13
juré;2
verrais;1
plus;61
quand;7
parle;6
sont;47
morts;6
brûlés;2
vifs;1
vieux;4
tuerait;1
zigouillé;1
légitime;1
défense;1
menti;1
procureur;1
dis;12
ma;52
morte;2
promets;4
protéger;1
protègera;1
inspecteur;22
cette;45
tocante;1
aux;6
w;1
envie;4
dégobiller;1
étonnes;1
as;27
appart;1
pourquoi;28
motel;28
quel;22
descendu;2
endroit;8
réel;5
gerber;1
assieds;1
assis;3
restes;1
tant;9
se;51
passe;11
alors;32
vas;12
raconte;3
été;22
cramés;1
mecs;1
pointés;1
connaissais;4
chef;2
appelaient;1
voilà;13
liste;1
appels;1
contacté;1
boss;2
juste;25
faire;44
buter;1
trop;9
chouette;2
hein;9
joyeux;1
anniversaire;1
isaac;9
gâteau;1
glace;3
monde;7
prêt;9
rapporte;1
autant;3
grands;1
dieux;1
possède;4
chaîne;1
pressings;1
reconnais;1
fou;1
gens;12
prêts;3
débourser;1
nettoyage;1
sec;1
boutique;3
grand;5
maintenant;9
appartient;2
toute;3
vie;14
aimait;1
objets;77
racontez;1
vos;6
dirai;3
genre;8
comprenez;2
jamais;27
employé;2
tué;7
travail;2
auparavant;1
suis;58
assez;3
perturbé;1
moins;10
puisse;5
appelé;2
quelques;7
minutes;2
meurtre;6
voulait;2
fermer;1
tôt;7
soir;4
rien;41
inhabituel;1
votre;54
autre;24
v;1
u;1
aurait;3
mention;1
propos;2
pardon;9
aussi;17
distrait;1
aider;14
prie;18
appelez;2
espère;4
sincèrement;3
coincerez;1
salopard;1
merci;27
fous;4
pognon;1
débarrasser;3
parking;1
allô;1
jennifer;12
némo;2
encore;22
faisait;2
abbot;2
costello;2
frankenstein;2
bouge;2
chambre;72
vite;7
désolé;15
accroches;1
accord;35
insp;1
envoyez;1
ambulance;1
hémorragie;1
personne;16
doublé;1
soit;7
toutes;5
portes;7
parles;4
occupe;3
voulez;15
faut;27
truc;5
excuse;5
chérie;6
restent;1
ramène;4
maison;6
papa;14
dedans;5
rêve;2
vois;11
lit;2
brûlé;4
résolu;1
avalé;1
victime;1
mêmes;3
plaies;1
entrée;7
faute;3
coucher;1
martin;12
tard;4
animaux;3
crêpe;4
animal;2
éléphant;8
souris;2
parti;5
lou;16
effrayée;1
air;3
rendez;6
tribunal;3
donc;9
trucs;6
disparaissent;1
quelle;6
magique;2
choisis;2
devrait;7
peluche;1
poisson;1
lester;1
celui;9
lui;40
sûre;3
troué;1
hé;9
reviens;4
sors;5
fin;4
expérience;6
vu;29
fini;2
suffit;1
joue;2
écoute;9
promettes;1
promis;4
bonjour;9
dieu;31
foutu;2
ces;34
frousses;1
pris;6
habille;2
remet;1
zéro;6
craindre;2
moment;7
eau;2
courant;3
importe;6
porte;26
penn;1
state;1
match;1
après;9
valait;1
mis;5
garder;6
trois;2
cause;3
profitons;1
pendant;2
possible;7
telle;2
chance;9
représentera;1
bridgewater;3
direct;1
cuba;1
motus;1
fume;1
puent;1
geste;1
désintéressé;1
visite;2
ur;3
regrette;3
frère;8
demi;1
étiez;5
proches;2
quitté;1
disais;2
rapprocherions;1
temps;10
formalités;1
restantes;1
elles;4
remplies;1
crois;23
vouliez;2
signer;1
effets;1
personnels;1
problème;5
prise;3
