Mot;Occurrence
are;84
we;153
good;25
i;879
have;121
to;373
check;8
it;392
s;429
real;7
money;8
first;16
he;113
says;2
nice;5
doing;14
business;7
with;63
you;734
what;224
did;44
miss;3
iggy;13
who;48
the;717
hell;24
weasel;7
don;117
t;274
my;132
friend;11
marco;3
here;81
made;7
a;294
silly;1
mistake;2
and;151
sold;1
something;34
that;232
belongs;2
me;193
now;63
m;129
afraid;3
gonna;56
take;39
back;96
get;92
out;65
easy;11
why;33
does;16
keep;14
clicking;1
pen;11
man;40
shoot;10
him;71
robbery;1
doesn;15
look;33
like;71
register;1
been;35
touched;3
smells;1
somebody;8
had;26
barbecue;1
happened;23
thought;10
two;16
bodies;1
do;129
ruby;3
hello;11
peaches;1
homicides;1
only;15
best;3
for;108
our;21
owner;2
uh;8
manager;2
jake;2
scuillo;2
guy;22
named;4
karl;13
kreutzfeld;24
not;71
present;2
ruber;29
got;52
cause;3
of;155
death;4
funny;2
should;18
ask;10
because;10
no;130
how;66
bout;3
burnt;2
crisp;1
clothes;2
they;77
lit;1
up;49
torched;1
then;21
dressed;3
electrocuted;1
maybe;12
about;67
superhero;1
cordova;2
customer;1
apparently;1
neck;1
broken;2
was;86
shot;11
cannon;1
this;153
make;37
any;16
sense;7
guys;5
might;11
want;78
call;7
cops;1
mean;21
thrown;1
against;7
wall;2
okay;66
but;79
ve;60
possible;6
witness;2
ignacio;5
llosa;4
punched;2
in;174
never;32
oh;50
jeez;2
know;120
joe;102
yeah;74
sweet;4
kid;10
nightmare;1
family;3
let;31
pick;8
mr;11
montague;5
gotta;15
go;52
work;12
morning;4
d;23
kinda;1
some;31
sleep;4
tonight;4
at;46
before;22
lost;7
key;95
find;41
left;9
kathy;2
going;17
lake;1
weekend;1
anna;43
can;144
come;63
if;87
invite;1
us;24
every;13
time;26
there;118
lou;21
kidding;4
loves;1
your;79
lawyer;1
say;17
vanessa;1
case;6
re;121
her;47
father;3
stuck;1
around;8
lose;8
wait;17
stop;17
open;14
hang;4
on;93
where;47
is;149
gone;15
cop;3
name;20
be;69
done;7
okeydoke;1
thank;16
hey;29
dishes;1
missy;1
school;1
today;3
billy;1
frazier;1
brought;4
huge;2
earthworm;1
disgusting;2
see;44
hand;4
ew;1
still;17
feel;10
slime;1
miller;38
just;107
picked;3
his;27
mom;3
better;7
ll;63
right;97
hi;15
lee;14
baby;1
need;49
interview;1
room;82
office;1
mind;10
swore;2
when;20
talking;8
men;3
tell;40
old;7
would;14
killed;12
hadn;1
convinced;1
self;1
defense;1
lied;1
dead;15
protect;4
promise;10
detective;26
watch;16
use;12
bathroom;1
puke;3
bet;2
an;55
apartment;3
motel;41
staying;1
place;12
sit;8
down;20
anywhere;7
until;8
burn;7
em;19
three;10
dudes;1
came;9
seen;16
them;29
main;1
called;9
phone;6
records;2
fried;1
boss;3
owns;1
pawn;6
shop;8
so;48
awesome;1
happy;1
birthday;1
isaac;9
cake;1
icecream;1
all;112
god;41
own;5
chain;1
dry;2
cleaners;1
admit;1
ridiculous;3
much;12
people;24
pay;5
their;13
washed;1
without;8
water;2
grandfather;1
mine;8
life;11
actually;5
loved;1
things;22
show;10
story;2
please;33
understand;16
employee;2
job;2
very;9
disturbing;1
least;9
murders;1
wanted;11
closing;1
early;4
slow;3
which;5
unusual;1
other;15
wish;2
mention;2
anything;23
didn;31
sorry;39
distracted;1
else;14
help;37
sincerely;1
hope;7
catch;3
son;12
bitch;2
care;8
rid;6
parking;1
lot;6
jennifer;16
nemo;2
again;15
abbot;2
costello;2
meet;3
frankenstein;2
stay;12
ambulance;1
bleeding;1
one;55
double;1
crossed;1
opens;3
door;26
listen;15
talk;10
sweetie;2
home;8
dad;3
dream;1
sweetheart;1
bed;4
victim;2
unsolved;1
swallowed;1
entry;1
wounds;1
same;10
coming;11
martin;14
animal;6
pancakes;6
kind;6
elephant;8
mouse;2
pancake;1
she;83
little;18
spooked;1
seems;1
another;10
court;3
date;2
tomorrow;1
making;4
everything;18
pretty;6
normal;2
stuff;8
keeps;2
disappearing;1
magic;2
think;55
stuffed;1
lester;1
bony;1
fish;1
sure;26
yes;30
experiment;5
over;15
game;1
anyone;7
or;23
duuh;1
scared;2
resets;2
while;13
as;23
long;9
safe;8
electricity;2
penn;1
state;2
playing;1
according;1
transfert;1
someone;9
tried;4
buy;3
million;3
bucks;4
well;47
enjoy;1
knows;9
chance;6
bridgewater;3
direct;1
from;37
cuba;1
smoke;1
those;10
stinky;1
neither;3
giving;3
away;12
visitor;1
sister;2
brother;8
half;4
thanks;11
were;14
close;11
always;9
closer;1
older;1
guess;10
mother;2
asked;5
outstanding;1
paperwork;1
taken;2
unless;5
sign;1
personal;4
effects;3
wrong;16
took;8
responsible;2
give;28
has;26
told;3
doctor;3
questions;5
live;3
these;27
except;4
letting;1
late;2
dr;9
gellman;1
ready;9
paging;1
steadman;2
fun;2
truth;3
will;30
thing;17
17h;1
couple;3
hours;3
coffee;2
across;1
street;1
hospital;5
through;9
eating;1
mush;1
getting;13
food;1
jabrowski;1
hands;6
off;8
crimes;1
decency;1
politeness;1
common;2
courtesy;1
condemn;1
am;10
won;22
new;12
bus;11
ticket;7
wally;16
interesting;1
angle;1
hemorrhoids;1
laser;1
surgery;2
daughter;41
psyche;1
evaluation;1
suing;1
custody;3
after;8
years;13
probably;4
win;1
asking;4
forget;5
human;2
sometimes;5
greek;1
omelet;1
blew;1
last;14
put;13
joke;2
object;69
many;7
objects;79
used;17
really;23
holy;6
crap;3
amateur;1
hour;1
even;14
hundred;3
nobody;14
weird;4
useful;3
aren;1
pencil;4
makes;8
pennies;1
tap;1
table;1
penny;1
falls;1
day;6
tapping;1
damn;10
noon;1
night;2
six;2
months;3
tapped;1
brains;2
umbrella;1
particularly;1
helpful;1
shy;1
moved;2
seattle;1
less;2
conspicuous;1
example;1
highly;1
spot;1
outside;5
gallup;8
mexico;4
jiffy;1
terrible;2
ever;17
universe;2
shouldn;4
happen;4
everybody;3
theory;2
died;4
pieces;1
corpse;1
part;3
broke;2
physics;1
haywire;1
alive;7
test;1
trying;19
collect;1
pilgrims;1
looking;17
relics;1
during;1
middle;6
ages;1
gives;2
squirts;1
matters;1
price;8
gets;4
using;2
whether;1
worried;1
attract;1
magnets;1
ran;4
into;23
each;4
by;9
accident;3
alarms;1
bad;11
crawling;1
woodwork;1
already;4
emptying;1
underwear;2
drawer;1
killing;5
receptionist;1
sir;6
yours;3
trade;2
rail;1
station;6
route;3
doors;5
daddy;11
directions;1
gun;7
shoots;1
bullets;2
fast;2
cook;1
microwave;1
smart;2
leave;12
course;7
grab;1
gimme;2
noooo;1
reset;5
bring;38
looks;6
battle;2
ex;3
said;12
missed;1
appointment;4
wouldn;6
run;3
girl;5
blood;4
ladies;1
gentlemen;1
answer;2
destefano;5
went;12
figure;3
thinking;2
worst;1
found;19
body;5
burned;3
background;1
minutes;1
ago;8
texas;1
lesson;1
cowboy;1
shall;3
judge;1
tease;1
criticize;1
being;2
suppose;2
small;1
start;6
together;14
properties;3
totally;2
unpredictable;1
useless;1
wristwatch;1
cooks;1
eggs;2
nothing;5
egg;1
hard;4
boils;1
figured;3
anyway;2
knife;1
telepathy;1
saying;3
whatever;16
vanished;2
too;11
sample;1
storage;1
match;1
could;24
report;6
tops;2
marty;4
compiled;1
certificates;1
victims;1
trouble;1
problem;3
milton;3
vrang;4
trick;1
whenever;1
meds;1
believe;19
healthy;1
spread;1
throughout;1
world;7
looked;1
ordinary;1
weren;2
lead;2
path;1
belonged;2
cabal;6
group;6
dedicated;1
collecting;1
purpose;1
full;1
fire;1
ballpoint;1
send;3
kill;15
order;24
enough;5
radios;1
smashing;1
break;7
haven;3
learned;1
yet;4
supposed;3
inches;1
taller;1
tune;1
fascinating;1
bloom;2
knew;8
second;4
partner;7
former;2
rogue;1
moment;1
