Mot,Occurrence
i,9881
you,9392
a,8586
the,6804
s,6284
vous,5424
de,5156
to,4909
est,4809
je,4366
it,4211
on,3857
that,3824
t,3756
le,3619
il,3545
pas,3533
and,3261
la,3259
un,3072
c,2991
l,2927
he,2813
et,2759
à,2598
of,2559
me,2298
d,2256
was,2251
we,2228
in,2208
m,2192
what,2191
que,2151
is,2036
ça,1910
en,1885
j,1852
une,1786
les,1731
ne,1696
no,1689
this,1668
she,1614
tu,1574
pour,1554
your,1552
elle,1550
for,1492
have,1482
n,1468
ai,1452
ce,1425
do,1418
qu,1389
re,1384
know,1374
with,1363
des,1249
not,1230
him,1221
don,1174
but,1167
so,1155
her,1144
mais,1142
be,1109
était,1097
my,1080
du,1048
just,1040
can,1038
qui,1026
there,1020
y,1017
bien,1002
about,961
all,936
did,932
here,929
are,923
right,919
si,915
like,880
as,870
dans,850
avec,839
moi,828
they,824
if,824
votre,819
out,810
avez,803
non,802
get,776
at,764
his,751
ll,746
tout,743
go,743
good,741
how,736
up,735
quoi,712
son,704
fait,697
jane,683
sur,679
au,667
plus,666
nous,660
suis,660
who,646
didn,644
well,638
why,638
rien,632
yeah,631
lui,629
got,629
oui,628
oh,627
être,623
now,604
va,601
là,601
were,584
okay,583
one,573
yes,571
dit,570
gonna,566
would,565
from,557
pourquoi,556
an,551
want,549
had,546
think,544
let,527
mon,524
faire,520
ils,518
uh,516
see,512
êtes,507
tell,505
merci,503
or,502
se,495
où,476
come,468
us,468
lisbon,456
sa,450
peut,447
ici,443
when,432
comme,431
could,430
where,428
time,427
ve,420
ou,417
been,404
comment,402
avait,401
ma,399
back,395
cette,394
say,391
very,389
look,386
sais,377
need,377
très,375
will,370
take,366
man,355
agent,354
sont,348
quand,347
some,345
thank,345
bon,345
sorry,344
dire,337
par,336
te,331
then,331
people,331
alors,326
red,325
way,323
sure,316
toi,315
maybe,314
talk,313
said,309
any,303
make,297
sûr,296
chose,296
really,296
nothing,296
something,293
rigsby,293
peux,292
down,292
work,291
vraiment,291
anything,289
cho,286
too,283
john,282
them,279
voir,277
by,275
cbi,275
thing,272
mr,272
été,272
little,268
ont,264
never,264
veux,263
parler,262
night,259
am,258
avoir,258
tué,255
more,254
allez,253
because,253
off,250
mort,249
call,246
mean,246
help,242
has,242
our,239
killed,239
même,239
money,238
peu,235
kill,235
going,234
find,233
police,230
van,230
donc,227
car,227
much,227
over,226
jamais,226
quelqu,226
vu,225
accord,224
please,220
vos,219
name,218
ses,216
femme,214
found,214
pelt,214
told,213
aurait,213
last,211
two,211
doing,210
hey,209
deux,206
juste,206
aussi,205
personne,202
put,201
vais,199
vrai,199
kind,199
es,198
ces,198
case,197
before,196
doesn,196
into,194
temps,194
give,192
tous,190
around,190
sans,187
wanted,186
should,186
quelque,186
life,185
autre,185
argent,184
ton,182
savez,182
only,182
vie,181
chez,181
made,180
patrick,180
still,179
mal,178
doit,177
question,176
nice,176
someone,175
depuis,174
murder,174
encore,174
guy,173
first,173
lot,173
does,172
désolé,172
thanks,170
guess,169
dead,168
house,168
maintenant,168
crois,166
love,165
ans,165
knew,165
après,164
nuit,164
wasn,163
voulez,162
affaire,162
eu,162
quel,162
done,162
nom,161
keep,160
guys,160
avant,160
after,160
aime,159
ago,159
tuer,158
long,158
meurtre,158
aux,157
place,157
bad,156
fais,155
besoin,154
these,153
trop,153
even,153
bureau,151
avais,151
jim,149
thought,149
wouldn,147
cause,147
away,146
notre,145
mère,144
dis,144
called,143
went,143
homme,143
étais,143
left,142
veut,142
toujours,142
stop,141
gens,141
font,141
must,140
years,140
trying,139
else,139
other,139
real,138
wait,137
wrong,137
mes,136
mind,136
believe,136
voilà,136
trouvé,135
fois,135
job,135
excuse,134
père,134
moment,134
course,133
boss,133
their,133
understand,132
dois,131
isn,131
husband,131
pu,131
ask,131
dites,130
those,130
sait,129
crime,129
bonne,129
day,129
leur,129
wife,129
faut,129
fille,127
beaucoup,127
dû,127
dr,126
étiez,126
won,126
fine,126
questions,126
mois,125
better,125
voulait,125
happened,124
arme,124
aller,124
than,124
same,123
bosco,123
came,122
huh,122
room,122
ever,122
savoir,122
faites,121
déjà,121
pouvez,121
leave,121
which,121
part,120
talking,120
says,120
might,120
home,120
morning,119
gun,119
vois,118
things,118
try,118
pretty,118
feel,117
aider,117
voiture,116
saw,116
raison,116
check,115
p,115
hear,115
noah,115
family,115
monde,114
h,114
truth,114
enough,114
mari,113
woman,113
always,112
office,112
big,112
point,111
god,111
prison,111
phone,111
pense,110
took,110
looking,110
again,110
couple,109
maison,109
great,109
old,108
david,108
business,107
anyone,107
vas,107
couldn,107
parlé,107
killer,106
stuff,106
idea,106
type,106
heard,105
voulais,104
air,103
vérité,103
own,103
being,103
ta,102
looks,102
genre,102
through,102
pris,102
friend,102
exactly,101
passé,101
deal,101
best,100
coming,100
mieux,100
truc,99
allons,99
stay,99
hands,99
em,98
soit,98
hello,98
kara,97
three,97
somebody,96
travail,96
désolée,96
famille,96
assez,96
girl,96
nicole,95
problem,95
next,95
grand,95
ah,95
arrive,94
cet,94
parle,94
close,94
probably,94
autres,94
body,94
chance,93
whole,93
corps,92
hard,92
fils,92
appelle,92
aurais,91
problème,91
everything,91
show,91
ni,91
run,91
months,90
possible,90
quelques,90
dieu,90
listen,90
saying,90
under,90
door,89
entre,89
remember,89
open,89
porte,89
few,89
nobody,89
brother,89
sir,89
minutes,88
mother,88
chef,88
father,88
selby,88
contre,88
mom,88
having,88
friends,87
care,87
um,87
hope,86
death,86
died,86
until,86
investigation,85
aucune,85
ami,85
idée,85
trouver,84
arrête,84
actually,84
serait,84
speak,84
tueur,84
puis,84
suspect,84
gang,83
frère,83
million,83
allait,83
partir,83
aide,83
gone,83
important,83
daniel,82
head,82
grace,82
hell,82
regardez,82
ignore,82
sera,81
quelle,81
prendre,80
thinking,80
gotta,80
yet,80
used,80
voyez,80
new,80
yourself,80
jour,80
pos,80
victim,80
sort,80
sang,79
tête,79
shot,79
boulot,79
alex,79
soir,79
coup,79
rosemary,79
entendu,79
nos,78
amis,78
move,78
may,78
passe,78
importe,77
dad,77
main,77
set,76
together,76
cody,76
sylvan,76
sous,76
message,76
word,76
scarlett,76
cas,75
team,75
meet,75
sens,75
every,74
true,74
reste,74
regarde,74
mains,74
demandé,74
minute,74
peur,74
hurt,73
blood,73
knows,73
dernière,72
appelé,72
innocent,72
mm,72
hector,72
working,72
parlez,72
hi,72
avocat,71
pardon,71
plaît,71
partie,71
selon,71
getting,71
dessus,71
kristin,71
anybody,71
state,71
kid,71
person,70
whatever,70
faux,70
town,70
reason,69
everybody,69
calme,69
damn,69
victime,69
seul,69
secret,69
agents,68
trouble,68
hand,68
liaison,68
inside,68
crazy,68
laisse,68
pourrait,68
parents,68
days,68
color,68
tard,67
asked,67
vient,67
both,67
étaient,67
mcteer,67
tuée,67
moins,67
happy,67
carl,67
another,66
comprends,66
arrivé,66
aucun,66
jusqu,66
aviez,66
jeffrey,66
vite,66
against,66
mary,66
parti,66
simple,66
cool,66
foster,66
gars,66
safe,66
matin,66
claire,65
salut,65
laisser,65
week,65
angry,65
start,65
compris,65
tant,65
jason,65
jours,65
gets,64
charge,64
sécurité,64
choses,64
face,64
trust,64
means,64
alone,64
number,64
bonjour,64
brava,63
kirby,63
combien,63
hours,63
bring,63
lawyer,63
super,63
while,63
excusez,63
petit,63
équipe,63
security,63
wanna,63
bas,63
toute,63
six,63
use,63
teresa,62
exact,62
procureur,62
art,62
affair,62
gave,62
school,62
chambre,62
women,62
year,61
savais,61
affaires,61
catch,61
drugs,61
elles,61
though,61
end,61
such,61
high,61
enquête,61
pensez,61
san,61
rich,61
plan,61
xander,60
christine,60
impossible,60
key,60
clear,60
suppose,60
brandon,60
rick,60
hodge,60
dur,60
matter,60
viens,60
patron,60
arrest,60
mrs,59
lie,59
devez,59
idiot,59
carris,59
already,59
devait,59
barney,59
makes,59
toutes,58
suite,58
ok,58
hold,58
trouve,58
ensemble,58
either,58
company,58
beth,58
trois,58
california,58
devrait,57
harry,57
faisait,57
plutôt,57
soon,57
connais,57
parce,57
morte,57
beckworth,57
read,57
aimait,57
venu,57
kids,57
celui,57
line,57
tes,57
attention,57
dirait,56
times,56
boy,56
wants,56
millions,56
drogue,56
belle,56
carmen,56
fini,56
près,56
kristina,56
second,56
b,56
flic,55
since,55
su,55
problèmes,55
sands,55
met,55
ville,55
revoir,55
laissez,55
hier,55
bitch,55
madame,55
connaissez,55
flics,55
daughter,55
venir,54
endroit,54
seen,54
eddie,54
everyone,54
interesting,54
most,54
club,54
sydney,54
drop,54
attends,54
feeling,54
list,54
needs,54
easy,54
hit,54
cop,53
far,53
jared,53
later,53
without,53
cut,53
evidence,53
mad,53
petite,53
leurs,53
terrible,53
dont,53
quite,53
amour,52
sûrement,52
bet,52
happen,52
hmm,52
client,52
hanson,52
beautiful,52
femmes,52
playing,52
hein,52
play,52
droit,52
mme,52
search,52
imagine,52
croyez,52
coupable,52
savait,52
colère,51
sortir,51
change,51
intéressant,51
leonard,51
haven,51
lying,51
arrêter,51
suggestion,51
justin,50
sam,50
voici,50
eux,50
cops,50
marley,50
die,50
live,50
world,50
telling,50
baby,49
essaie,49
paid,49
pay,49
dave,49
today,49
pendant,49
local,49
k,49
also,49
papa,49
doctor,49
gulbrand,49
effet,49
patrice,49
situation,49
men,49
danny,48
dès,48
celle,48
sujet,48
aura,48
e,48
clean,48
renfrew,48
demande,48
dehors,48
tough,48
killing,48
exactement,48
o,48
mec,48
sacramento,48
loin,48
sit,48
parking,48
murphy,47
crap,47
law,47
marché,47
histoire,47
volé,47
respect,47
croire,47
saviez,47
