Mot;Occurrence
j;1831
team;22
pour;1552
u;14
sub;13
net;20
un;3072
commentaire;3
capitaine;5
agent;156
lisbon;186
on;2339
n;1443
a;3277
pas;3533
besoin;154
de;5150
vous;5422
le;3619
gosse;18
des;1248
voisins;6
qui;1026
trouvé;135
corps;89
il;3544
avoué;10
c;2939
est;4809
cachottier;1
l;2902
avez;803
tuée;67
père;134
mercy;1
aimerait;11
dire;337
mot;39
je;4366
voudrais;23
juste;206
remercier;6
tous;189
les;1730
policiers;12
et;2756
volontaires;1
nous;660
ont;264
aidés;5
à;2596
chercher;43
notre;144
fille;127
chérie;38
la;3254
façon;42
dont;53
toute;63
communauté;5
soutenu;1
juniper;1
moi;828
dans;850
ces;198
moments;5
tragiques;1
été;272
d;1638
grand;72
réconfort;3
présent;10
demanderais;1
laisser;65
temps;194
espace;4
intimité;3
faire;520
deuil;8
merci;501
bonjour;64
mme;52
tolliver;2
êtes;507
m;859
appelle;92
patrick;74
jane;289
suis;660
là;601
aider;117
voulez;162
une;1785
tasse;9
thé;22
oui;628
devez;59
être;623
épuisée;1
asseyez;26
moment;76
tout;743
beau;45
tranquille;13
ici;443
non;802
apaisant;1
calme;69
ai;1452
observés;1
deux;206
comprends;66
ce;1424
que;2151
ressentez;13
en;1882
savez;182
rien;632
croyez;52
si;915
sais;377
veux;263
ne;1695
pouvez;121
toutes;58
sortes;4
choses;64
feignez;1
aimer;13
ski;1
ravie;13
votre;819
meilleure;29
amie;31
ait;40
grossi;1
récemment;21
environ;25
kilos;3
auriez;34
aimé;6
plus;648
spontanée;2
jeune;27
aimez;32
inde;1
sans;187
jamais;226
y;1001
aller;124
du;1047
mal;178
dormir;7
couleur;11
préférée;3
bleu;4
médium;23
seulement;36
très;375
attentif;2
avant;160
gagnais;1
beaucoup;126
prétendant;1
dis;144
ça;1910
compreniez;3
me;638
cacher;34
quoi;712
vois;118
quand;347
regarde;74
mari;112
homme;143
chaleureux;1
aimant;3
généreux;5
peu;235
vaniteux;3
peut;447
égoïste;7
dominant;1
mais;1142
bon;343
alors;326
pourquoi;556
suspectez;2
avoir;258
tué;255
faux;70
fils;92
mccluskey;2
police;125
dit;570
pensez;61
qu;1389
elle;1550
se;495
trompe;13
dites;130
année;21
dernière;72
ils;518
comportaient;1
bizarrement;7
aucun;66
eux;50
voulait;125
admettre;6
truc;99
clochait;4
crois;166
essayé;28
lui;629
demandé;74
s;726
avait;401
aurait;213
plupart;11
épouses;3
savent;20
leurs;53
maris;4
mentent;3
aussi;205
fie;4
instinct;7
maternel;1
te;331
voilà;134
comment;396
osez;9
posé;9
question;88
facile;33
ma;304
maintenant;168
dégagez;3
chez;181
t;545
arrive;94
vais;199
virer;4
innocent;32
déjà;121
frappé;14
ferais;23
vivre;22
enfer;6
venez;43
perturbez;1
femme;214
cherchez;18
histoires;8
prie;19
terrible;17
air;80
attendez;44
pièce;31
dégagée;1
ensuite;35
connard;6
fait;697
eagle;3
tu;1574
fous;16
sur;679
parcours;5
putain;13
réussi;15
fera;31
mieux;100
orlando;1
bien;1002
placé;8
au;667
tirage;1
sort;41
davis;13
love;2
iii;1
emmerde;11
alison;15
vol;41
provenance;2
sacramento;25
vos;219
bagages;3
sont;348
carrousel;1
désolée;96
enregistrés;1
vacances;6
ferai;19
trousseau;1
main;67
prenez;37
2ème;6
voiture;116
allez;253
droit;52
bureau;117
shérif;35
réservez;1
chambres;4
matériel;8
téléphones;1
madame;54
va;601
monde;114
dégage;6
es;198
suspendu;1
congés;2
forcés;2
finis;4
semaine;45
prochaine;24
reviens;20
assez;96
chaud;7
toi;315
lequel;9
était;1097
cho;121
sûr;296
appelé;72
red;142
john;135
peux;292
écarter;2
as;375
causé;7
mort;249
sa;448
car;99
coucher;12
avec;839
savais;61
laissé;40
journal;20
sois;29
raisonnable;3
mon;524
affaire;162
ton;182
appartient;8
personne;202
décide;3
obéis;3
aux;157
règles;25
laissez;55
cet;94
entrer;36
patron;60
voici;50
gregory;3
tannen;13
caucasien;3
ans;164
célibataire;3
doit;177
autopsier;1
désolé;172
évincée;1
rachèterai;1
promis;30
racheter;3
tais;15
apprendre;14
forme;11
brûlures;5
indique;5
victime;69
neutralisée;1
pistolet;4
électrique;3
modèle;3
public;6
semble;34
due;7
coups;12
portés;2
arrière;19
crâne;8
concordant;1
club;27
golf;7
retrouvé;16
lieux;13
randolph;4
mariée;14
enfants;45
découverte;9
heure;46
décès;4
samedi;5
début;19
soirée;17
mêmes;13
traces;8
ligature;1
dues;2
liens;4
plastique;5
noir;16
poignardé;5
torse;1
plusieurs;37
reprises;3
éviscérée;1
classique;4
trouvés;6
son;604
revenant;3
aéroport;10
dimanche;3
frère;83
golfeur;1
professionnel;16
price;9
sait;129
médecin;17
visites;6
domicile;4
amants;20
celui;57
gay;3
dr;58
wagner;5
connaître;18
nature;17
leur;129
relation;30
identification;2
teresa;20
californien;22
investigation;17
lien;23
victimes;10
travaille;30
rodolph;1
clients;16
longue;8
date;8
cabinet;5
consulte;2
étaient;67
amis;78
arrivé;66
dirait;56
ignore;78
reste;74
contact;16
entre;89
excusez;63
vient;67
par;335
attend;16
présumant;1
entrera;2
seule;46
choisit;7
mauvaise;31
nuit;164
venir;54
mater;1
richard;3
gere;1
goinfrer;2
glace;7
étourdit;1
fidèle;4
tazer;2
saisit;1
fer;1
sac;15
brise;5
puis;84
prend;27
comme;431
aime;159
grande;16
donc;227
moins;67
fort;29
dû;127
saisir;3
bras;15
regrette;6
souffrance;9
mère;144
profondément;8
veut;142
pardon;67
jenny;9
entendre;17
pardonne;12
papa;49
sourit;2
pleure;6
joie;8
dieu;90
garde;44
bénisse;1
parti;66
incroyable;14
éblouie;2
seconde;17
donnez;26
revenez;6
parmi;7
retour;18
soyez;25
sorte;21
détective;8
exact;53
aide;80
aidez;18
appréhender;2
tueur;84
série;10
effrayant;6
quel;162
nom;161
meurt;19
smiley;4
cher;25
dessiné;1
sang;78
sens;75
horaire;2
doigts;10
droite;22
recouverte;1
gant;2
caoutchouc;1
excité;2
voir;277
vrai;199
accord;223
voit;29
artiste;8
théâtre;2
ses;216
autres;94
meurtres;22
première;25
chose;289
mur;10
voyez;80
passé;101
terrorisé;2
toujours;142
ordre;28
contraire;27
retourner;13
visage;17
marche;43
dépend;11
ta;100
pu;131
dessiner;1
intéressant;51
problème;91
aimes;10
trop;153
travail;96
goule;1
lire;24
fangoria;1
excite;2
britney;1
spears;1
insultez;1
agace;3
agaçant;2
mode;2
opératoire;1
diffère;2
raison;116
copieur;1
ou;417
testant;1
nouveaux;6
jeux;6
commettant;1
erreur;35
examinera;2
indices;5
jusqu;66
sache;10
parler;262
chef;77
possible;58
aies;3
cette;394
info;8
reconnais;6
pourrais;31
voulais;104
revenir;28
empêcherais;1
reviennes;1
parce;57
utile;18
équipe;63
dirais;24
plaît;70
abruti;6
van;104
pelt;95
ravi;28
enchantée;4
étiez;126
nulle;15
part;74
où;476
préférez;12
ci;14
lumière;17
éclairé;1
famille;96
violents;4
arrête;84
abandonne;6
stop;9
caméra;15
suffit;34
perdu;36
ange;4
merveilleux;5
monsieur;44
belle;56
enchaîne;1
permettez;2
raté;10
tournoi;4
vendredi;13
rentré;13
arrivez;1
attraper;24
allégations;3
confirmées;1
pourra;17
exclure;3
enquête;61
étais;143
masseuse;1
quelque;186
sera;81
reçu;30
carte;26
bleue;8
partez;23
plaisir;17
gars;66
sommes;29
privé;19
complet;5
pratiquons;1
premiers;5
soins;4
chirurgie;2
esthétique;3
psychothérapie;1
médecine;1
sportive;1
rapport;41
afrique;2
but;10
endroit;54
moitié;19
nos;77
profits;2
sert;9
construire;2
équiper;1
cliniques;1
défavorisés;1
africains;1
dossier;39
mince;7
saine;4
antécédents;6
psychiatriques;2
mst;1
avortements;1
blessures;8
inexpliquées;1
quelques;90
examens;2
occupait;7
côté;43
tenait;9
résolu;9
grâce;21
revenons;3
mariage;24
selon;71
heureux;28
malheureux;2
mois;125
conseil;19
an;27
pilules;6
contraceptives;1
ordonnance;5
interdit;7
déontologie;1
vaut;32
pharmacie;1
tijuana;5
secret;28
subi;3
vasectomie;1
avril;5
autre;185
apprécie;14
somnifères;2
ira;38
consultation;2
casera;1
après;164
midi;11
aurais;91
espéré;1
essaie;49
éviter;17
papotage;1
genre;102
ordonnances;1
bavardages;2
appellerai;3
crée;6
alibi;27
pute;22
tue;26
épouse;13
repart;2
plan;29
conçu;1
finalement;6
idiot;33
scores;1
correct;5
gagné;26
millions;52
carrière;21
finissant;1
second;7
troisième;5
18eme;1
trou;9
sous;74
pression;9
invariablement;1
foire;6
froussard;1
cran;5
tuer;158
suspects;16
entretiens;5
conversation;13
fais;155
télékinésie;2
souffle;3
dessus;71
concernant;12
ancienne;10
vas;107
médiums;5
vrais;10
peuvent;16
savoir;122
simulez;1
cousine;2
yolanda;3
hallucine;1
ment;30
doucement;22
opinions;1
tort;26
pourtant;11
don;18
communiquer;5
delà;8
vue;42
quelqu;226
adores;1
manque;20
énormément;2
soit;98
réel;13
science;8
radio;3
parue;1
magique;2
normal;14
entraîneur;5
foot;6
comportement;35
vie;181
coup;76
sifflet;1
final;1
partie;71
finie;5
terminée;3
point;38
homard;1
pain;4
décor;2
marin;4
néant;2
pauvre;33
triste;37
royaume;2
rigsby;123
avances;1
avais;151
prévu;15
brutalement;1
imposer;2
flirt;1
excellent;17
amant;30
dur;60
âme;22
immortelle;1
espère;38
bonne;129
pote;6
étage;15
bienvenue;15
épanouit;1
action;8
atteignant;1
100km;1
h;98
dépasse;5
facilement;11
proie;2
terrifiée;1
meilleurs;11
v;5
ux;1
vieil;11
ami;85
bail;5
prospère;2
commencer;9
courtiser;1
13eme;1
échouez;1
sentir;14
impuissant;2
stupide;37
oh;41
hé;16
cordialement;2
imite;1
risquerait;2
liberté;5
narguer;1
égarer;1
trouve;58
vérifie;37
caméras;25
hôtel;27
file;4
scientifique;19
absolument;23
repose;5
hello;1
dormi;4
aimerais;43
prendre;80
rendez;29
urgent;5
attends;54
piste;22
cheveu;3
ni;91
devine;9
votres;1
tag;5
fascinant;4
fou;39
enveloppe;5
piégé;6
ferait;29
voudrait;23
piéger;9
étions;11
peur;74
insomnies;1
comprimés;2
docteur;25
docteurs;5
croient;5
intelligents;4
évidemment;8
protégez;5
intérieur;22
férocement;1
quelle;80
exactement;48
imaginais;1
questions;61
parle;94
tient;9
éveillé;3
assassiné;7
connaissance;5
femmes;52
profiler;1
connexion;3
psychique;1
faites;121
connecter;2
psychiquement;1
démoniaque;2
brûle;6
feu;38
flamme;4
sombre;11
terriblement;1
froide;6
efforce;1
regarder;25
image;13
monstre;6
cas;75
petit;63
monstrueux;1
tourmenté;1
solitaire;4
diffamé;1
médias;13
surtout;31
escroc;7
bas;63
minable;11
ver;4
terre;36
ouvrir;24
porte;89
ravissante;2
enfant;36
vivais;1
ferme;25
demande;48
plutôt;57
paresseux;1
essayais;8
mes;136
corvées;2
jour;79
dollar;5
coupait;1
bois;26
coupé;10
jambe;5
scie;1
vidé;2
faisant;11
pratiquement;5
même;239
johnny;1
cash;4
vraiment;291
étrange;28
rando;1
arrêtez;32
arrêter;51
persécutez;1
mis;45
persécute;1
retient;5
preuves;46
reliant;1
crime;67
mobile;33
pendant;49
absences;1
tapait;2
affirme;3
vengeance;15
salaud;10
traitais;1
attendais;5
certainement;14
tape;9
inventé;3
souffrez;1
vérité;103
personnel;25
parlé;107
confirmé;7
deviens;3
entendu;79
important;40
demandais;5
magiciens;4
jolies;5
assistantes;1
elles;61
détournent;1
attention;38
gens;141
vont;31
attarder;2
regard;12
devraient;12
tenter;7
tour;33
fonctionne;5
enfin;41
bref;11
enverrai;3
techniciens;5
demain;32
fouiller;12
trouver;84
encore;174
vérifié;27
approfondie;1
entré;20
ouvert;18
oublié;14
portable;17
fermé;11
sûrement;52
puisque;3
avoue;10
tentation;1
jouer;38
forte;15
cherchais;8
blague;23
devrais;40
jeter;22
eureka;2
tête;79
linotte;1
revoir;55
amusant;10
devais;21
marchent;1
tours;6
mené;8
1ère;1
fois;135
livres;6
psychiatrie;1
criminelle;8
parlent;7
pouviez;13
cheveux;23
étant;12
charcuter;1
clair;21
suppositions;1
réponse;21
surpris;13
dois;131
honnête;22
semblez;7
mauvais;45
énervé;16
cause;55
lettre;13
mesquin;2
compatir;1
conscience;9
morts;24
allait;83
ruiner;6
réduire;3
argent;184
appelait;13
détournement;1
fonds;6
pensant;3
simple;40
prison;72
centaines;6
mourront;2
pris;102
décision;11
rationnelle;5
assistante;13
magicien;5
distraction;1
seul;69
débarqué;3
pire;19
tant;65
vies;8
jeu;44
pense;110
type;78
état;46
arrestation;28
pointe;8
piègerais;1
laisserais;5
arme;124
chargée;4
retiré;6
balles;10
tôt;26
retard;12
sors;25
lâche;8
mains;74
genoux;9
donuts;1
fêter;1
pensé;30
depuis;174
jours;65
bousillé;2
satisfaire;2
envie;15
drame;6
foutue;3
fâchée;3
grenouille;9
cela;27
arrange;4
traduction;14
marie1003;15
milonga;17
barbaro;5
relecture;15
petitegégé;5
v2;1
belxander;1
synchronisation;12
jojimoreau;17
guigs;14
the;9
mentalist;3
mentaliste;19
utilisant;25
acuité;23
mentale;24
hypnose;39
suggestion;30
maître;36
art;41
manipuler;29
pensée;27
nord;14
comté;5
napa;4
californie;28
content;10
préparés;1
chien;17
chasse;6
trouvée;18
matin;66
5h30;1
avéré;2
chassait;1
caille;1
coin;30
paraissent;1
différents;9
lorsqu;2
blessure;15
marques;8
cou;11
étranglée;1
pendue;1
gencives;1
blanches;1
yeux;40
rouges;3
asphyxie;3
drogué;8
venu;57
ville;55
autoroute;4
accident;20
meurtrier;37
vêtements;9
ravisseur;2
emmenée;2
abri;6
regards;2
afin;20
déshabiller;1
violer;3
bruit;15
taire;17
étouffée;3
servant;2
jetée;7
connaîtrait;2
attendu;10
sexe;11
histoire;47
gangs;3
drogue;56
lors;18
deal;3
gang;45
rue;8
sésame;3
contredit;2
thèse;2
dispute;15
consultant;23
cbi;142
compris;65
pack;1
hein;52
voyant;11
pouvoirs;10
psychiques;1
eu;162
prétendu;7
agit;18
connaissez;55
pierre;10
papier;15
ciseau;1
trois;58
jupiju;1
manzing;12
petitegege;4
rentre;19
tes;57
devoirs;6
joe;17
o;9
keefe;3
avons;37
mauvaises;12
nouvelles;20
mélanie;17
chambre;62
soeur;30
rentrée;7
maison;108
serveuse;6
restaurant;22
shand;6
creek;7
23h00;1
garée;1
parking;22
dormons;1
savions;2
disparu;38
savait;52
devait;59
fac;9
bourse;5
ucla;1
soft;1
ball;2
inquiets;2
aille;3
los;7
angeles;7
crimes;10
apparemment;16
entièrement;3
vêtue;1
souvent;45
premier;23
auquel;1
coupable;52
jaloux;6
timide;4
garçons;6
chasteté;2
3ème;1
bague;32
aujourd;39
hui;39
enlevé;9
posters;2
noël;8
longs;2
télé;20
aimait;57
allons;99
essayer;24
collègues;25
cherchant;1
posant;3
aurez;17
direz;8
qg;6
fax;6
département;14
mets;34
détails;22
base;16
données;10
fini;56
rapports;6
rencontré;19
alentours;4
vieux;32
proche;16
parents;36
parie;20
dernier;47
prénom;6
commence;14
portait;12
soir;79
enlevée;12
ivrogne;4
réglait;1
note;4
remarqué;17
hurlé;1
vu;225
camionette;1
noire;13
partant;7
trombe;1
dedans;29
failli;17
poursuivre;4
23h45;1
forêts;1
passées;2
crible;1
voudriez;4
mettre;24
hommes;29
occupes;2
travaillé;17
étés;1
suite;50
charmante;6
penser;22
essayez;15
problèmes;55
disputes;4
amoureuses;1
cardamome;1
cumin;1
beurre;5
honte;23
cuisine;22
satisfaction;2
nécessité;1
quitté;22
reconstituer;2
faut;129
précis;11
pointeuse;1
donnera;6
exacte;3
employés;16
diront;3
sorti;21
pisser;3
hurler;2
client;24
maîtresse;7
magie;15
opère;1
randall;5
prêt;28
servir;5
douée;8
maladroite;2
gentille;10
23h25;1
sortie;17
réservations;2
suppose;39
crédit;8
obtenir;18
liste;38
super;48
raquel;6
entrez;12
amies;10
sympa;20
photo;29
ensemble;58
bizarre;40
craquait;3
copain;17
croit;16
manquante;3
défoncée;1
serez;17
inculpée;3
pouvais;30
jure;10
devant;39
discute;3
reçus;4
cartes;19
bleues;3
donne;42
minute;31
niveau;11
faible;9
semblant;12
téléphoner;3
illégal;12
professionel;1
rester;42
regardez;82
endormir;3
allongée;3
lit;17
endormant;1
pensiez;11
imaginez;7
voler;17
apesanteur;1
flotter;1
souhaitez;1
sécurité;64
calmement;4
sereinement;1
envoler;2
soucis;14
craintes;2
derrière;32
agréable;6
sensation;2
verra;15
rappelerez;1
sentiment;4
voudrez;3
disant;21
oterez;1
poids;7
lourd;5
épaules;3
saluerai;1
sentirez;9
légère;5
plume;1
flottiez;1
restez;34
dingue;22
partir;83
marché;47
poulet;4
indice;13
amène;9
laboratoire;1
idée;85
rassemblez;3
agents;34
veulent;18
instant;39
craindre;2
connaissons;1
identité;10
casier;32
pensons;3
auteur;4
malheureusement;5
collègue;15
graphologue;1
donner;36
échantillon;1
écriture;3
gauche;26
déterminera;1
écrit;18
reculez;10
vouloir;28
excuser;19
auprès;4
voulu;39
min;12
attendiez;5
loi;23
contre;88
vouliez;31
neuf;21
souriait;1
riait;1
assurais;1
tenté;25
approche;5
décidée;1
fond;18
virginité;1
suffisait;5
entreprenant;1
excusé;1
malentendu;9
salope;16
monté;7
serait;84
colère;51
plaindrait;1
arrivant;3
disparue;4
combien;63
cinq;15
minutes;37
six;20
embrasser;3
restée;6
attendait;8
retourne;5
arriver;31
recherches;20
envoie;20
résultats;14
haut;31
parleur;1
léger;6
marque;12
ruban;2
adhésif;5
utilisée;4
enlèvement;10
fairfield;1
delores;1
sanchez;3
travailleuse;1
itinérante;1
arrêt;7
bus;4
réveillée;2
attachée;4
retrouvée;7
ravisseurs;6
conclu;5
farce;2
ivrognes;1
classée;9
tenons;1
corrélations;1
rousse;6
courant;30
rousses;2
supposons;2
commis;10
enlève;5
attache;3
emmène;12
motel;12
tard;66
passe;78
panique;2
essayant;3
nouveau;37
partagé;3
pulsions;2
atroces;1
interdisent;1
planifié;7
bascule;1
inventes;1
presque;43
sûrs;6
fasse;12
motels;4
km;13
ronde;2
inutilisées;1
travaillons;1
abord;37
pistes;12
solides;4
recoupe;2
camionettes;1
noires;1
criminels;7
connus;3
région;2
enquêtons;2
psychopathe;3
siège;2
mlle;21
garcia;14
hector;35
romerez;2
cousin;4
allés;11
roméo;2
juliette;1
voyait;20
eight;1
locos;1
dirigent;2
trafic;18
vacaville;2
drôle;34
balancé;8
hypnotisée;3
résultat;12
dépasses;2
bornes;4
allais;29
laisses;7
mute;1
capitole;7
seras;9
guide;3
chapeau;6
mandat;36
1h;2
prends;37
ligne;12
viens;60
ouvrez;23
bougez;19
mettez;9
dos;26
résister;5
su;54
arrêté;22
réfléchi;9
occupez;4
paperasse;7
meurtre;158
saviez;47
poignardée;4
laissée;8
nuits;5
savons;5
deviez;13
identifié;7
camion;8
suffisamment;3
charges;10
voulons;5
version;5
rencontrés;6
oprah;1
phil;4
finir;19
sauf;40
assise;2
flics;55
débiles;2
stupides;6
respectable;3
voyou;3
pourriez;25
comprendre;24
aiment;14
charme;6
bad;2
boy;4
spéciale;5
princesse;2
captive;3
intello;1
petite;52
pirate;4
place;18
pharmacien;1
coléreux;1
marrant;15
pirates;1
époque;5
battaient;1
censés;3
rejoindre;3
23h30;1
dix;10
impatient;2
voudrai;1
noble;2
