Mot;Occurrence
excuse;117
me;1660
can;1038
i;8832
get;775
a;5309
comment;6
please;220
captain;6
agent;198
lisbon;270
don;1156
t;3211
think;544
we;2228
ll;745
be;1108
needing;1
you;9388
guys;160
like;879
the;6795
neighbor;7
kid;71
who;646
found;214
body;94
did;931
he;2813
confess;26
s;5558
real;138
squirrel;1
kill;235
her;1144
mercy;6
father;88
would;564
to;4908
give;192
brief;6
statement;18
just;1038
want;548
take;366
moment;58
and;3256
thank;345
everyone;54
in;2203
law;47
enforcement;9
all;934
volunteers;2
helped;16
us;467
search;52
for;1492
our;239
beloved;1
daughter;55
way;323
that;3823
this;1668
entire;7
community;7
has;242
come;467
together;76
support;5
juniper;1
terrible;36
time;426
been;404
great;109
comfort;3
now;604
ask;131
some;344
space;6
privacy;4
grieve;4
sync;20
kasius;2
hello;97
mrs;59
tolliver;2
are;923
my;1080
name;218
is;2036
patrick;106
jane;394
m;1333
here;929
help;242
cup;14
of;2555
tea;27
yes;571
must;140
tired;6
why;638
sit;48
down;292
it;4209
nice;176
quiet;46
isn;131
soothing;1
calm;40
ve;420
watching;31
your;1552
husband;131
know;1374
understand;132
what;2191
re;1383
feeling;54
right;918
have;1481
no;1687
idea;106
believe;136
do;1416
wanna;63
sorts;4
things;118
really;296
only;182
pretend;12
skiing;1
pleased;4
best;100
friend;102
recently;30
gained;1
weight;10
about;961
pounds;7
wish;32
d;618
more;254
adventurous;2
when;431
were;584
younger;6
love;163
india;1
but;1157
never;262
there;1019
trouble;68
sleeping;18
favorite;13
color;68
blue;12
psychic;33
paying;10
attention;19
used;80
make;297
good;741
living;36
pretending;6
tell;505
because;252
point;73
hiding;25
from;557
see;512
look;385
at;763
warm;11
loving;4
generous;8
man;353
little;267
vain;2
maybe;314
selfish;4
controlling;6
decent;5
so;1155
w;29
suspect;42
him;1221
murdering;2
mccluskey;2
boy;52
police;105
say;391
they;824
wrong;136
last;211
year;61
strange;26
with;1363
each;43
other;139
neither;15
one;573
admit;20
anything;289
was;2251
she;1614
tried;44
once;45
didn;644
if;821
killed;239
most;54
wives;3
their;133
husbands;3
lying;51
too;283
trust;60
mother;88
instinct;2
hi;72
how;736
dare;12
asked;67
simple;26
question;88
sir;89
not;1229
hell;82
out;809
house;168
matter;60
gonna;566
badge;16
an;524
innocent;40
punched;5
by;275
am;258
life;185
miserable;12
accost;3
wife;129
cause;92
on;1518
honestly;7
as;495
bad;154
looks;102
wait;137
front;31
room;122
clear;59
then;331
son;100
bitch;55
eagles;1
kiddin;1
course;132
damn;69
eagle;4
suited;2
price;20
better;125
orlando;1
spot;17
draw;9
davis;17
iii;2
kiss;7
butt;10
alison;15
flight;6
sacramento;23
may;78
claim;3
baggage;3
carousel;1
sorry;344
checked;29
luggage;1
vacation;5
won;126
again;110
trousseau;1
arrives;2
pick;40
up;734
second;49
rental;2
go;742
direct;10
sheriff;32
department;23
hustle;2
couple;101
rooms;4
furniture;2
phone;111
lines;3
ma;95
morning;113
everybody;69
away;146
suspension;8
mandated;1
leave;121
ends;12
next;95
week;55
back;394
hot;21
enough;114
which;121
jackasses;1
told;213
wasn;163
cho;165
called;143
red;183
john;147
keep;160
got;629
consequences;6
murdered;31
his;750
wouldn;147
sex;30
anymore;30
hadn;22
had;546
left;142
diary;15
though;60
reasonable;3
case;195
mine;37
doesn;196
belong;7
anyone;107
belongs;10
call;246
rules;25
let;527
past;26
boss;127
gregory;3
tannen;13
caucasian;4
male;9
single;12
haven;51
opened;15
yet;80
went;143
over;225
head;82
redeem;2
myself;42
promise;29
redemption;5
silent;9
learn;29
burn;21
marks;6
indicate;5
victim;80
subdued;1
stun;4
gun;119
standard;4
civilian;2
model;13
death;86
appears;9
caused;8
several;27
blows;9
skull;8
consistent;6
bloodied;1
golf;7
club;27
scene;42
female;12
randolph;8
married;46
children;17
listed;4
residence;7
tod;1
early;19
saturday;6
evening;19
same;123
followed;17
binding;3
tight;12
black;26
plastic;6
ligatures;1
frenzied;1
cutting;7
stabbing;1
assault;24
torso;1
subsequent;1
abuse;7
viscera;1
textbook;3
bodies;5
coming;100
home;119
airport;10
sunday;3
brother;89
pro;9
golfer;1
yeah;627
deal;98
file;29
physicians;1
making;45
lovers;28
gay;5
dr;68
wagner;5
might;120
relationship;43
formal;8
id;20
teresa;42
california;57
bureau;34
investigation;68
connection;24
victims;13
work;291
family;115
longtime;1
clients;12
practice;16
calls;31
norm;1
close;94
friends;87
god;111
happened;124
them;279
touch;42
probably;94
enters;1
comes;28
around;190
waits;1
expecting;8
alone;64
thing;272
chose;7
night;259
richard;3
gere;1
ice;10
cream;7
orgy;1
zaps;1
em;98
both;67
trusty;1
grabs;1
iron;5
bag;20
crushes;1
takes;31
sweet;20
dealing;13
likes;26
big;111
girl;96
unless;39
pretty;118
strong;29
guessing;16
grabbed;8
arms;5
says;120
pain;29
deeply;14
asks;6
forgive;14
jenny;9
needs;54
hear;115
daddy;22
smiling;9
tears;2
joy;4
bless;2
gone;83
amazing;10
amazed;3
absolu;1
also;49
sort;39
paranormal;1
detective;28
try;118
helping;21
hunt;3
scary;11
