Mot;Occurrence
ecoutez;8
je;1118
me;176
suis;208
réveillée;2
allée;12
au;117
boulot;23
c;431
était;128
une;295
journée;22
banale;2
et;597
j;413
ai;338
atterri;2
là;174
dedans;23
avec;149
tous;76
ces;41
gens;19
la;501
plupart;10
ne;440
se;110
connaissaient;3
pas;725
du;119
tout;218
mais;149
après;31
ce;518
que;695
nous;139
avons;17
vécu;4
sais;177
le;518
docteur;8
kets;3
est;904
un;423
très;73
bon;66
chirurgien;2
il;458
dans;157
de;871
bonnes;3
mains;7
son;58
état;3
stable;2
beau;4
gosse;2
vraiment;80
envie;5
t;208
embrasser;1
suite;7
merci;81
beaucoup;29
problème;22
comment;89
aurions;2
fait;137
sans;24
votre;62
aide;15
vous;432
avez;55
aidé;4
si;192
voulez;18
allez;70
3ème;1
étage;2
verrez;2
dès;6
possible;9
a6;22
on;354
te;174
serre;1
toujours;37
tes;15
bras;3
à;462
moi;187
tu;691
utilises;1
souvent;4
scalpel;1
en;333
plus;136
veux;129
câlins;1
non;190
aimerais;10
qu;374
pose;2
des;144
questions;7
faut;6
parle;11
problèmes;10
peut;81
être;120
parlerai;1
midi;4
montana;1
panique;4
croit;4
va;152
s;188
amuser;1
elle;251
sort;4
45mm;1
sa;39
minijupe;1
mec;5
a;459
flingue;7
pointé;2
sur;104
lui;101
cet;16
idiot;1
soulagé;1
viens;21
voir;63
n;236
es;105
allé;10
ta;61
réunion;6
joueurs;3
anonymes;2
médecin;10
m;137
préconisé;1
séances;1
les;238
faites;14
alors;69
guéri;1
voyons;7
pete;4
réunions;1
sont;55
pour;312
parié;1
depuis;44
mois;18
même;35
acheté;4
seul;17
ticket;3
loterie;1
dis;26
ton;55
passé;65
as;156
laisse;10
mon;108
père;23
tranquille;4
ca;104
rien;72
occupe;7
toi;108
nick;60
bien;302
été;67
décoré;1
l;381
année;4
dernière;24
occupes;2
devrait;31
plutôt;12
parler;50
promotion;8
avait;46
promise;1
allais;11
donner;9
cette;57
côté;7
cause;8
écart;2
jeux;3
qui;184
descends;3
ici;83
fais;52
vais;56
déposer;3
ma;82
paye;2
compte;14
d;307
épargnes;1
laisser;13
savait;6
héroïne;1
cachée;3
diamants;2
ses;18
bagues;1
maintenant;75
peur;21
enfin;13
avais;58
dit;78
témoignait;1
poursuivrais;1
conspiration;1
demanderais;1
pensais;19
devait;5
argent;28
aujourd;22
hui;22
désolée;23
crois;35
peux;79
empêcher;3
ça;251
ferait;6
où;37
dirait;5
phrase;2
pourrait;25
dite;1
quelqu;47
sors;5
désolé;35
vilaine;1
habitude;5
aucune;6
question;13
attente;1
mieux;20
comme;78
sonner;2
allô;2
catherine;1
maman;30
banque;66
volé;2
broche;2
casier;4
dépôt;2
sécurisé;2
parlé;21
directeur;5
oui;113
arrête;14
dire;80
combien;11
sécurité;9
bonne;22
fille;27
avocate;1
assistante;5
district;1
pense;48
devrais;21
venir;19
tribunal;8
tomber;8
chose;58
donnée;1
avant;30
mourir;7
trop;24
occupée;1
arrive;14
quelques;21
minutes;18
essaye;13
juste;94
calmer;4
calme;4
malcolm;26
excusez;6
instant;14
madame;8
souviens;12
abord;9
désarmer;1
vigile;9
puis;7
vas;41
chercher;8
tiroir;2
caisse;1
salle;5
coffres;1
bas;31
amateur;1
doit;30
précis;1
sheila;4
bonjour;27
jones;10
succursale;1
oh;92
waw;5
avoir;57
besoin;62
gros;5
entendu;21
nom;8
egan;51
foote;14
e;5
début;5
fin;7
foot;2
ok;16
faire;129
mr;5
envisageais;1
simplement;7
prêt;10
bateau;3
disais;4
justement;1
revoir;8
espère;6
projets;1
long;4
week;5
end;5
propos;16
taux;1
intérêt;5
car;15
sommes;13
compétitif;1
femme;23
voudrait;5
veut;26
sois;15
aider;14
navigué;1
fois;30
quand;48
étais;40
petit;10
senti;3
libre;5
euh;87
devriez;3
rentrer;8
discuter;5
comprendre;3
pourrais;23
utiliser;9
vos;12
toilettes;13
sûr;41
tom;18
pourriez;4
emmener;7
aux;27
changer;7
ouais;93
donne;4
yanks;1
manche;3
dodgers;1
couverture;1
eva;69
ami;11
déjà;18
demandé;10
attend;5
sens;7
tequila;1
menthe;1
papa;14
eau;4
cologne;2
axion;1
x;1
hommes;4
veulent;7
moment;27
trouvé;17
torturer;1
pendant;29
toute;21
accepté;5
critiquer;1
presque;12
heures;18
allons;19
y;193
fallait;2
attendre;7
guichetiers;2
partent;1
pourquoi;96
moins;14
doigts;1
boutons;2
alarme;6
assis;3
gentiment;1
prie;2
salut;55
savez;12
êtes;24
obligé;3
intérieur;17
pouvez;9
distributeur;3
automatique;1
extérieur;5
caméras;5
braquées;1
dessus;11
préfère;4
yeux;12
regardent;2
mes;29
sources;1
plaît;32
entré;2
coffre;5
comprends;8
inquiétude;2
assurer;2
personne;30
venue;10
surveiller;2
remplirai;1
formulaire;1
chérie;18
passe;27
trish;2
maggie;2
ont;62
invitée;3
aller;47
hoobastank;1
soir;30
jared;3
désigné;1
conduire;1
alcool;1
voiture;14
morte;7
vont;17
fournir;1
transport;1
emprunter;1
ans;27
conducteur;2
responsable;13
dois;48
empaqueter;1
choses;19
café;6
prends;21
quelque;52
accord;73
quart;1
heure;31
super;7
dégager;1
aussi;38
10mn;1
felicia;30
fournisseur;1
signer;1
parte;2
sortir;29
lizzie;47
jeremy;21
demander;5
suspense;2
tue;1
patient;8
impatient;1
regarde;12
déjeuner;2
salaire;3
quoi;111
voilà;7
heu;3
demandais;8
adorerait;1
vient;7
soeur;12
franny;44
flic;22
maîtriser;1
vigil;2
serait;18
rapide;3
sortaient;1
leur;24
carte;8
bleue;4
ils;126
pensent;4
machine;1
bonbon;1
deviennent;1
honnêtes;1
réalisent;1
aime;13
revenir;3
autre;31
temps;31
fermée;3
stop;5
joues;1
héros;17
fini;10
5mn;1
cauchemar;2
commencé;9
armés;1
otage;8
relâché;1
1ère;1
conditions;2
autres;17
inconnues;1
deux;33
coups;6
feu;5
entendus;1
abattu;2
geste;1
évidence;1
terre;19
tirer;7
désarmé;1
mal;18
air;13
blessé;14
inspecteur;8
sang;4
elles;8
derrière;17
sortez;4
vite;5
aidez;5
lâchez;4
arrêtez;4
reste;16
putains;1
ambulanciers;1
clés;9
gars;17
tiens;6
demie;1
evy;2
allergique;3
pénicilline;2
apporte;3
tenez;2
joue;4
emmenez;1
homme;13
lâche;3
négociateur;5
putain;6
fous;4
ambulance;1
serons;3
rapidement;2
avocat;15
ed;30
nielson;3
travaille;6
1mn;1
monsieur;8
dieu;22
kat;4
mère;51
emmenée;1
chez;36
épingler;2
salauds;1
verront;2
jamais;45
lumière;5
jour;16
jure;2
entendez;3
mort;15
pris;11
coup;10
tête;14
ou;55
fran;2
embarquent;1
parce;32
suspects;1
savons;4
passés;8
par;84
terrible;2
épreuve;3
devons;2
interroger;4
tant;10
frais;2
mémoire;2
balle;2
poitrine;3
coeur;8
bat;1
mis;11
tube;1
évacuer;1
pneumothorax;1
stylo;1
perdu;5
déchirure;1
aortique;2
dégagez;2
reconnaissez;1
randall;61
reese;26
eu;37
vie;38
mlle;6
miller;8
tué;2
capable;4
identifié;2
peu;34
importe;9
montrez;1
lucas;31
dolton;5
savoir;31
rios;18
dr;7
venez;4
apporté;2
voulais;33
suicider;1
réservoir;1
los;3
angeles;3
déroule;1
course;2
film;1
grease;1
militaire;1
familier;1
rappelle;7
cheveux;3
hale;19
prix;2
stylos;1
restez;1
sera;34
eh;28
métier;1
adjoint;3
randy;1
marshal;1
fbi;10
plan;8
finir;4
hier;19
foirer;2
risqué;1
ensuite;26
devenu;4
incontrôlable;2
prochaine;8
prenez;14
appel;13
mauvais;9
kathryn;30
seriez;1
tuer;9
saurons;1
vrai;32
kavannaugh;1
arrêter;7
enchaîné;1
barre;1
dont;12
certainement;6
persuasif;1
essayé;10
persuader;1
moyen;6
pouvait;10
grand;21
frère;11
arrivé;10
chances;3
meurt;8
impliqué;2
dirai;2
voudrais;11
hôpital;11
continuerai;1
arrivera;2
devenue;4
bel;1
acte;3
héroïsme;1
lu;1
dossier;11
partenaires;1
faits;5
tués;1
merde;1
arrêté;6
monde;47
sait;17
certaines;7
nos;21
décisions;2
douter;1
crédibilité;2
fera;8
ex;16
woodlock;1
grande;2
famille;9
irlandaise;1
partir;21
laisses;1
déposition;1
important;11
amie;7
croyais;6
connaissiez;2
restant;1
vies;7
nouvelles;10
encore;34
tellement;6
ricky;41
appelait;1
savais;8
double;1
décédée;1
rester;10
nuit;23
man;1
entends;9
parlez;2
promets;4
voit;2
demain;13
pressent;1
végétarienne;1
bacon;1
passées;1
court;3
obligée;1
raconter;3
police;8
dévoile;1
noms;3
otages;8
déteste;3
chemise;4
détestée;1
jeter;6
mets;3
poubelle;1
amène;2
good;1
will;1
matinée;1
nouveaux;3
habits;2
mary;10
shopping;1
fou;2
pleine;3
forme;5
incroyable;1
paire;1
chaussures;3
aies;1
ferais;4
risques;3
personnes;18
connais;9
prouver;3
faveur;4
vienne;1
tonnes;1
messages;2
venant;2
amis;10
école;11
inquiètent;1
contents;1
jours;22
maison;18
fatiguée;1
essayer;9
dormir;5
bébé;18
restait;1
jusqu;11
soit;25
nouveau;9
prison;17
essayait;1
reconstruire;1
tapé;3
oeil;10
aurait;21
considèrerais;1
coupable;2
ramener;3
serais;7
aient;1
montré;1
mettre;17
pression;5
presse;4
enfant;11
montrée;1
chargé;1
naomi;1
enfermés;1
numéro;4
commissariat;5
dérange;3
réveille;1
dort;1
pu;22
héroïque;1
sortie;3
sauvée;2
point;8
vue;11
affreux;2
parles;3
petite;11
seconde;12
soin;5
jolie;2
costume;2
neuf;12
venu;19
vol;9
belle;7
apporter;3
juifs;1
amènent;1
manger;4
renforce;1
sentiments;6
semble;3
guérir;1
neuve;1
pur;1
instinct;1
semblez;4
droit;6
chance;19
imbécile;2
grave;8
laissé;11
message;9
ballade;1
minute;11
rattraper;1
partie;13
retour;10
travail;11
mardi;4
plat;2
différent;2
biscuit;1
sympa;7
enceinte;17
semaine;14
sache;3
annoncer;2
vois;16
cas;14
viendra;3
incapable;1
occuper;8
façon;10
dépend;4
grandir;1
mamy;1
appris;5
ko;2
frappé;2
malheureusement;1
causer;4
ennuis;3
ecoute;16
déclaration;2
dehors;16
soutiendrais;2
simple;6
exagéré;2
etes;2
policier;4
sauvé;2
dvd;1
regarder;4
longtemps;12
croire;5
ait;11
quitté;3
seule;15
tard;19
soyez;3
effectivement;1
recevoir;2
recrues;1
commence;8
14h;1
sorti;7
coma;1
dommage;1
audience;8
serai;3
réintégré;2
bouc;1
émissaire;1
parfait;5
tel;2
fils;14
histoire;9
décidé;3
recevras;1
médaille;5
auras;4
deal;1
garde;7
opinions;1
sinon;2
opportunité;2
vieux;4
démons;1
endroit;9
carla;1
barrett;1
croyait;1
protéger;6
notre;12
attitude;1
laissait;3
penser;6
accepter;5
fourrures;1
forcer;1
témoigner;3
sent;2
souhaite;2
puisse;8
soumettre;1
arrière;3
diagnostiquée;1
précipité;1
vers;8
reçoit;1
fil;2
fleurs;2
soutient;1
expérience;2
extraordinaire;1
amour;5
récupérer;1
retourné;1
occupations;1
impression;3
parti;5
eux;11
oublié;3
suppose;11
raison;11
présence;2
chaque;6
oubliée;1
oublier;5
eagan;1
rambo;1
joué;3
appelé;6
opérer;1
saches;4
organisons;1
thérapie;1
groupe;9
rejoint;1
bar;2
jim;2
perdre;6
contact;3
avance;7
mangé;1
compris;14
regardez;8
menu;1
genre;7
rend;2
collègues;2
confus;1
connaissent;1
sec;1
froide;1
prenne;2
repos;2
adoucis;1
permettre;2
nouvelle;4
étiquette;1
sursauté;1
gamins;1
bourrée;1
appelée;3
devrons;1
quel;16
sujet;12
affamée;1
happy;1
hour;1
amies;1
voulaient;2
rencontrer;4
fête;3
privée;1
exclusivement;1
drôle;1
entrer;7
cool;5
attendez;14
soirée;8
ravi;4
donc;43
part;8
rejoindra;1
i;425
transcript;7
synchro;2
travis;1
sous;14
titres;7
effectué;1
bloc;13
team;13
traduction;1
rudy30;1
moot;7
www;7
forom;7
com;7
ordinaire;6
faisons;6
étions;9
entre;22
connaissait;6
retrouvé;1
différentes;6
raisons;8
changées;1
aah;1
finit;5
sortis;7
étranger;4
lié;2
précédemment;2
the;10
nine;8
tirez;3
armé;2
svp;6
voici;7
choper;1
enfoirés;2
reverront;1
clairement;2
content;1
dîtes;9
publiquement;1
détruira;1
soucis;3
pire;6
soulever;1
risquer;1
organisé;3
retrouver;3
hé;51
doucement;9
envois;1
jolies;2
demoiselles;1
pensez;6
toucher;2
bouttons;1
eloignez;1
porte;21
fermé;5
beauté;3
monte;4
pantalon;3
bouge;5
demoiselle;2
haut;5
debout;5
faîtes;9
erreur;4
dévaliser;2
interieur;1
ah;7
peine;4
considéré;2
délit;3
ferme;9
apprécie;2
couvrent;1
autant;2
hein;15
cellulaires;1
jetez;1
téléphone;13
mouillé;1
essayez;2
expliquer;5
alliance;1
changé;9
avis;8
continuons;1
emmene;1
prendre;22
bureau;8
ventre;1
okay;23
sembles;3
surpris;1
surprend;1
visiteurs;2
assez;12
grosse;9
exactement;6
aura;8
procès;7
énorme;1
ressemble;3
verra;3
hopital;1
jérémy;1
travaillent;1
proche;4
pensé;15
repars;1
oublie;6
reviens;4
présente;9
episode;6
heroes;1
welcome;1
idée;12
réunir;1
magnifique;4
frites;1
étaient;2
froides;1
margaritas;1
jeune;2
conduis;2
ainsi;6
pourras;1
cacher;2
ammènes;1
affaires;5
guitare;1
shirts;1
raquette;1
tennis;1
première;10
édition;1
unbearable;1
lightness;1
of;1
being;1
rentré;4
devant;12
ensemble;13
réfléchir;2
tire;5
chasse;2
relation;6
minable;2
conversation;5
tès;1
trouver;10
prudemment;1
service;12
mascotte;1
garçon;10
poster;1
censé;4
décorer;1
exhiber;1
obtiendrait;1
publicité;1
enlever;2
odeur;1
géré;3
garder;8
bouche;4
mince;2
mérites;2
mortes;2
tuée;5
arme;7
aurais;19
repose;1
bienvenue;2
morning;1
show;1
magnifiques;1
invités;1
commencer;5
improbable;1
prise;4
fidelity;1
republic;1
veuillez;1
accuellir;1
courageux;3
attendu;1
piégés;1
équipe;3
w;3
intervenu;1
débrouillé;1
agresseur;1
exact;4
ben;29
carpe;1
diem;1
josh;1
saisi;1
failli;3
intervention;1
commotion;1
table;8
revenons;1
secours;6
voulu;8
appelés;1
disjoncté;1
plait;10
essentiellement;1
situation;4
celle;9
reproduisait;1
ciel;3
sharon;1
rédigé;1
motion;3
casser;1
plainte;4
assurez;1
inscrite;1
eut;2
hypothèses;1
esquisse;1
vu;33
passait;3
quelle;7
spécialiste;1
type;7
procédure;1
concerne;1
disons;3
différemment;1
cavanaugh;12
survivre;4
permis;1
aérer;1
arrives;1
gérer;3
mot;6
ramène;4
puce;1
ira;15
frank;8
waters;1
myocardiopathie;1
sévère;1
pompe;1
attendant;2
greffe;3
don;3
donneur;5
san;5
diego;3
opération;3
durer;3
environ;4
soutien;3
soins;3
intensifs;3
tessa;1
social;1
franck;2
normal;3
laissez;14
produire;2
combattre;1
rendre;10
visite;8
émission;2
téléspectateurs;1
voyez;2
appelle;14
tante;2
élever;3
travaillait;3
pension;2
assurance;3
demande;10
telespectateurs;1
appelez;2
faite;5
mark;1
plaque;2
rechercher;1
arriver;5
fédérale;1
précisément;1
décision;3
colle;1
trains;1
imagine;7
autrement;2
auraient;2
dévoues;1
page;1
règleront;1
étape;2
écoute;6
brûler;1
croix;1
gazon;1
requète;1
laquelle;3
dises;2
mairie;1
commissaire;1
procureur;11
diras;1
mots;3
fier;2
réalisé;3
relations;1
publiques;1
écrit;4
gardes;2
essentiel;1
seulement;8
fermer;1
gueule;1
parole;5
choix;2
évident;3
démissionne;1
devine;1
contre;13
débattu;1
expert;1
témoin;7
affaire;11
mc;1
manus;1
hmm;5
exceptionnelle;1
holloway;2
hollywood;3
boule;1
elvis;1
costello;1
passes;1
coulisses;1
doué;1
préparer;1
petrocelli;1
ligne;2
démissionné;2
fed;1
suivi;1
diner;1
reperé;1
fédéraux;1
essayent;1
persécuter;1
descendre;3
démissionnes;1
poursuivre;2
flics;10
feds;1
digérais;1
payer;7
passer;15
payeront;1
suffisant;2
funérailles;1
avancer;3
quiconque;2
attends;18
sachant;1
subir;2
transplantation;3
cardiaque;3
flippé;1
matin;10
patients;1
espérais;6
baissé;1
attendent;2
excuse;3
dernier;4
chèque;1
envoyer;8
dépose;2
directement;1
remercier;3
organisation;1
fonds;4
arriverais;1
bah;1
place;7
écrirai;1
recommandation;1
passerai;1
nécessaires;1
formalités;1
malone;1
papiers;2
dessous;3
contrats;1
vente;1
méritée;1
monica;5
turner;2
times;2
reprend;3
cours;5
conflit;1
partager;1
tuyau;1
apparement;4
guichetière;2
causé;2
prises;2
retarder;1
policiers;2
propre;5
infos;2
médecins;1
disent;4
sortira;1
réa;1
surnommé;1
raspoutine;1
peuvent;5
rire;1
vit;2
accusation;2
essaiera;1
dos;9
contrarie;1
braquage;13
occupera;2
ultérieurement;1
essaie;3
retirer;3
accusations;1
meurtre;4
evidemment;1
devoir;4
intervenir;2
filles;1
rendu;3
jurés;1
adorent;1
têtes;1
ados;1
approchez;4
sérieux;3
o;3
vire;1
reprends;3
commis;3
office;1
facile;8
client;1
enrichissant;1
société;3
approuvera;2
prévu;5
train;12
exposer;1
idées;1
quelles;2
système;3
basé;1
internet;1
papier;6
répertorie;1
demandes;1
réel;2
renouvellement;1
parc;1
informatique;2
auto;1
financé;1
hausse;1
efficacité;1
épargner;1
inutiles;1
triples;1
exemplaires;1
permettrait;1
éviter;1
malades;3
courir;2
soucier;2
traitement;3
hum;5
trouve;4
sauf;3
détail;1
lequel;3
inefficacité;1
dites;2
base;1
profit;2
emploi;1
risque;2
retournez;1
passages;1
télé;2
con;1
tacos;1
cafétéria;1
physio;1
aspiration;2
parois;1
auriculaires;1
veines;1
caves;1
supérieures;1
inférieures;1
artère;1
pulmonaire;1
aorte;2
préparez;4
palettes;1
chauffer;1
passez;4
terry;1
anastomose;1
couture;1
poufs;1
changent;1
moitié;2
agent;2
négociations;2
menaient;1
nulle;2
clair;2
proposé;2
unique;2
convaincu;2
dalton;12
allaient;3
marché;1
sécu;1
occasion;5
relâchée;1
protocole;1
conscient;2
réactif;1
ailleurs;1
vraie;3
tourné;4
dû;4
mener;1
enchanté;2
permets;1
murs;2
oreilles;1
aides;3
compliquer;1
faisant;3
méchants;2
merdé;2
tort;3
correctement;1
carrière;1
tienne;1
ranges;1
p;3
certain;4
nombre;2
politique;1
seront;4
envolées;1
lions;1
traversé;4
penses;15
moindre;4
embarques;1
aborder;1
déballer;1
ouïe;1
aviez;3
jeu;9
celui;4
entraîné;3
danger;3
mené;1
liberté;1
surveillée;1
courant;7
servir;1
pareille;1
tenir;4
naïf;1
apprécierai;1
tiennes;1
jouer;6
quichotte;1
honnête;3
cherches;1
cru;4
reviendrait;1
bref;3
remplacer;1
thérapeute;1
içi;2
mm;6
croient;2
croies;1
élèves;1
parfois;4
éssaie;1
attirer;2
attention;6
aille;2
saigne;1
pulsations;1
mike;2
uh;8
dégringole;1
tient;3
sauvez;1
voila;1
contrôle;2
musique;1
doutes;1
kates;6
procède;1
tôt;8
intransigeant;1
procèderait;1
operation;1
confiance;3
complications;3
mineures;1
chloe;1
reporter;2
éssayes;1
erreurs;4
commises;1
regrette;1
adresser;1
tas;2
reproches;1
certains;2
encontre;2
prétendu;1
contraire;2
croisé;1
dépendance;1
fiches;2
cul;2
pote;4
enregistrée;1
crime;3
parie;3
ignorais;3
herbe;1
cachets;1
ecstasy;1
sac;9
circonstances;4
décidait;1
présent;1
déja;4
étouffée;1
appeller;8
rétracter;1
grandes;1
forces;1
accepte;1
ajouter;1
rapport;4
toutes;10
biopsies;1
arthroscopiques;1
facturera;1
réclamation;1
ajoute;1
information;1
intéret;1
actionnaires;2
tirons;1
douleur;2
cela;12
plais;1
rejoins;2
scouts;1
critiques;1
employé;2
job;1
écouter;3
compagnie;10
étiez;9
charge;1
ètes;2
effrayé;3
brian;2
brutes;2
effrayées;1
écoutez;2
menace;3
entreprise;5
éffraye;1
main;13
enthousiaste;1
chôse;1
impétueux;2
viré;5
laissais;1
conduirais;1
huh;2
continuer;3
coin;4
éssaye;2
organiser;2
chouette;2
whoa;5
conduit;1
morveux;1
timide;3
allait;2
décroche;3
appellerais;2
appellé;4
répondeur;1
obtenir;3
appeler;6
faim;1
truc;21
assisté;2
intubé;1
donnez;4
unités;1
epi;1
réaction;1
masser;1
jauge;1
aiguille;1
emmenons;1
opérations;1
inconscient;1
ouvrir;4
coupes;1
câbles;1
cutters;1
annoncez;1
décès;2
14h48mn;1
concierge;2
mademoiselle;1
dirais;3
félicitations;7
provoqué;1
retourne;5
surprise;4
alliez;2
boire;4
retourner;6
prendra;5
raceman;6
synchroniser;1
tagne;6
traduit;5
iras;5
mehdi;4
relecture;3
wolf971;5
rentrez;1
liés;5
entiers;1
urgences;6
provenu;1
possession;1
discute;1
bordel;7
nettoyer;3
osculter;2
reculez;1
patron;2
voient;1
fenêtres;2
teintées;1
lever;1
respirer;2
fasse;6
taire;1
crise;4
explose;1
cervelle;1
rendez;9
utile;1
tranqs;1
bouteille;1
inquietes;1
tirerais;2
ouvre;3
remplis;2
dépeche;2
tait;2
lushtak;2
vendredi;3
livre;1
paie;1
comprend;1
scène;2
visage;2
ange;1
lushbag;1
abondant;1
semaines;10
connait;1
10cm;1
bouges;2
appuie;1
gachette;3
repositionner;1
pyjama;1
déplace;2
blessure;1
nuque;1
examiner;1
paralyser;1
déplacerez;1
rayon;1
continue;4
mourrons;1
férié;2
reviendriez;2
dépot;1
éteint;2
ordinateurs;1
transactions;1
malade;3
transpirez;1
lignes;1
acccord;1
gorbachev;1
marcher;2
allo;4
urgence;1
what;1
your;1
emergency;1
identifier;1
gérant;1
réveillé;2
endormir;1
souvenir;1
hypnologue;1
sérieusement;2
neurologiste;1
neuro;1
vivre;3
souviendra;1
prête;9
détresse;1
chambre;5
retard;6
entretien;1
embauche;1
chéri;4
défoncer;1
journal;1
nickel;1
chrome;1
invité;7
cérémonie;2
franchement;1
chemin;3
vis;1
centre;2
ville;4
westwood;1
beverly;1
hills;1
travaillée;1
nerfs;1
premier;4
cour;6
milieu;2
charger;1
oulala;1
débout;1
dépuis;1
jogging;1
gymnastique;1
suédoise;1
virer;1
meilleure;2
douce;2
pars;2
plein;4
coté;5
raccrocher;2
whoo;2
obtenu;2
gain;1
merdeux;1
ryan;1
arrêts;1
maladie;1
vacances;1
encaissées;1
agence;1
silloner;1
net;1
large;1
sociale;4
liste;5
transplantations;1
celia;5
probablement;6
trace;1
prograf;1
disqualifier;1
tourne;2
rond;2
nicko;1
importante;5
ranimé;2
doigt;3
pause;2
ouverte;2
machines;1
mettent;1
crier;2
kelli;1
attaque;2
enquêtent;1
ressens;2
subis;2
apparemment;1
pétait;2
cable;1
approchait;1
coco;1
planer;1
tourner;1
mobile;2
envoyé;6
médical;1
mario;3
preuves;2
physiques;1
harceliez;1
louche;1
solide;3
parlera;3
routine;1
alex;4
raconte;2
temoin;1
questionne;1
remplir;2
allison;2
carson;1
refuse;2
céder;1
ridicule;4
mandat;2
elizabeth;2
partenaire;1
biper;1
écrivez;1
neveu;1
enfermé;2
bain;2
cogné;1
lavabo;1
baignoire;1
intéressent;1
julie;1
soupçonner;1
déranger;1
points;4
suffiront;1
meilleur;6
occupé;2
esthétique;1
meilleures;1
rai;1
pensées;1
sales;1
mauvaises;2
particulier;1
générale;1
devient;1
dangereux;4
violent;2
trentaine;1
félicitation;1
fiche;1
envoies;1
vartak;1
tilter;1
quantité;1
chlorure;1
potassium;1
kcl;2
intelligent;4
substance;1
sécrétée;1
naturellement;1
organisme;1
pourra;3
empoisonné;1
mettes;1
24h;1
tension;1
dawson;1
basse;1
température;1
descendue;1
signe;2
note;2
washington;1
maquette;1
disque;3
dur;6
loi;1
gomez;1
9ème;1
circuit;1
remis;2
aiderait;2
marie;1
santa;2
cruz;1
planifiait;1
plusieurs;2
cabinet;2
marty;1
caroline;1
allés;1
ravie;2
reçoive;1
caution;1
kendall;1
lorenzo;1
prêts;2
recommandé;1
incité;1
créer;1
propositions;1
poste;1
évaluation;1
optimisation;1
financière;1
cerritos;1
ventes;1
opératoires;1
boite;1
marin;1
wouha;2
referme;1
créatif;1
réflexion;1
prof;1
musée;1
guerre;1
cessession;1
volontaire;1
francisca;1
descendu;1
tests;1
critique;1
affronter;1
dizaine;3
infirmières;1
doivent;2
complétement;1
tarée;1
plongé;1
découvert;5
souhaitais;1
douglas;1
russell;1
coincé;1
favori;1
font;2
ipods;1
porter;2
bande;1
voulait;7
coucou;1
syndrome;1
stockholm;1
joli;1
met;6
ado;2
séduite;1
pouvoir;6
planifié;1
casse;1
gamine;1
recommençons;1
marche;2
attrape;1
portable;2
souvenirs;2
arrêtent;2
trois;10
loupé;2
appelais;1
loin;2
dîner;10
refaire;1
génial;4
anpe;3
offrir;1
enfants;4
période;2
difficile;6
renoncé;2
chemins;1
différents;1
trucs;5
fac;2
qualifie;1
business;1
ordinateur;1
futé;1
bla;3
offert;1
fossoyeur;1
plaisante;1
assies;1
actes;2
auxquels;1
attendais;2
gaché;1
faute;6
fasses;2
circulation;1
répond;1
agit;2
derniers;2
hypnothérapeute;1
hey;4
plié;1
cocotte;1
réussis;1
détails;2
loues;1
porno;1
hello;2
mauvaise;3
réception;1
coupe;1
sûre;3
asseyez;1
ministère;1
public;1
rubin;2
défense;5
condamnation;2
ahem;1
honneur;4
déterminer;1
séverité;1
décider;3
aggravantes;1
importantes;1
mitigation;1
crampes;1
bougez;3
connecte;2
répondre;5
gsm;1
interdits;1
tape;1
yeah;1
costaud;1
forte;3
volonté;2
survécu;2
enduré;3
survivra;2
normale;3
ennuyeuse;1
trouvons;1
battement;2
foetus;1
trouvent;1
imaginer;2
hi;1
stp;4
terminé;5
aucun;5
pénétré;1
clé;1
réserve;1
déclenché;1
assise;1
impliquer;1
effrayer;1
faisais;6
importance;4
rappliqué;1
mentirais;1
arrètes;1
surmonter;1
essayes;3
effraye;1
rappeler;2
voleurs;2
rentrés;3
piégé;3
effrayée;3
cest;1
provoquer;1
but;2
provoques;1
revive;1
terrifiant;1
prochaines;2
um;11
souhaité;1
perçant;1
cri;1
transforme;1
hurlement;1
braiement;1
hurle;1
braie;1
silencieuse;1
tiffany;3
gagné;7
voie;2
excusée;1
avorter;1
taxi;1
reconduit;1
retournée;2
travailler;6
reposée;1
analyses;1
sanguines;1
montrent;1
intraçable;1
connaissance;1
accès;1
détectives;1
hors;4
unité;1
apprendre;3
supposé;2
enterrer;2
accompagnes;1
living;1
étant;4
donné;6
entendre;5
lieu;2
courageusement;1
héroïquement;1
essayais;6
courage;3
anxiété;1
sauver;3
possibilité;2
trouvées;1
pousser;1
bouton;1
synchronisé;4
étrangers;1
souhaiterais;1
pourrai;2
fillette;1
attendait;2
empiré;1
augmentaient;1
foie;8
mourra;1
voudra;1
façons;1
donneurs;1
cercle;1
familial;1
sorte;4
vivant;3
dernières;2
enlèveraient;1
tuyaux;1
permettent;1
suggereriez;1
absolument;4
mourant;1
sauviez;1
jury;2
auparavant;1
appuyer;2
dise;3
conforme;1
face;7
restera;3
enfuie;1
fausse;1
couche;1
pièce;3
colère;4
mari;4
fout;2
entend;1
supprime;1
également;3
fer;1
repasser;1
marques;1
brûlures;1
corps;1
indiquent;1
chaud;2
voisins;2
bagarre;3
trainant;1
sortant;1
harcelé;1
etaient;1
avaient;4
grapin;1
interessé;1
liées;1
passée;4
stabilisé;1
mourrait;1
recontacterai;1
desolée;1
excuser;3
seras;3
morfondre;1
weekend;2
