Mot;Occurrence
look;98
i;2574
woke;4
up;175
went;61
to;1117
work;42
it;823
was;373
a;809
regular;3
day;61
and;632
then;73
ended;5
in;481
there;307
with;246
all;288
of;454
these;34
people;60
most;16
us;101
didn;88
t;710
know;346
each;20
other;43
at;163
but;190
after;29
what;505
we;484
through;43
don;297
font;10
color;5
ffff00;5
www;8
1000fr;1
com;12
present;1
sync;4
frm;1
summerbai;1
drkates;1
is;365
top;1
surgeon;2
he;325
s;1006
good;111
hands;13
really;105
stable;3
oh;142
thank;63
god;31
stud;2
have;237
tremendous;1
urge;1
kiss;2
you;1965
right;199
now;163
so;255
much;42
not;250
problem;18
woman;19
lizzie;90
how;153
would;107
ve;166
gotten;5
this;375
without;13
your;255
help;45
why;137
head;17
the;1171
third;3
floor;9
ll;182
get;217
see;119
nader;1
as;74
soon;16
can;239
okay;185
always;30
hugs;3
never;63
usually;3
got;161
scalpel;1
hand;13
besides;6
want;155
no;300
d;77
like;124
be;269
asked;19
laughs;10
need;96
talk;62
about;225
something;65
m;333
trouble;9
maybe;56
tell;73
over;70
lunch;7
fontana;1
freaking;4
out;245
sure;54
gonna;168
his;86
own;18
personal;2
crying;4
game;7
she;294
reaches;1
into;46
her;218
hot;5
pants;3
whips;1
guy;30
gun;16
face;12
jackass;1
relieved;1
man;57
cavanaugh;18
thanks;42
sean;1
nicko;3
word;14
haven;37
been;132
going;58
g;2
meetings;2
department;12
mandated;2
six;11
did;124
my;269
re;263
cured;1
come;124
on;333
pete;6
group;8
thing;66
for;371
me;465
laid;3
bet;9
three;24
months;14
even;47
bought;4
lotto;1
ticket;7
saying;16
history;2
leave;19
father;22
has;38
nothing;38
do;294
just;273
looking;16
nick;67
well;197
collars;1
last;60
year;10
if;189
lookin;4
shouldn;14
talkin;2
promotion;8
promised;3
were;127
ready;19
give;31
that;684
until;13
blew;4
little;39
gambling;4
mishap;1
one;119
who;84
keeps;7
shooting;4
foot;6
here;250
pretty;24
job;29
yourself;15
go;192
deposit;7
paycheck;2
savings;2
account;1
sympathy;2
mean;61
none;4
knew;19
heroin;1
putting;4
those;32
diamonds;2
fingers;2
scared;17
please;69
told;59
doesn;22
testify;5
ring;8
conspiracy;1
charges;6
thought;50
said;63
shoptalk;1
today;37
sorry;65
guess;31
might;27
some;84
where;61
are;207
sounds;9
lot;44
say;71
someone;31
relationship;6
old;12
habit;2
issues;2
expectations;2
better;33
cell;15
phone;30
rings;3
hello;25
kathryn;44
mother;44
bank;107
stolen;1
cameo;1
pin;7
from;125
safety;3
box;7
manager;7
yes;60
talked;13
him;186
telling;14
security;23
mdaughter;1
an;65
assistant;3
district;9
attorney;10
think;134
believes;1
ought;1
down;72
court;13
drop;2
everything;46
gave;11
before;36
died;7
too;56
busy;4
fine;63
will;76
few;18
minutes;21
try;29
calm;6
am;41
malcolm;41
excuse;15
moment;15
ma;7
excused;2
remember;29
first;35
happens;4
disarm;1
guard;17
drawer;3
money;36
hit;9
vault;5
downstairs;1
hey;145
amateur;1
yeah;201
gotta;44
precise;1
sheila;5
hi;49
jones;19
branch;1
wow;12
uh;116
big;23
guns;4
name;20
egan;68
foote;18
e;12
beginning;3
end;15
mr;32
simply;3
considering;4
loan;3
boat;4
chuckles;7
bye;15
hope;10
plans;6
long;35
weekend;6
nice;17
question;8
interest;3
rate;3
because;58
very;40
competitive;1
wife;23
wouldn;30
sailing;1
once;10
kid;11
felt;15
free;7
um;56
perhaps;1
should;64
home;33
discuss;7
understand;18
use;14
restroom;2
absolutely;8
tom;45
escort;1
mister;1
change;10
yanks;1
nightcap;1
dodgers;1
cover;5
singsongy;1
voice;1
eva;79
boyfriend;4
yet;34
hell;27
waiting;12
smell;2
tequila;1
menthols;1
dad;11
actually;23
cologne;2
called;20
axion;1
x;1
college;7
boys;6
wearing;4
days;37
only;36
youould;1
torture;1
daily;1
basis;1
took;22
keep;35
tabs;2
almost;10
let;122
wait;32
tellers;6
their;21
fewer;3
alarm;8
buttons;3
sitting;7
tight;3
bell;4
dings;3
ahead;7
could;70
outside;16
perfectly;2
safe;11
cameras;4
watching;4
whole;27
time;90
prefer;5
eyes;4
back;119
heard;33
aboutou;1
talking;20
flies;1
wall;1
somebody;17
inside;32
concern;3
assure;2
way;95
patronize;1
filling;1
any;67
forms;3
worry;10
pardon;1
honey;22
matter;17
daddy;9
ri;1
trish;2
maggie;2
invited;5
hoobastank;1
tonight;17
jared;3
drive;5
totally;2
designated;1
alcohol;1
car;16
they;196
away;28
provide;1
transportation;1
wanna;12
borrow;3
such;6
responsible;8
driver;3
wrap;1
things;41
coffee;10
grounds;1
great;42
blow;2
off;52
ten;9
prob;1
felicia;35
accounts;1
payable;1
couple;17
sign;2
knock;3
door;24
anybody;11
sirens;5
wailing;1
siren;2
beeps;3
jeremy;50
stop;21
asking;10
suspense;2
killing;4
patient;9
impatient;1
boy;12
buying;1
salary;1
wondering;9
love;23
coming;32
sister;15
franny;58
cop;28
handle;7
faster;3
had;101
cards;7
candy;3
machine;3
front;12
realize;5
doing;71
already;16
another;14
take;103
closed;5
eremy;1
aah;4
freeze;1
whimpers;1
still;31
hero;16
five;16
nightmare;2
began;3
hours;20
ago;16
when;75
two;59
gunmen;3
hostage;8
released;3
standoff;5
conditions;1
nine;18
remaining;1
hostages;11
unknown;1
hour;21
gunshots;4
killed;19
employees;6
taken;6
though;7
names;3
officially;2
men;4
yelling;2
indistinctly;2
explosion;1
booms;1
move;27
em;26
shoot;13
unarmed;2
hurt;22
detective;11
blood;10
shot;15
outta;10
stay;24
doctor;19
evie;6
damn;16
paramedics;1
wail;4
key;2
psycho;1
u;8
crowd;1
cheering;2
area;2
clear;11
whoop;1
helicopter;3
speeds;1
past;4
treating;2
half;5
allergic;2
penicillin;2
else;27
doin;4
keys;7
fellas;2
bringing;4
renzo;1
thomas;1
secure;1
anyone;17
identify;2
happening;13
anywhere;5
wails;1
side;5
negotiator;7
goin;6
ambulance;1
behind;9
fast;4
ed;46
nielson;7
works;5
minute;27
sir;8
jeez;1
kat;4
place;24
bring;14
apartment;3
done;22
nail;5
bastards;4
light;9
again;29
luc;1
supposed;17
swear;4
hear;42
dead;17
police;12
radio;2
chatter;1
david;1
reporting;1
code;4
everyone;23
taking;14
them;50
suspects;1
terrible;2
ordeal;1
while;12
fresh;2
minds;1
bullet;2
chest;3
heart;8
130s;1
put;30
tube;2
evacuate;1
pneumothorax;1
pen;1
lost;10
aorta;3
tear;1
o;8
r;8
perp;1
randall;88
reese;29
make;61
stays;2
secured;1
gurney;1
times;17
mouths;2
words;5
recognize;2
afraid;11
life;39
ms;13
miller;15
capable;1
guys;26
combination;1
show;16
lucas;43
dalton;20
update;2
rios;23
dr;10
kates;14
more;43
questions;6
comin;1
brought;4
also;5
kill;8
myself;18
later;23
thinking;24
l;9
river;1
basin;1
drag;5
race;1
grease;1
military;3
familiar;1
anything;53
hair;4
hale;32
happen;13
same;13
fer;1
may;13
pens;1
or;77
stick;4
living;8
deputy;2
director;1
roger;1
marshall;2
fbi;16
plan;13
yesterday;8
choked;1
risky;1
best;14
became;1
untenable;1
next;24
te;1
swing;3
made;37
call;51
bad;28
effort;1
chained;1
pole;1
humanly;1
possible;3
certainly;10
persuasive;1
than;21
persuade;1
couldn;24
older;2
brother;14
find;30
happed;1
