Mot,Occurrence
i,34290
you,28440
je,20262
a,17688
s,16592
est,15274
to,15243
tu,14849
de,14637
the,14129
que,12887
t,12486
pas,12275
it,11738
c,9024
on,8841
et,8817
me,8692
that,8578
and,8447
m,7966
le,7953
à,7939
la,7233
ne,7120
un,7007
ce,6822
j,6489
il,6317
what,6192
we,5969
l,5903
of,5797
d,5574
is,5231
qu,5200
pour,5100
in,5097
ai,5081
ça,5073
en,5048
know,4850
this,4711
oh,4683
my,4661
une,4636
n,4534
so,4436
vous,4412
just,4411
re,4364
for,4342
not,4283
no,4139
have,4104
be,4021
bien,4019
les,3982
he,3979
yeah,3937
as,3930
don,3926
hey,3793
ryan,3695
your,3664
do,3608
with,3594
but,3538
are,3479
was,3463
well,3436
elle,3394
can,3392
mais,3385
moi,3302
okay,3284
she,3241
suis,3214
si,3185
non,3123
te,2988
sais,2948
all,2918
avec,2916
about,2886
ll,2759
right,2755
like,2725
des,2718
y,2703
go,2617
summer,2598
être,2578
get,2525
tout,2523
qui,2489
here,2452
out,2395
if,2394
mon,2391
toi,2371
dans,2289
fait,2286
her,2255
va,2231
up,2226
plus,2225
seth,2207
veux,2191
faire,2158
there,2151
think,2139
marissa,2092
au,2078
going,1978
at,1976
quoi,1971
gonna,1954
oui,1945
nous,1941
how,1911
es,1910
du,1910
got,1871
him,1866
good,1814
really,1753
dire,1742
want,1740
ok,1726
était,1716
now,1704
juste,1694
peut,1677
ve,1641
see,1605
alors,1598
vraiment,1589
peux,1577
lui,1567
ma,1562
cohen,1561
se,1560
là,1536
come,1507
sandy,1494
comme,1487
one,1482
vais,1481
julie,1454
dit,1446
did,1425
they,1421
sur,1402
back,1389
ton,1380
ouais,1376
could,1344
why,1342
merci,1335
taylor,1308
ca,1264
look,1262
sorry,1252
mean,1231
let,1203
or,1176
aller,1171
chose,1145
some,1142
didn,1141
tell,1139
when,1137
time,1131
should,1126
quand,1122
who,1120
kirsten,1116
pourquoi,1115
bon,1111
rien,1105
ici,1104
would,1104
an,1098
been,1092
doing,1086
were,1078
from,1072
need,1068
cette,1050
because,1048
fais,1046
talk,1040
dois,1037
ta,1023
say,1014
ou,1011
too,1010
comment,999
his,979
little,972
voir,971
très,969
mom,956
something,951
had,946
maintenant,944
maybe,933
parler,926
then,926
will,925
salut,924
même,922
ils,919
aussi,916
besoin,914
avoir,913
son,912
crois,910
sure,907
where,897
où,896
parce,895
uh,894
us,878
peu,878
love,871
make,866
vas,861
pense,855
thanks,854
take,845
guys,843
dad,814
père,809
man,805
quelque,798
our,794
great,793
more,792
thought,791
donc,787
newport,786
sont,783
temps,775
over,774
jamais,771
thing,769
way,769
mère,767
hi,753
étais,752
by,748
never,741
god,737
night,731
home,703
wanna,701
off,686
said,685
even,683
soir,678
par,672
toujours,671
kaitlin,667
deux,667
yes,666
kind,657
aime,650
call,649
thank,649
sûr,648
last,646
guy,645
tous,639
them,633
help,630
am,628
autre,619
avais,617
désolé,617
fine,611
everything,608
accord,607
much,606
dieu,604
cooper,602
anything,599
new,597
encore,594
maison,591
has,586
work,585
two,582
dis,578
été,577
allez,566
avant,565
veut,562
trop,562
nothing,561
life,560
wait,559
voulais,558
house,556
told,555
down,555
ces,552
still,549
après,545
only,544
doesn,542
guess,541
vie,539
sa,535
viens,533
chance,532
actually,527
johnny,525
passé,520
give,516
notre,514
bonne,513
feel,512
into,512
day,511
mes,511
caleb,507
fois,506
soit,504
wanted,504
ensemble,495
school,494
avez,492
any,484
jimmy,482
eu,478
moment,478
together,477
devrais,476
again,476
better,474
fille,474
sans,474
mec,473
quelqu,472
talking,470
first,469
please,469
monde,468
nice,466
chez,466
ever,465
very,463
lot,463
super,460
beaucoup,459
place,458
before,457
after,454
euh,453
luke,450
party,450
vois,446
passe,444
people,443
than,443
cool,442
believe,439
ont,439
sera,438
déjà,438
part,436
ecoute,433
family,433
désolée,430
tonight,429
air,429
ouai,426
votre,425
find,421
fête,420
mieux,419
eh,419
year,419
away,417
long,417
getting,416
coming,415
gotta,410
vrai,409
moins,407
pensais,406
tes,404
might,403
vu,401
stay,401
bad,399
personne,398
things,398
trey,397
girl,395
depuis,393
other,392
toute,390
pourrait,389
parents,389
does,389
excuse,388
hello,386
prendre,386
famille,383
plan,383
avait,383
which,382
zach,381
êtes,381
huh,380
friends,379
petit,378
stop,377
choses,375
these,372
listen,371
dinner,371
put,369
frank,366
keep,365
arrive,364
demain,364
pretty,361
car,359
entre,358
money,356
around,355
happened,354
trying,354
happy,353
font,353
pourrais,352
aider,351
ask,350
friend,349
doit,348
devrait,348
venir,346
idée,345
amis,344
idea,343
big,342
nuit,341
attends,338
being,337
came,336
um,336
bonjour,336
cause,335
problème,335
tomorrow,334
faut,334
leave,331
argent,330
gars,329
atwood,328
école,326
hmm,326
bye,325
ah,325
quelques,325
always,324
won,324
best,322
done,321
point,321
haven,321
week,319
went,319
those,318
maman,318
tard,317
probably,316
mal,315
mind,315
passer,315
left,314
someone,314
isn,312
laisse,312
o,312
raison,311
aurais,310
meet,306
dr,303
fun,303
since,303
lindsay,301
aux,301
serait,299
rester,299
savoir,298
berkeley,298
made,297
penses,293
wasn,290
année,290
care,289
seule,289
papa,288
next,287
looking,287
ami,287
quel,286
hear,286
totally,285
ans,285
petite,284
important,284
end,284
parlé,283
jour,283
having,281
dîner,281
hein,276
course,276
old,275
thinking,274
morning,274
job,274
whole,272
partir,272
wow,272
anna,271
today,270
partie,270
bullit,269
theresa,269
écoute,269
ready,267
through,267
regarde,267
start,267
che,267
dernière,266
years,265
exactly,264
nouveau,264
coop,263
pancakes,260
génial,260
called,259
room,259
seul,259
allons,259
mr,258
femme,258
try,258
gens,258
ses,258
reste,257
leur,257
