Mot;Occurrence
je;15126
suis;2388
ton;1034
grand;196
frère;124
si;2370
ce;5044
n;3338
est;11527
pas;9264
moi;2527
qui;1887
t;6871
apprend;11
ça;3859
le;5934
fera;67
ne;5279
sais;2222
trey;320
arrête;139
de;10968
faire;1618
la;5432
fille;369
monte;20
allez;428
on;5794
y;2069
va;1727
viens;434
ryan;1985
tu;11146
voyais;10
ta;769
tête;131
non;2317
mains;37
en;3841
l;4388
air;327
levez;2
les;2998
sur;989
tableau;5
bord;16
là;1191
où;699
peux;1168
voir;722
sandy;800
cohen;1002
avocat;75
commis;8
d;3781
office;121
peut;1270
pire;81
ca;986
es;1486
bien;2975
traité;7
mon;1754
a;9501
plus;1661
ans;222
volé;46
une;3401
voiture;164
il;4751
avait;293
arme;20
dans;1704
son;640
pantalon;8
drogue;18
sa;401
poche;9
des;2093
antécédents;4
pense;560
que;9459
pour;3795
instant;53
à;5866
mais;2508
m;4133
intéresse;20
c;6821
première;142
fois;397
veux;1652
revenir;53
tes;311
notes;18
sont;590
géniales;2
exclu;3
deux;510
être;1921
battu;12
as;2623
séché;1
trois;100
examen;8
réussite;5
commençais;9
par;490
aller;901
ecole;7
pensé;159
université;57
avenir;15
mec;364
côté;76
aide;184
médecine;3
moderne;3
progresse;2
au;1532
point;190
espérance;1
vie;397
atteindre;9
j;4890
ai;3769
lu;50
un;5197
article;18
dit;1099
securité;2
sociale;5
existera;1
signifie;32
nous;1390
devrons;4
travailler;72
jusqu;122
donc;537
engager;14
quoique;22
soit;384
trop;439
tôt;105
ecoute;346
plaider;1
délit;4
petite;209
amende;2
mise;24
épreuve;10
sache;35
cela;145
voler;31
parce;663
te;2228
stupide;51
et;6525
faible;17
ceux;33
choses;289
droit;67
changer;75
alors;1244
faut;269
surmontes;1
fait;1735
donné;74
bonnes;43
cartes;22
comprends;146
été;421
même;688
moule;2
grandi;22
sans;364
argent;258
mauvaise;71
partie;204
du;1432
bronx;11
père;629
mère;586
travaillait;5
tout;1902
temps;607
étais;573
colère;58
regardez;38
vous;3216
maintenant;702
garçon;89
aussi;708
intelligent;18
dois;783
avoir;684
plan;177
rêve;46
quelconque;5
ouais;993
sûr;500
laissez;63
dire;1282
quelque;617
chose;856
ok;1300
rend;28
savoir;230
qu;3910
se;1181
réalisera;3
bureau;124
contactera;3
date;114
comparution;1
souviendrai;1
incroyable;69
quel;210
genre;153
famille;300
fais;799
mériter;2
expliquer;63
mme;47
atwood;150
auriez;11
dû;132
pourrir;2
dedans;51
comme;1128
bientôt;110
donne;112
ma;1175
carte;48
numéro;30
personnel;19
besoin;689
quelqu;361
passent;10
mal;249
appelle;188
accord;446
desolé;13
maman;240
fiches;6
camp;34
partes;22
vais;1115
entendu;120
prends;120
affaires;93
tire;23
toi;1783
hey;2235
maison;439
joues;19
dur;122
vas;666
devrais;353
occuper;54
propres;17
gosses;25
lieu;32
vivre;98
aux;225
frais;24
saison;51
episode;40
pilote;13
dormir;64
chez;375
soir;529
très;750
endroit;137
me;4751
caser;8
déjà;332
essayé;110
avais;455
pouvais;95
chouette;31
pensais;302
avocats;19
gagnaient;1
autant;75
femme;193
oui;1489
bonsoir;57
pourquoi;843
attends;258
ici;826
minute;118
reviens;75
moins;294
clefs;10
shirts;10
autocollants;1
station;17
radio;19
ramené;10
chiot;3
perdu;93
kirsten;614
savais;175
était;1263
juste;1205
question;144
avant;412
commences;12
ramener;32
voyous;2
voyou;4
rencontré;65
prison;125
techniquement;15
crime;9
enfin;154
sera;336
quand;846
aurai;68
fini;150
mets;54
danger;18
notre;380
seth;1221
week;203
end;191
services;22
sociaux;10
ouvrent;3
lundi;33
piège;7
s;8109
utilisait;2
cambrioler;2
cerveau;19
gosse;22
personne;318
ni;62
nulle;60
part;286
devenue;12
cynique;4
devenu;27
tant;138
auto;15
suffisant;8
toujours;503
trouvais;2
charmant;15
dort;9
cabanon;54
mettre;144
mes;368
bijoux;8
coffre;4
crois;722
aille;35
draps;11
serviettes;9
brosse;8
dents;12
celui;79
sois;171
cigarette;11
sérieusement;58
eu;342
accident;49
avec;2184
volée;14
puisqu;14
lui;1155
sorti;54
jeté;17
dehors;97
elle;2556
saoule;14
pris;184
cousin;19
boston;8
marissa;1401
faisais;58
connaissance;10
votre;298
neveu;4
préféré;33
vient;175
seattle;15
papa;239
vit;25
bas;179
tous;484
excités;4
defilé;4
mode;17
collecter;2
fonds;6
demain;276
vraiment;1169
êtes;284
venir;256
rien;859
autre;459
prévu;51
bonne;365
soirée;145
