Mot;Occurrence
i;19346
previously;39
on;2895
the;7931
o;123
c;1892
it;6621
s;8429
about;1634
your;2074
father;117
he;2165
dead;22
she;1733
taking;104
pretty;224
hard;133
huh;223
get;1441
hands;39
off;368
me;3845
are;2001
you;15978
happy;197
family;224
requested;3
be;2269
here;1332
to;8973
help;368
them;367
lead;11
an;622
intervention;8
we;3275
worried;88
that;5138
have;2273
addiction;7
alcohol;7
m;3754
so;2418
sorry;681
put;213
through;168
this;2664
attacked;6
her;1185
seth;961
but;2209
didn;620
t;5518
tell;656
ryan;1676
because;578
has;337
know;2726
gonna;843
settle;14
with;2033
trey;77
once;84
and;5057
for;2443
all;1738
oh;2611
my;2653
god;480
stop;199
re;2386
killing;8
him;1093
got;1138
a;7941
gunshot;2
wound;4
exited;1
right;1552
clavicle;1
punctured;1
artery;1
still;320
alive;21
not;2265
long;209
how;1040
could;731
man;419
would;659
ve;881
done;165
anything;336
look;712
was;1984
messed;17
up;1251
stoned;2
questions;33
gotta;171
see;936
if;1366
ll;1485
okay;1920
of;3335
please;250
die;12
wasn;161
idea;170
wanna;320
steal;17
car;163
yeah;2208
well;2172
went;191
away;225
good;1022
life;335
had;529
destroy;4
hurt;74
brother;58
is;3072
d;1624
better;291
someone;181
hadn;28
shot;89
wait;310
lost;71
lot;256
blood;35
jesus;1
what;3293
hell;76
happened;189
nothing;283
fine;363
can;1772
at;1135
just;2682
as;1216
soon;130
talking;252
did;780
discharge;1
weapon;2
yes;388
already;160
don;2131
answer;53
say;564
losing;10
hey;1551
wanted;268
worst;16
nightmare;5
some;675
bad;217
news;95
dream;58
lawyer;23
guy;404
his;579
way;405
over;406
coop;62
asked;91
doing;625
weekend;64
before;242
senior;30
year;242
probably;171
said;414
road;25
trip;47
rosarito;1
or;653
rush;9
week;109
sc;2
meeting;95
college;177
boys;64
waiting;82
charged;5
manslaughter;1
wouldn;130
made;170
list;44
innocent;7
were;613
saving;17
try;159
explaining;5
understands;5
why;698
mad;36
like;1511
weird;121
horrible;17
thing;420
hanging;39
us;481
elephant;20
in;3008
room;148
intensive;1
care;150
unit;4
never;362
actually;290
knew;127
anyone;131
coma;16
mean;721
valley;32
there;1250
every;119
think;1292
they;852
do;1913
when;691
person;54
wakes;8
another;131
actor;1
play;67
part;142
unfortunately;18
admit;20
whatever;138
happens;35
facing;6
avenge;4
honor;17
freaking;15
hot;129
mythic;2
biblical;1
samurai;2
western;1
kind;417
really;1054
wish;113
helped;22
sleep;102
night;425
summer;1170
sleeping;39
sum;21
even;388
lives;48
which;204
big;192
live;105
rest;45
should;614
time;590
thanks;449
bunch;16
sandy;666
pot;27
half;57
isn;175
enough;101
morning;157
make;483
more;449
great;441
mess;19
been;642
little;551
hectic;1
will;555
down;313
mr;113
atwood;175
getting;235
dressed;19
kids;90
now;958
school;269
starting;32
da;16
wants;116
moving;44
waited;7
wake;43
calls;33
from;588
parents;116
under;54
pressure;22
prosecute;2
except;55
marissa;580
protected;3
defense;4
others;8
course;193
boss;20
may;145
find;223
very;268
sexy;37
true;87
looking;174
go;1406
after;252
statement;5
scene;8
hers;11
record;31
history;15
violence;8
caleb;74
nichol;38
daughter;76
one;847
shooting;10
ex;41
cons;1
saved;37
first;266
place;188
tried;68
rape;4
girlfriend;97
cause;211
witnesses;1
only;305
people;249
who;578
saw;115
gun;20
miss;134
cooper;208
other;229
brought;62
charges;9
social;33
services;10
take;451
explains;1
motivation;1
cover;19
lose;62
where;543
wife;98
anyway;84
out;1263
town;84
name;79
kirsten;491
alcoholic;9
hi;448
progress;7
suriak;9
truly;5
wonderful;29
watch;106
model;19
patient;11
everyone;132
shelly;1
definitely;50
poker;13
cleaned;6
being;204
given;26
clarity;5
understand;109
turned;49
feel;322
comfortable;23
sharing;11
group;101
sure;523
together;285
guess;295
begins;5
ends;17
dad;362
amazing;113
controlling;1
realized;33
living;70
mine;74
mother;124
died;41
everything;351
realize;38
no;2294
matter;85
worked;45
became;9
mantra;1
mom;559
power;42
comes;54
difficult;17
realization;1
invaluable;1
leave;180
trying;212
rid;15
sounds;142
work;323
need;611
sponsor;1
attend;40
meetings;5
reason;93
home;383
swear;12
truth;100
then;538
won;141
mind;212
deposition;4
release;6
itunes;1
hope;123
hit;72
answered;6
these;217
new;327
previous;1
came;190
hospital;101
traumatic;3
maybe;480
remember;122
things;260
differently;2
exactly;165
told;351
again;267
confronted;4
pulled;8
called;156
witnessed;1
clear;41
question;73
shoot;18
prints;1
safety;6
back;754
weren;47
thinking;156
final;10
afraid;85
going;1374
happen;120
between;57
kill;47
food;54
prosecutors;1
important;105
jimmy;114
does;226
outfit;5
girl;208
wear;23
least;135
somebody;46
their;138
priorities;2
order;38
listens;5
our;463
attorney;8
last;388
admitting;4
jules;6
admitted;6
frame;13
spoke;17
police;49
trained;2
assassin;1
story;65
himself;33
reasonable;2
nobody;36
believes;6
protecting;3
want;988
moved;32
newport;330
normal;57
stable;7
fault;44
bankrupt;1
nearly;7
jail;23
married;115
drown;3
pool;58
meant;44
literally;5
venting;1
none;39
ever;270
chance;179
l;1265
crudités;2
gouda;4
shower;25
decent;6
thought;453
use;115
post;16
depo;1
dip;3
showered;5
fair;43
point;126
stay;195
aquatic;3
activities;10
something;572
landlocked;1
visit;21
movie;85
hollywood;1
dumps;4
crappy;5
blockbusters;1
mock;1
thus;1
ourselves;27
keys;11
visiting;5
comatose;1
icu;1
also;78
excellent;25
relax;34
blow;30
steam;1
drive;76
awesome;97
caldwell;2
lemonade;2
esbenshade;1
come;830
prosecutor;1
glass;31
human;17
beings;2
guys;422
deputy;2
district;4
chris;3
conducting;1
sit;82
roberts;154
present;54
influencing;1
testimony;3
knows;84
inside;56
hbo;1
demand;3
season;29
sex;45
city;27
knock;22
yourself;149
mariss;3
everybody;61
talk;558
front;37
strangers;13
remind;18
binding;1
court;19
waiver;1
problem;138
ms;27
lacks;1
credibility;3
listener;2
talkative;1
around;211
patients;4
compensation;1
give;318
minute;99
blame;25
change;119
screwed;18
left;172
support;34
recent;4
decision;30
experienced;1
ban;2
any;268
games;5
ninjas;1
guns;1
rules;17
baseball;13
call;383
america;13
pastime;1
feels;43
fad;1
buddy;44
catching;8
dark;26
lord;5
sauron;1
blink;2
during;14
eyelids;1
hello;203
message;76
dallas;5
mcpherson;1
stand;39
thank;390
woke;7
charlotte;37
morgan;10
interrupting;8
heard;99
describing;2
rich;21
dominating;1
high;72
glad;117
bore;1
hear;154
same;114
journey;22
obviously;25
further;5
along;34
brave;12
honest;32
coffee;81
sometime;6
trash;8
dads;2
love;561
husband;55
goodbye;20
bye;192
exploded;1
kitchen;34
microwave;4
mostly;3
entire;32
jar;1
peanut;21
butter;9
cookies;1
surprise;102
seemed;32
known;27
science;17
factoid;1
metal;5
plus;490
heat;17
equals;1
everywhere;10
few;165
lessons;1
three;111
struggling;1
handsome;7
bachelors;4
learning;17
reality;12
series;11
too;584
coming;227
day;280
heads;13
house;292
livable;2
dr;135
woodruff;3
eligible;1
calling;65
says;88
misses;8
let;643
doctor;64
awake;31
couple;106
times;84
gone;123
shouldn;64
choice;51
lawyers;7
into;297
hopefully;14
future;62
diner;28
two;319
months;88
wrote;32
read;78
much;304
than;249
mrs;61
paperwork;7
number;53
offshore;1
accounts;3
haven;181
yet;128
found;139
sweet;66
frankel;1
paying;19
priced;4
protect;18
meter;5
running;51
grieving;4
widow;3
clearly;23
seen;93
jeff;5
secret;57
julie;678
cold;33
million;17
seven;29
prenup;1
blinked;1
save;78
chrismukkah;36
enjoyed;5
fun;117
control;22
deal;108
stepmother;4
painkillers;3
numb;1
random;11
unfair;7
meaningless;1
option;9
accept;11
fact;80
worry;129
enjoy;31
might;262
plan;196
b;39
ask;204
nice;243
boat;26
laundered;1
money;172
buy;70
cohen;533
wheel;8
wind;11
blowing;5
hair;41
weakness;1
seamen;1
since;175
talked;75
listen;218
fishing;4
hunting;1
gathering;1
bait;30
sardine;2
funny;94
gets;67
while;129
almost;62
bathing;7
suit;16
wet;7
pleasure;25
believe;212
hours;107
ended;7
ago;70
forget;60
introduce;11
myself;112
wing;1
both;133
standing;18
philanthropic;1
hospitals;3
favorite;33
charity;26
especially;25
making;129
nurses;1
orderlies;1
compensated;1
hate;68
passion;14
fall;45
by;422
wayside;1
wanting;18
pleasantries;1
lying;36
helpless;1
unable;1
son;239
bitch;59
exchange;9
prepared;9
compensate;1
sound;35
simple;39
words;39
repeat;5
teen;8
wolf;3
realistic;1
limb;1
werewolf;1
basketball;3
player;3
argue;4
fellas;9
shutting;1
tv;19
confirmed;2
suspicion;1
total;34
lie;60
office;72
gave;72
issuing;1
warrant;1
arrest;6
figure;72
telling;83
difference;22
fix;35
early;41
champagne;18
mimosas;2
breakfast;56
appropriate;7
besides;28
celebrate;18
boyfriend;89
arrested;25
convenient;5
immediately;8
points;8
finger;7
sometimes;73
experience;14
accused;3
law;17
application;10
shoots;1
blue;20
collar;3
thugs;1
suffer;2
either;82
cast;1
iong;1
bed;65
collect;4
kiddo;3
alone;121
bring;68
snack;2
eat;77
dry;25
cereal;11
box;10
black;27
gift;41
object;3
movies;21
hobbies;5
best;183
friend;198
throwing;19
gems;1
attempted;2
murder;5
seeing;60
visitors;3
giving;57
space;57
behind;46
hoodie;2
wifebeater;1
leather;11
jacket;28
escapist;1
ensemble;112
dude;111
am;365
sailing;6
apparently;31
boats;7
involved;25
forte;6
totally;188
excited;28
ready;138
must;127
rooting;5
spice;3
rack;4
start;152
pounding;4
vanilla;1
extract;1
cough;2
syrup;1
biggest;4
fear;8
until;109
advice;28
race;6
late;134
nope;23
cops;33
hurry;21
catalina;2
four;71
wherever;16
mexico;30
hawaii;19
trouble;72
excuse;201
skip;7
forever;46
jump;10
fits;6
kid;107
job;135
guilty;6
guardian;2
runs;3
hide;29
arraignment;1
set;96
tomorrow;201
fight;70
worn;3
candy;10
striper;1
10th;2
grade;27
volunteer;3
against;37
wearing;48
uniforms;5
doesn;310
seem;59
lighthearted;1
nature;15
predicament;1
letting;17
push;8
cart;17
denise;1
years;156
helping;57
sick;39
kept;17
reassigned;1
victims;1
catch;28
those;189
speak;39
else;148
finish;31
blaming;11
offered;11
couldn;108
worse;29
sainted;1
paid;10
sink;8
low;17
dealing;19
shoes;23
rehab;13
locked;22
means;112
supposed;110
dies;3
suddenly;27
show;121
grand;53
central;3
station;9
till;47
hears;1
sweetie;32
wash;12
longer;42
send;38
sister;57
copy;7
confession;11
saying;147
killed;17
small;33
scandal;3
cares;10
details;8
free;75
ran;21
stayed;14
wondering;45
always;170
world;153
without;149
subtitles;26
sdi;25
media;31
tucked;1
cabinet;7
milk;13
hummus;1
side;24
sesame;1
beef;12
champions;1
botulism;1
pass;30
stick;23
special;27
seniors;5
registration;2
age;23
moment;112
moments;15
bar;49
mitzvah;22
frothing;1
mouth;19
proud;52
though;99
prevent;4
cesspool;1
boy;89
tiptop;1
shape;11
picking;13
sponge;3
presence;6
neat;3
protestant;1
evil;8
eye;30
powerful;4
woman;88
many;82
talents;5
dinner;246
tonight;219
clean;32
pick;71
steaks;2
nerve;9
showing;14
apologize;33
misunderstanding;3
misunderstood;2
parent;11
keep;210
afloat;3
using;25
raft;1
lecture;12
later;145
differences;2
bigger;7
problems;26
protesting;4
petition;12
filed;2
motion;5
unless;56
expelled;5
pancakes;185
extra;34
wow;134
sad;26
farewell;4
tour;53
terrible;45
lf;25
graduation;32
major;22
traumas;1
unacceptable;1
sucked;5
juvie;2
cut;46
makes;92
becoming;14
quite;37
motivational;3
speaker;4
win;36
five;83
working;101
business;135
associate;3
showed;22
montague;1
capulet;1
plenty;16
student;42
harbor;102
principal;8
avoid;8
expulsion;4
circling;3
amongst;1
signatures;5
ignore;25
outcry;1
kim;27
tall;6
wears;3
chanel;4
gangster;1
bottom;9
line;44
deserve;15
graduate;10
friends;163
board;66
specialist;1
hall;18
monitor;1
flattering;2
dean;60
discipline;8
jack;26
hess;29
meet;165
anxious;4
necessary;12
files;6
officers;6
pd;6
juvenile;4
system;7
share;33
master;11
education;7
taught;10
six;93
boarding;12
schools;8
east;24
kick;21
frankly;5
evening;24
scotch;6
rocks;10
sign;51
test;54
patience;4
sir;21
believed;15
sell;19
pissed;5
deposit;2
crazy;116
stock;12
venture;2
relive;1
phone;144
promise;74
wheelbarrow;5
binder;1
monster;5
kickoff;4
carnival;17
waivers;1
invoices;1
vendor;1
contracts;2
boring;23
hurts;8
joining;11
committee;5
sponsored;3
events;6
prefer;3
curtain;1
join;54
clubs;3
hang;77
girls;71
taylor;954
townsend;87
spent;41
whole;149
tons;2
ideas;11
vacation;8
stealing;8
fighting;23
chair;34
freshman;16
perky;2
blonds;2
charge;30
booths;1
meredith;1
podium;2
ahead;40
guessed;2
today;151
assumed;4
strong;16
holler;1
stuff;88
absolutely;42
jiff;1
hazmat;1
chicken;31
fourth;7
july;1
fossilized;1
starter;1
pack;42
edition;1
klosterman;1
craig;1
thompson;1
blankets;4
mötley;2
crüe;2
dirt;7
indiscretions;1
perspective;4
thoughtful;11
hand;45
throw;40
average;10
loop;3
breathing;4
hashed;1
fought;5
comic;43
book;81
learned;24
issue;23
relationship;51
snowballs;1
eventually;11
skipping;5
checking;7
packed;19
guessing;21
trickiest;1
recovery;9
straight;13
relapsed;1
bubble;3
shock;7
planning;23
pit;5
seems;122
cottage;1
lake;10
arrowhead;4
remote;2
empty;22
perfect;73
halfway;4
sense;43
steps;4
having;168
second;130
thoughts;4
crisis;15
hasn;40
