Mot,Occurrence
i,42042
you,13833
a,12222
the,11980
s,8859
to,8684
de,7509
vous,6940
est,6793
je,6674
it,6179
t,5542
le,5507
on,5364
that,4968
pas,4701
me,4591
and,4456
la,4404
un,4342
of,4234
he,4126
is,3949
jarod,3836
m,3751
l,3714
in,3709
c,3675
à,3658
que,3407
what,3357
ll,3270
this,3180
j,3027
was,2983
il,2906
et,2873
my,2831
d,2781
ne,2655
les,2641
your,2588
we,2540
for,2523
en,2454
ai,2383
une,2266
ce,2240
have,2158
pour,2113
know,2075
be,2033
don,2009
qu,1985
n,1976
tu,1953
ça,1936
are,1916
no,1869
do,1828
can,1805
re,1756
but,1749
here,1741
qui,1719
des,1706
there,1684
with,1682
him,1654
not,1623
out,1604
moi,1604
just,1565
about,1561
they,1487
all,1459
y,1412
mais,1411
like,1382
du,1377
dans,1372
get,1303
up,1301
mon,1289
so,1271
elle,1263
as,1258
she,1248
his,1240
parker,1212
one,1203
well,1176
who,1151
au,1146
if,1140
votre,1116
oh,1102
her,1099
était,1073
now,1063
si,1048
from,1045
how,1036
at,1022
man,1019
son,1015
did,1012
ve,1011
avez,1003
right,970
sur,967
suis,957
fait,956
sydney,946
want,913
tout,893
go,888
plus,886
got,877
centre,830
miss,823
être,819
ca,818
avec,814
think,803
ma,790
why,787
où,787
been,786
where,778
when,771
would,758
see,755
come,753
an,752
let,749
were,740
nous,739
time,736
lui,736
va,732
mr,720
going,709
yeah,707
êtes,706
là,702
comme,685
will,676
se,675
back,671
had,670
tell,669
raines,668
us,658
faire,648
never,646
bien,646
good,640
père,637
peut,629
gonna,625
broots,625
something,617
little,612
didn,612
quoi,605
sa,603
could,599
find,592
ici,588
father,583
rien,583
them,579
pourquoi,577
am,576
help,572
dit,571
some,568
uh,561
sais,551
or,548
sont,537
look,534
okay,526
our,524
take,522
down,520
way,506
only,499
people,497
hey,491
need,488
non,487
lyle,486
has,485
yes,483
then,479
te,477
life,472
comment,469
par,468
quand,460
over,460
make,458
dr,455
very,454
ils,452
more,451
vie,446
said,443
mère,442
by,440
avait,435
toi,433
cette,433
jamais,427
veux,425
place,424
any,423
vu,417
mother,415
too,413
really,402
say,401
peux,385
mort,384
sure,384
été,384
two,382
ont,381
please,380
chose,379
hell,378
before,374
should,374
call,370
off,367
family,365
because,362
these,361
into,359
thing,357
sorry,355
give,354
thank,351
name,348
god,346
maybe,345
found,342
