Mot,Occurrence
i,5859
you,4699
a,3028
je,2654
est,2403
the,2391
s,2385
de,2251
t,2156
to,2155
pas,1821
it,1756
on,1752
tu,1613
vous,1503
que,1502
that,1408
c,1358
me,1261
un,1244
we,1220
le,1208
and,1203
m,1200
what,1150
la,1128
et,1106
il,1102
of,1068
is,1057
à,1041
j,968
in,963
ça,946
ce,939
l,915
d,857
en,856
he,850
ne,834
re,834
don,795
my,793
know,790
do,788
ai,762
qu,756
doug,755
this,744
les,729
une,724
your,698
are,646
just,636
pour,634
no,632
for,619
not,585
all,554
n,550
oh,547
be,546
got,539
here,533
as,531
have,519
so,494
can,491
des,491
gonna,489
bien,475
get,474
was,456
want,453
suis,447
mon,423
well,421
moi,420
about,417
dans,417
tout,415
y,413
wayne,407
go,405
right,404
elle,397
qui,396
with,394
she,392
nous,391
quoi,387
there,381
va,376
like,376
non,376
veux,373
te,361
out,360
up,359
si,355
okay,349
sais,347
rich,346
pete,346
mais,335
fait,334
yeah,333
du,329
now,328
him,327
they,322
think,321
how,320
être,317
come,314
plus,313
faire,310
but,305
avec,302
ma,300
es,286
hugh,286
if,286
ll,285
shit,285
au,254
good,254
toi,253
là,252
lui,247
who,246
at,238
sur,237
cal,237
se,235
her,235
one,234
where,234
où,234
dire,231
vraiment,228
dale,225
ils,224
back,223
mean,218
ve,214
comme,213
really,209
était,206
why,204
an,203
peut,203
did,202
his,201
let,200
ici,198
alors,197
look,195
little,194
oui,193
votre,192
tell,190
dit,190
peux,185
our,184
am,182
us,182
rien,182
cherien,181
some,181
son,180
take,179
god,177
could,176
ton,175
bon,175
from,171
been,169
merde,168
comment,165
money,165
pourquoi,165
cette,164
see,161
allez,161
êtes,159
need,159
dahlia,159
will,158
didn,156
had,154
or,154
sont,154
would,153
panco,152
juste,151
vais,151
très,149
man,148
hey,147
aller,146
time,145
call,145
hell,144
then,141
merci,140
were,140
sorry,139
make,139
dad,139
them,138
thing,138
fais,137
dois,136
dieu,135
cause,134
when,134
par,134
ces,134
ou,133
people,131
quand,131
peu,130
say,129
avez,129
même,128
jamais,127
