Mot;Occurrence
ceux;14
qui;396
finiront;1
par;133
se;235
marier;5
billy;3
burke;2
et;1102
shannon;3
flemington;1
farmington;3
c;1352
était;206
un;1242
ménage;6
à;1041
trois;20
le;1205
rigolo;1
de;2247
la;1127
classe;11
jesse;2
pinkercrapperson;1
est;2403
pinkerfield;1
pinkercrapperfield;1
plus;308
beau;14
sourire;3
des;491
chats;6
sauvages;5
penny;2
lynn;4
puquois;2
du;327
bois;20
iii;2
je;2652
pense;103
que;1501
jimmy;7
o;11
shea;2
ne;833
viendra;3
pas;1820
au;253
contraire;12
qu;756
il;1101
va;376
faire;310
spectacle;3
celui;12
a;881
chances;7
réussir;3
moi;420
non;371
toi;253
ces;134
types;5
papa;107
tu;1611
n;540
es;286
prêt;15
ed;5
kline;2
don;3
juan;2
euh;19
ça;946
oui;193
vas;99
y;377
doucement;6
bon;175
te;361
revoir;29
comment;165
viens;71
allons;46
nous;391
trouver;37
quelques;42
chattes;1
d;704
accord;93
alors;197
souviens;20
où;234
on;1069
parle;57
injonction;1
approcher;1
dommage;3
contre;45
ton;175
joli;11
chat;3
sauvage;2
voulais;51
juste;151
dire;231
petit;65
mot;15
toujours;92
été;84
facile;19
pour;634
les;729
vous;1502
savez;71
certains;10
ont;91
pleuré;4
autres;35
sont;154
morts;5
lutté;1
l;908
alcool;5
drogue;12
promesses;2
brisées;1
enfants;77
ingrats;1
pontage;1
gastrique;1
raté;3
cas;39
blennorragie;1
désolé;69
allusion;1
mais;335
aussi;96
histoires;8
rédemption;2
ici;198
espoir;8
triomphe;1
brad;2
pensky;2
monsieur;35
m;411
dit;190
son;133
commerce;1
ferrailles;1
fera;20
faillite;3
tout;415
monde;89
sait;44
une;724
bonne;79
nouvelle;26
joe;3
grappa;1
power;1
seller;1
essuie;1
mains;13
sur;237
ebay;1
t;591
fait;334
mary;8
b;4
plutôt;26
elle;397
sortie;12
coma;1
comme;213
combien;43
temps;102
restée;4
cinq;8
ans;59
là;252
aujourd;32
hui;32
applaudissez;1
pris;41
congés;2
payés;1
retour;19
bien;473
joué;12
sommes;44
amérique;6
ses;67
hauts;1
bas;29
bons;7
rien;182
reines;1
beauté;2
cerveau;4
muscles;1
maître;5
arme;14
esprit;7
casse;11
couilles;8
jeunes;5
vieux;14
prisonniers;1
i;982
commence;12
chauffer;2
chier;22
fais;137
tour;12
derrière;9
suis;446
dans;417
minutes;13
en;856
serait;29
mieux;66
suite;28
écoutez;20
vos;51
coeurs;1
parce;101
promo;4
hé;16
as;385
carton;2
saison;14
épisode;10
pilot;1
v1;1
transcript;14
frm;1
team;1
traduction;26
jarick;20
nearhelle;3
golgi;11
jesshalliwell;3
relecture;16
lucille;6
synchrofix;6
hutch;9
avec;302
gentille;3
organisation;2
starbuck;2
www;6
seriessub;30
com;44
penses;38
maman;97
aimera;1
cadeaux;6
moins;35
uns;2
quoi;387
hier;12
soir;33
ai;762
embobinés;1
vu;53
ils;224
me;418
mangeaient;1
creux;1
main;21
failli;3
avoir;122
quand;131
dedans;16
peux;185
importe;39
j;967
aurais;46
pu;30
fromage;3
écureuil;1
peu;130
étaient;17
cal;109
ralentis;2
respecte;1
règles;13
règle;15
foire;3
sérieusement;8
encaisse;4
avant;51
télé;6
allez;161
dépêche;4
bouge;8
