Mot;Occurrence
most;20
likely;2
to;2153
get;474
married;20
billy;5
burke;2
shannon;3
flemington;1
farmington;3
and;1201
it;1752
was;454
a;2147
threesome;1
class;11
clown;1
jesse;2
pinkercrapperson;1
s;2096
pinkerfield;1
pinkercrapperfield;1
best;60
wildcat;3
smile;4
penny;7
lynn;4
puquois;2
du;2
bois;2
iii;2
i;4877
think;321
jimmy;7
o;20
shea;2
is;1056
no;632
show;27
he;850
succeed;1
me;843
him;327
those;73
guys;40
dad;139
you;4699
re;834
not;585
prepared;2
ed;5
kline;2
romeo;2
uh;114
right;404
oh;393
take;179
easy;27
hey;147
good;251
see;161
how;320
have;519
been;168
okay;349
come;314
on;683
let;200
go;405
find;81
ourselves;9
some;181
tail;2
my;792
gosh;8
remember;38
yeah;333
where;234
don;792
t;1565
talk;113
restraining;1
order;6
shame;1
against;16
your;697
great;90
just;635
wanted;47
say;129
something;115
hasn;5
for;616
us;182
wildcats;3
know;790
cried;5
died;13
fought;8
the;2375
bottle;4
spike;1
broken;13
promises;1
ungrateful;2
children;18
botched;1
gastric;1
bypass;1
surgery;6
bad;79
dose;1
of;1066
clap;1
m;789
sorry;139
didn;156
mean;218
mention;12
that;1407
but;302
there;380
are;646
stories;6
redemption;1
here;533
hope;23
triumph;1
brad;2
pensky;2
mr;82
has;102
informed;2
his;201
scrap;1
metal;1
business;36
finally;6
out;359
chapter;2
news;12
in;962
anyone;34
book;15
joe;3
grappa;1
an;193
ebay;2
power;9
seller;2
hand;22
towels;4
d;153
be;546
mary;8
b;5
quite;14
contrary;1
she;392
coma;1
as;146
long;55
were;140
five;35
years;57
today;41
give;125
her;235
round;6
applause;1
taking;22
off;119
with;394
pay;32
coming;34
back;222
this;743
brilliant;4
we;1220
america;6
its;21
highs;1
lows;1
misfits;1
beauty;3
queens;1
brain;5
brawn;1
master;6
blaster;3
soul;10
gluteus;1
maximus;1
youngsters;1
oldsters;1
confined;1
people;131
getting;37
hot;14
shit;285
pull;19
around;82
ll;285
actually;30
better;76
make;139
now;328
listen;40
wild;5
hearts;1
cause;115
hit;21
riches;46
pilot;3
www;21
forom;3
com;52
mom;97
like;376
gifts;5
bound;1
em;32
so;494
what;1150
last;49
night;57
roll;7
had;154
them;138
saw;24
they;322
eating;7
palm;2
almost;18
got;539
busted;10
when;133
anything;74
could;176
ve;214
said;98
