Mot;Occurrence
i;2343
certains;21
pensent;7
qu;870
un;1566
enfant;35
dans;560
le;1916
ventre;3
de;2323
sa;164
mère;118
partage;1
ses;74
rêves;15
son;212
amour;10
pour;806
lui;287
espoirs;1
avenir;8
est;2748
ce;1096
conté;1
en;946
images;6
pendant;39
il;1600
dort;4
elle;685
cela;18
la;1535
cherche;37
premier;18
instant;19
et;1114
pleure;4
une;934
caresse;1
mais;440
si;450
vous;1779
saviez;8
depuis;60
était;442
que;1437
vie;90
réserve;2
serait;46
pourchassé;1
destin;9
lié;5
à;1321
celui;43
millions;5
gens;86
chaque;26
moment;63
votre;217
consacré;1
survie;8
comprendrait;1
pourquoi;237
êtes;190
dure;4
étiez;20
sévère;1
irait;4
toujours;108
vers;24
seul;49
rêve;11
partagé;2
avec;338
cauchemar;7
saurait;4
mon;296
coule;3
comme;315
sang;46
john;412
maintenant;116
allez;95
les;852
flics;7
t;686
ont;171
grillée;2
au;277
resto;2
je;2456
sais;383
pas;2151
peut;292
être;332
oui;189
sans;76
aucun;20
doute;13
sarah;118
connor;165
lâchez;5
portez;2
mettez;10
vos;57
mains;15
sur;261
tête;51
genoux;7
tout;434
suite;24
faites;58
moi;440
faveur;2
arrangez;2
là;306
armes;24
viens;67
cours;25
y;538
tuez;5
plus;328
rien;222
n;530
a;1419
d;750
importance;12
avez;242
raison;42
sauf;11
garçon;24
l;1330
nous;426
ça;1054
commence;21
as;390
crié;2
non;343
rendors;1
toi;236
ne;749
peux;213
suis;364
du;441
matin;25
va;329
vais;131
bien;354
ouais;113
très;109
eh;13
sacrément;1
intérêt;7
tu;1373
gars;38
magasin;12
bas;31
m;466
dit;269
toute;26
femme;47
heureuse;4
avoir;120
cette;191
bague;2
connait;5
acheteur;1
veux;205
savoir;84
secret;16
aime;63
secrets;8
ci;8
vraiment;119
accord;85
choisie;3
gros;15
j;1003
ai;779
cherché;5
commencé;14
flipper;5
toutes;17
ces;137
couleurs;1
formes;2
clarté;1
alors;161
remis;5
ta;114
décision;9
jeune;16
ans;91
penses;25
idiot;5
pense;86
oublie;17
es;243
devrais;44
aller;73
c;1512
vrai;66
revoir;13
saison;7
épisode;28
pilot;1
v;24
http;17
projet;34
sg;24
net;20
transcript;11
swsub;2
com;9
août;2
combien;49
fois;83
te;317
quand;213
fais;144
désolée;56
on;1083
rester;33
ici;267
quoi;409
sécurité;55
contre;36
qui;608
inconnus;1
personne;106
pose;13
questions;21
faire;293
école;37
reprend;1
semaines;17
doit;130
peur;31
offre;6
flippes;1
aimes;17
aussi;122
maman;97
écoute;57
trouveront;4
crois;66
jamais;177
regarde;35
demi;11
heure;30
sac;15
des;680
crêpes;1
famille;52
règles;21
avait;105
nôtres;6
baisse;5
lève;5
yeux;30
résiste;1
besoin;125
vu;134
important;25
ou;182
spécial;3
connais;95
tes;41
portes;5
sortie;12
signalez;1
disparition;5
comprends;44
dis;61
partie;40
arrive;62
souvent;19
connaissez;24
pourrais;31
dire;205
dixon;14
fbi;31
longtemps;25
ensemble;20
mois;24
pris;69
tourbillon;2
aucune;38
idée;37
dites;40
système;38
défense;3
skynet;94
signifie;9
quelque;137
chose;182
miles;13
dyson;9
avant;78
parce;69
mort;123
fiancée;8
s;361
abord;8
échappée;2
hôpital;17
psychiatrique;6
pescadero;3
tué;92
deux;92
rasé;1
labo;8
étages;2
foulée;1
destruction;3
biens;1
punie;1
retenir;5
meurtre;12
brillants;3
informaticiens;1
pays;8
père;79
aimant;1
ferait;10
robots;19
ceux;32
futur;101
envoyés;8
tuer;126
fils;86
sens;33
chef;10
résistance;15
combattant;5
machines;47
intelligence;9
artificielle;3
déterminées;2
annihiler;1
espèce;5
humaine;20
donné;24
impression;6
bande;7
rebelles;1
désorganisés;1
genre;50
luke;1
skywalker;1
gamin;17
génial;14
venu;28
chercher;32
aide;42
pouvez;47
me;410
demander;25
sûr;80
juste;92
ma;201
façon;21
comprendre;25
cause;19
perte;9
fille;94
bons;12
moments;7
états;3
unis;2
amérique;4
hallucine;2
dingue;18
première;29
classe;9
homme;69
car;15
croit;18
inventer;3
informatique;25
déclarera;8
guerre;60
monde;90
commençons;2
par;155
nom;61
suppose;13
red;5
valley;5
nouveau;33
mexique;22
septembre;7
ferez;5
chapitres;1
semaine;19
qcm;1
tous;124
vendredis;2
droit;8
examen;3
remplacement;2
mot;20
parents;24
comment;170
appelles;10
cameron;63
parle;59
avais;85
arriver;17
craint;7
vend;3
tracteurs;2
tien;7
assurances;2
quel;56
chiant;2
