Mot,Occurrence
i,6386
a,5216
you,5057
the,4671
to,3965
s,3874
de,3401
on,2971
je,2830
est,2613
t,2493
vous,2455
le,2312
pas,2233
il,2224
à,2074
it,2024
la,1987
that,1937
me,1768
que,1760
un,1754
l,1751
and,1707
et,1680
of,1641
he,1594
in,1582
les,1553
c,1550
j,1415
pour,1413
we,1395
m,1394
this,1330
en,1287
ça,1248
d,1229
what,1144
tu,1142
your,1127
for,1109
ai,1090
qu,1071
une,1054
is,1008
ce,934
my,916
with,868
get,845
got,832
him,824
des,823
re,819
out,808
was,806
vic,801
up,753
have,742
know,741
can,714
just,707
as,707
be,702
qui,701
all,682
don,675
do,669
not,663
si,636
his,631
dans,616
moi,613
ll,604
about,603
no,595
shane,583
if,567
avec,547
they,538
gonna,535
mais,534
right,533
du,527
y,525
sur,516
here,513
now,507
elle,506
plus,497
are,489
but,482
fait,482
one,474
ne,471
there,467
nous,466
lui,466
so,461
want,460
au,460
at,459
pos,447
tout,443
need,439
like,431
se,428
n,424
who,424
va,421
faire,419
te,416
ils,415
her,414
mon,413
us,412
votre,411
she,403
pezuela,402
suis,387
back,386
yeah,379
son,378
être,378
go,371
hey,371
how,368
était,364
avez,359
quoi,355
man,352
let,340
bien,339
ve,331
from,330
down,325
peut,322
an,322
rien,322
well,319
did,311
some,307
lem,307
ma,304
time,304
come,297
où,293
them,293
had,293
been,287
là,287
dit,286
guardo,284
when,283
take,282
didn,281
think,280
where,280
or,274
see,270
why,268
veux,266
off,265
look,264
guy,263
way,261
were,261
shit,260
toi,257
quand,257
going,253
sa,252
our,249
rezian,244
good,244
give,236
ont,235
cette,234
par,230
make,229
sais,229
faut,229
tell,228
comme,228
non,226
over,223
ton,218
pourquoi,215
mackey,213
peux,212
could,211
any,208
thing,204
find,200
ou,200
into,199
ici,197
by,197
sont,196
call,187
will,187
something,186
sure,186
vu,186
too,186
would,184
only,182
alors,181
more,180
avoir,180
deux,179
ses,175
ces,174
es,173
voir,173
autre,172
keep,172
ok,172
then,171
mara,169
two,169
anything,169
police,168
notre,168
place,168
comment,168
still,167
these,166
ronnie,166
san,166
okay,165
maybe,164
oh,164
été,161
avait,160
veut,158
hernan,157
little,157
people,156
never,156
help,156
chez,154
êtes,152
said,152
mes,151
même,151
dire,150
aux,149
uh,148
money,147
doing,146
ta,146
their,145
tous,145
sans,143
put,143
marcos,142
corrine,142
last,140
leur,140
even,139
encore,139
other,138
around,138
avant,137
told,137
temps,136
cartel,134
doesn,133
trying,133
doit,133
before,132
vais,131
sorry,130
long,130
vos,128
has,128
jamais,127
flic,127
really,127
besoin,126
away,126
cop,126
day,125
those,125
talk,124
fais,123
dutch,123
aussi,123
argent,123
first,122
claudette,122
kill,122
guys,121
nothing,120
case,119
parler,119
beltran,119
chance,118
say,118
should,117
tes,117
car,117
killed,117
looking,116
merci,116
sera,114
sait,114
house,113
chose,113
déjà,112
maintenant,112
tuer,112
better,111
deal,111
depuis,111
lot,111
work,110
après,110
affaire,109
toujours,109
night,108
job,108
because,108
thought,108
team,108
found,108
done,107
might,107
heard,107
fille,107
made,107
own,106
oui,106
gang,106
fois,106
through,106
bon,105
tué,105
dois,104
detective,104
allez,104
than,104
came,103
mean,103
hell,103
dis,103
père,101
personne,101
part,101
after,99
everything,99
getting,99
girl,99
street,99
stay,99
trop,98
another,98
mexican,98
today,97
kavanaugh,96
quelqu,95
famille,95
won,95
cause,94
inspecteur,94
ever,94
happened,93
please,93
seul,93
savoir,93
mal,93
sûr,92
voulez,92
else,91
trouvé,91
reste,91
femme,90
peu,90
eu,90
plan,90
dead,90
accord,90
box,89
every,89
aceveda,89
much,89
mexicains,88
entre,88
enough,88
type,87
already,87
new,87
kid,87
crois,87
things,87
listen,87
home,86
someone,86
avais,86
vendrell,86
mieux,86
shot,86
hffffff,86
sous,85
ass,85
thanks,85
family,85
kids,85
head,84
rios,84
being,84
ex,84
salvadoriens,84
ans,84
hear,83
stop,83
minute,83
mort,83
coming,83
vie,82
mère,82
aider,81
life,81
passé,81
dû,81
business,81
b,81
coup,81
until,80
étais,80
talking,80
jours,80
moment,79
took,79
vite,79
god,79
faites,79
lemansky,79
bad,79
old,79
contre,79
wasn,78
trouver,78
does,78
aurait,78
parlé,78
leave,77
emolia,77
couple,77
wanted,77
air,77
vas,77
farmington,77
problème,76
wants,76
merde,76
days,76
autres,76
e,76
gave,76
tant,75
run,75
soit,75
murder,75
working,75
très,75
father,75
again,75
nos,74
move,74
show,74
o,74
trois,74
olivia,74
name,74
armenian,74
billings,74
lloyd,74
prendre,74
soir,74
ain,73
enquête,73
next,73
end,73
few,73
aller,73
meurtre,72
désolé,72
pris,72
truc,72
crime,71
saw,71
hit,71
gun,71
gets,71
nom,70
strike,70
am,70
while,70
start,69
went,69
message,69
big,69
jackson,69
taking,69
train,69
www,68
quel,68
without,68
kind,68
guess,68
both,68
h,68
peur,68
flics,68
pu,67
knows,67
cet,67
morning,67
same,67
goddamn,67
hurt,67
carton,67
means,67
steve,66
passe,66
laisse,66
called,66
baby,66
hiatt,66
problem,66
fils,66
friend,66
which,65
clear,65
whole,65
ask,65
suspect,65
salvadorans,64
juste,64
demande,64
nouveau,64
yourself,64
vraiment,64
aura,64
jesus,63
yet,63
voiture,63
parle,63
open,63
homme,62
savez,62
wait,62
demain,62
since,62
passer,62
donné,62
truth,62
wyms,62
arrête,61
wrong,61
prison,61
face,61
julien,61
service,61
ami,61
vrai,61
enfants,60
arrive,60
byz,60
turn,60
cruz,60
boulot,60
set,60
hands,60
years,60
use,59
wagenbach,59
fine,59
douanes,59
vient,59
left,59
martin,59
captain,59
appelle,59
donne,59
care,59
point,59
assez,59
wouldn,58
somebody,58
vérité,58
under,58
moins,58
arrêter,58
real,58
bonne,57
mexicans,57
écoute,57
blood,57
mois,57
wife,57
ago,57
tard,57
information,57
aujourd,56
hui,56
play,56
mettre,56
seen,56
voilà,56
supposed,56
laissez,56
aurais,56
arméniens,56
infos,55
room,55
either,55
monde,55
cops,55
barn,55
intel,55
agent,55
com,55
between,55
understand,55
try,55
grenade,55
aide,54
chef,54
asshole,54
arme,54
alone,54
city,54
running,54
body,54
daughter,54
mec,53
knew,53
fera,53
jour,53
grand,53
week,53
capitaine,53
boy,53
gangs,53
diro,52
check,52
