Mot;Occurrence
précédemment;23
dans;616
i;1401
the;10
shield;7
tu;1141
vas;77
te;414
cacher;20
fuir;12
je;2830
peux;212
plus;485
me;589
sauver;23
il;2223
s;552
agit;23
de;3395
garder;32
en;1286
vie;82
c;1463
est;2613
les;1552
lanceurs;1
grenades;12
l;1672
importateur;1
des;823
appelle;59
guardo;138
on;1703
lui;466
tombé;11
dessus;43
et;1679
ses;175
armes;38
mais;534
a;2091
filé;3
sauté;3
mon;412
ex;44
femme;90
le;2312
seul;93
but;11
faire;419
paraître;2
cette;234
enquête;73
comme;228
étant;13
une;1054
vendetta;5
personnelle;6
peut;322
être;378
assassiné;8
un;1753
chef;53
gang;43
ça;1248
faisait;32
pas;2232
parti;30
notre;168
accord;90
si;633
antwon;17
vous;2455
avait;160
caché;6
était;364
coup;81
calculé;1
par;230
lieutenant;9
kavanaugh;47
pour;1411
mettre;56
la;1972
curtis;8
péril;3
forcer;3
à;2074
témoigner;8
contre;79
siens;4
client;7
prêt;24
plaider;1
nouvelles;20
charges;7
du;527
moment;62
que;1757
garantir;5
sa;252
sécurité;30
qu;1071
t;675
dire;150
sur;516
amis;33
rien;322
y;507
autre;172
option;2
ne;470
donner;44
ma;292
famille;95
va;421
perdre;29
dernière;43
chance;71
choper;7
vic;368
faites;79
croire;42
lemansky;36
parlé;78
protection;25
témoin;37
se;427
met;18
parler;119
tout;443
revenir;18
figure;2
nous;466
aurait;78
tuyautés;1
son;323
deal;7
implique;5
chute;6
endroit;52
jauge;1
amène;13
supposons;2
passé;81
trouvé;91
moyen;20
d;923
aller;73
au;460
mexique;30
ouvert;16
compte;29
suivrai;2
ce;934
chemin;8
là;287
pourquoi;215
es;172
venu;41
comptais;2
partir;52
suis;387
voir;173
ai;1090
apporté;5
bouffe;4
êtes;152
content;16
inspecteur;94
mackey;102
séparez;1
trouver;78
qui;701
fait;482
buter;18
j;1406
épluché;2
tous;145
contacts;16
personne;101
vu;186
envolé;1
sud;13
frontière;11
federale;2
doit;133
régler;22
histoire;41
taule;32
pu;67
comment;167
venir;45
lem;158
cet;67
façon;22
dont;19
mort;83
putain;40
crèvera;1
même;151
lentement;1
exactement;15
appelés;2
dû;81
confiance;39
peur;68
avais;86
merdé;4
avec;547
faute;25
étais;80
très;75
bon;105
flic;127
ami;61
voilà;56
hommage;1
mérites;3
vieux;27
hffffff;80
rip;10
vince;10
corto;10
stirlingm67;1
transcript;4
swsub;4
com;27
adaptation;23
odile;5
manforti;5
sous;85
titrage;23
dubbing;10
brothers;10
titres;10
retravaillés;10
kb;23
www;36
theshield;23
laserie;23
jones;1
personnel;9
votre;411
coéquipier;13
h;64
sacré;6
billings;38
encore;138
volontaire;2
3e;5
salvadorien;13
avoue;6
meurtre;72
deux;179
ont;235
raté;12
détail;2
pos;447
quand;257
arrivé;39
quelqu;95
dénonce;2
prison;42
laisse;66
respirer;3
direction;20
donne;59
aucune;32
nouvelle;30
ni;39
enterrement;5
officiel;4
conférence;4
presse;14
interrogé;8
non;225
m;560
occupe;42
salut;27
coin;20
n;407
arrive;60
joindre;8
pris;72
journée;35
demain;62
bien;339
sans;143
messages;6
rappelle;20
enfants;60
inquiètent;3
trucs;26
ferai;29
commission;16
adjoint;3
pardon;15
avoir;180
avez;359
minute;31
accorder;3
quoi;355
veux;266
excuser;7
attitude;1
bureau;23
capitaine;53
wyms;32
affaire;109
effet;16
a1;4
réfléchir;8
essaie;18
cerner;3
mes;151
raisons;3
tueur;27
rôle;10
service;53
chargé;4
sais;228
wagenbach;31
type;84
limite;3
angle;6
voulez;92
jon;5
toujours;109
chose;110
question;28
allez;104
trop;98
loin;16
monde;55
repousse;1
limites;2
demande;64
mérite;13
écoute;57
kilo;1
goudron;1
partie;30
tordu;1
initié;3
prendre;74
devait;34
couvrir;15
laissé;36
négocier;15
passant;2
mitchell;6
protéger;48
mal;91
tourné;8
paniqué;3
fuite;6
savait;16
craquerait;1
dénoncerait;1
tué;105
arranger;12
salvadoriens;84
balancé;20
grenade;28
sait;114
laissez;56
suivre;20
piste;20
salvadorienne;9
discrétion;3
respect;15
rapport;36
soir;74
verra;11
sens;21
continuer;9
aurez;21
merci;116
nouveau;64
perd;7
temps;136
déjouer;1
faux;23
aveux;9
bidon;12
fois;106
gêne;10
trafic;18
came;13
tuant;5
dit;286
rester;45
écart;8
attendais;9
clinique;5
méthadone;3
incendiée;1
brigade;37
incendie;6
drogue;49
zone;13
gangs;41
pouvez;40
enquêter;7
prenez;23
recul;3
concentrez;2
tient;22
courant;41
corrine;68
passée;8
hier;44
devrais;20
appeler;24
merde;76
dégage;7
attends;29
chérie;12
coupe;8
reviens;14
demi;8
tour;13
toutou;3
restes;5
toi;257
oui;106
moins;58
goûteux;1
dirait;31
moses;22
enfin;18
terre;17
promise;2
mineures;4
elle;506
majeure;2
consentante;1
purée;1
affaires;38
marchent;2
fort;21
grâce;16
coffre;14
vide;17
ton;218
papa;28
bonbon;1
cassé;3
belle;15
crever;4
faut;229
règles;12
règle;11
numéro;26
décide;5
cramé;11
water;1
secteur;7
one;29
niner;28
deviez;7
tenir;18
allumette;1
truc;72
contraire;10
gens;49
arrêtent;4
héro;4
rattrape;6
benzos;1
ils;415
consomment;1
max;2
foutent;2
désintox;2
rapporte;7
gros;36
camés;6
deviennent;3
sponsorisés;1
état;20
grave;19
certains;18
sont;196
depuis;111
piges;5
vois;50
énerve;2
dose;6
manque;14
craquais;1
mettrais;2
feu;25
envoie;23
agents;22
chaque;29
centre;7
dis;103
intrépide;1
cas;41
besoin;126
dois;104
faveur;7
quentin;7
garth;1
suit;12
cure;2
domicile;5
diminué;1
dosage;1
jusqu;42
mg;1
délire;1
croit;16
roulé;3
médecine;1
menacé;12
conseiller;9
vit;14
meilleur;15
vus;7
jours;80
cuisine;5
chambre;30
connu;11
désert;2
devenu;8
accro;4
sent;6
pain;2
brûlé;4
kevin;15
smith;2
colocataire;1
crâne;4
vidé;1
portefeuille;5
soit;75
ferait;12
ennemis;7
appelé;41
indic;16
emolia;37
soupçonne;5
connaît;18
tuyau;16
seattle;3
chez;154
soeur;7
ignore;30
où;293
installez;2
ici;197
finie;3
ouvre;12
liée;1
établis;2
emploi;5
propre;11
suspect;31
été;161
filmé;1
caméras;6
routières;1
déposition;23
lendemain;5
déclaré;1
tard;57
gosses;21
a10;1
coast;1
highway;1
trajet;3
détend;1
analysez;1
étaient;33
incroyablement;1
proches;13
aucun;42
mobile;12
vais;131
expliquer;8
aceveda;46
allait;20
équipe;36
échange;11
immunité;33
savais;26
irait;4
découvrir;7
vérité;58
coincer;13
complicité;10
gars;48
semés;1
heures;39
penché;1
corps;44
nom;70
dieu;46
fallait;13
tuer;112
donné;62
lance;4
avis;23
recherche;14
ancien;15
soldat;3
retrouvez;1
dealers;8
demandons;1
as;383
ripou;5
étiez;38
lue;1
ans;84
police;85
plein;36
arrestations;5
jamais;127
photo;23
journal;5
eu;90
vent;2
faits;7
conneries;31
johnson;3
cherche;35
bouc;1
émissaire;1
acharné;1
sale;25
enterré;2
départ;13
déplore;1
choisi;6
planquer;1
héroïne;2
voiture;63
forcé;6
avouer;6
puis;43
cellule;5
passer;62
selon;15
becca;1
traité;6
2e;11
dénoncer;3
autres;75
ripoux;2
acceptait;1
igs;20
promettait;1
avant;137
aboutisse;1
comité;14
fera;53
déclaration;7
sera;114
respectueux;1
possible;28
devine;7
tronche;4
respectueuse;1
celle;11
trahis;2
train;33
argent;123
entendu;51
rumeur;10
pute;23
dos;19
mouillé;6
répété;1
réagisse;1
mordu;1
hameçon;3
pote;38
trahi;3
julian;17
fout;12
travaille;21
dutch;58
tampon;2
passeport;2
rené;1
après;110
cousins;6
adresse;22
parle;63
noms;13
immigration;13
préfecture;2
certain;13
choix;38
lequel;6
entré;5
détails;25
fous;19
gueule;13
désolée;26
faisais;10
pause;5
alors;181
grand;28
costaud;2
jovial;1
ennuie;1
papiers;21
amené;11
magnifique;3
danielle;2
prochaine;17
revoir;17
suppose;3
commencer;12
organiser;3
flics;68
enquêtez;2
meurent;2
exploser;1
venez;13
moi;613
accusez;2
assez;59
chagrin;1
quel;68
vos;128
supérieurs;2
comprendront;1
aussi;123
malade;19
cinglée;1
vôtres;3
verront;4
coéquipiers;4
arrêtez;23
lâchez;8
suite;44
bosse;22
neuf;14
battus;2
lieux;8
crime;31
séparer;5
appelez;25
attaqué;4
défendu;2
censée;3
objective;1
objectivité;2
conduit;4
bagarres;1
oubliez;6
occupez;7
roy;1
dégagez;7
bercail;50
blâme;2
insubordination;1
écoutez;14
preuve;13
vrai;61
quelle;28
melendez;3
servi;13
contacter;13
organisé;8
ignoriez;2
appelée;7
effrayée;2
gagner;17
importe;37
gosse;15
terrifiée;2
coincée;5
dites;47
maintenant;112
échapper;3
nos;74
pièges;2
fier;8
voulais;51
reconstituer;1
puzzle;2
apporter;4
entende;2
dea;3
pistes;4
pourrait;51
éplucher;3
parfait;23
appellerai;11
seule;41
sebastio;5
mère;82
venait;4
jouets;4
sûr;92
veut;158
peau;15
protège;9
chié;3
attardé;1
désolé;72
choses;46
mouchardé;1
attend;32
mèche;2
long;21
roulés;1
pression;17
coincé;8
vouliez;10
point;22
laisser;41
menacer;6
fui;4
coûté;8
assumez;2
doigts;4
viré;14
prendriez;2
insigne;37
tenez;15
briser;4
carrière;11
regarder;13
face;16
déshonorez;1
décider;9
visible;1
iceberg;1
intermédiaire;5
homme;62
prévu;18
lieu;36
exact;9
serait;47
ainsi;16
heure;52
boulot;60
coupable;21
simplement;16
disiez;9
aurai;26
ennuis;13
leur;140
dira;14
fils;66
aviez;22
maison;45
piscine;2
chèque;9
mois;57
concret;5
quelques;43
questions;24
poser;12
risquez;2
madame;4
excusez;8
accepterait;1
public;3
bondé;2
atelier;7
couture;6
travaillé;3
eux;43
jour;53
parlez;18
anglais;4
allô;7
contacté;5
retrouver;22
tama;2
costura;2
haden;1
appels;12
passés;5
refuse;13
ouvrir;10
crois;87
idéal;2
retrouve;23
bas;34
ensuite;16
tiré;44
porte;38
essayé;22
esquivant;1
savez;62
pourriez;13
décrire;5
mémoire;10
visuelle;1
furax;6
vende;1
porno;2
industrie;2
milliards;1
dollars;19
juste;64
acceptent;2
frappe;5
aux;149
portes;5
prends;46
côté;24
peu;90
lubrifiant;1
décoincerait;1
ordure;6
bousiller;1
plaie;2
problème;76
reçu;18
retraite;27
profil;18
passe;66
phillips;9
vient;59
directement;7
prend;24
immédiatement;6
acceptez;4
sorte;23
paie;13
certaines;8
évoluent;1
signez;4
évitera;1
soucis;4
sinon;31
idée;43
oeil;12
aiderez;2
ferais;15
allé;21
otages;4
ferez;9
médecin;11
bébé;51
salle;14
examen;10
arrosés;1
essence;7
mettra;5
toutes;48
cliniques;1
ferment;2
négociateur;2
swat;11
arrivent;11
min;8
shane;278
viens;42
sauter;6
couloir;1
isoler;1
ouvertures;1
pièce;16
fais;123
sortir;47
trouve;38
épiscope;1
monte;11
toit;4
essayer;14
emmerde;1
ronnie;96
innocents;12
imbibés;1
sois;20
concentré;2
promis;21
aider;81
croisé;1
croyez;15
pensé;19
entre;88
bras;38
ordures;8
trier;1
ailleurs;15
traitez;2
conne;2
réaliste;1
serez;17
élevant;1
échoué;3
réussirai;1
vraiment;64
autiste;3
début;14
autistes;5
génétiquement;1
frères;8
soeurs;1
prédisposés;1
saleté;1
soyez;18
vigilante;1
vite;79
voit;11
mieux;86
soigne;3
