Mot;Occurrence
i;4985
previously;18
on;1268
the;4661
shield;20
you;5057
gonna;535
hide;16
puttin;1
him;824
run;75
can;714
t;1818
right;533
now;507
it;2024
s;3322
about;603
keeping;29
ya;7
alive;29
ve;331
got;832
history;16
with;868
these;166
grenade;27
tossers;1
guy;262
grenades;11
is;1008
named;15
guardo;146
we;1395
hit;71
hard;47
and;1707
his;631
weapons;10
stash;8
but;471
he;1594
away;126
screwed;6
my;916
ex;40
wife;57
sole;5
purpose;4
making;49
this;1330
investigation;48
seem;19
like;431
a;3125
personal;31
vendetta;2
may;32
have;742
assassinated;1
gang;63
leader;9
was;806
not;663
part;48
of;1638
deal;104
sure;186
antwon;16
didn;281
tell;228
calculated;1
move;74
by;196
lieutenant;13
kavanaugh;49
to;3964
put;143
curtis;10
life;81
in;1582
jeopardy;3
compel;1
testify;7
against;44
team;82
client;8
willing;21
plead;2
new;86
charges;22
as;324
long;109
reasonably;1
guarantee;6
safety;12
what;1144
does;78
say;118
friends;36
nothing;120
there;467
one;445
other;138
option;2
though;31
turn;60
family;84
re;819
lose;40
vast;1
chance;47
at;459
nailing;1
vic;433
make;229
believe;49
that;1937
lemansky;43
gave;76
up;748
for;1109
witness;40
protection;24
talking;80
all;682
bullshit;44
blow;18
back;385
me;1179
if;567
had;293
change;19
heart;8
would;184
tipped;7
us;412
wouldn;58
meant;12
going;253
down;325
go;371
spot;21
ll;604
take;282
temperature;3
doesn;133
show;73
assume;10
made;107
wait;62
until;80
get;845
mexico;34
money;145
parked;9
an;300
account;8
set;60
m;834
route;5
why;268
did;311
even;139
come;297
here;513
weren;19
planning;13
leaving;15
came;90
see;270
guys;121
brought;26
some;307
food;14
shane;305
are;489
happy;19
detective;104
mackey;111
break;31
em;44
find;200
out;808
who;424
kill;121
o;70
then;171
just;707
done;107
no;591
reason;38
piece;22
lead;39
hung;9
head;84
courthouse;1
whole;65
town;34
judge;8
high;37
chair;1
explain;18
courtroom;4
went;69
through;106
your;1127
mind;42
ask;65
jury;4
verdict;1
they;538
felt;7
power;22
death;35
over;223
orphaned;1
children;19
widowed;1
begged;1
their;145
forgiveness;1
wish;14
dead;90
ran;21
grocery;1
contacts;12
seen;56
god;79
damn;41
ghost;8
anything;169
south;8
border;13
our;236
federale;1
neck;11
deep;18
prison;19
beef;22
couldn;43
help;156
how;368
lem;149
place;129
alone;54
way;248
died;25
shit;259
dies;9
same;67
only;182
slower;2
yeah;379
will;187
d;306
reach;12
instead;18
becca;2
should;117
trusted;8
man;351
scared;33
let;340
thing;204
side;44
hey;371
nobody;25
fault;14
were;261
great;43
cop;126
friend;66
deserve;10
c;87
hffffff;6
transcript;14
www;32
swsub;5
com;28
synchro;7
artusamak;5
strike;44
theshield;2
laserie;2
jones;3
partner;23
home;86
billings;36
takes;19
very;41
seriously;2
another;98
homicide;17
volunteer;1
third;7
el;16
salvadoran;51
confess;6
murder;75
first;122
two;169
detail;8
wasn;78
country;19
when;283
happened;93
turns;11
himself;41
juice;9
killing;27
keeps;18
heat;15
off;265
haven;38
heard;107
peep;2
downtown;8
police;83
funeral;3
press;9
conference;3
never;156
wore;1
badge;46
ready;48
be;702
processed;5
check;52
yet;63
around;138
phone;50
still;167
taking;69
time;304
supposed;56
tomorrow;50
everything;99
ok;144
from;330
days;76
leave;77
messages;4
kids;85
freaking;1
well;319
sorting;2
things;87
message;37
call;185
thanks;85
sorry;130
startle;1
minute;52
wanna;20
apologize;8
behavior;8
last;140
week;43
captain;59
wyms;30
office;33
line;29
too;186
been;287
doing;146
lot;108
soul;5
searching;1
light;15
trying;133
locate;5
motives;2
finding;16
killer;24
job;107
charge;24
know;741
wagenbach;28
good;244
looking;116
angle;15
do;668
want;460
jon;7
wanted;77
happen;40
anymore;32
moving;15
please;93
need;439
deserves;9
okay;165
brick;1
tar;1
found;108
something;186
dirty;25
into;199
motion;6
caught;33
protect;36
so;461
plea;3
while;70
brokered;1
mitchell;7
joint;10
bad;79
panicked;2
knew;53
crack;11
killed;117
own;106
more;180
than;104
likely;4
cut;46
salvadorans;64
somebody;58
lap;16
knows;67
follow;18
trail;8
look;264
discreet;2
respectful;3
report;30
end;64
day;124
decide;14
makes;33
sense;20
pursue;2
thank;51
sir;6
spending;8
knocking;8
false;6
confessions;1
smokescreen;1
stepped;13
drug;31
play;56
twice;13
stay;99
waiting;37
water;9
street;98
methadone;4
clinic;7
torched;2
arson;4
patrol;4
rehab;2
heavy;2
area;16
sign;28
working;75
step;26
focus;7
else;91
um;48
corrine;74
night;108
she;403
hadn;7
worried;16
maybe;164
her;414
split;8
favorite;3
errand;6
bitch;44
left;59
overs;1
older;5
tasty;1
looks;52
moses;25
finally;17
land;12
milk;5
underage;3
honey;10
legal;14
kind;68
willin;1
goddamn;67
business;80
has;128
empty;18
safe;48
daddy;21
might;107
broken;8
sugar;2
darlin;2
banger;10
list;39
learn;7
rules;12
burnt;2
9er;1
block;15
holding;13
match;9
methadonians;1
them;293
climbing;1
horse;2
h;4
gain;8
benzos;1
junkies;2
drop;33
tabs;1
don;672
give;236
getting;99
clean;34
big;65
those;125
state;9
sponsored;3
ones;19
hell;103
zombies;1
dose;2
years;60
hold;27
anybody;40
violent;2
kick;6
someone;86
hurting;7
delusional;3
setting;9
fires;2
post;4
unis;27
facilities;1
fearless;1
ever;94
needs;30
favor;31
shouldn;25
hesitate;1
owe;13
said;152
quentin;12
garth;1
study;2
idiot;3
lowering;1
dosage;2
mils;1
volatile;1
raging;2
being;84
medicine;8
threatened;12
counselor;5
lives;20
best;51
either;55
kitchen;6
clear;65
bedroom;13
desert;1
probably;45
where;280
picked;15
habit;3
smell;9
smells;5
toast;1
kevin;15
smith;2
roommate;1
cracked;2
skull;3
open;63
wallet;6
glad;32
hate;11
enemies;7
n;17
uh;148
called;66
actually;32
any;208
touch;20
emolia;40
talk;124
suspect;34
world;29
pipeline;1
talked;27
seattle;3
sister;15
really;127
parking;4
thought;108
opening;3
conjunction;1
creating;2
timeline;2
footage;3
city;53
freeway;9
cams;1
murdered;14
voluntary;1
statement;17
given;16
next;73
morning;67
late;35
hopped;1
headed;9
towards;2
coast;4
highway;2
drive;15
always;52
clears;2
establishing;1
extraordinarily;1
tight;14
plus;12
motive;8
aceveda;43
cutting;6
giving;36
immunity;9
try;55
truth;62
tail;4
aiding;7
abetting;6
shook;2
couple;72
hours;47
later;51
standing;9
body;54
jesus;63
christ;40
needed;7
because;108
apb;6
military;9
guns;33
track;18
members;10
dealers;4
claudette;61
read;26
department;44
many;36
arrests;8
saw;71
picture;24
paper;13
once;37
reporter;2
wind;9
facts;5
brass;6
control;22
spin;8
johnson;3
corruption;4
goat;5
since;62
chief;19
pinned;2
horns;1
shitty;7
ending;3
ugly;6
story;44
buried;4
fresh;13
start;69
awful;10
choice;41
heroin;5
car;64
browbeat;1
admission;2
dump;14
bottom;7
bunk;2
forced;13
second;44
turned;41
cops;55
could;211
assure;1
keep;172
before;132
council;5
formal;3
evening;5
guess;68
face;45
think;280
told;137
train;36
must;42
rumor;10
wetback;2
feed;5
ate;2
julian;5
dutch;65
according;9
visa;1
stamp;5
rene;3
arrived;4
l;79
after;99
says;44
cousins;6
addresses;6
names;21
dmv;3
which;65
dick;21
dutchman;5
oh;162
wow;7
beefy;1
care;59
insurance;7
stuff;19
beautiful;9
danielle;2
bye;9
inside;47
arrangements;3
seems;17
every;89
investigate;5
ends;8
liberty;3
discuss;7
details;25
blown;3
house;113
hang;24
mistake;14
guilt;4
enough;88
grief;4
point;37
bosses;23
realize;12
sick;20
crazy;13
twisted;5
yours;22
knock;18
hands;60
lump;2
crime;40
scene;21
took;79
advanced;1
both;68
times;28
self;9
defense;9
objective;2
eyes;26
objectivity;2
brawls;1
pissing;6
matches;3
ass;85
barn;55
insubordination;1
stop;79
proof;13
melendez;3
used;46
terrified;2
create;7
revenue;2
source;9
woman;35
won;95
buck;4
kid;87
bringing;16
slip;8
noose;2
trust;46
mean;103
pieces;13
together;44
bring;52
hear;83
leads;10
writing;7
sebastio;5
mom;31
coming;83
matter;26
toys;4
afraid;17
snitched;3
people;156
hasn;21
ain;73
retard;1
wrong;61
rat;13
bed;20
played;12
squeezed;8
hurt;67
blind;4
eye;28
threat;28
scare;9
responsibility;7
heartbeat;4
ahead;17
career;14
straight;27
disgrace;3
decision;13
middleman;2
yes;32
planned;11
exact;5
stopped;10
trouble;33
son;55
pool;4
monthly;5
checks;9
real;58
few;73
questions;28
ma;12
am;70
excuse;13
meet;49
public;14
crowded;4
sewing;7
shop;20
work;110
speak;18
english;4
gracias;5
hello;24
reached;6
tama;2
costura;1
haden;1
possible;18
20s;6
calls;25
dodging;1
whatever;41
case;117
shot;85
door;52
shithead;10
tried;50
cap;2
diving;1
idea;40
axl;6
describe;3
sketch;5
artist;3
photogenic;1
memories;2
unhappy;1
peddling;2
filth;1
neighborhood;14
porn;7
billion;2
dollar;5
industry;1
saying;29
doors;9
across;15
alright;3
use;59
assed;2
lube;2
yourself;64
sparky;1
sit;32
shitbag;2
tank;3
poison;2
problem;66
pensions;1
received;2
retirement;7
paperwork;25
low;21
profile;18
pension;10
phillips;10
thinks;21
much;89
directly;6
puts;7
effective;4
immediately;5
mark;4
certain;13
lifeline;2
save;35
loose;12
watching;24
fight;17
showed;18
spooked;8
hostages;1
boys;43
doctor;13
mother;33
month;26
old;78
trapped;4
examing;1
room;55
doused;1
doc;4
gasoline;7
kindling;1
shut;42
clinics;1
negotiator;2
swat;10
minutes;26
shoot;18
cans;4
hallway;2
seal;3
skylights;1
peeper;1
scope;2
roof;3
happening;8
anyone;47
rattling;1
cage;10
cause;54
ronnie;70
innocents;7
soaked;2
game;29
promise;26
memorial;6
staying;11
crossed;6
arms;5
shitpile;2
cleaning;8
dumping;3
doorstep;9
uptight;2
sweetheart;7
realist;1
dumped;9
full;34
handle;40
able;20
autistic;6
fine;59
genetic;2
predisposition;1
siblings;1
genes;1
sooner;13
doctors;6
jammed;2
corner;4
baby;65
table;16
between;55
junkie;3
e;73
little;147
everybody;29
listen;87
crying;7
fumes;3
burning;5
better;111
hand;39
peace;22
quiet;14
vendrell;41
unarmed;1
bargaining;1
chip;4
nah;10
con;6
buddy;35
lying;25
flick;1
bic;1
brother;34
worry;31
closet;4
or;274
cabinet;2
somewhere;24
breathe;4
close;47
psycho;2
vest;1
saved;12
homicidal;1
draw;9
lied;28
sex;8
black;43
early;23
earrings;1
narrows;1
free;32
jump;15
shooting;29
sounds;36
titillating;1
woozy;1
chews;1
circulate;1
skin;7
joints;1
bookstores;1
regular;8
questioned;1
girl;98
mentoring;2
philosophy;1
meeting;30
picking;6
sent;32
closed;15
turning;17
offer;15
handler;4
asrestitucion;1
crushed;2
comeback;1
blond;2
bucks;6
hospital;23
bill;9
hundred;5
yesterday;17
figured;23
boy;53
far;34
till;17
gets;71
moved;13
behind;39
sid;4
coffee;6
wilton;2
ramp;4
anyway;20
harm;10
foul;1
easy;32
ow;2
pissed;14
hope;30
bag;20
cash;37
aside;6
therapy;4
cass;15
internalizes;1
live;33
isn;52
x;7
ray;17
shoulder;5
feeling;17
diesel;1
aftershave;1
today;97
plan;52
duraflame;1
funerals;2
win;27
column;4
beating;4
ourselves;7
except;10
push;19
reckless;1
finish;19
add;9
fit;7
