Mot,Occurrence
i,35990
you,34815
a,28471
the,24783
s,23845
de,22845
je,21442
est,21182
t,17964
to,16716
it,14984
tu,14598
pas,14420
le,14223
on,13430
c,13420
il,12669
la,12453
un,11999
that,11995
que,11773
me,11741
à,11263
what,10352
j,9460
m,9415
l,9144
et,9093
and,9070
he,8650
vous,8580
of,8423
in,8279
en,8186
d,8145
les,7830
ce,7792
this,7150
ai,7022
my,6949
ça,6930
une,6668
qu,6576
pour,6437
is,6322
your,6299
we,5830
des,5624
for,5552
know,5520
don,5490
was,5448
ne,5416
re,5099
as,5015
with,4964
do,4423
tony,4270
all,4232
te,4230
mon,4220
qui,4212
elle,4038
du,4019
about,3963
moi,3939
n,3907
not,3888
y,3845
avec,3828
no,3811
dans,3802
here,3713
so,3604
they,3597
mais,3588
be,3581
she,3560
got,3552
are,3489
get,3489
up,3469
have,3450
like,3405
there,3387
him,3373
quoi,3328
bien,3303
au,3288
but,3278
can,3239
out,3210
right,3166
va,3159
fait,3138
just,3137
at,3127
go,3117
tout,3116
si,3099
ll,3065
suis,3062
how,3021
plus,2987
yeah,2955
était,2942
ma,2837
toi,2836
sais,2822
oh,2780
dit,2758
ton,2753
fuck,2732
ils,2730
fucking,2720
lui,2696
gonna,2582
être,2524
his,2517
faire,2490
veux,2434
se,2392
want,2336
son,2295
if,2291
sur,2274
là,2250
her,2244
good,2220
comme,2216
come,2194
now,2182
think,2162
es,2116
one,2042
rien,1962
ca,1954
did,1953
some,1948
non,1940
who,1917
nous,1910
see,1891
from,1830
fuckin,1809
when,1778
peut,1752
quand,1748
shit,1709
had,1698
let,1686
an,1685
why,1684
comment,1672
say,1618
cette,1612
back,1603
take,1576
hey,1563
were,1542
dire,1530
look,1525
well,1522
où,1512
time,1512
ta,1490
over,1483
bon,1481
tell,1481
votre,1470
pourquoi,1452
sa,1432
been,1427
didn,1425
ici,1422
ve,1400
where,1385
or,1373
soprano,1372
putain,1370
down,1361
okay,1360
could,1359
said,1340
little,1333
peux,1300
ont,1300
oui,1294
something,1291
vais,1274
père,1274
par,1268
alors,1258
guy,1246
même,1242
voir,1232
ces,1222
fais,1204
très,1186
ou,1170
man,1169
thing,1162
should,1158
sont,1142
going,1125
gotta,1125
chez,1116
would,1113
autre,1110
talk,1103
mère,1100
new,1094
off,1077
call,1068
maybe,1058
chose,1053
make,1036
vas,1036
faut,1018
avez,1016
god,1011
give,1001
too,999
mean,988
mes,983
merci,982
way,976
avait,972
then,960
aussi,952
us,951
jamais,948
parler,944
dieu,942
our,941
anthony,940
told,930
étais,920
never,916
deux,912
doing,908
sorry,898
mother,897
really,897
people,896
by,896
two,893
them,892
more,885
été,884
these,874
avais,872
junior,870
toujours,868
tous,862
house,858
tes,850
even,848
those,847
avoir,844
paulie,842
dis,838
other,835
cause,832
peu,830
home,830
juste,828
vu,818
jesus,808
carmela,806
encore,802
put,802
car,790
ses,786
any,785
need,784
sans,782
fois,781
crois,780
kid,779
aller,774
allez,770
dois,766
father,765
will,765
temps,764
maison,760
very,752
wanna,748
accord,741
notre,741
into,738
après,736
quelque,732
merde,728
viens,728
still,727
sure,727
aux,725
money,723
vie,722
place,721
maintenant,716
old,713
huh,709
vraiment,704
thought,704
thank,701
last,699
déjà,694
vrai,694
day,687
meadow,686
nothing,686
veut,686
eu,682
part,682
guys,679
life,676
john,675
ans,672
night,670
femme,670
christopher,669
uncle,669
please,664
anything,662
around,657
trop,654
talking,654
only,651
years,644
depuis,644
fils,642
êtes,638
nice,629
much,626
petit,626
problème,624
friend,621
oncle,620
famille,620
cousin,620
dad,615
business,613
am,612
hear,611
leur,602
mal,594
jackie,594
avant,590
love,588
again,584
johnny,584
listen,583
bonne,580
besoin,580
truc,580
aime,576
better,575
great,572
parle,572
has,569
hello,567
passé,564
voilà,564
family,563
phil,561
ever,559
long,559
things,558
always,555
help,554
type,551
work,551
keep,550
arrête,546
lot,543
bad,538
sûr,532
alright,532
because,531
quel,530
janice,530
doit,530
fille,530
does,529
made,525
kids,524
mieux,520
appelle,514
grand,514
quelqu,512
than,512
passe,512
before,511
christ,507
dû,504
monde,504
feel,504
bobby,503
their,503
ami,501
school,501
salut,500
after,500
aurais,500
first,499
parlé,498
regarde,498
stop,497
away,496
went,496
ah,492
papa,492
voiture,488
laisse,484
care,483
argent,480
hein,480
mort,477
big,477
voulais,476
carmine,475
enfants,470
maman,470
vois,466
every,466
coming,465
ralph,464
parce,464
yourself,461
jour,460
gars,460
beaucoup,456
ass,455
excuse,455
happened,452
air,450
own,450
remember,450
personne,450
homme,448
problem,444
thanks,444
ask,443
heard,441
toute,440
gens,438
jersey,438
says,437
bas,436
believe,436
came,436
pense,434
vito,430
prends,426
question,426
boss,424
arrive,423
week,423
everything,422
wrong,422
sous,422
fine,419
point,417
moment,417
autres,416
soir,414
artie,414
somebody,412
quelle,412
mr,412
three,412
bonjour,412
through,409
ya,409
whatever,408
next,405
saw,405
devrais,404
another,404
anyway,403
else,403
connais,402
wanted,402
uh,401
getting,400
cet,400
today,399
sait,398
doesn,397
hi,394
wife,393
désolé,392
prendre,390
entre,390
kind,388
aurait,386
tête,386
choses,386
minute,385
head,384
year,383
called,382
ouais,382
sit,381
super,380
leave,380
baby,379
morning,378
vos,378
sera,378
nom,374
yes,372
moins,372
wasn,371
richie,366
find,366
raison,366
o,365
enough,363
wait,362
venir,360
eat,358
boy,355
con,355
soit,354
pu,352
e,351
toutes,350
reste,350
donc,348
pussy,347
face,347
tant,346
pris,346
took,345
pendant,344
knows,342
frère,342
won,342
name,342
coup,340
vient,338
matter,338
em,337
fous,336
voulez,336
stay,335
amis,334
genre,334
girl,332
semaine,332
york,330
bordel,328
demande,328
already,328
minutes,328
done,327
foutre,326
nuit,326
everybody,326
nos,324
ecoute,324
left,323
trois,322
savoir,322
conneries,322
supposed,321
whole,321
boulot,320
friends,319
job,319
course,319
entendu,318
brother,318
cul,316
understand,316
dr,316
try,315
mind,315
phone,313
isn,312
gave,312
probably,312
trying,311
heure,310
thinking,310
same,308
vieux,308
saying,308
sil,308
respect,307
carm,307
used,306
being,305
dead,304
donne,304
easy,303
knew,303
jours,302
passer,302
since,301
club,299
service,299
mec,298
parents,297
wouldn,297
pay,297
real,296
might,293
chance,293
seul,292
appelé,292
nobody,292
chris,292
mom,291
world,291
though,291
mine,291
adriana,290
idée,290
best,290
room,290
manger,290
dinner,290
important,290
sang,290
hit,289
gros,288
demain,288
table,288
forget,286
under,284
hard,284
couple,284
film,284
shut,284
while,283
tard,282
bring,280
actually,280
droit,280
beautiful,279
dessus,278
pourrait,278
contre,278
affaires,278
années,278
appeler,276
attends,276
combien,276
goes,275
looking,275
end,275
fini,274
petite,274
hui,274
aujourd,274
woman,274
happy,272
aide,272
mettre,272
game,271
devrait,270
sens,268
serait,268
start,267
live,267
h,266
may,266
guess,266
days,265
use,264
aider,262
move,262
change,262
chercher,262
puis,262
parles,260
anybody,259
open,259
half,259
wants,258
gets,258
later,255
fric,254
assez,254
doin,253
couldn,253
ago,253
café,252
which,252
peur,252
doctor,252
comes,252
partie,250
cancer,248
five,248
deal,248
histoire,248
tiens,248
daughter,246
venu,246
matin,246
happen,246
quelques,246
hell,246
côté,244
must,244
pourrais,242
porte,242
ok,242
faites,242
suite,241
mois,240
having,239
école,238
restaurant,237
rester,236
dernière,236
tomorrow,236
show,236
b,236
myself,235
jimmy,235
many,234
mis,234
door,233
trucs,232
chaque,232
piece,232
six,231
kill,231
idea,231
meet,230
donné,230
savez,230
mari,230
bullshit,229
telling,229
dur,228
stuff,228
cas,228
anymore,228
ii,227
yet,227
souviens,226
second,225
ensemble,224
importe,224
dont,224
jun,223
calme,222
beau,222
enfin,222
ahead,221
high,221
problèmes,220
taking,220
hier,220
plaît,220
aimerais,220
connard,220
ain,219
demandé,218
eux,218
line,218
street,218
whoa,218
different,218
bing,218
newark,217
situation,217
ralphie,217
patient,217
sick,216
jusqu,216
croyais,216
italian,215
play,215
once,214
watch,213
mets,213
without,213
goin,213
chrissy,213
times,212
office,212
envie,212
g,211
sleep,211
sois,210
sortir,210
run,210
nouveau,210
miss,210
désolée,210
furio,210
cut,209
set,209
together,208
devant,208
prick,208
allé,208
sale,207
college,207
malade,206
comprends,206
payer,206
sister,204
nouvelle,204
jason,204
attention,204
partir,204
fac,204
occupe,202
hold,202
compris,202
coffee,202
téléphone,202
savais,202
patron,202
laisser,202
corrado,202
belle,202
least,201
party,201
seen,201
jouer,200
late,200
prend,200
talked,200
eh,200
brought,199
dîner,198
pick,198
hand,198
asked,198
met,198
food,197
gone,197
pensais,196
bed,196
balls,196
trouve,196
allons,196
alone,194
possible,194
making,194
faute,194
heures,194
pretty,194
dollars,193
tomber,192
husband,192
prison,191
crazy,191
longtemps,190
jeune,190
gueule,190
plutôt,190
heart,190
soeur,189
police,189
almost,189
vont,188
donner,188
propos,188
working,187
bitch,187
eyes,187
motherfucker,187
asshole,186
city,186
found,186
mariage,186
cool,186
hôpital,186
elles,186
ginny,185
word,185
goddamn,185
most,185
main,185
tonight,185
fucked,184
both,184
agent,184
talkin,184
essaie,184
arrivé,184
prie,184
hospital,183
someone,183
accident,183
perdu,182
neveu,182
gosses,182
send,182
drink,182
poor,181
peine,180
dehors,180
laissé,180
chambre,180
worry,180
p,179
stupid,179
pardon,179
four,179
bébé,178
inquiète,178
dites,178
travail,178
allait,178
chef,178
black,177
ready,177
such,177
entendre,176
courant,176
fête,176
celui,176
écoute,176
gamin,176
lost,175
compte,174
avis,174
person,174
sujet,174
married,174
ni,174
gosse,174
haven,174
shot,173
médecin,172
étaient,172
vivre,172
till,172
enfoiré,172
himself,172
honey,171
