Mot;Occurrence
les;5714
soprano;586
egarement;2
m;2524
asseyez;36
vous;6234
d;4654
après;492
votre;1058
médecin;118
de;15874
famille;442
le;9890
dr;110
cusamano;34
avez;768
eu;474
un;8248
malaise;10
une;4644
crise;62
angoisse;32
n;2740
arriviez;2
plus;2010
à;7982
respirer;26
pas;10024
forcément;12
analyses;6
sang;212
et;6284
tests;26
neurologiques;2
sont;802
négatifs;6
mais;2510
on;5558
a;7858
envoyé;54
ici;982
ce;5438
est;14746
comment;1136
sentez;26
bien;2278
très;804
j;6486
ai;4878
repris;18
mon;2652
travail;108
faites;196
quoi;2178
conseil;38
en;5776
traitement;54
des;4064
déchets;38
il;8696
impossible;60
me;2998
confier;10
psychiatre;60
savez;160
pourquoi;986
perdu;140
conscience;16
non;1320
c;8824
peut;1216
être;1752
stress;32
dû;338
je;14778
ne;4028
sais;1938
matin;170
là;1500
disais;80
faut;794
monter;48
jeune;122
dans;2640
bon;1070
train;104
moi;2722
suis;2132
arrivé;112
peu;544
trop;458
tard;194
ces;868
derniers;40
temps;514
dis;622
que;8104
la;8630
grande;54
époque;92
terminé;54
l;6326
avis;122
beaucoup;322
américains;36
père;878
jamais;688
parvenu;2
au;2328
sommet;8
comme;1552
vivait;14
mieux;370
était;2002
entouré;4
gens;314
qui;3040
partageaient;2
mêmes;42
valeurs;12
aujourd;196
hui;196
fini;160
sentiment;16
perte;18
aigu;4
juste;522
avant;376
rien;1408
couple;26
canards;48
s;2156
installé;4
ma;1712
piscine;62
dingue;72
ils;1974
venus;44
du;2896
canada;12
ou;808
où;1028
ont;936
petits;96
copine;40
fille;370
conduit;42
lycée;52
ton;1576
ses;570
jardin;34
empeste;2
pisse;24
jus;12
fruits;28
ça;4990
suffit;82
manger;214
filles;88
anniversaire;94
ange;28
treize;6
ans;478
dirait;110
fait;2236
arrête;346
dégoûtant;8
voulez;250
sfogliatelle;10
hier;172
gras;14
bouchée;6
restez;26
si;2070
mince;18
lui;1862
peux;866
construire;26
nouvelle;136
rampe;30
autre;766
bois;64
venez;86
voir;874
essaient;10
envoler;4
national;2
geographic;2
super;258
vus;20
génial;70
cette;1098
mauvaise;56
influence;12
sur;1660
meadow;196
femme;470
cool;58
tu;10206
viennes;6
aspen;8
pour;4390
noël;32
an;126
dernier;120
vu;574
skeet;2
ulrich;2
possible;92
accord;580
travaille;88
tiens;174
toi;1896
tranquille;50
jusqu;160
pourras;32
y;2574
aller;520
bonjour;294
retard;68
merci;632
papa;354
seras;22
rentré;48
fête;124
anthony;290
junior;362
hein;350
homme;302
oiseau;12
écoutes;42
oui;880
rentrerai;6
tôt;60
boulot;196
te;2992
parle;432
dévoiler;6
vie;512
privée;28
parlez;80
jour;294
êtes;458
évanoui;8
parti;102
avec;2610
neveu;124
christopher;198
apprend;28
métier;30
exemple;74
dont;168
parlais;48
t;4336
as;2464
type;398
triborough;10
towers;6
contrat;50
ramassage;8
voulais;322
réveiller;16
son;1266
bureau;116
dès;86
h;128
