Mot;Occurrence
i;6102
m;701
laying;5
out;396
you;4119
coming;69
the;3313
u;13
v;10
index;1
is;756
jesus;96
we;792
don;610
t;1306
do;477
anything;54
eat;40
go;361
god;153
knows;36
else;51
that;1463
all;622
ever;75
think;236
about;513
sex;2
haven;24
fucked;16
me;807
in;1089
over;187
a;2125
year;49
blood;18
sugar;7
told;118
weight;11
loss;12
good;272
fine;45
skin;6
cancer;16
what;1194
s;2565
up;419
thing;160
talked;32
at;429
wedding;20
rusty;14
made;67
call;126
to;1924
italy;10
our;115
friend;77
there;483
gonna;322
fit;3
him;447
for;708
suit;5
she;366
sending;3
two;111
of;1061
her;226
best;30
tailors;1
so;446
should;166
meet;24
em;45
airport;3
no;423
they;489
re;659
when;222
arrive;1
now;276
hook;3
with;618
third;8
party;25
huh;143
get;435
some;294
scissors;3
this;832
smart;8
ton;105
more;143
it;1922
glad;22
approve;3
anybody;27
taking;36
look;185
nothing;92
linking;1
us;117
hey;189
seeing;12
he;1104
how;379
doing;124
are;469
listen;89
come;278
here;411
minute;23
other;109
day;77
couple;40
stitches;1
yeah;393
my;905
fucking;444
temper;2
know;690
noo;1
okay;198
really;137
take;204
thanks;62
remember;68
slamming;3
refrigerator;3
door;39
but;476
carlo;36
and;1156
dad;89
never;112
have;500
raised;6
hands;22
sorry;90
as;175
long;65
realize;11
basically;5
became;5
same;44
every;60
coffee;30
lines;3
meth;3
smooth;2
shot;49
jameson;1
was;660
just;421
drive;16
kids;76
school;47
then;100
one;224
fell;6
asleep;5
work;87
forgot;4
gracie;1
recital;1
human;9
frailty;1
makes;34
sick;20
sometimes;22
chris;24
right;456
kevin;4
mucci;1
yonkers;4
met;16
trotters;1
sal;15
iacuzzo;2
cousin;32
lost;27
ex;5
birthday;25
red;11
robin;2
clifton;1
figured;5
d;175
need;110
meeting;32
make;120
through;63
shit;225
hear;83
saw;55
week;45
turns;5
ran;12
into;76
yours;13
big;59
guy;194
vito;106
fag;10
bar;8
dancing;2
fuck;346
joey;1
use;26
your;689
head;42
not;456
believe;72
spatafore;13
an;183
ass;65
muncher;1
oh;344
did;235
say;204
true;22
kid;99
spotted;1
new;90
york;22
by;98
who;213
allegedly;1
probably;44
bullshit;39
married;30
man;155
goomar;10
back;207
second;29
exactly;14
from;246
place;63
city;24
supposedly;2
on;730
business;69
holding;12
nipple;1
rings;8
leaving;9
part;40
wearing;12
motorcycle;1
outfit;6
like;397
village;3
people;124
leather;4
hat;12
vest;1
chaps;2
too;153
slander;1
ask;45
let;216
can;407
tell;189
if;209
spreading;1
rumors;1
something;143
his;343
own;50
wouldn;31
be;397
cock;10
either;22
point;51
though;51
ours;5
called;38
time;204
ago;29
knew;27
recchion;1
yes;38
said;148
enough;49
rush;5
judgment;3
got;406
hard;42
funny;21
reputation;1
stake;3
nah;18
mean;132
elton;1
john;83
rock;16
hudson;2
gotta;165
actually;60
see;191
phone;51
night;84
morning;40
after;72
honestly;11
weird;12
wanted;44
going;119
fishing;4
heard;57
straight;8
voice;11
mail;7
represents;1
condemn;1
off;145
word;25
douchebag;1
could;167
care;61
less;14
maybe;134
flambe;1
nauseating;2
drag;4
behind;14
car;56
will;89
easy;43
judge;5
roy;1
bean;2
girls;14
ll;317
check;25
seen;27
where;155
loren;1
sudden;6
aids;3
nobody;34
wanna;110
again;90
federal;10
prosecutor;1
office;16
won;50
why;144
son;63
being;43
held;6
or;161
has;67
been;197
four;23
days;37
since;33
arrested;3
money;107
hire;6
lawyer;8
law;37
center;7
write;15
habeas;1
corpus;1
attorney;4
yet;27
volunteer;2
assistant;2
attorneys;1
file;3
writ;1
boy;51
fbi;12
went;52
took;47
criminal;9
america;7
muslim;1
afaf;1
skate;1
local;6
rink;1
unless;5
removed;4
scarf;1
kidding;20
insurance;21
might;39
fall;8
someone;21
trip;18
had;226
yarmulke;1
would;129
different;24
story;16
bet;9
these;102
poor;17
hardworking;1
finn;17
eating;14
government;10
completely;13
family;87
stt;1
kind;56
language;4
house;98
immunity;1
telling;23
mom;33
came;56
yesterday;15
guess;44
crack;5
whore;5
trying;39
welfare;1
afghanistan;3
fled;1
taliban;1
sweated;1
visa;3
lotteries;1
refugee;1
camp;4
hold;38
down;159
three;56
jobs;10
snatched;1
their;55
street;18
world;37
dictatorship;1
pretty;30
scary;5
must;32
reason;14
meadow;30
terrorist;4
bush;3
using;10
excuse;33
erode;1
constitutional;2
protections;1
falling;3
well;258
voted;1
relate;2
black;11
clinging;1
logs;1
oughta;4
chill;5
those;101
arabs;6
credit;11
cards;10
fazool;1
whatever;50
name;32
chance;21
al;17
qaedas;1
hmm;27
cross;6
mind;37
gun;17
nuts;7
smaller;2
ahmed;5
danish;2
cartoons;2
published;1
very;84
upset;16
protestors;1
hated;1
rioting;1
bring;34
bad;62
attention;6
muslims;2
mohammed;4
brother;40
interrogator;1
lebanon;1
syria;1
plus;29
girlfriend;10
dog;6
springer;2
spaniel;1
tony;242
looking;45
calling;12
goddamn;21
everything;56
better;65
sure;93
ahead;25
follow;5
ho;35
motherfucker;19
finook;4
lying;9
piece;36
around;91
speak;14
ital;1
friends;41
naples;3
ying;2
visit;15
little;149
ozone;1
park;9
high;27
provide;2
dumb;1
gats;1
guidance;2
find;36
ahold;1
them;82
leave;46
done;59
fat;21
riding;3
hershey;1
highway;3
somebody;46
started;22
joke;23
mention;13
any;89
names;8
truth;15
captain;9
talking;92
shore;5
soon;19
bat;1
hill;1
didn;133
mid;2
life;68
sucking;5
mr;48
marie;28
still;93
hospital;45
sleep;29
hour;13
hi;62
room;38
reservation;2
sign;12
vacancy;1
rooms;2
usually;7
walk;13
ins;1
slow;9
until;12
leaf;1
peepers;1
show;34
serve;6
breakfast;6
want;202
problem;60
included;2
mastercard;1
pay;33
cash;16
accept;5
beat;18
broke;16
stepson;1
runs;3
tow;1
service;11
early;14
rig;1
brought;25
mobil;1
cadillac;1
route;9
mm;6
franklin;4
pierce;1
stairs;2
first;61
gone;33
which;32
referring;4
spec;12
pvc;1
shake;4
roof;4
shingles;1
even;114
expensive;4
lock;5
shed;2
missing;5
awful;2
mel;2
left;43
rot;2
husband;26
death;18
bed;26
sarah;3
bernhardt;1
picked;8
vulture;1
straighten;4
permits;2
building;24
department;13
beside;2
carmela;62
happened;62
bundt;1
pan;1
fault;22
were;188
denied;1
broken;6
record;6
sake;19
wait;36
ve;164
lifetime;2
gimme;5
national;4
directory;1
state;19
peterborough;1
hampshire;3
number;19
angelo;3
di;5
piazza;3
double;4
z;1
listed;2
sir;36
roberta;3
try;27
p;5
f;6
o;13
r;11
e;9
listing;1
search;2
whole;51
searching;3
johnny;28
cakes;7
pancake;1
white;14
cornmeal;1
england;1
specialty;2
scottsdale;2
delicious;8
butter;2
syrup;2
jimmy;7
deans;1
sausages;1
boys;10
guys;105
storm;3
lights;3
middle;9
cold;13
case;23
thought;82
talk;129
each;21
read;20
book;16
usual;4
boring;4
warn;3
ya;21
addictive;1
coffeed;1
hello;51
uncle;69
sil;46
ain;39
vegas;7
today;47
things;66
ups;2
downs;1
romance;1
awkward;2
offense;2
father;67
loving;4
elsewhere;1
takes;15
unexplained;1
powders;1
forget;40
sweat;1
tears;7
tickets;1
backstage;1
passes;1
lot;77
women;10
getting;42
laid;3
put;92
asshole;20
dick;14
kick;13
faggot;4
telephone;1
tough;12
found;32
side;10
road;12
hang;18
bob;5
marina;1
docks;1
boat;11
says;73
donate;1
sunset;1
dinner;24
cruise;1
paid;7
seasick;1
bermuda;1
angie;4
finally;19
sales;1
reps;1
list;4
silent;8
auction;6
already;44
bucks;5
artie;20
ladies;10
live;29
auctioneer;1
sea;2
bream;1
beautiful;31
porcini;1
dusted;1
ravioli;1
hate;17
pain;12
cook;3
