Mot;Occurrence
his;809
majesty;1166
the;4220
king;749
i;4374
previously;21
it;1305
is;1477
settled;8
we;647
are;725
to;3614
war;44
with;625
france;79
now;331
can;336
go;188
play;28
sir;272
thomas;132
more;229
your;1755
you;3586
didn;39
t;487
say;200
much;122
in;1129
counsel;6
last;30
night;46
about;180
what;669
going;63
as;586
a;1572
humanist;3
have;996
abhorrence;1
of;2335
m;198
forced;7
disagree;1
there;350
someone;36
try;17
hundred;11
crowns;4
don;269
succeed;8
done;81
ranking;1
duke;72
suffolk;45
how;253
does;97
that;1265
please;136
grace;269
celebrate;8
he;823
has;455
no;540
right;69
any;118
this;545
direct;2
descendant;1
edward;66
ii;1
my;1339
crown;18
hold;37
s;1139
arrested;16
on;410
suspicion;13
treason;36
heir;18
tudor;5
dynasty;1
all;516
father;134
work;29
finished;3
and;2591
fault;23
henry;83
will;732
not;846
visit;40
bedchamber;7
used;40
things;83
well;240
between;49
us;207
think;239
sometimes;37
ll;126
ask;101
me;921
for;1056
divorce;9
impossible;6
tiring;1
sister;50
when;148
she;411
was;428
mistress;45
our;322
fortunes;1
were;159
made;82
they;370
liaisons;1
soon;54
over;62
blows;2
hot;5
cold;9
perhaps;62
could;126
imagine;13
way;103
keep;50
interest;7
prolonged;1
passions;1
who;290
anne;131
boleyn;40
mr;301
wyatt;14
love;171
course;66
loved;24
her;551
but;579
from;288
distance;2
never;136
if;383
value;3
life;78
speak;68
others;49
do;545
understand;79
must;237
know;365
desire;39
heart;77
duty;19
use;26
advantage;8
like;262
seduce;1
re;154
doing;40
take;125
away;76
married;43
deliver;10
son;118
everything;82
within;13
power;26
give;82
yours;15
just;134
want;181
get;66
one;206
english;34
people;113
would;322
ever;95
forgive;80
him;395
far;44
concerned;11
marriage;107
ended;3
see;269
really;32
tire;2
gets;5
set;21
whole;37
country;32
rule;12
conclave;1
cardinals;1
make;149
final;10
judgment;10
annulment;11
sure;83
come;259
decision;10
case;39
eminence;11
reach;2
exceeded;1
grasp;2
deliberately;3
stalling;1
delaying;1
making;14
excuses;3
ve;152
gone;29
believed;8
first;62
place;50
lied;8
pretending;2
be;878
side;7
then;221
against;156
wolsey;6
name;55
by;266
order;48
charged;13
high;34
wanna;3
chancellor;21
commend;11
cromwell;151
great;157
man;150
coming;13
knows;38
kings;5
above;26
law;36
answerable;2
god;399
alone;30
anointed;4
them;208
thank;179
shall;159
denounce;1
pope;42
heretic;24
marry;44
whom;22
world;80
england;166
incapable;2
keeping;4
word;32
am;362
merely;4
humble;8
servant;23
swear;63
different;16
hell;16
lion;5
own;97
strength;4
control;6
so;489
begins;1
üè;2
µå;2
ó;2
º;2
óàú;2
http;2
cafe;2
naver;2
com;26
kaile;2
script;3
sync;2
han;1
min;1
special;16
thanks;14
chaoricus;1
darkster;1
font;10
color;6
f0e68c;2
tudors;31
2x01;1
london;28
lord;373
ambassador;41
chapuys;17
thought;64
had;124
abandoned;6
true;117
did;150
or;208
tried;20
conscience;35
abandon;1
most;135
gracious;34
wonderful;6
woman;59
sadest;1
agree;33
emperor;106
written;28
letter;50
an;170
encouragement;3
support;22
efforts;1
behalf;21
beg;34
already;63
given;32
than;112
sufficient;5
prove;10
loyalty;16
nothing;109
provoke;4
suspicions;2
consider;14
times;16
live;45
deprived;3
liberty;9
which;163
allow;28
boldly;1
private;25
matters;29
concern;7
master;94
queen;287
need;65
tell;209
received;28
petition;10
members;13
house;21
commons;11
complaining;2
cruel;8
behavior;10
abuses;4
prelates;1
clergy;24
asking;9
freedom;1
clerical;1
very;243
always;102
condamned;1
been;215
brought;24
light;17
worked;2
hard;14
eliminate;1
purify;2
holy;74
church;101
where;86
stand;19
known;29
cannot;85
condone;2
new;124
fangled;1
vision;2
belief;8
personal;11
permanent;3
living;21
sign;22
presence;16
visible;1
palpable;1
community;1
few;21
breather;1
gathered;4
secret;26
rooms;7
public;15
help;66
arise;3
graces;12
here;312
among;24
hear;60
response;1
charges;10
responsibilities;3
laid;2
generally;1
supporting;3
authority;17
late;20
cardinal;35
bishop;52
rome;34
some;182
may;201
suppose;45
seek;13
commission;11
restore;9
earth;17
assert;1
immunities;1
princely;3
liberties;3
realm;52
sacred;7
seal;17
before;99
solemn;3
oath;47
at;306
coronation;15
conclusion;5
archbishop;20
warham;3
reverend;4
fisher;37
rochester;3
lords;53
asked;24
admit;4
supreme;15
head;57
unfortunately;12
guarantee;3
without;46
abandoning;1
unity;3
sea;10
renounce;6
christian;9
leap;1
out;96
peter;6
ship;4
drown;2
waves;1
heresies;4
sex;5
schisms;1
divisions;6
saying;11
acceptance;1
legal;8
supremacy;16
represent;5
tearing;3
thunder;4
seamless;2
coat;6
christ;64
put;55
proposal;5
congregation;4
title;12
caveat;2
favor;11
latin;5
whoever;6
remained;1
silent;2
assumed;1
agreed;13
campeggio;6
sit;21
down;44
feet;5
killing;7
too;85
d;44
letters;10
regarding;4
matter;54
oh;80
again;92
himself;33
writing;12
cordial;1
favorable;1
noun;1
sake;34
peace;29
uses;5
