Mot,Occurrence
i,6570
you,4332
t,3613
a,3547
s,3223
je,2847
tu,2238
it,2126
to,2102
est,1996
pas,1973
the,1931
de,1782
m,1775
e,1760
me,1566
n,1524
c,1487
l,1463
that,1431
o,1421
que,1392
d,1291
le,1266
and,1170
on,1143
la,1124
il,1094
j,1088
what,1038
ça,1016
et,968
un,966
y,960
à,927
h,927
ne,850
en,837
ai,798
of,795
ce,790
r,789
know,762
in,736
is,724
elle,661
don,656
this,644
u,641
not,633
have,632
as,632
do,617
was,611
he,609
les,602
re,598
she,596
pour,584
can,575
for,572
be,570
we,568
my,563
qu,560
te,559
are,557
une,555
just,541
vous,536
her,521
moi,515
so,513
your,505
damon,492
w,481
but,479
no,470
stefan,464
with,454
suis,447
mais,432
elena,431
get,403
quoi,397
about,386
bien,383
there,381
sais,378
here,377
si,376
des,376
toi,370
all,366
es,352
qui,347
g,347
était,344
like,337
avec,328
ll,327
va,322
out,320
tout,318
fait,316
how,315
go,311
peux,305
être,304
want,301
veux,299
plus,297
dans,281
gonna,278
faire,276
why,276
him,272
up,268
did,266
katherine,265
if,262
b,262
k,262
mon,261
right,261
là,259
now,254
pourquoi,253
they,252
où,246
au,245
du,244
ma,233
well,229
se,229
lui,228
come,227
one,223
think,223
non,220
f,219
where,216
let,216
going,214
vampire,209
back,208
ton,206
good,204
comme,203
yeah,203
p,202
were,200
comment,199
who,199
rien,198
fais,192
ve,189
sur,185
sorry,184
vampires,184
been,184
from,182
ils,181
at,181
when,180
ici,178
really,178
v,178
dit,177
then,177
see,176
alors,175
didn,173
vais,172
jeremy,169
need,169
dois,166
would,166
could,165
peut,164
oh,163
vas,162
ok,160
gilbert,160
quand,159
mystic,158
okay,155
tell,154
because,153
time,152
falls,152
cette,152
ta,150
son,150
look,147
got,147
nous,146
vraiment,144
something,139
doing,138
sont,138
mean,135
étais,135
bonnie,133
way,133
please,132
had,131
merci,131
help,129
some,127
dire,126
caroline,126
avoir,125
oui,125
or,124
over,123
blood,122
maintenant,122
take,121
an,121
will,120
little,120
hey,119
his,117
them,117
sang,115
off,114
make,113
chose,111
talk,110
say,110
vicki,109
more,109
salvatore,109
autre,109
never,109
matt,108
john,108
isobel,108
anything,106
été,105
même,105
town,104
voir,104
ou,103
juste,102
us,102
very,101
even,101
should,101
mère,101
crois,100
sure,100
thank,100
journal,99
fine,98
peu,97
brother,97
thing,96
too,96
dis,95
much,95
home,95
has,95
très,94
jamais,93
ville,93
doesn,93
tous,93
wanted,92
aller,91
any,91
parler,91
love,91
am,91
encore,90
besoin,90
doit,90
par,89
only,89
by,89
team,89
give,89
toujours,89
accord,88
people,88
car,88
everything,88
quelque,87
mal,87
vu,87
frère,86
keep,86
voulais,85
bon,85
passé,85
quelqu,84
ont,84
temps,84
emily,83
night,83
désolée,83
aime,83
désolé,83
vie,82
depuis,81
allez,81
said,81
long,81
avais,81
sûr,80
aussi,80
life,80
stop,80
deux,80
soir,79
happened,78
parce,78
part,77
cause,76
won,76
eu,76
down,76
kill,76
find,76
away,75
veut,75
wait,74
hurt,74
truc,73
fois,73
again,73
laisse,73
thought,73
wanna,73
personne,73
dead,73
nothing,73
day,73
our,72
things,72
family,72
avez,72
avant,71
donc,71
ces,71
still,71
mom,70
god,70
plaît,69
yes,69
arrête,69
wasn,68
maybe,68
before,67
anna,67
trop,67
into,66
last,66
secret,66
told,65
years,65
avait,65
party,64
gotta,64
girl,64
someone,64
friend,63
passe,63
faut,63
moment,62
does,62
connais,62
wrong,62
remember,61
lot,61
logan,61
vrai,61
mes,61
viens,60
guy,60
problème,60
first,60
other,60
partir,59
tes,59
mec,59
understand,59
school,59
leave,59
jenna,59
man,58
air,57
parents,57
important,57
tuer,57
aider,57
sa,57
tomb,57
devrais,56
gens,56
being,56
done,56
père,56
sera,56
feel,56
sait,56
trust,55
tonight,55
stay,55
cool,55
histoire,55
êtes,55
après,55
great,55
aurais,55
saw,55
uh,55
killed,54
fell,54
mieux,54
lockwood,54
knew,54
fille,54
pearl,53
work,53
choses,53
else,53
famille,53
bad,53
comprends,53
fête,53
vois,52
sans,52
after,52
actually,52
animal,52
votre,51
beaucoup,51
tyler,51
believe,51
ans,50
care,50
sois,50
zach,50
savoir,50
miss,50
nice,50
made,50
around,50
fun,50
pense,49
hein,49
old,49
isn,49
real,48
turn,48
than,48
better,48
sortir,48
déjà,48
vervain,47
trying,47
every,47
new,47
bonne,47
verveine,47
www,47
partie,47
toute,47
entrer,47
jonathan,47
leur,47
coming,46
always,46
amie,46
thanks,46
seul,46
yourself,46
femme,46
ask,46
aide,46
com,46
anyone,45
looking,45
supposed,45
call,45
dieu,45
history,45
ever,45
took,44
change,44
pendant,44
chance,44
parle,44
peur,44
stuff,44
dû,44
name,44
left,44
alone,44
autres,43
until,43
talking,43
fondateurs,43
monde,43
connaître,43
moins,43
nuit,43
wouldn,43
ring,43
quel,42
confiance,42
alaric,42
wants,42
which,42
savais,42
these,42
voilà,42
through,42
haven,42
essaie,42
enough,42
hell,42
question,42
course,42
chez,41
raison,41
went,41
yet,41
pourrait,41
those,41
witch,41
found,41
drink,41
kind,40
reste,40
dad,40
came,40
arrive,40
mother,40
couldn,40
regarde,40
puis,40
die,40
ouais,40
huh,40
ami,39
problem,39
choice,39
mr,39
donné,39
sort,39
wife,38
notre,38
choix,38
seule,38
live,38
tant,38
entre,38
gave,38
pensais,38
try,38
mort,38
whole,38
sens,37
années,37
hear,37
knows,37
attends,37
um,37
another,37
sorcière,37
deal,37
human,37
two,36
gone,36
person,36
parlé,36
saltzman,36
must,36
house,36
own,36
sous,36
founder,36
pourrais,36
spell,36
rester,36
mind,35
friends,35
chercher,35
guys,35
both,35
together,35
getting,35
best,35
whatever,35
ses,35
nouveau,35
pu,35
aah,34
myself,34
seen,34
longtemps,34
appelle,34
importe,34
petit,34
excuse,34
minutes,34
bit,34
prendre,34
fini,34
bois,34
already,34
voiture,33
amis,33
watch,33
tombe,33
ensemble,33
morte,33
might,33
tard,33
few,33
plan,33
lycée,32
bizarre,32
étaient,32
door,32
pris,32
soit,32
montre,32
put,32
since,32
guess,32
porte,32
same,32
seriously,32
move,32
jusqu,31
head,31
show,31
impossible,31
bague,31
risque,31
pretty,31
sérieux,31
open,31
uhh,31
today,31
world,31
hope,31
grand,31
corps,31
while,31
miniben314,30
assez,30
croutch,30
mcfly,30
thirteen,30
place,30
toutes,30
hard,30
donovan,30
aucun,30
uncle,30
grimoire,30
anymore,30
control,30
different,30
risk,30
vivre,30
point,30
diaries,30
genre,30
trouver,30
souviens,30
inside,30
idea,29
jour,29
vérité,29
start,29
big,29
weird,29
everyone,29
protect,29
teacher,29
shouldn,29
truth,29
écoute,29
used,29
aurait,29
tête,29
bas,28
passer,28
forom,28
listen,28
dance,28
trouvé,28
face,28
ready,28
arrêter,28
bring,28
ago,28
possible,28
grill,28
died,28
laisser,28
easy,28
wolf971,28
église,28
church,28
father,27
true,27
maison,27
crystal,27
venir,27
year,27
sûre,27
elles,27
