Mot;Occurrence
i;708
pendant;44
plus;297
d;632
un;966
siècle;26
j;1043
ai;798
vécu;24
caché;21
tapi;1
dans;281
l;875
ombre;4
seul;46
au;245
monde;43
jusqu;31
à;927
maintenant;122
je;2847
suis;447
vampire;98
et;967
voici;15
mon;261
histoire;55
une;554
heure;15
de;1782
route;14
pour;584
cette;152
merde;21
c;1221
était;344
même;105
pas;1973
groupe;5
mec;59
avec;328
guitare;2
deux;80
heures;11
aller;91
retour;16
il;1094
si;375
mauvais;19
chantait;1
comme;203
james;2
blunt;2
alors;175
on;686
a;958
déjà;48
est;1996
suffisant;2
pourquoi;253
tu;2238
es;352
venu;22
parce;78
que;1392
t;640
aime;83
bonne;47
raison;41
quoi;397
ce;790
brouillard;4
ça;1016
va;322
passer;28
attention;13
vas;162
bien;383
vient;22
renverser;1
quelqu;84
appelle;34
les;602
secours;5
allez;81
pitié;11
sois;50
vivant;11
oh;18
dieu;45
n;499
y;419
réseau;1
mystic;81
falls;77
team;44
1x01;1
pilot;1
croutch;16
humanidyne;11
mcfly;16
miniben314;16
thirteen;16
vaern;2
wolf971;15
aurais;55
dû;44
revenir;11
connais;62
le;1266
risque;31
mais;432
avais;81
choix;38
dois;166
la;1123
connaître;43
cher;7
journal;55
aujourd;24
hui;24
sera;56
différent;12
faut;63
sourirai;1
semblera;1
sincère;6
sourire;4
dira;1
vais;172
merci;131
oui;125
me;516
sens;36
beaucoup;51
mieux;54
ne;850
serai;18
petite;26
fille;54
triste;16
qui;347
perdu;14
ses;35
parents;32
recommencerai;1
zéro;4
deviendrai;1
nouvelle;10
personne;73
seule;38
façon;24
traverser;2
des;376
toasts;2
peux;305
faire;276
tout;318
compte;12
café;11
tante;5
jenna;27
du;244
votre;51
premier;19
jour;29
école;8
prête;19
argent;2
déjeuner;3
non;214
bon;84
rien;198
autre;109
crayon;1
hb;1
oublie;21
as;491
grosse;6
présentation;2
rendez;12
vous;536
directeur;2
thèse;3
ira;22
commence;17
mamie;12
m;454
dit;177
médium;7
nos;19
ancêtres;8
étaient;32
salem;7
complètement;10
fou;19
sais;378
elle;661
arrêtait;4
sujet;19
là;259
mettez;5
en;837
maison;27
retraite;1
commencé;10
dire;126
prédit;2
obama;1
heath;1
ledger;1
pense;49
toujours;89
floride;2
se;229
transformera;1
petites;4
îles;1
recommencé;2
désolée;83
bonnie;53
disais;10
accord;88
prédis;2
quelque;87
chose;108
sur;185
moi;515
vois;52
elena;178
genre;30
oiseau;3
sorti;7
nulle;8
part;33
sérieux;31
avoir;125
peur;44
voitures;8
toute;47
ma;232
vie;82
année;16
déchirer;2
tous;93
moments;3
tristes;1
sombres;2
sont;138
finis;7
seras;16
qu;560
heureuse;10
manque;17
cruellement;1
mecs;5
regarde;40
rideau;1
douche;4
kelly;4
beach;3
ressemble;12
travesti;1
fini;34
trouver;30
créer;3
expression;2
chargée;1
déteste;10
haine;1
largué;3
trop;67
cool;23
montrer;12
secret;28
écoute;29
tubes;1
air;46
supply;1
comment;198
contente;8
te;558
voir;104
caroline;61
vraiment;144
pauvre;4
voit;9
tard;33
commentaire;1
allais;21
prends;25
toutes;30
savais;42
trouverais;2
drogués;1
pete;6
wentz;2
veut;75
récupérer;19
son;140
vernis;1
ongles;1
