Mot,Occurrence
i,14271
you,14210
the,14067
a,12420
de,10938
on,9029
est,8606
s,8276
to,8267
t,7681
le,7209
je,7089
that,6125
pas,6062
it,5935
la,5861
il,5761
à,5544
un,5494
que,5445
c,5384
and,5354
et,5048
tu,4919
vous,4894
me,4495
les,4424
we,4289
in,4170
l,4156
ça,4146
d,4095
ce,4007
of,3904
what,3868
en,3851
he,3753
m,3611
this,3589
qu,3394
pour,3327
for,3247
des,2912
une,2883
j,2867
is,2845
up,2805
all,2767
got,2554
know,2484
with,2445
qui,2349
no,2288
they,2255
right,2236
your,2205
dans,2204
as,2167
ai,2117
y,2115
man,2029
re,2010
do,2006
du,2003
mais,1982
can,1956
si,1939
be,1918
sur,1916
but,1912
my,1880
get,1863
don,1831
ne,1806
ils,1798
shit,1751
out,1692
if,1657
avec,1631
here,1616
gonna,1589
at,1564
n,1560
was,1557
him,1555
there,1550
so,1546
ain,1524
au,1523
like,1523
tout,1495
yeah,1494
fait,1489
not,1483
just,1473
about,1458
moi,1444
plus,1442
one,1439
faire,1398
te,1373
non,1354
go,1328
have,1313
va,1288
now,1286
nous,1286
bien,1274
quoi,1274
se,1263
fuck,1250
how,1206
là,1178
his,1174
from,1118
are,1112
them,1096
lui,1078
mon,1077
comme,1058
down,1055
some,1050
sais,1035
dit,1016
back,1005
être,1004
who,1000
toi,990
or,990
come,979
need,977
ll,976
see,971
rien,963
want,951
suis,925
yo,919
good,908
peut,895
oui,892
était,877
police,873
veux,834
cette,825
alors,820
elle,819
où,804
ont,804
an,803
son,798
deux,795
ou,770
when,764
where,764
quand,757
think,756
us,755
dire,747
look,736
es,720
fucking,698
bon,694
sont,692
did,686
ces,685
she,674
say,673
take,670
more,670
faut,668
then,668
time,668
let,667
même,652
two,648
mean,644
ici,642
avez,639
tell,636
off,633
votre,629
comment,624
putain,621
way,618
baltimore,616
little,615
par,610
why,607
ton,598
been,598
people,591
money,576
over,576
tous,574
make,572
merde,571
too,569
work,561
pourquoi,559
ma,557
thing,554
autre,550
marlo,548
voir,540
something,538
barksdale,531
going,527
peux,526
our,522
aussi,517
ouais,513
had,500
give,500
vais,500
oh,494
case,494
ve,492
allez,490
even,489
chose,488
ass,487
day,486
accord,476
these,474
fais,474
boy,468
by,467
well,466
été,465
sans,463
hey,459
sa,458
call,450
street,449
new,444
could,437
nothing,435
gars,430
put,429
omar,429
encore,424
écoute,424
still,424
any,421
juste,418
avoir,415
vu,414
mec,406
aux,405
motherfucker,405
maybe,404
temps,397
dis,395
lieutenant,393
mcnulty,393
were,392
fois,388
said,387
avait,383
didn,381
affaire,380
leur,378
gotta,376
will,373
besoin,373
okay,370
than,369
argent,369
much,367
veut,366
would,366
her,366
around,362
truc,362
doing,358
came,358
city,358
last,357
peu,357
maintenant,356
talk,355
après,349
toujours,346
vois,346
mr,345
vas,345
jimmy,341
those,341
name,340
other,339
damn,335
ta,333
avon,329
every,328
êtes,328
avant,327
déjà,326
petit,324
notre,324
saying,323
keep,322
parler,318
has,314
ville,313
crois,311
major,310
three,309
daniels,309
might,308
personne,308
cause,305
quelque,303
hein,303
only,300
merci,297
mes,296
first,294
monde,292
told,290
vraiment,290
part,289
car,287
trois,286
anything,286
rue,284
stringer,284
mayor,284
huh,283
before,282
jamais,282
guy,281
phone,278
lester,278
nom,277
grand,277
maire,276
done,275
parce,275
aller,274
long,273
depuis,272
should,271
problème,270
real,268
dois,266
sure,266
because,265
after,264
sera,264
chez,263
district,261
year,261
home,260
today,260
trop,260
enough,259
run,256
else,256
moins,253
eu,250
ans,250
into,249
bunk,249
coming,248
joe,247
doit,247
quelqu,246
point,246
never,245
vrai,245
b,243
sûr,242
autres,241
am,240
lot,239
find,239
problem,239
guys,238
vos,238
étais,237
moment,235
jour,235
their,235
years,234
better,233
talking,232
ses,231
service,231
très,231
another,229
coup,229
looking,227
working,226
same,226
cet,226
toute,226
feel,225
burrell,225
sir,224
rawls,224
sait,223
hear,222
next,222
hell,221
big,220
through,220
help,219
mal,219
four,219
number,217
night,217
soit,217
bonne,216
carcetti,216
drogue,215
again,215
which,213
passe,212
dead,212
business,210
viens,210
question,210
couple,210
tes,209
really,209
place,209
heard,208
nigger,208
mieux,207
hold,205
reste,204
voulez,203
does,202
boulot,201
savoir,201
demain,201
ouest,200
avais,199
prendre,199
air,199
quatre,198
wanna,198
sous,197
crime,196
six,196
remember,196
old,195
em,195
frank,195
aujourd,194
week,194
pay,194
hui,194
voilà,193
homme,192
nos,191
says,191
royce,191
gens,191
thought,191
enquête,190
ask,190
white,189
drug,189
foutre,189
type,189
wasn,188
quelques,188
kima,188
numéro,186
jours,186
tomorrow,185
mois,185
office,185
appelle,185
sorry,183
kind,181
school,181
regarde,181
affaires,181
away,180
toutes,180
bell,180
inspecteur,180
faites,179
donne,179
game,179
dessus,179
show,179
detective,177
word,176
thank,176
heures,175
made,174
took,174
though,174
bullshit,173
dee,173
fric,173
passé,173
end,173
donc,173
soir,173
bitch,173
combien,172
passer,172
getting,172
charge,172
comes,172
celui,172
laisse,170
mort,170
start,170
assez,170
bad,170
shot,170
jusqu,169
kid,169
travail,168
thanks,168
seul,168
pris,168
prends,168
already,168
girl,167
boys,167
cas,167
house,166
doesn,166
minutes,166
vont,165
things,165
everything,165
went,164
half,164
gros,164
yes,164
aurais,163
corner,163
hé,163
tommy,162
contre,162
parle,162
wait,161
bureau,161
seen,161
move,161
believe,160
heure,160
chance,160
bring,160
trying,159
whole,159
bey,159
string,159
voiture,158
quel,158
puis,158
gets,158
wrong,158
job,158
cul,157
entre,156
arrive,156
savez,156
black,156
hit,156
play,156
five,156
face,155
use,154
murder,154
won,153
chris,153
bas,153
while,153
left,153
stanfield,152
eux,152
pourrait,152
goes,152
cheese,152
clean,151
connais,150
listen,150
aura,150
wants,149
semaine,149
own,149
dû,149
beaucoup,149
mère,149
head,149
monsieur,148
kids,148
front,147
best,147
whatever,147
jury,147
ready,146
meurtre,146
someone,146
sobotka,145
days,145
hommes,145
door,145
colvin,145
few,144
fucked,144
ever,144
stay,143
fuckin,143
line,143
bird,143
côté,143
davis,142
bubs,142
state,142
check,142
vient,142
aurait,142
connard,142
everybody,142
marche,142
salut,142
running,142
chef,141
plan,141
hand,141
cinq,141
clay,141
side,140
téléphone,140
always,140
deputy,140
mind,140
without,139
try,139
either,139
fils,139
nuit,138
morning,138
being,138
tête,138
meurtres,137
nouveau,137
guess,137
corners,137
yourself,137
room,136
york,136
demande,136
hffffff,136
gave,135
porte,134
nobody,134
entendu,133
port,133
venir,133
walk,133
enculé,133
called,133
wouldn,133
arrête,133
genre,132
court,132
pense,132
department,132
quartier,132
understand,132
mettre,132
flic,131
dernière,131
high,131
jesus,130
until,130
change,130
coin,130
conneries,130
unit,130
vie,130
care,129
surveillance,129
hard,129
please,128
club,128
maison,128
thinking,128
devant,128
officer,128
main,127
used,127
gun,127
famille,127
chaque,127
raison,127
pretty,127
ah,127
fini,127
trouver,127
phones,126
homicide,126
trucs,126
attends,125
serait,125
ceux,125
choses,125
prêt,125
compte,125
message,125
cool,124
happened,124
hands,124
mike,124
knows,124
pote,123
h,123
least,122
bordel,122
behind,122
sit,122
pendant,122
both,122
leave,121
turn,121
aucun,121
pouvez,121
excuse,121
dieu,120
west,120
straight,120
font,120
appel,120
most,120
nice,119
p,119
cell,119
angelo,119
ago,119
quelle,118
greggs,118
respect,118
downtown,118
sortir,117
bodies,117
désolé,117
questions,117
journée,117
dites,117
knew,117
mis,116
école,116
façon,116
parlé,116
late,116
witness,116
young,116
minute,115
donné,115
stop,115
appelé,115
open,115
bodie,115
once,115
tonight,115
histoire,114
état,114
devrait,114
anyway,114
freamon,114
filles,113
many,113
michael,113
voulais,113
motherfuckers,113
elles,113
aider,113
baby,112
g,112
story,112
herc,112
alright,112
essaie,112
yet,112
femme,111
anyone,111
drugs,111
dope,111
nah,111
donner,111
probably,111
ni,111
wallace,111
compris,110
stuff,110
vite,110
months,110
o,110
vieux,110
past,109
blanc,109
saw,109
great,109
préfet,108
con,108
pu,108
témoin,108
partie,107
weeks,107
cut,107
murders,107
meet,107
isn,106
telling,106
adjoint,106
pull,106
tony,106
zig,105
équipe,105
tour,105
trouve,105
homeless,105
mecs,105
tué,105
asking,105
since,105
step,105
tant,104
shut,104
stand,104
wanted,103
taking,103
actually,103
god,103
tiens,102
gueule,102
flics,102
numbers,102
matin,102
neuf,102
life,101
file,101
enfin,101
world,101
rues,101
supposed,101
cash,100
plutôt,100
bug,100
près,100
prend,100
pick,99
ight,99
deal,99
courant,99
fine,99
laisser,99
close,99
table,99
under,99
leurs,99
girls,99
bout,99
seulement,99
lex,98
later,98
reçu,98
train,98
payer,97
naw,97
second,97
trouvé,97
wire,97
makes,96
suite,96
longtemps,96
hours,96
comprends,96
avocat,96
far,96
dont,95
droit,95
somebody,95
set,95
commissioner,95
killed,95
photos,95
jeu,95
prez,94
full,94
cité,94
brother,94
boss,93
derrière,93
sang,93
uh,93
live,93
love,93
needs,93
père,93
making,93
christ,92
sent,92
sun,92
flingue,92
nouvelle,92
année,92
photo,92
anybody,92
goddamn,92
very,92
importe,92
pourrais,92
tard,92
wee,92
town,91
family,91
caught,91
ait,91
portable,91
jay,90
himself,90
dossier,90
possible,90
mains,90
dollars,90
myself,89
aucune,89
monk,89
happen,89
tours,89
hour,89
enfants,89
lost,89
petite,89
sayin,88
mise,88
semaines,88
cases,88
send,88
plaît,88
may,88
against,88
cela,88
demandé,87
dealers,87
aide,87
savais,87
write,87
agent,87
couldn,86
calls,86
loin,86
rapport,86
north,86
roll,86
savino,85
veulent,85
found,85
aime,85
code,85
avenue,85
light,85
rester,84
attention,84
carver,84
plein,84
fera,84
gus,84
eh,84
devrais,84
niggers,84
fact,84
jouer,84
centre,84
also,83
dernier,83
première,83
buy,83
paid,83
package,82
maryland,82
calme,82
red,82
lose,82
tomber,82
catch,82
westside,82
sens,82
arrivé,82
everyone,82
together,82
gone,82
unité,82
near,81
drop,81
corps,81
tueur,81
cop,81
super,81
nigga,81
écoutez,80
easy,80
venu,80
sergent,80
peine,80
month,80
huit,80
soon,80
sinon,80
double,80
asshole,80
pardon,80
public,79
friend,79
arme,79
randy,79
uncle,79
hall,79
class,79
round,79
hier,79
colonel,79
matter,79
sort,79
avons,79
petits,78
prison,78
valchek,78
étaient,78
top,78
bit,78
eight,78
different,78
namond,78
classe,78
dedans,77
western,77
clear,77
beat,77
dehors,77
arrêter,77
vote,77
voyez,77
demander,77
ship,77
stash,76
juge,76
cours,76
judge,76
throw,76
criminelle,76
truck,76
ok,76
important,76
oncle,76
années,76
fin,76
park,76
paper,76
body,75
