Mot;Occurrence
tu;745
vois;56
je;1223
suis;179
là;163
pour;685
te;187
dire;117
que;878
ce;586
mutisme;1
de;1993
merde;64
servira;2
à;1003
rien;129
contrairement;1
qui;336
se;206
raconte;8
t;319
es;110
assis;10
y;277
tenir;6
attendant;7
ton;105
avocat;16
tous;106
frais;6
payés;10
pensant;5
as;196
craindre;2
hein;91
eh;15
bien;217
truc;67
marche;25
les;871
grands;6
criminels;3
quand;133
pas;1100
été;74
chopé;3
en;695
flag;1
pote;6
est;1201
dans;374
la;1023
pièce;7
d;664
côté;20
train;7
accuser;4
il;959
dénonce;1
comme;168
une;615
petite;14
pute;12
on;721
a;836
même;141
au;293
mcdo;1
lui;158
vu;66
tout;263
qu;493
nous;215
dit;164
deux;133
royal;1
cheese;22
grande;8
frite;1
des;524
cookies;2
un;1022
dr;2
pepper;1
c;824
prend;21
allez;34
dehors;17
va;155
où;136
faire;200
pause;2
bouffes;1
ça;663
accord;40
mais;431
dirai;8
dalle;8
monell;5
fous;16
combien;23
temps;93
fait;229
crois;45
moins;50
ans;56
vrai;39
faux;12
charge;12
vraiment;30
oh;10
oui;124
américains;1
sont;118
cons;3
et;871
peu;53
gobe;1
quasiment;2
sent;6
mon;173
coeur;4
battre;9
pouls;1
si;302
j;505
avais;29
le;1313
flingue;4
machine;3
décèle;1
histoires;9
fiston;10
prêts;5
professeur;2
commencer;7
par;110
facile;11
appelles;2
deshawn;1
fredericks;1
habites;1
woodyear;1
street;25
baltimore;80
ouest;38
toi;134
vous;752
avez;98
buté;3
votre;112
pookie;2
sur;407
cary;1
l;796
mensonge;14
enculé;43
menteur;6
ne;305
trompe;1
jamais;54
chier;4
renoi;7
peut;133
fermer;7
sa;90
gueule;12
aurais;28
dû;20
foutre;18
bastos;4
moi;216
laisser;16
maison;20
plus;294
gros;26
ils;333
croient;4
hffffff;133
b;33
more;2
with;6
less;1
bunk;27
abord;13
blackberry;1
pris;34
musique;2
toute;48
cette;138
filature;1
finit;2
payer;26
arrive;28
homme;35
noir;14
non;135
identifié;2
i;802
jimmy;46
autre;117
face;15
serait;20
marrant;1
était;140
réellement;3
sais;166
ai;356
entendu;24
histoire;34
sujet;11
étais;49
du;366
encore;63
quoi;186
soit;29
sous;50
couverture;11
prostitution;1
lieu;12
retirer;4
continué;3
conclu;3
affaire;93
lu;8
rapport;14
sucer;2
écrit;10
lis;6
écoute;48
dis;55
prends;22
ta;49
came;4
faut;89
partage;4
réglo;3
dois;53
mes;48
gars;67
pareil;4
m;241
augmentes;1
tarot;3
paye;12
tes;38
alors;99
réduis;1
part;41
veux;126
mieux;34
équipe;14
chris;34
snoop;14
reste;42
rendront;1
visite;9
aux;86
tiens;16
sera;55
bref;10
avec;304
bande;9
