Mot;Occurrence
you;8585
see;604
now;846
i;8480
m;1673
here;957
to;5237
tell;382
this;2312
remaining;2
silent;2
shit;1014
ain;886
t;3876
nothing;216
like;979
they;1380
make;369
it;3664
out;1033
be;1217
up;1600
in;2450
all;1629
tight;19
with;1533
waiting;33
for;2032
your;1332
paid;42
lawyer;30
thinking;65
wise;12
no;1302
that;3686
worked;38
when;441
some;644
kind;107
of;2379
criminal;21
mastermind;1
been;360
seen;98
runnin;36
from;694
the;8283
deed;5
own;94
fuckin;121
running;88
partner;23
next;152
room;79
putting;32
he;2204
s;4425
telling;59
a;5878
little;337
bitch;99
we;2567
even;319
went;111
mickey;4
d;1184
him;919
because;169
was;919
so;953
motherfucking;16
helpful;1
quarter;20
pounders;1
big;135
fries;7
mcdonaldland;1
cookies;3
dr;10
pepper;6
how;718
boy;304
roll;42
right;1168
step;66
where;450
are;637
going;304
break;38
can;1198
enjoy;6
huh;258
but;1260
still;268
sayin;87
marnell;5
what;2209
fuck;671
many;80
years;166
figure;22
ve;294
doing;203
same;136
at;972
least;80
true;49
false;8
load;6
actually;78
works;34
hell;143
yeah;926
americans;1
stupid;23
people;394
by;289
and;3357
large;16
pretty;79
much;214
believe;110
whatever;90
re;1224
told;193
feel;146
my;1206
heart;34
beat;49
pulse;2
if;1046
say;437
had;321
gun;71
lying;20
machine;12
tells;24
tale;5
son;242
ready;95
professor;2
ll;629
start;96
an;496
easy;51
one;877
is;1769
name;190
fact;62
deshawn;2
fredericks;1
do;1237
reside;2
block;47
woodyer;1
street;222
west;81
baltimore;244
did;365
shoot;27
pookie;3
down;590
on;3616
cary;2
just;974
said;237
lie;40
motherfucker;248
never;156
wrong;97
man;1214
nigger;92
keep;201
his;752
damn;199
mouth;29
shut;69
should;166
busted;6
cap;6
ass;280
self;14
left;103
home;171
bigger;14
more;435
first;192
blackberry;1
oh;340
brought;34
tunes;1
pay;101
don;1138
got;1447
coming;136
unidentified;1
number;129
male;8
jimmy;135
face;81
know;1505
would;222
fun;20
were;243
getting;101
hey;402
heard;127
story;95
about;897
back;622
not;945
haven;37
yet;75
run;143
vice;6
undercover;7
time;451
instead;16
pulling;25
ahead;41
closed;10
deal;57
read;46
report;40
blowed;3
whore;3
wrote;20
everything;101
look;467
saying;152
gonna;968
take;393
package;40
split;14
me;2109
fair;15
upping;2
price;37
less;52
though;100
then;404
short;43
yourself;63
want;579
better;148
need;630
tool;6
wait;116
chris;77
snoop;30
rest;48
come;590
call;285
will;234
brief;6
motherfuckers;69
think;484
northbound;2
fulton;14
lester;123
way;381
roger;8
every;225
day;317
ten;45
hut;2
sit;79
stand;70
pretend;10
insulted;2
pretending;13
respect;53
rank;16
today;147
c;1244
tomorrow;124
might;174
newly;4
minted;1
lieutenant;157
these;292
career;17
minded;3
minding;1
western;64
command;33
useless;3
fucking;334
humps;1
okay;223
let;386
go;841
readouts;3
warrants;13
our;345
hours;53
answer;38
have;833
boat;13
as;865
odd;2
weeks;79
since;59
overtime;29
or;584
court;56
gotta;197
credit;16
union;12
archdiocese;2
kid;91
tuition;3
ex;17
wife;38
she;367
seats;14
authorizing;1
state;72
attorneys;2
signing;3
slips;6
paying;14
us;437
says;107
nlrb;1
word;128
city;284
budget;39
situation;23
improved;1
comp;1
last;222
hour;67
paper;52
worthless;1
officer;65
brown;8
professionals;4
police;363
roughest;2
district;113
cities;3
world;70
show;108
pride;4
promises;10
made;124
kept;16
bad;115
won;116
stay;85
forever;11
item;2
motor;5
pool;8
