Mot,Occurrence
i,7551
you,5463
the,4450
a,4197
s,3894
est,3830
je,3558
de,3529
it,3244
to,2967
pas,2657
t,2643
on,2498
vous,2289
le,2280
il,2249
que,2217
c,2143
tu,2097
la,2076
me,1970
we,1806
un,1785
and,1778
that,1752
what,1745
of,1732
ce,1712
et,1711
à,1668
ne,1639
l,1615
les,1529
d,1529
qu,1507
m,1495
ça,1463
in,1424
en,1374
is,1213
une,1120
he,1114
j,1112
this,1070
n,1044
no,1004
can,997
ai,983
re,980
nous,962
jack,910
they,892
des,890
was,886
do,877
be,868
are,865
all,852
pour,848
there,832
for,815
moi,812
ve,808
have,800
y,789
qui,748
as,743
ils,742
just,739
don,729
not,729
know,725
elle,704
mais,682
so,675
dans,672
my,671
gwen,671
but,667
with,661
get,660
tout,646
got,634
non,633
your,632
owen,618
si,612
ll,582
she,577
du,576
suis,575
oh,573
out,565
bien,558
here,549
if,534
plus,528
fait,521
là,513
te,511
au,509
ok,504
now,498
like,498
était,487
go,487
come,486
avec,484
être,482
right,480
her,476
him,476
va,468
torchwood,467
faire,459
one,438
up,429
at,429
yeah,427
mon,421
se,419
back,410
them,407
how,404
sur,402
about,401
quoi,400
tosh,399
comme,395
did,389
peut,382
oui,374
going,372
want,367
then,365
toi,363
time,360
peux,357
sont,355
who,352
sais,351
see,351
ianto,348
us,343
from,343
où,342
pourquoi,341
need,338
when,338
why,338
rien,329
ici,326
think,325
dit,319
lui,316
been,311
chose,311
where,310
sorry,308
avez,307
could,303
well,303
es,297
alors,297
were,297
veux,297
ont,296
rhys,291
look,286
let,283
bon,282
juste,276
par,274
quand,274
cette,273
an,269
comment,267
tell,257
his,247
son,247
toujours,244
êtes,241
maintenant,240
will,240
said,239
jamais,237
down,237
good,232
même,232
had,232
take,231
quelque,230
vraiment,230
temps,227
more,226
something,226
or,222
ces,219
votre,218
tous,216
any,214
dire,213
ma,211
off,209
allez,209
never,207
way,205
stop,202
merci,199
été,198
harkness,195
vie,195
ca,194
people,193
alien,192
say,191
doing,190
vu,190
really,190
gonna,189
find,189
some,188
didn,187
fais,186
ou,185
font,183
work,183
thing,182
coming,181
mort,181
voir,180
please,180
would,178
god,177
help,177
yes,174
only,174
police,172
two,172
still,171
doit,171
vais,171
enfants,169
ton,169
anything,168
monde,164
nothing,163
by,163
life,163
autre,160
encore,160
man,159
these,158
our,157
too,157
avait,156
dieu,155
fois,155
désolé,155
mean,154
avoir,154
dis,151
dois,151
sa,150
should,149
faut,149
dead,148
into,147
leur,147
passe,145
gens,144
besoin,143
last,142
deux,142
has,141
over,140
thought,140
make,140
hell,137
before,136
isn,136
quelqu,136
keep,136
am,135
étais,135
through,135
peu,135
long,134
car,134
because,132
