Mot;Occurrence
sous;39
titres;4
berhug;1
tout;361
est;2390
contrôle;17
les;1020
techniciens;1
sont;243
sur;282
place;25
à;1098
vous;1490
t;323
es;154
un;1138
chou;1
c;1333
moi;447
fallait;11
commander;2
je;2130
viens;65
d;734
arriver;26
dommage;7
pour;536
toi;210
fais;108
quoi;238
maintenant;166
qui;495
sais;200
pas;1615
gars;26
tu;1118
au;314
slimbo;1
vendredi;3
pot;3
soirée;5
pizz;1
crois;68
j;702
irai;5
peut;248
être;299
va;245
falloir;4
remballer;1
qu;918
ce;1098
se;247
passe;86
me;350
demandez;7
il;1403
faut;96
évacuer;1
ici;217
soco;1
on;812
retire;6
y;468
le;1463
monde;121
recule;1
merci;121
a;1037
excusez;14
que;1392
en;819
fichtre;1
rien;188
ordre;8
haut;19
mais;438
corps;70
toujours;123
là;293
non;362
l;984
laisser;26
ils;475
veulent;29
avoir;96
champ;5
libre;9
autorisation;3
spéciale;5
torchwood;132
section;3
pense;75
chaud;4
oui;185
prenez;17
la;1255
procédure;3
vont;31
contaminer;1
toute;55
scène;3
et;1087
laisse;73
entre;52
nous;709
n;651
plus;313
de;2086
ça;837
devient;15
importe;30
bien;335
peux;208
goûter;1
strogène;1
reconnaissable;1
mille;4
pillule;4
tirez;4
chasse;1
dans;440
système;13
aqueux;1
féminise;1
poisson;1
fait;305
son;132
chemin;13
jusqu;29
ciel;16
puis;39
retombe;1
terre;35
une;657
pluie;2
contraceptive;1
adore;5
cette;181
planète;14
moins;48
m;327
évitera;2
enceint;1
jamais;129
comment;153
instant;11
dois;85
sentir;20
activer;1
dépêche;3
caille;1
interrupteur;1
question;19
accès;8
doit;92
accorder;2
si;364
dis;96
comme;240
latte;1
s;368
colle;1
pain;2
concentre;3
veux;165
susie;5
bon;170
dieu;120
écoutez;11
avons;99
min;8
alors;211
accord;68
êtes;139
faites;58
confiance;16
décédé;2
poignardé;2
suis;345
mort;95
puisque;4
vois;54
ramené;8
sera;49
bref;5
pourquoi;223
concentrer;3
avez;211
vu;111
attaqué;6
secondes;19
réfléchissez;1
regardez;29
dernier;16
ai;606
du;353
tué;42
vus;11
par;167
derrière;22
plaie;4
dorsale;1
arme;31
blanche;4
après;58
police;53
ne;963
pouviez;3
voir;107
gaspille;1
ajouter;3
appelez;15
john;42
tucker;5
long;11
capitaine;52
jack;226
harkness;88
décrivez;1
expérience;6
racontez;1
néant;2
oh;141
mon;272
donc;64
merde;33
avais;80
dit;233
idiot;9
lui;186
dire;141
était;320
trop;83
