Mot;Occurrence
come;106
on;234
tyler;3
just;169
stop;49
it;610
i;931
haven;18
t;355
got;135
time;66
to;604
muck;1
around;7
all;160
right;93
ll;120
leave;17
you;863
there;144
is;254
that;390
what;310
want;75
if;107
in;281
the;900
middle;4
of;338
town;4
we;495
re;223
going;70
be;185
late;8
suzette;1
looking;11
silly;2
d;76
other;14
people;34
see;58
he;234
gives;3
any;30
more;38
trouble;7
your;143
dad;15
s;699
punch;2
his;46
face;7
bloody;38
mother;4
have;137
david;8
ve;171
booked;1
car;26
for;140
but;149
might;23
standby;3
baxter;1
starts;1
talking;12
never;30
stops;2
so;97
can;199
guarantee;4
tell;59
send;9
a;435
text;1
when;41
m;143
motorway;1
steven;26
front;5
door;7
open;7
those;27
cats;1
are;222
get;129
darling;5
don;125
stand;8
gonna;35
playing;3
games;3
out;102
way;34
horns;1
blare;3
oi;5
said;50
shift;1
man;41
listening;3
me;216
mica;10
two;48
look;52
at;92
ya;4
then;91
and;409
shut;13
up;65
an;42
were;46
one;80
crying;2
like;81
baby;4
seen;19
was;131
not;136
round;7
polly;1
later;6
bye;4
pushing;2
young;3
glyn;1
occurring;1
been;50
watching;9
bay;5
no;201
sea;2
monsters;1
ah;3
still;30
early;3
anyone;17
having;7
shenanigans;1
dark;2
jack;51
morning;11
clear;6
again;22
charging;1
monitor;1
flatlines;1
think;70
should;21
call;20
everyone;24
agree;3
ok;52
death;5
sally;2
with;102
yeah;81
go;87
them;136
sorry;52
did;66
everything;20
could;60
didn;24
make;24
oh;76
shame;3
very;24
sad;2
poor;3
old;16
mr;27
williams;1
indeed;2
autopsy;1
say;48
heart;3
gave;11
brave;1
neighbours;2
live;7
next;7
family;10
speak;17
own;14
keep;28
eye;6
him;91
y;3
know;122
well;65
sure;19
appreciated;2
only;31
world;39
imposition;1
us;70
being;17
such;7
good;51
body;10
bless;1
god;35
rest;5
soul;1
er;11
our;37
um;7
course;8
find;29
once;6
done;16
loss;3
thank;34
thought;18
together;9
couple;10
huh;3
does;23
matter;3
dunno;5
bit;11
new;13
laser;1
saw;6
tongs;2
almost;6
now;119
human;10
hitchhiker;4
picked;2
kill;15
some;34
they;251
positively;1
beneficial;2
release;8
endorphins;1
died;8
happy;2
tupperware;1
considerate;1
mess;1
much;20
wait;9
minute;7
whatever;8
mutilation;1
report;5
why;67
thing;38
hell;23
try;8
putting;4
into;28
torchwood;47
heard;4
em;9
bodies;7
missing;9
how;66
many;10
this;180
whole;15
city;8
talks;2
about;64
where;49
started;7
months;8
ago;10
taken;12
down;37
mortuary;2
records;3
five;20
none;1
white;7
west;5
indian;1
decent;1
african;1
three;27
chinese;5
male;1
name;38
rupesh;10
patanjali;10
nhs;3
too;26
red;7
tape;2
luck;8
christ;7
sir;50
colonel;9
oduya;5
unscheduled;1
remind;2
category;1
meeting;6
quarter;1
past;11
better;16
through;16
my;101
really;26
bridget;9
spears;5
lois;38
habiba;10
will;68
desk;1
something;39
small;5
meteorite;1
or;31
shadow;1
moon;1
easy;5
nothing;29
job;13
inform;1
government;24
even;19
turns;2
false;1
alarm;6
children;83
killed;14
die;11
dog;3
ugly;1
chuckle;2
brothers;1
found;11
check;6
st;3
helen;2
hospital;4
morgue;1
computer;5
do;159
yourself;4
reports;9
traffic;3
accidents;4
happening;18
across;2
country;16
from;63
glasgow;1
ives;1
above;3
average;1
occurred;1
between;8
road;7
exactly;18
same;29
every;37
single;10
involving;2
school;19
run;18
standing;5
crossing;1
myself;9
kids;53
market;2
street;6
stopped;6
part;8
picture;3
because;14
child;30
britain;14
france;2
timed;3
hour;3
ahead;3
simultaneous;1
yup;2
hold;10
cross;1
referencing;1
here;73
coming;103
rtas;1
norway;1
sweden;1
denmark;1
luxembourg;1
germany;2
india;1
egypt;1
guyana;1
spain;1
portugal;1
bosnia;1
tokyo;1
singapore;1
gmt;1
most;8
america;4
asleep;2
beginning;2
assume;3
as;65
far;9
anything;29
before;21
until;9
receive;1
further;6
information;11
extraterrestrial;1
origin;2
though;16
united;13
nations;6
has;36
unit;4
yellow;1
alert;2
case;14
mace;1
getting;12
fine;8
wouldn;14
mind;10
post;1
vancouver;1
wonderful;1
countryside;1
nice;16
today;17
helping;1
miss;6
while;13
introduce;1
system;3
uniform;1
british;6
army;8
start;10
transferring;1
names;9
