Mot,Occurrence
i,2269
you,1166
the,1042
a,1036
s,852
est,798
de,760
on,744
to,681
vous,633
je,595
t,571
pas,551
le,518
it,508
we,488
il,458
la,443
c,436
que,436
à,428
will,415
that,406
this,402
l,387
and,381
in,364
et,351
of,351
un,328
qu,303
he,299
les,298
ce,296
is,296
what,288
me,282
m,271
en,269
ça,265
re,261
d,259
for,242
j,226
your,225
une,224
tu,223
fog,220
not,213
pour,212
qui,209
jay,208
are,204
know,196
was,193
des,191
n,190
have,185
dans,177
they,172
ne,170
y,170
out,169
do,169
ai,168
tyler,167
burchell,166
nous,163
ils,162
be,158
don,155
du,151
here,147
my,146
get,146
about,145
drexler,140
with,138
him,137
no,135
traveler,134
got,134
right,134
can,133
just,131
there,130
tout,128
us,128
if,126
mais,123
sur,122
moi,122
but,122
si,121
all,120
new,117
as,116
au,114
go,112
était,111
who,110
up,109
bien,105
plus,102
oui,101
là,97
his,96
like,95
now,95
back,95
être,95
son,94
come,94
ici,93
mon,93
one,93
quoi,92
ll,92
think,92
want,91
votre,91
sont,90
dit,88
from,87
gonna,87
so,87
où,87
fbi,87
yeah,87
ve,86
sais,85
père,84
suis,84
fait,83
va,82
faire,82
avez,81
our,81
at,80
avec,78
york,76
ont,75
where,75
did,72
agent,72
non,71
time,69
tell,69
been,69
es,68
marlow,68
were,68
rien,67
peut,67
se,67
kim,66
êtes,66
elle,66
look,65
let,64
way,63
then,63
lui,62
when,62
need,61
good,61
two,60
veux,60
down,60
why,60
quand,59
how,59
help,59
take,58
sir,58
te,58
going,58
an,58
carlton,57
had,56
father,53
didn,52
them,51
okay,51
dad,51
toi,51
doherty,50
man,50
guy,50
name,49
call,49
she,49
alors,47
pourquoi,46
people,46
see,46
something,45
faut,45
or,45
make,45
off,45
could,45
freed,44
said,43
déjà,43
wait,43
well,42
more,42
by,42
maya,42
par,42
deux,42
maybe,41
aider,41
any,41
still,41
donc,41
yes,41
taft,41
would,40
merci,40
sorry,40
haven,40
cette,40
bombing,39
car,39
ton,39
guys,38
police,38
suspects,38
sure,38
thing,38
notre,38
comme,38
été,38
has,37
last,37
temps,37
her,37
toujours,37
keep,37
ces,37
chose,37
some,37
monsieur,37
place,37
say,36
only,36
find,36
doing,36
friend,36
these,35
attentat,35
allez,35
crois,35
found,34
fais,34
anything,34
ami,34
voir,33
dire,33
daniel,33
plan,32
told,32
because,32
job,32
vu,32
doit,32
avant,32
ou,32
part,31
should,31
chambers,31
nos,31
jamais,31
juste,31
before,30
avais,30
boston,30
choix,30
ville,30
bon,29
avait,29
avoir,29
quelque,29
please,29
parce,29
work,28
hell,28
looking,28
trouver,28
sera,28
question,28
knew,28
attends,28
suspect,28
mort,28
tuer,28
désolé,28
quelqu,27
peux,27
tous,27
chance,27
comment,27
nom,27
minutes,27
appelle,27
voiture,27
dis,27
never,26
trouvé,26
put,26
viens,26
museum,26
holloway,26
leur,26
homme,26
day,26
