Mot;Occurrence
sous;15
titres;10
sub;8
way;8
fr;8
v;4
arrêtez;17
vous;633
will;173
t;196
es;68
là;97
i;667
on;467
attend;3
toujours;37
une;224
estimation;1
du;151
nombre;3
de;760
victimes;3
peu;19
détails;3
nous;163
parviennent;1
mais;123
la;443
police;24
jay;88
a;469
vu;32
deux;42
hommes;21
fuir;9
les;298
lieux;1
merci;40
heather;1
elle;66
parle;13
ce;296
numéro;11
n;170
est;798
plus;101
attribué;1
je;595
sais;85
tyler;76
vais;24
vomir;1
où;87
il;458
mort;28
en;268
sait;21
rien;67
était;111
à;428
l;381
intérieur;3
fait;83
mal;13
donc;41
reprend;1
nos;31
esprits;1
et;351
va;82
voir;33
ils;162
pourront;2
s;118
occuper;1
ça;265
un;328
guide;4
touristique;2
jack;9
kerouac;2
pas;551
mis;10
semaines;8
pour;212
écrire;1
sur;122
route;9
eu;14
besoin;14
d;193
inventer;1
aventures;1
dean;1
moriarty;2
sal;1
paradise;2
vécues;1
apprend;4
école;3
chimie;7
suis;84
chimiste;2
pendant;9
mois;13
toi;51
tu;223
capital;2
risqueur;1
as;69
avocat;13
sera;28
des;191
vagabonds;1
plein;3
temps;37
vivant;7
notre;38
passé;16
ouest;5
futur;3
exactement;3
c;423
tiré;4
bouquin;2
ouais;14
dire;33
au;114
revoir;5
château;3
prends;9
place;11
fais;34
chier;1
chaque;3
fois;22
pareil;7
avez;81
ans;19
ou;32
quoi;92
bon;29
arrête;18
déconner;1
bienvenue;3
new;56
york;38
réservé;2
ici;93
dernière;13
nuit;3
dans;177
opulence;1
après;14
motels;1
campings;1
jusqu;12
san;1
francisco;1
attrape;3
allez;35
y;163
garer;1
voiture;27
voiturier;1
connais;12
parking;5
moitié;4
prix;2
51e;2
retrouve;1
chambre;5
ces;37
messieurs;3
sont;90
ville;30
affaire;11
le;518
plaisir;2
faites;21
périple;2
se;67
voit;5
aux;26
sacs;1
j;226
aime;9
deviner;2
vont;13
gens;21
grâce;2
leurs;11
bagages;1
épatant;1
pourrait;14
commencer;2
avec;78
filles;3
infiniment;1
trouver;28
limousine;2
soir;13
bien;105
sûr;26
monsieur;37
attendra;1
obligé;3
tout;128
payer;2
avait;29
dit;88
que;436
organisation;1
moi;122
banque;1
limitais;1
casse;3
trois;12
qui;209
hérité;1
pire;6
job;5
secoue;1
début;7
vôtre;2
mesdemoiselles;1
comme;38
si;121
amusais;1
comptes;3
trimbaler;1
truc;13
partout;5
me;75
remercieras;1
jour;14
excusez;6
sélecte;1
boîtes;2
manhattan;11
faire;82
tapisserie;1
ai;168
déniché;1
vogue;1
veulent;6
danser;3
magne;1
elles;5
seront;11
bientôt;5
marché;8
ont;75
copines;1
copine;6
écoutes;2
mes;14
conseils;1
auras;2
choix;30
gaffe;1
rends;5
mec;4
salut;4
chérie;1
te;58
rappelle;8
disons;1
pourquoi;46
service;6
arrive;13
suite;15
attends;28
3e;6
qu;303
appelle;27
voulait;7
partes;3
seule;13
avoir;29
remords;1
faut;45
explorer;1
monde;11
avant;32
pouvoir;3
changer;5
aussi;14
crédit;2
rembourser;1
écoute;20
reprocher;1
voyage;12
permettre;3
sortir;12
droit;8
chemin;3
vraiment;21
tourner;2
pays;22
ta;18
vie;19
accord;25
maintenant;15
limites;4
mieux;15
rejoins;2
bouges;1
ton;39
corps;6
peux;27
refaire;1
fun;2
ridicule;1
debout;6
dedans;4
réveille;1
sacrée;1
journée;8
fini;13
idée;19
anthologie;1
beauté;1
quel;12
point;2
fier;2
traversé;3
musée;22
poil;1
emmerder;1
bourgeoisie;1
yorkaise;1
trop;9
fort;6
ma;15
grand;7
mère;6
traînait;1
tous;27
partez;11
dernier;10
étage;3
premier;6
sorti;3
conduira;1
chicago;8
étudiants;3
médecine;1
remonte;2
reparti;1
étais;15
chargé;1
limiter;1
choses;10
changé;10
fac;4
blague;10
risque;6
ennuis;5
différence;1
entre;10
être;95
engagé;5
par;42
cabinet;5
avocats;5
travailler;1
son;56
père;84
remue;1
parce;29
résumera;1
occasion;2
amuser;1
quelque;29
chose;36
mémorable;1
ensemble;18
dès;5
alors;47
décider;3
abandonnes;2
gagne;2
ne;170
kim;32
reste;14
marche;7
mon;93
pote;3
mesdames;1
visite;4
guidée;1
commencera;1
minutes;13
depuis;19
saison;1
hockey;1
excuses;1
vélo;1
devant;8
serai;10
derrière;8
train;11
filmer;5
séparés;1
rendez;7
coin;9
nord;12
bâtiment;9
amen;1
bonne;21
chance;18
pardon;5
attendez;12
file;1
ceci;5
alerte;5
incendie;2
veuillez;2
suivre;6
vigile;1
issue;5
proche;1
interdit;1
attention;10
clair;6
conduis;2
non;71
été;38
gêné;1
flagrant;2
arrivé;11
appelles;3
êtes;66
sortis;16
oui;101
désolé;28
avais;30
collection;3
personnelle;2
président;11
exposition;1
oeuvres;4
étaient;10
peut;67
visées;1
unités;9
antiterroristes;1
laissent;2
hasard;3
transports;2
commun;1
momentanément;1
interrompus;1
aile;2
ancien;3
flamme;1
vigiles;1
transférés;1
état;6
critique;1
hôpital;2
bellevue;1
aucun;8
décès;1
affaires;13
disparues;2
pu;24
arriver;9
montre;3
clairement;1
fuyant;1
apparemment;2
rollers;3
suspects;17
blancs;2
vingtaine;1
quiconque;1
détenant;1
informations;1
invité;1
appeler;17
ligne;4
antiterroriste;1
traitent;1
terroristes;8
drexler;67
trésor;1
inestimable;1
cette;40
change;3
connaît;8
super;5
m;98
oublies;1
dirait;7
vrai;20
allait;13
excusé;6
juste;31
explose;8
rentrer;4
ses;23
disparu;3
passe;23
télé;11
insinues;3
crois;35
tendu;6
piège;11
vois;10
meilleur;7
ami;34
vécu;3
ferait;4
lui;62
demanderais;1
pris;14
flics;14
recherchent;3
fred;3
chambers;15
charge;3
devez;8
vidéo;12
burchell;77
o;2
lancez;1
pistage;2
appelé;7
contacter;8
cela;1
aider;41
veux;60
préciser;1
explosion;18
devait;7
quand;59
pensez;8
traveler;67
appelés;1
saura;2
suspect;12
air;15
traversait;1
étiez;11
pressés;1
dis;27
fuyez;1
procédure;9
fbi;45
autorise;1
montrer;5
visages;1
sans;20
raison;16
valable;1
suspecter;1
suggère;1
calmer;1
bingo;1
triangulation;1
park;4
avenue;2
49e;1
54e;1
agent;35
spécial;5
jane;1
marlow;32
demandais;1
techniquement;1
savez;19
sécurité;14
nationale;1
jeu;1
trappe;1
viens;26
papa;17
expliquer;2
vérifiez;3
vidéosurveillance;1
porte;6
gilet;1
bleu;1
marine;2
avalez;1
jason;1
hôtel;8
worcester;1
commandé;2
pizzas;1
hier;15
proches;3
loin;6
moins;13
revérifiera;1
vidéos;4
millions;2
actions;8
holloway;13
assurance;2
vendues;2
assurent;2
art;4
celles;3
fondation;8
particulier;3
veut;16
quelqu;27
savait;11
produire;2
détruit;4
feu;8
voyez;4
bandes;2
brûlé;1
votre;91
nulle;7
part;14
aille;2
hors;4
question;17
tv;3
jamais;31
empêché;1
autorités;6
bousiller;1
famille;10
immédiatement;5
fiston;6
voitures;5
devriez;5
rejoindre;3
parler;23
trompez;2
coupables;3
décampe;1
delà;1
haut;5
placés;1
savaient;4
aujourd;10
hui;10
mette;1
voiles;1
fuit;2
aura;8
déjà;43
cas;21
balancés;1
porter;5
chapeau;4
placé;2
savoir;25
impossible;4
seul;24
confirmer;2
alibi;1
pourvu;1
sortes;1
bougez;7
revenez;3
partis;4
hé;2
couvrez;1
sortie;6
4e;4
autres;12
idées;1
plairont;1
bombe;8
croient;2
quitteront;2
shampooing;1
inquiétez;4
fan;4
écoutez;11
amis;18
sort;5
trouvera;2
argent;7
assez;10
riches;2
ouvrez;2
minute;5
conduit;2
cave;1
prenez;5
couloir;1
droite;1
mène;2
voisin;1
aller;16
secondes;3
gars;3
lâchez;14
diplômé;1
yale;8
1ers;1
sa;20
promo;1
ucla;1
cycle;1
grandi;2
romington;1
quartier;2
difficile;3
parents;3
felicia;1
cruz;1
divers;1
petits;2
jobs;1
los;3
angeles;3
beaucoup;10
ménage;3
devient;2
intéressant;4
sergent;1
william;1
servi;5
irak;3
jugé;2
cour;2
martiale;2
camp;3
tué;8
suicidé;1
an;2
tard;7
mobile;1
vengeance;2
instant;6
nom;27
donné;11
vérifié;6
immatriculations;1
fichiers;1
criminels;1
archives;1
leurre;1
pense;23
paniqué;3
analyse;4
vocale;1
montrait;1
mentait;2
parlez;8
échappés;2
cinq;3
fog;104
fils;25
carlton;28
comparé;1
photo;12
permis;1
deuxième;2
profiler;2
terrain;1
richardson;1
washington;11
chef;2
boris;1
vérifier;2
très;20
opérations;2
spéciales;1
cherche;9
contacts;4
capitaine;1
fitz;1
portuaires;2
bouclent;2
île;2
quittent;2
accompagnant;1
fourgon;1
allons;17
viennent;3
chercher;17
leur;26
ferment;2
métro;7
comment;27
cherchent;1
types;13
attentat;35
arabes;1
incroyable;4
hein;3
grave;5
ailles;1
pont;5
queensborough;1
court;4
quitter;7
elysium;1
carte;4
bleue;2
donnée;2
urgence;1
code;3
anniversaire;1
trouve;7
distributeur;2
tire;3
traverse;1
queens;8
ensuite;4
heures;12
chercheront;2
bas;10
quitté;3
mêlé;3
garé;1
prennent;1
piégé;2
pensé;3
parlait;3
menace;2
téléphone;8
apportons;1
fédéraux;6
laissons;1
système;4
connaissais;1
sommes;3
dehors;3
fuis;1
facile;8
partir;15
attendrai;1
passerelle;2
queensbourough;1
heure;10
partirai;2
intérêt;2
espère;5
seras;1
10e;1
personne;19
sauver;4
partie;8
recherche;6
également;1
cet;21
homme;26
amérique;4
complice;3
