Mot;Occurrence
subtitles;7
www;2
swsub;8
com;8
hey;18
slow;6
down;60
will;242
you;1166
re;261
in;364
here;147
i;1602
we;488
still;41
waiting;11
for;242
a;567
report;4
on;277
casualties;2
and;381
details;4
are;204
hard;8
to;681
come;94
by;42
but;120
police;14
not;213
ruling;1
out;169
jay;120
two;60
men;17
were;68
seen;15
fleeing;2
the;1042
scene;5
thank;24
heather;1
she;49
s;734
talking;16
about;145
us;128
your;225
call;49
cannot;3
be;158
completed;1
as;47
dialed;1
know;196
tyler;91
think;92
m;173
gonna;87
puke;1
where;75
hell;28
is;296
he;299
dead;23
don;155
t;375
that;406
was;193
there;130
haven;25
done;19
anything;34
wrong;10
so;87
let;64
just;131
take;58
breath;2
go;112
okay;51
they;172
can;133
handle;10
this;402
guide;2
book;7
jack;9
kerouac;2
wrote;1
great;5
american;3
novel;1
less;7
than;26
weeks;8
guy;50
didn;52
need;61
invent;1
adventures;1
of;351
dean;1
moriarty;2
sal;1
paradise;3
lived;5
them;51
teach;3
at;80
chemical;7
engineering;4
engineer;1
next;16
months;9
venture;1
capitalist;1
definitely;3
lawyer;16
professional;1
vagabonds;1
living;6
between;9
east;15
our;81
youth;1
west;5
future;4
exactly;8
from;87
yeah;87
right;134
well;42
looks;12
like;95
it;508
time;69
say;36
goodbye;2
castle;3
shotgun;3
suck;1
every;18
damn;6
what;288
years;20
old;10
or;43
good;61
quit;2
playing;2
games;1
welcome;3
new;61
york;38
booked;3
last;37
night;11
live;8
kings;1
after;17
all;120
motels;1
camps;1
way;55
san;1
francisco;1
catch;6
guys;38
check;17
park;5
car;32
ve;86
got;134
valet;1
garage;2
51st;2
half;9
price;2
ll;92
meet;7
up;109
room;13
gentlemen;3
town;10
business;5
pleasure;2
road;8
trip;17
tell;69
bags;1
guess;10
folks;3
headed;7
based;4
their;25
luggage;1
cool;2
trick;1
yep;3
plan;16
start;11
off;45
with;138
bang;1
if;126
could;45
arrange;2
limo;3
evening;1
d;66
debt;1
course;12
sir;58
concierge;1
have;185
thanks;17
pay;6
everything;24
said;43
would;40
charge;5
planning;4
cover;12
major;2
expenses;3
keep;37
trouble;7
three;19
hardest;1
job;27
wake;8
beginning;6
suit;1
yourselves;1
ladies;3
ahead;3
act;5
having;5
fun;4
thing;38
everywhere;3
me;207
someday;1
excuse;8
most;6
exclusive;1
club;6
manhattan;11
play;5
wallflower;1
ok;6
now;95
interns;1
vogue;1
over;24
looking;28
dance;2
partners;2
fast;3
taken;6
market;4
man;50
some;37
girlfriends;2
no;135
girlfriend;7
advantage;1
tonight;11
might;19
make;45
careful;3
give;23
back;95
hon;1
why;60
minute;10
one;93
3rd;1
called;16
doesn;22
want;91
only;36
second;12
thoughts;2
see;46
world;5
before;30
change;5
also;2
loans;1
too;21
look;63
doing;36
step;11
path;3
really;21
makes;4
country;23
tick;2
life;18
alright;9
do;169
whatever;12
damage;2
control;3
get;146
groove;1
move;18
again;12
horribly;1
white;3
rise;1
shine;1
lot;14
today;16
an;56
unforgettable;1
how;59
proud;2
am;21
rumor;2
streaked;1
place;26
screw;3
establishment;1
genius;1
my;146
grandma;1
used;21
drag;1
