Mot,Occurrence
i,11485
you,10671
l,6475
a,6262
the,5919
s,5799
to,5441
je,4607
t,4486
it,3818
est,3738
me,3482
de,3352
tu,3163
that,3134
pas,2935
and,2804
m,2685
que,2526
what,2498
on,2421
of,2190
le,2159
tru,2150
c,2099
la,2022
il,2000
un,1946
ne,1898
this,1863
know,1783
in,1759
à,1737
for,1717
is,1708
just,1692
he,1688
was,1652
j,1643
she,1612
but,1606
ce,1582
et,1556
d,1523
en,1484
my,1479
be,1449
we,1439
no,1432
not,1423
don,1418
vous,1416
do,1396
ça,1387
can,1377
so,1373
ai,1373
n,1361
re,1322
have,1305
your,1286
une,1167
about,1136
pour,1131
her,1129
here,1114
right,1087
qu,1085
with,1077
elle,1075
yeah,1072
as,1044
are,1037
ll,1001
there,993
mais,939
les,938
out,935
okay,929
all,925
get,901
moi,899
music,882
like,847
one,826
up,825
y,810
if,788
got,772
go,762
instrumental,761
gonna,760
ve,755
suis,727
think,719
him,717
how,710
qui,709
at,692
bien,689
te,681
now,666
des,655
why,637
who,629
si,627
time,616
lt,611
harrison,609
tout,603
see,586
help,583
want,582
jack,581
did,574
look,569
être,568
davis,562
they,557
hey,549
come,539
fait,538
didn,538
good,531
était,522
sais,512
avec,510
plus,508
non,505
some,504
dans,497
mon,492
oui,491
toi,487
would,485
sorry,479
tell,477
something,476
du,473
from,464
faire,463
quoi,462
let,459
va,456
could,453
were,448
au,448
need,443
been,442
really,439
day,435
back,430
peux,423
his,421
say,420
an,417
es,412
well,404
peut,402
se,402
guy,399
sure,397
because,394
had,392
today,383
way,380
or,380
when,379
take,378
never,377
lui,376
make,374
someone,369
going,365
ici,365
thing,365
sur,364
oh,364
maybe,356
where,355
là,355
ma,347
said,345
too,339
veux,337
dit,332
nous,329
merci,328
son,327
off,326
dois,320
ton,319
rien,318
thought,315
then,313
lindsay,310
should,309
thanks,309
call,307
people,307
morgue,306
luc,305
tonight,305
little,304
mean,302
talk,302
man,302
comme,298
by,294
dire,291
pourquoi,282
them,279
god,276
over,275
told,273
will,272
work,270
juste,269
any,263
life,262
two,262
more,260
vais,260
doing,258
