Mot;Occurrence
tru;110
oui;81
ça;104
va;81
maman;13
avant;21
cet;24
instant;4
en;159
la;265
personne;19
elle;116
m;75
a;219
pardonnée;2
quoi;84
de;468
ne;285
pas;403
l;198
avoir;32
aidée;1
dit;49
qu;156
bien;99
tu;575
as;96
une;201
imagination;2
débordante;1
mais;124
été;33
tuée;2
devant;4
toi;68
qui;97
y;93
t;83
il;227
là;61
dedans;7
épouse;1
et;205
mère;8
prise;4
son;37
temps;21
dieu;23
c;270
est;507
un;278
tissu;1
conneries;1
je;668
souhaite;2
juste;69
souhaites;1
que;450
pourrai;1
retourner;4
aider;21
peux;71
le;301
peut;66
dominique;1
baron;1
elizabeth;1
christensen;1
davies;4
ce;247
fou;4
j;181
ai;171
obtenu;2
jeu;6
boisson;4
s;46
appelle;10
diplômée;4
ta;26
famille;4
n;159
venu;9
ton;53
prochain;2
dans;99
docteur;1
phil;1
suis;87
tellement;6
désolée;6
sais;108
manque;3
toute;22
partie;5
entourage;1
était;61
prévisible;1
harrison;25
probablement;8
rencontré;10
fille;26
meredith;20
client;1
mon;67
père;5
reconnaît;1
plus;56
les;149
enfants;4
premier;5
mariage;3
merci;27
cam;1
pense;36
vais;35
aller;18
maintenant;44
on;80
vient;7
d;147
arriver;9
internat;3
commence;4
demain;8
à;197
hôpital;4
veux;67
faire;62
bonne;26
impression;1
me;102
montrer;5
avec;74
gueule;2
bois;5
professeur;10
evans;2
lindsay;9
arrêter;6
ressens;2
truc;7
pour;175
lui;38
profs;1
sont;24
exactement;5
genre;7
nuit;27
gars;29
félicitations;5
incroyable;4
hier;8
étais;24
violation;2
moralité;1
aujourd;31
hui;32
es;58
petite;12
amie;11
étudiante;3
rappelle;7
nous;59
pouvons;5
public;2
sûre;4
dean;4
sera;8
vraiment;44
contente;3
entendre;5
opinion;1
intéresse;1
fait;76
dois;61
voir;28
soir;30
au;40
banquet;2
faculté;2
être;95
parle;6
vas;26
dire;61
mot;3
polaroïds;2
pris;14
frère;7
préféré;3
situation;3
délicate;2
cette;41
fois;26
te;131
plait;7
dis;26
joué;2
aux;16
cartes;7
non;95
depuis;10
heures;14
du;61
mat;1
ecoutes;12
tout;75
pourra;3
quelques;8
billets;2
même;33
prêt;2
sur;46
coup;16
si;81
pourquoi;46
besoin;32
emprunter;1
argent;9
vois;16
ok;46
oh;33
façon;13
plan;2
b;7
suppose;6
aurai;3
commencer;3
par;20
espère;4
eu;19
journée;20
serai;3
avais;23
pu;12
harry;1
vous;147
avez;20
perdu;9
votre;18
budget;1
désolé;18
comptais;1
boulot;15
crédibilité;1
école;6
médecine;4
autre;22
dont;3
entendu;13
parler;24
excites;1
convenir;1
connais;13
quartier;2
traxtar;1
cours;4
type;3
aussitôt;2
envoie;2
bon;18
crois;33
moi;130
beaucoup;9
mourrait;2
déjà;18
entrée;3
morgue;16
auparavant;3
douze;4
ans;17
sonne;1
comme;24
histoire;8
intéressée;4
travailler;10
ici;44
car;19
honnête;5
plupart;5
des;75
filles;4
aussi;15
jolies;2
viennent;5
elles;4
mortes;1
demande;7
médicine;1
automne;1
responsable;1
pensé;5
pourrait;14
idée;5
mascara;1
mac;2
joli;10
ouverture;1
amis;13
surveillant;1
rapporte;1
corps;17
pèse;2
mesure;2
étiquette;1
orteil;1
occupe;1
organes;1
collecte;1
détritus;2
chutes;1
cheveux;1
poils;1
pubiens;1
coupures;1
ongles;1
ensuite;2
ils;29
préparent;1
stockage;1
crypte;4
où;30
tous;35
morts;13
naturelles;3
ville;6
finir;1
attendant;1
autopsiés;1
entre;9
eux;4
doute;1
mort;10
puisse;2
naturelle;1
meurtres;2
suicide;2
donc;32
chaque;6
frigo;1
contient;1
imaginer;2
peine;3
perdre;4
quelqu;35
heure;15
résultat;1
ces;19
gens;13
devraient;1
encore;28
ouvrir;1
commences;3
partent;2
cimetière;3
prendre;11
viens;13
semble;3
dirais;7
regardes;4
dors;1
bientôt;5
aurais;18
poches;1
sous;14
yeux;2
dormie;1
jouons;2
sens;7
rappelles;3
anniversaire;5
dehors;7
oublies;1
sac;3
quelle;7
excuse;3
cargaison;2
dvd;2
ouais;8
fêtons;1
différemment;2
joue;1
prétends;1
arrivé;14
devine;1
appelles;3
vielles;1
habitudes;1
regardée;1
merde;7
fais;37
peuvent;1
seule;16
mer;9
ont;22
appris;1
réhabilitation;1
quelque;34
chose;40
grande;2
carrière;2
prétend;1
rien;40
pars;4
allo;13
appelé;5
trèfle;2
souvenir;2
jouais;1
chance;15
première;9
toutes;5
jolie;4
rebecca;18
morgan;5
arrivée;2
outre;1
trou;1
derrière;5
sa;19
nuque;4
voisins;3
feu;20
alentours;3
avons;6
trouvé;13
appartement;4
f1;2
hé;12
rends;3
service;5
tiens;8
ouvert;2
savez;6
euh;11
nouvelle;6
résolvons;1
crimes;1
livrons;1
passe;13
entraînant;1
attendez;5
partez;1
david;1
ma;40
rester;5
seras;2
côté;6
hello;3
marco;1
drôle;5
peur;8
aide;23
morale;1
pensais;13
jamais;29
seigneur;3
endroit;9
donne;5
chair;1
poule;1
chérie;2
matin;4
financement;1
grains;1
coupé;1
supprimé;1
vu;12
dimanche;1
bu;2
tes;13
rentrée;1
dormir;1
allé;3
mauvais;4
rêve;1
ou;21
trop;17
margarita;1
cela;24
semblait;1
serait;15
sache;4
propos;9
conversation;7
numéro;9
parles;11
folle;11
parce;23
remise;2
diplômes;2
second;2
quatre;2
écoutes;4
toujours;25
devrais;11
table;4
partir;13
tard;7
troisième;7
rencontrée;2
gym;1
dernièrement;1
exact;4
travaillée;1
dernière;13
femme;20
nommée;1
morte;10
amenée;1
garde;3
mark;5
dub;1
venue;4
amenés;1
étaient;3
actuellement;3
dure;5
leur;6
accepter;4
puisses;2
vérité;4
manquons;1
personnel;2
sembles;1
connaître;2
opération;1
prends;13
super;8
west;1
23th;1
street;1
peu;25
se;40
trouve;4
auras;6
sérieuse;2
coupure;1
rapport;4
vie;23
calling;1
apportée;1
café;7
