Mot,Occurrence
i,11629
you,8507
t,4857
je,4723
a,4669
s,3943
de,3769
to,3713
pas,3679
est,3643
the,3577
tu,3297
me,3185
it,3100
that,2518
que,2461
c,2397
and,2368
le,2271
on,2245
m,2128
et,2085
un,2015
of,1992
j,1980
la,1980
à,1842
ça,1738
what,1660
il,1658
in,1583
en,1490
l,1453
vous,1412
ai,1404
is,1399
d,1377
my,1359
ce,1324
don,1315
your,1255
for,1221
we,1215
pour,1215
les,1188
as,1160
une,1144
moi,1134
he,1119
know,1112
qu,1106
this,1085
te,1077
not,1064
can,1054
re,1036
do,1035
have,1028
all,1025
ne,1008
be,994
but,978
with,941
elle,936
just,936
mais,935
was,922
si,904
she,889
are,876
like,860
no,857
des,803
so,789
toi,783
y,781
suis,755
qui,743
out,731
here,728
n,717
her,712
get,703
vampire,698
avec,696
bien,678
if,677
there,676
up,674
tout,672
mon,670
es,654
about,653
plus,647
quoi,629
they,624
right,607
sais,604
ll,600
être,598
dans,591
go,582
now,576
got,567
comme,561
him,560
how,556
du,548
gonna,542
come,534
one,530
fait,530
at,520
ma,503
think,500
était,499
sookie,492
ain,487
nous,482
non,474
bill,471
veux,468
au,466
va,459
là,454
ils,453
ve,451
faire,441
let,434
peux,432
who,418
good,417
ton,408
want,398
why,393
well,388
rien,387
peut,367
oh,364
did,364
will,363
pourquoi,354
lui,354
se,351
would,349
sur,344
back,340
been,340
from,338
dit,337
putain,336
fuck,335
never,333
need,331
jamais,326
ta,324
ici,322
too,320
or,318
take,315
tell,313
bon,312
us,308
when,307
time,306
sam,306
tara,301
vampires,300
am,300
see,300
où,298
jason,295
had,294
way,293
because,293
could,288
dieu,287
didn,287
comment,286
were,286
even,284
son,283
même,282
fais,281
people,279
some,278
ou,276
shit,275
sorry,275
cette,273
where,268
look,264
his,264
them,263
vais,260
god,260
vraiment,259
more,253
dire,252
then,250
blood,250
quand,250
avoir,247
something,242
aussi,241
sont,240
temps,240
dois,238
say,236
love,235
yeah,234
alors,233
chose,228
make,227
merci,226
little,225
juste,224
fucking,224
over,222
an,221
night,220
much,220
really,219
hell,217
okay,217
sang,216
voir,213
oui,213
sure,211
mean,210
off,209
than,206
our,206
by,205
only,205
stackhouse,205
any,202
man,200
anything,198
trop,195
please,194
merde,194
votre,194
vie,192
down,188
crois,188
last,187
life,186
étais,186
par,185
allez,185
ont,184
toujours,184
ever,184
nothing,184
tous,182
wanna,181
vas,181
give,179
v,177
ces,176
été,176
going,176
maybe,174
feel,172
should,171
peu,168
très,167
autre,166
said,166
aime,164
thought,163
mes,162
viens,162
doing,161
thank,161
parce,160
deux,160
monde,160
before,159
thing,159
personne,159
tes,159
help,157
sûr,157
avez,156
avais,156
eric,155
doit,154
mal,154
kind,152
maintenant,152
dis,152
has,152
still,151
quelqu,150
encore,150
êtes,150
cause,149
gotta,149
vu,148
besoin,148
everything,147
baby,147
chez,145
home,145
maryann,145
gens,145
mama,144
very,144
avant,144
keep,144
sa,144
find,143
compton,143
mère,143
soir,142
kill,142
girl,142
into,140
stop,140
after,139
