Mot;Occurrence
qu;1106
est;3643
ce;1324
que;2461
tu;3297
fous;61
je;4723
m;871
ennuie;8
t;1685
ennuies;3
facilement;5
seulement;33
avec;696
toi;783
putain;336
arrête;77
nous;482
sommes;41
des;803
citoyens;3
payons;1
impôts;3
méritons;1
droits;17
civiques;2
comme;561
n;717
importe;59
qui;743
oui;213
mais;935
sérieusement;15
votre;194
race;16
a;1564
elle;936
pas;3679
un;2014
passé;72
sordide;1
vous;1411
avez;156
exploité;2
et;2080
êtes;150
nourris;6
d;1045
innocents;5
pendant;62
siècles;20
trois;39
points;3
montrez;6
moi;1134
documents;1
il;1658
en;1490
existe;10
jamais;326
on;1267
eu;105
esclaves;6
bill;221
ou;276
fait;530
exploser;3
de;3765
bombes;1
nucléaires;1
le;2270
plus;635
important;22
maintenant;152
les;1188
japonais;2
ont;184
développé;1
sang;216
synthétique;6
satisfait;3
tous;182
nos;64
besoins;4
nutritionnels;1
y;697
aucune;35
raison;77
craindre;5
peux;432
assurer;8
membres;6
notre;139
communauté;26
boivent;7
du;548
c;2390
pour;1209
ça;1737
décidé;9
révéler;5
au;464
monde;160
veut;115
juste;224
faire;441
partie;56
principal;1
courant;21
société;4
merde;194
bonjour;43
tru;23
blood;29
vraiment;259
vampires;174
ici;322
ne;1008
pensais;69
même;282
avait;117
louisiane;20
saviez;6
la;1973
nouvelle;28
orléans;3
une;1144
mecque;1
après;117
katrina;1
ils;453
se;351
sont;240
noyés;2
peuvent;19
noyer;3
parce;160
respire;8
mec;75
voulais;95
te;1077
vexer;2
peu;168
bourrés;2
super;33
me;981
ferais;31
bien;678
petit;85
cocktail;2
ah;17
ai;1404
eus;1
était;499
drôle;25
si;903
l;1450
non;473
kelly;1
plutôt;35
j;1976
trouvé;47
quoi;629
fout;15
pensez;8
saurais;7
où;298
pourrait;64
avoir;247
v;98
juice;3
dégueu;9
faut;137
combien;51
connaissais;9
cette;273
fille;98
connaissait;4
autre;166
pris;61
vampire;315
semaine;22
grecque;1
s;514
arraché;11
son;221
propre;25
visage;14
payer;15
ok;51
feriez;4
mieux;128
partir;86
va;457
enculer;5
billy;2
bob;1
vais;260
gamin;11
puis;51
bouffer;5
prétends;2
encore;150
être;598
nôtres;7
tuerai;4
compris;33
ouais;86
bonne;90
journée;41
i;1774
aidez;13
à;1842
prendre;80
bière;21
soir;142
jésus;47
pouviez;6
donner;33
force;12
dire;251
alors;233
jure;26
envisage;3
dans;591
chambre;25
hier;66
dégoûtant;2
ailleurs;20
procuré;1
plaisir;22
musique;9
impression;17
cauchemar;1
plein;44
ploucs;8
trop;195
hâte;10
casser;6
bled;3
paumé;3
fais;280
avant;144
soit;92
tard;51
chaque;32
année;9
passe;59
es;654
coincé;2
crois;188
sais;604
sait;100
pense;132
bizarre;33
entendu;52
mes;162
pensées;39
tout;672
haut;11
aller;124
chercher;47
ketchup;1
bienvenue;23
save;2
bunch;2
cherche;20
ces;176
bandes;4
plastique;2
épais;2
transparent;1
celles;8
mettent;2
devant;37
portes;12
réfrigérateurs;1
euh;3
vend;2
pouvez;36
essayer;17
home;4
depot;1
suis;755
déjà;133
allée;8
envoyée;3
arrive;93
croire;38
ayez;7
rappelle;22
comment;286
appelle;72
désolée;113
censés;8
eh;61
choses;82
dont;32
connaissez;12
nom;73
site;9
web;3
dit;337
magasin;5
stock;1
complet;4
cinq;10
paroisses;1
viens;162
conduire;11
heure;26
marthaville;6
numéro;4
téléphone;19
suppose;16
venu;41
idée;36
décrocher;1
appeler;39
voir;213
recherchez;1
choisit;2
classifier;1
pourquoi;354
acheter;11
ligne;5
demander;22
livré;1
chez;145
cherchiez;2
peut;367
excuse;19
porter;12
vêtements;17
immondes;1
aimerais;56
parler;122
manager;1
très;167
wiley;1
croyez;10
allez;185
virer;13
démissionne;4
catalyseur;1
remercie;4
jeune;24
femme;105
vulgaire;4
vérité;23
peloté;1
cul;52
père;54
mon;670
fils;40
vient;63
sortir;66
prison;15
défonce;2
dents;5
bon;270
dieu;287
tara;141
oh;103
étais;186
sérieuse;8
pathétique;4
raciste;5
enfant;28
stupide;21
point;25
boulot;48
bonsoir;21
merlotte;67
salut;57
là;454
sam;142
travail;30
rien;387
abuses;1
privilèges;1
arlene;33
hé;11
espère;41
prie;33
enfants;47
intérêt;23
urgence;6
démissionner;3
travailler;13
trous;4
permettre;5
difficile;11
mlle;43
ferme;43
trou;19
complètement;17
amoureux;12
boss;5
sookie;236
amuses;4
déteste;33
quand;250
écoute;78
dois;238
besoin;148
margarita;2
grande;24
bye;1
mack;14
denise;4
rattray;13
sur;344
asseoir;11
ta;322
section;2
bordel;67
laisse;121
valent;2
peine;27
deux;160
tikates;1
poser;12
tes;159
douces;1
lèvres;3
autour;13
ma;477
queue;12
commencer;7
par;185
pourras;10
monter;7
express;1
accord;99
quelque;139
chose;216
coups;5
redemande;1
oignons;4
frits;2
moutarde;1
sers;13
suite;37
attardée;2
chérie;52
rené;32
regarder;26
film;7
horreur;3
hbo;1
lui;354
ton;406
vivre;42
souviens;45
tomber;28
terre;21
dérange;8
marche;25
chica;2
wah;2
ressembles;2
star;5
porno;4
fond;12
teint;1
rouge;9
rose;4
avais;156
rencard;11
mets;29
maquillage;1
gros;25
pourboires;8
adorent;2
emballage;1
cerveau;11
peur;102
mademoiselle;6
entre;92
jambes;12
lafayette;50
écouterai;2
homme;91
hétéro;2
homo;4
george;1
w;2
bush;2
chatte;8
ouh;1
parle;55
gay;9
coucher;19
serais;43
surprise;16
gens;145
connais;90
ben;11
veux;468
autres;84
salopes;2
savez;39
ratez;1
six;9
vitesses;1
manche;1
bébé;83
rates;1
pars;27
donne;54
envie;45
fesser;1
fesse;1
john;3
prends;76
pèches;1
crème;6
coco;1
vrai;134
sympa;17
côté;35
dangereux;13
commencé;15
tôt;24
battais;1
plusieurs;5
écoles;2
petits;15
boutons;1
as;769
couché;17
fois;132
bar;56
shreveport;11
argent;63
payée;3
beaucoup;87
pute;42
maudette;30
paie;5
ferai;36
offert;4
censée;6
effrayant;6
lu;8
hustler;1
devrait;45
moins;90
mourir;60
suffit;21
brutal;2
aime;164
brutale;1
parfois;46
aimes;50
brutalement;1
tuer;125
tue;25
tant;74
pis;6
filmé;5
vie;192
merdique;9
accable;1
sort;15
nul;6
garder;25
job;2
empêcher;16
ouvrir;14
salope;45
mèle;1
affaires;16
connu;16
meilleures;3
nuits;9
améliorer;3
