Mot;Occurrence
what;1660
the;3567
hell;217
are;876
you;8502
doing;161
i;9855
m;1257
bored;6
get;703
pretty;86
easily;4
only;205
with;940
darling;22
holy;37
shit;275
v;79
stop;129
we;1215
re;1036
citizens;4
pay;30
taxes;2
deserve;24
basic;2
civil;4
rights;23
just;936
like;860
everyone;55
else;108
but;970
come;534
on;978
doesn;92
t;3172
your;1255
race;16
have;1028
a;3105
rather;15
sordid;1
history;14
or;316
exploiting;1
and;2367
feeding;6
off;209
innocent;12
people;279
for;1220
centuries;15
three;45
points;1
number;22
one;530
show;54
me;2204
documentation;1
it;3100
exist;10
two;130
of;1990
exploitation;1
never;333
owned;3
slaves;4
bill;250
detonated;1
nuclear;1
weapons;2
most;79
importantly;3
point;26
now;576
that;2517
japanese;3
perfected;1
synthetic;6
blood;221
which;67
satisfies;1
all;1023
our;206
nutritional;1
needs;35
there;676
is;1399
no;856
reason;48
anyone;66
to;3712
fear;22
us;308
can;1053
assure;5
every;102
member;4
community;7
drinking;24
s;3429
why;393
decided;7
make;226
existence;6
known;33
wanna;181
be;993
part;61
mainstream;4
society;5
hi;24
y;84
tru;22
real;108
vamps;6
in;1581
here;728
didn;287
even;284
think;500
had;294
any;202
louisiana;22
know;1112
new;68
orleans;3
mecca;1
vampire;383
seriously;18
mean;210
after;139
katrina;1
they;624
drown;4
vampires;126
cannot;36
because;293
do;1035
not;1064
breathe;8
dude;19
harm;10
intended;2
little;225
drunk;30
nice;104
could;288
use;55
cocktail;1
score;5
totally;16
guys;27
wasn;98
funny;41
yeah;234
was;922
kelly;1
don;1304
care;133
where;268
juice;11
gross;8
brad;1
how;556
much;220
need;331
knew;89
girl;142
who;418
this;1085
did;364
vamp;14
during;11
greek;1
week;30
she;889
clawed;3
her;712
own;122
face;47
good;415
money;61
leave;106
right;605
fuck;335
billy;3
bob;1
ll;598
boy;90
then;250
eat;59
ever;183
pretend;6
again;124
kill;142
got;567
day;123
synchro;13
silverarrow;3
et;5
mpm;22
www;24
sub;16
way;282
fr;11
seriessub;11
com;12
john;4
check;27
catfish;2
thank;161
baby;143
daddy;49
loves;20
sittin;2
down;188
okay;215
by;203
myself;72
let;433
beer;24
tonight;101
jesus;103
if;677
give;179
strength;4
say;236
swear;39
without;56
second;36
thought;163
dare;12
gripe;1
about;653
eatin;1
fries;7
last;187
night;219
bedroom;1
disgusting;2
although;7
kind;152
enjoyed;10
these;114
music;10
feel;171
trapped;3
some;278
hillbilly;4
oxycontin;1
nightmare;2
wait;94
out;731
podunk;2
town;74
sure;211
before;159
too;320
late;43
year;24
more;253
stuck;8
believe;95
d;332
thinking;65
weird;25
hear;110
my;1358
thoughts;30
ketchup;1
welcome;39
super;4
sav;1
bunch;14
looking;87
thick;4
translucent;1
plastic;2
sheeting;1
hang;16
front;28
doors;5
walk;35
refrigerators;1
sell;23
try;75
home;141
depot;1
tried;32
them;263
already;82
sent;26
stuff;40
called;42
sorry;275
supposed;67
everything;147
well;388
website;8
says;35
stocked;2
store;7
five;25
parishes;1
drove;8
over;222
an;215
hour;11
from;337
marthaville;6
does;113
phone;36
suppose;15
so;789
occurred;2
pick;28
up;665
call;130
see;300
whatever;66
business;43
chooses;1
classify;1
itself;6
as;391
find;143
online;1
delivered;1
house;112
were;286
excuse;51
wear;18
ugly;10
ass;96
clothes;28
would;349
speak;18
manager;3
fine;87
trust;63
gettin;17
fired;9
am;299
quittin;1
fuckin;52
catalyst;1
ought;29
very;144
rude;5
young;25
woman;90
oh;261
ain;487
uppity;1
pattin;1
prison;6
kick;18
teeth;6
tara;160
please;194
god;260
serious;30
pathetic;10
racist;5
damn;87
stupid;53
job;55
evening;18
merlotte;71
hey;92
sam;164
knows;76
at;520
work;122
sookie;256
abuse;1
privilege;1
arlene;38
heard;90
wish;63
kids;36
better;135
emergency;5
quit;26
assholes;3
glad;26
afford;8
picky;2
miss;82
hello;25
rest;39
shut;76
asshole;23
he;1118
love;234
boss;23
look;263
lighten;1
hate;76
when;306
j;4
word;29
gotta;149
go;580
coming;116
margarita;3
big;70
bye;5
mack;11
denise;4
rattray;3
sit;40
section;1
em;66
chère;4
worth;20
tecates;1
nothing;184
menu;4
gonna;542
runs;9
son;62
wrap;4
sweet;51
lips;2
around;118
slim;2
reaper;1
start;43
pitcher;5
bud;36
hop;10
aboard;1
express;2
ride;21
heaven;15
alrighty;3
anything;198
wrong;82
dog;40
been;340
kicked;10
many;52
times;40
keeps;13
back;338
retarded;2
honey;38
rene;35
tells;6
watch;49
scary;14
movie;8
hbo;1
siding;2
him;560
live;55
anymore;39
remember;95
onion;1
rings;4
drop;17
few;46
floor;5
chicka;2
bow;1
wow;2
lookin;8
porn;2
star;4
tan;2
pink;3
lipstick;1
date;20
makeup;2
bigger;12
tips;9
yes;137
rednecks;7
suckers;1
packaging;1
act;16
brain;21
head;60
scared;47
child;27
between;41
legs;13
lafayette;56
nasty;20
talk;126
won;103
listen;109
man;200
whether;9
straight;25
gay;13
george;1
ma;26
bush;3
terrified;1
pussy;12
talking;69
everybody;77
wants;59
sex;66
surprised;13
saying;46
neither;17
bitches;7
missin;5
six;13
gears;1
hips;1
missing;24
away;125
slap;5
take;314
peaches;2
cream;7
cocoa;2
guy;49
bit;49
edge;2
started;25
age;11
getting;90
into;140
fights;7
really;218
used;74
lot;106
trouble;50
couple;41
schools;2
type;11
thing;159
partying;5
high;29
school;18
mosquito;1
bite;27
once;42
went;60
bar;57
shreveport;14
broke;16
paid;11
hooker;18
maudette;31
will;363
charge;6
offered;6
thousand;18
dollars;12
bucks;7
read;23
hustler;1
should;171
least;65
die;64
enough;85
rough;6
sometimes;45
videotaped;2
life;184
sucks;14
feeling;33
yourself;128
lazy;5
keep;144
maybe;174
mouth;19
bitch;117
asked;24
ve;451
nights;10
improve;1
its;11
first;124
benton;4
waing;1
happen;49
since;73
came;84
coffin;6
years;88
ago;41
bottled;2
nobody;77
ordered;9
bad;109
obvious;4
minute;47
seems;26
worry;39
cool;22
fact;27
supports;2
amendment;4
progressive;1
drink;67
actually;46
glass;8
red;19
wine;6
mind;104
none;44
mister;4
crazy;70
bedbug;2
name;110
wife;28
having;49
days;42
those;107
disappear;2
spoke;5
ignore;7
sucked;6
however;5
alive;49
has;152
willing;16
pass;11
favorite;10
foods;2
spend;28
fast;33
always;115
discriminated;1
against;34
felt;25
being;108
wanted;93
probably;59
pints;2
almost;47
ounces;2
bet;23
ounce;2
dallas;20
bring;54
free;23
round;11
problem;44
dimwitted;1
anywhere;30
guess;96
rattrays;7
drain;10
his;264
near;16
disappointed;2
small;13
mindedness;2
himself;28
promise;50
tend;1
fake;9
penny;5
ourselves;16
freaks;12
through;84
punished;3
sick;46
fucker;15
pickens;13
dead;123
disgust;4
fangs;22
huh;36
rip;15
throat;11
hurry;12
taken;25
dangerous;14
hide;11
trailer;10
wouldn;91
open;59
body;48
starting;12
hurt;67
goddamn;79
drug;13
addict;5
yada;3
cunt;6
proves;3
low;8
rent;7
idea;62
messing;4
side;25
another;70
account;6
backwoods;3
trash;12
taking;56
mac;2
time;306
cripple;1
other;136
quick;11
feet;16
bless;9
heart;54
faster;8
want;398
might;123
fight;44
yet;55
checkin;1
old;103
hangs;2
sometime;10
must;85
nearby;2
doubt;9
reckon;7
happy;50
rescued;3
stars;6
aren;32
afraid;31
alone;80
hungry;31
often;10
turn;61
human;130
values;2
humans;56
total;4
fool;20
juicy;2
arteries;1
groin;1
particular;4
mine;60
lady;30
collected;2
understand;56
makes;47
healthy;3
improves;1
their;104
horse;9
touch;25
stackhouse;113
waitress;29
antoine;1
basil;1
heh;2
langford;1
silver;25
affected;1
werewolves;24
implying;2
movies;2
appreciate;26
share;10
information;16
weaknesses;3
made;84
public;10
knowledge;5
ya;10
themselves;16
thanks;79
helping;13
expect;27
covered;5
matter;51
somebody;87
drive;25
customers;8
help;157
eye;30
place;89
means;36
both;66
tomorrow;29
learn;29
train;2
mixing;1
whiskey;7
sours;1
mama;144
grade;4
riding;3
bicycle;2
fucked;41
sister;46
best;83
friend;64
kindergarten;1
sleep;38
stranger;3
great;90
partyin;2
mad;31
calling;25
usual;5
expectations;1
idiot;15
somewhere;18
gigantic;1
parody;1
seeing;16
luck;17
gran;66
happened;89
stayed;7
put;91
anybody;71
company;12
interesting;16
bed;32
until;35
tina;3
said;166
tell;313
beat;16
haven;61
seen;68
hanging;6
laundry;3
voice;11
fortenberry;11
couldn;59
till;40
morning;50
hoyt;34
heck;10
rats;4
buy;21
weed;3
hospital;20
monroe;12
knife;14
motherfucker;47
took;62
anyway;28
addition;4
dealing;15
drugs;19
also;34
drainers;3
draining;4
parking;13
mixed;5
siphoning;1
gas;7
car;67
left;80
woods;24
fucking;224
cares;9
fault;38
handsome;5
sort;18
fashioned;3
tcm;1
bald;4
headed;6
hair;25
tattoos;4
sakes;3
keeping;18
hug;4
neck;13
sweaty;1
ice;11
tea;12
suit;7
watching;18
evalee;1
mason;2
found;60
strangled;6
death;39
apartment;6
lord;48
answering;5
dearborne;17
rode;1
murder;19
murderer;13
fang;11
bangers;2
killing;28
disposing;2
bodies;10
banger;3
groupie;1
men;34
women;34
bitten;4
things;116
hookers;1
specialize;1
supply;4
bodyguard;1
case;22
gets;36
frisky;1
magazine;2
wonder;24
something;242
cheap;11
lay;13
while;70
bust;3
plus;12
expected;5
participate;1
lunch;17
happening;14
lose;17
control;28
brother;52
dawn;35
responsibility;4
break;30
source;5
full;32
hot;31
meet;57
sheriff;81
afternoon;5
jason;156
grabbit;1
quik;1
works;15
characterize;2
relationship;13
barely;12
aware;15
murdered;12
grandmother;29
told;127
law;24
visit;12
boys;19
than;206
weren;37
killed;112
looks;34
hooked;5
tt;1
ordinary;5
videotape;5
taping;2
move;51
wondering;9
met;41
war;31
descendants;6
glorious;7
hard;53
showing;8
library;5
noon;2
thursday;1
special;27
meeting;15
tape;4
recollections;1
members;3
ask;65
next;50
comes;37
beans;2
doin;32
peace;10
lost;55
allowed;6
situation;12
interact;1
true;72
snap;5
isn;74
black;21
named;9
plantation;2
pisses;2
either;38
plain;9
plan;23
arrested;6
still;151
stick;14
scaring;3
white;24
likes;10
belly;3
fry;5
santa;4
claus;2
later;34
book;8
saw;74
carted;1
complaining;3
making;40
besides;21
figured;16
sweetie;15
psychic;3
suck;20
quiet;15
pouring;2
earned;4
pocket;5
promised;11
going;176
andy;66
bellefleur;29
questions;23
threw;11
squad;3
cuff;2
nothin;19
acting;11
convicted;1
mistake;13
standup;1
selfish;6
egotistical;1
complete;2
horndog;1
killer;27
walking;13
aisle;4
wedding;10
cause;110
sights;1
protect;42
saved;24
normal;26
christian;8
tall;1
dark;20
family;77
hand;29
warm;14
accustomed;1
beg;8
pardon;5
unusual;1
short;13
nope;11
may;88
reminds;3
favor;17
course;82
debt;6
delighted;3
realize;16
person;60
establishment;2
staring;4
police;22
mortal;2
run;56
shouldn;32
hypnotized;2
telling;30
reverend;23
cut;33
done;131
settin;1
judging;3
entire;10
group;10
based;3
actions;2
individuals;1
within;6
morally;2
danger;14
harmed;2
vigilante;1
stand;40
feels;22
smell;30
truth;29
loving;11
dinner;13
trap;3
noticed;8
same;68
eyes;42
such;53
stay;103
shook;1
whole;70
bossing;1
grown;3
decides;2
chain;8
dumb;29
ponytail;1
fido;1
freak;24
season;8
episode;7
ready;36
intense;10
moron;4
marks;5
inner;1
thigh;1
examined;1
messin;2
mess;15
hope;45
skeleton;1
tattoo;1
looked;10
motherfuckin;5
supposedly;1
clears;1
crime;11
commit;4
smart;25
wound;7
closes;1
green;5
room;46
turns;15
challenge;5
b;11
category;1
names;7
u;3
states;3
mother;34
memphis;2
jersey;1
york;4
connecticut;2
party;45
swingin;1
needy;1
momma;7
passed;14
coach;1
cleaning;7
putting;11
depressing;5
alright;7
lucky;26
standards;1
hallelujahs;3
comin;14
spent;20
thinkin;4
accidentally;1
waited;8
hours;28
proved;4
ruined;1
taste;18
different;30
apparently;7
telepathic;2
peaceful;1
lifetime;6
personal;20
question;19
licking;1
manage;3
social;9
dates;2
naked;18
natural;13
blond;11
worse;27
pig;35
marry;10
matt;2
damon;1
jake;1
gyllenhaal;1
jarhead;1
hat;11
goin;22
ends;4
talent;4
closest;2
heads;10
learned;12
figure;14
unethical;1
friends;40
suspect;11
sound;26
stream;1
consciousness;2
weirder;3
upset;4
images;2
completely;11
healed;6
doctors;2
joe;16
sexy;5
terrell;1
sitting;13
herself;19
cousin;25
trying;66
hit;26
straightest;4
honeys;1
married;17
husband;18
mercenary;1
oil;4
assassinating;1
iraq;4
makin;5
caught;8
shot;31
nuts;8
buying;5
cd;2
play;39
older;5
harder;8
club;11
mostly;5
dying;13
starvin;1
freezin;1
killin;2
each;39
rich;7
madness;4
awful;17
ecstatic;2
forward;5
creepy;6
given;15
vote;4
legitimized;1
unholy;1
american;13
creatures;6
satan;18
demons;6
literally;2
soul;18
newlin;21
polls;3
consistently;1
growing;6
support;6
fixed;4
monsters;3
givent;1
o;16
politicians;2
parties;1
corporate;1
media;4
nonsense;3
seek;7
policy;3
interest;13
simply;11
trace;3
laundered;1
accusing;3
organization;3
criminal;2
activity;1
sir;31
directly;4
sharon;3
commitment;2
christ;25
praise;12
compels;1
recognize;14
difficult;3
dialogue;2
tbbn;1
sausage;7
usually;8
tastes;6
complex;2
dear;18
gone;71
delicious;7
close;38
farm;7
lived;11
sun;41
rain;1
earth;15
herbs;1
grew;4
pot;5
shower;18
borrow;5
news;8
obviously;9
hook;2
hypnotize;3
jews;1
horns;7
begin;5
chew;2
basically;4
breakfast;19
lock;25
suspected;1
fix;7
tornado;3
touched;8
four;24
tracks;5
corners;1
turned;24
clearing;3
staying;11
under;28
mike;13
spencer;6
crushed;2
pulp;1
buried;4
parents;16
yep;2
parish;18
coroner;2
funeral;7
convenient;3
restricted;2
scene;8
fond;1
niece;1
nurse;3
busted;7
hurting;12
hearing;9
living;32
compton;73
across;12
field;4
lets;1
associate;4
thinks;17
proper;1
civic;1
duty;7
stopping;4
tornados;2
land;8
bothered;1
path;2
forcing;2
sleeps;4
ground;17
rug;2
proud;18
smells;5
rotten;5
food;27
throw;26
invited;5
panties;2
wad;1
careful;19
counts;4
depend;1
sucking;3
end;43
sense;25
pour;6
piss;6
boot;2
fridge;2
invite;14
otherwise;8
physically;3
impossible;7
enter;3
withdraw;1
invitation;4
mr;55
area;25
father;17
comptons;2
loudermilks;2
jesse;2
died;20
set;21
vra;8
americans;5
injustice;1
tolerate;2
rudeness;1
stackhouses;3
jonas;1
moved;15
hole;10
road;24
built;6
slave;5
middle;25
aged;1
whose;6
recall;6
yard;4
strong;18
minus;1
interested;9
speaking;14
mrs;8
lovely;7
oldest;5
respect;25
shall;17
fully;4
gauged;1
extent;1
become;10
stronger;16
skillful;1
hiding;6
accident;13
feed;24
donor;2
clinic;2
glamour;16
someone;65
letting;25
forget;31
healing;5
drank;6
keener;1
senses;3
libido;1
active;1
able;33
quite;41
handy;3
overwhelmed;1
treat;7
lick;5
kid;12
world;79
understands;2
sees;5
constantly;2
secret;22
pissed;12
hypnosis;2
similar;2
susceptible;3
comfortable;13
chicken;16
influence;4
strange;6
attractive;1
trait;1
squeamish;2
water;36
insurance;5
ticket;4
iate;1
piggy;3
bank;9
corbett;1
spoken;3
concerned;7
possibly;4
silliness;1
today;66
color;11
psychologist;1
reads;1
language;5
highly;3
observant;1
relief;3
bullshit;21
doctor;9
lying;22
inside;53
poor;34
diagnosed;1
add;2
though;42
flash;3
flood;5
children;21
cemetary;1
consider;3
bat;4
change;29
form;7
levitate;2
invisible;2
seem;27
heirs;1
ownership;1
reverts;1
unless;19
passes;1
renovations;1
electrician;2
return;12
calls;11
contact;4
clip;1
sunlight;7
skin;12
tie;4
rate;2
burn;5
closed;7
horny;2
midnight;4
leaving;33
foreplay;4
sugar;4
mom;15
stinger;1
jane;5
bodenhouse;5
skunk;1
humiliates;1
ashamed;15
brand;7
cognac;1
uniform;7
terry;27
sexualize;1
employment;1
remind;8
hired;5
affirmative;1
action;3
loaded;3
skins;1
serve;8
nachos;1
titties;4
mighty;3
obliged;2
lickin;1
knock;9
arm;14
apologize;19
someplace;7
handle;21
jerk;4
flustered;1
seemed;8
ungrateful;1
period;1
forced;6
focused;2
private;16
step;16
office;14
guard;5
relaxing;2
surprises;5
long;114
deserves;9
together;69
gotten;12
escapades;1
tables;7
tragic;2
crash;6
claimed;2
lives;20
theodore;2
yvette;1
month;9
daughter;19
bethany;1
pronounced;1
arrival;1
baylor;1
university;2
medical;4
center;3
seven;5
casualties;1
caused;4
freeway;2
chick;3
fresh;12
available;5
attend;4
minutes;27
mainly;1
poseur;1
malcolm;5
virgin;9
nosy;1
cupcake;2
tasting;3
ladies;14
certainly;14
disturb;1
arrangement;5
jerry;8
wherever;5
johnson;3
master;4
infected;3
hep;5
fuckers;7
marcus;1
hadn;22
illuminating;1
wakes;1
janella;2
evicted;3
slightest;1
sweetheart;14
yours;52
fucks;5
witness;3
unexpected;2
hepatitis;2
borne;1
pathogen;1
furious;1
mutation;1
relatively;1
harmless;1
oddly;2
kept;19
weak;12
biggest;3
captured;3
staked;7
precisely;2
communicating;1
others;19
therefore;2
considered;7
fair;13
game;20
attacking;2
diane;1
dated;3
1930s;2
evil;27
nest;8
nests;1
cruel;4
vicious;6
laws;3
unto;2
whereas;1
likely;4
onto;3
semblance;3
former;2
humanity;9
info;1
electrical;4
contractors;1
quotes;1
kiss;6
goodnight;1
clock;4
cleaned;6
smellin;1
stepped;2
piece;18
plantations;1
granddaughter;2
seventh;1
blame;16
carrying;6
peculiar;4
pull;21
working;39
unattainable;1
self;12
esteem;2
childhood;1
trauma;1
blah;7
snore;1
guts;7
table;24
dream;10
finding;13
walked;16
door;37
explains;2
whenever;8
requires;4
constant;2
effort;3
relax;16
chance;34
anytime;7
waiting;27
addictive;2
nature;19
slut;5
puts;2
liked;17
slow;8
drained;7
tied;8
considerate;2
buffet;1
intentional;1
safe;42
lifetimes;2
perhaps;21
waves;2
standing;9
heartbeat;2
impulses;3
animates;2
longer;21
animate;1
digest;1
magic;9
naive;1
mechanics;1
less;21
miracle;8
preacher;4
fellowship;26
church;47
millions;2
upon;12
senseless;1
wars;1
hold;57
responsible;11
bury;6
bloody;5
continue;5
slurs;1
words;16
waking;2
vomit;2
lighting;1
fire;25
lit;3
cigarette;2
horrible;10
guilt;2
raise;9
aa;5
lonely;5
girlfriend;24
plenty;12
serial;8
resist;3
boyfriend;29
opening;4
months;18
eight;7
weeks;25
ah;7
kidding;15
adult;1
alcoholic;2
grownups;1
strings;4
benefits;2
employee;2
laid;11
condoms;1
terrible;12
especially;15
strictly;1
deal;43
mention;9
affect;2
hire;3
exactly;49
judge;5
space;3
stopped;10
rubbing;2
cat;9
heat;7
along;20
sack;4
showed;14
boring;5
nowhere;19
meltdown;1
revolve;1
dick;27
happens;20
except;25
laughing;2
obnoxious;1
dumber;5
box;5
pants;10
limp;2
neighbor;2
bloodsuckers;1
sneak;8
embarrassing;6
intimately;1
reasons;11
huge;4
regret;4
forever;28
nervous;6
frankly;7
assassinated;1
campaign;2
agenda;3
hero;15
casualty;1
iii;1
amen;8
armageddon;4
intend;4
bats;3
animals;6
pigs;4
horses;4
tablespoon;1
lsu;1
raid;3
frat;2
mood;12
buzz;2
yo;2
main;3
street;7
thirsty;3
sizeable;1
appetite;3
elder;1
authority;32
higher;7
authorities;2
eric;80
carla;1
dress;7
moderate;1
behavior;6
intends;1
tow;2
line;18
souvenir;1
ultimate;5
sacrifice;12
fun;29
breather;2
insist;8
flaunting;1
ways;16
mortals;1
consequences;2
dirty;15
whore;11
kinds;10
devil;18
clear;22
sass;2
skinny;3
giving;17
spiteful;3
foot;2
carried;3
nursed;2
choose;6
faint;1
degrees;1
lemonade;1
squeezed;1
goodness;8
busy;12
earlier;7
untoward;1
entirely;8
dilemma;1
cook;12
stomach;9
beating;5
liquor;4
bottle;13
bleeding;2
yelling;8
stitches;3
peroxide;1
vicodin;1
smoke;3
badass;5
ganja;1
wake;23
duke;3
smith;2
excellent;8
ta;2
state;23
senator;5
prostitute;2
entrepreneur;1
satisfied;3
order;33
crew;4
gang;2
gives;10
ahead;38
dump;4
shows;4
due;7
bartender;6
redneck;4
slept;14
barks;1
folks;23
starbucks;2
cappuccino;1
machine;6
buffy;2
blade;1
killers;7
problems;6
track;7
cup;6
coffee;15
milk;3
calcium;1
deficient;1
fancy;3
nowadays;1
polite;4
courting;1
scares;3
scarier;1
regular;7
imagine;16
ability;2
grandfather;4
running;27
behind;23
deepest;3
darkest;1
secrets;6
earl;4
uncle;14
francis;3
korea;1
shape;10
torn;2
chair;2
underneath;3
noose;1
talked;13
purpose;10
creates;1
unique;2
overpriced;1
reveal;6
shotgun;2
hotness;1
finally;15
recognized;2
wearing;8
gold;2
viagra;4
puppy;3
legal;6
drugstore;2
wood;2
