Mot;Occurrence
j;5482
aime;522
votre;781
poncho;7
mon;2402
père;547
m;2184
en;4260
a;4605
rapporté;7
un;6176
de;12657
guadalajara;6
milan;10
dolce;8
gabbana;7
automne;18
betty;1943
suarez;238
bonjour;287
c;6715
est;11382
moi;2388
um;72
ai;4454
une;4061
version;14
imprimée;1
cv;17
si;2289
vous;6009
voulez;180
je;15967
suis;2745
fait;1776
il;5120
y;1997
eu;399
erreur;72
tous;492
les;3377
postes;5
pour;4429
débutants;1
que;9621
nous;1560
proposions;1
ont;455
été;503
attribués;1
désolé;340
monsieur;48
maintenant;647
là;1083
me;2443
dit;1048
pourrais;280
parler;557
peu;675
magazines;41
sont;652
ma;1154
passion;17
depuis;286
gamine;12
et;6722
n;3989
imagine;64
pas;9396
meilleur;97
endroit;115
commencer;99
carrière;58
meade;599
publications;43
connais;175
très;777
bien;2573
la;5923
plupart;20
vos;182
essaie;122
d;3458
dévorer;3
autant;83
peux;1264
visiblement;8
outre;7
beaucoup;344
appris;86
grâce;35
à;6350
eux;65
savez;279
des;2284
choses;332
loin;76
monde;442
comme;1180
qui;2169
acteurs;6
prometteurs;2
scène;32
londonienne;1
ou;652
quelles;20
machinations;2
politiques;1
au;1528
darfour;4
quelle;154
station;2
bali;1
considérée;1
plus;1713
romantique;26
du;1714
tas;32
idées;75
prends;150
toujours;630
notes;26
dans;1958
le;6890
métro;30
mais;2698
dois;715
faire;1733
mes;538
preuves;13
tout;2000
ce;5337
veux;1424
chance;208
revoir;135
importe;234
quel;245
poste;62
publication;19
taper;14
mots;55
minute;121
déteste;131
telenovelas;1
regarder;115
fashion;46
tv;10
justin;277
tu;9744
pourras;22
tard;178
quand;795
ta;650
tante;55
te;1951
gardera;3
okay;464
viens;334
manger;140
flan;9
ne;5527
vais;944
grossir;2
chéri;88
es;1374
garçon;75
ça;4753
importance;27
sois;187
gros;97
as;1975
commandé;16
gâteau;36
anniversaire;65
papa;313
sûr;383
fondant;4
chocolat;27
l;4392
année;131
dernière;163
alors;1085
comment;726
s;1438
passé;280
ton;1112
entretien;23
pense;600
était;1463
vraiment;1351
dire;1217
ils;891
étaient;83
impressionnés;1
eh;472
qu;3694
avaient;29
attribué;4
comprends;162
maligne;3
disposée;3
travailler;158
quelqu;575
aurait;130
dû;161
supplier;7
jour;194
où;655
diplômée;4
université;20
queens;54
pensé;166
explorer;5
autres;163
options;15
hilda;351
vendre;44
produits;18
herbalux;14
suggérais;1
obligatoirement;1
cette;1031
rêve;42
entendu;120
autre;562
faisait;71
grands;36
rêves;37
aussi;630
quoi;1757
parles;112
répète;4
son;800
copain;77
disait;27
soir;373
walter;59
parlait;23
avec;2230
portable;26
bonne;355
veut;385
t;2098
épouser;38
accepterais;3
b;624
on;3488
encore;509
parlé;153
bon;706
parti;85
lui;1041
bonsoir;46
ignacio;49
salut;376
hey;176
tiens;96
retour;110
peut;1184
couper;37
air;255
génial;240
merci;956
uh;59
oui;1159
oh;2129
dehors;77
ouais;918
célébrités;15
assisté;3
aujourd;248
hui;249
service;67
funèbre;1
fey;155
sommers;88
rédactrice;96
chef;123
adorée;4
détestée;3
bible;2
mode;826
magazine;370
grande;126
claque;6
directrice;28
création;20
longue;27
date;20
wilhelmina;574
slater;172
écartée;4
principal;8
faveur;23
daniel;1506
dont;158
seule;237
expérience;20
être;2044
fils;157
propriétaire;11
bradford;173
prostitué;2
notoire;1
pourra;56
transformer;12
don;30
mettre;179
femmes;125
lit;38
talent;15
habiller;10
trouves;27
nouveau;278
bureau;259
peur;114
donner;133
quelques;231
minutes;93
certaines;34
régler;23
avant;395
partir;171
intéressant;40
motif;4
décoration;4
lever;14
sait;150
aimerais;131
présenter;43
nouvelle;226
assistante;155
charmaine;1
interrompre;13
dictée;1
dirige;19
amoureux;45
croyais;103
gina;36
gambarro;18
non;2620
besoin;665
ajouter;21
soit;276
sens;188
mieux;303
allô;56
type;109
chez;363
meat;1
ici;967
êtes;556
sérieux;83
demain;242
serai;92
première;142
heure;133
matin;125
erci;1
rédacteur;129
savais;176
voulais;337
premier;170
choix;66
sors;82
pourrai;33
aller;606
compagnie;79
juste;1219
quelque;707
chose;960
dieu;673
après;349
séance;58
photo;166
livrez;2
travaille;109
salle;60
conférence;28
sur;1257
point;146
sa;486
réunion;137
personnel;35
amanda;352
passage;19
information;19
betsy;3
assistantes;10
arrivent;16
généralement;3
leurs;68
patrons;2
remplissais;1
paperasse;4
aux;299
r;33
h;56
fais;692
sorte;106
arrive;266
boulot;267
part;161
stages;1
boulots;9
temps;568
partiel;4
payer;89
études;1
vrai;337
marrant;78
avais;473
suffisamment;17
place;127
par;533
femme;303
affaires;118
attrayante;1
intelligente;27
sûre;132
elle;2373
admettre;18
souviendrai;3
probablement;88
noms;13
va;1338
désolée;524
aurais;252
préféré;31
arriver;103
telles;6
circonstances;6
réalise;12
marcher;46
dents;46
traces;5
important;135
excité;13
équipe;67
