Mot;Occurrence
i;32388
like;2614
your;4065
poncho;12
my;5192
dad;511
got;1454
me;5872
one;1774
in;5096
guadalajara;10
milan;14
dolce;8
gabbana;10
fall;55
betty;2702
suarez;333
hi;578
that;8747
s;12509
um;1055
have;4281
a;11536
hard;276
copy;31
of;5801
resume;5
if;1957
you;26439
need;1242
it;11393
should;730
follow;47
actually;584
there;2120
been;1022
mistake;87
all;2400
the;14029
entry;10
level;24
positions;7
we;4795
were;1014
hiring;19
for;4528
they;1696
ve;1497
filled;17
m;5353
sorry;1160
sir;80
while;168
here;2353
thought;652
could;1193
tell;923
little;1018
about;2579
myself;206
magazines;37
are;3258
passion;23
ever;420
since;249
was;3326
kid;134
and;8825
can;3478
t;8738
imagine;37
more;711
amazing;167
place;295
to;13877
start;248
career;72
than;406
meade;798
publications;62
know;4536
most;152
inside;61
out;2042
try;277
devour;2
as;1108
much;665
clearly;60
also;114
learned;38
so;4081
through;333
them;605
stuff;164
beyond;14
world;173
who;1388
up;1978
comers;2
on;3778
london;41
art;45
scene;27
or;908
what;5745
political;6
machinations;2
darfur;5
which;271
bali;2
resort;7
is;5855
considered;11
romantic;43
tons;13
ideas;64
always;514
jotting;2
down;534
subway;28
but;3230
getting;402
ahead;71
really;1812
want;1724
chance;179
good;1607
bye;274
any;483
position;51
publication;11
type;44
words;69
minute;202
hate;203
telenovelas;2
wanna;373
watch;205
fashion;404
tv;77
justin;371
later;155
when;1074
aunt;68
babysitting;3
okay;2605
come;1327
some;1024
flan;16
don;3736
ll;1865
get;2620
fat;90
honey;114
re;4227
boy;128
doesn;486
matter;140
not;3650
did;1461
order;74
birthday;86
cake;54
course;312
chocolate;32
volcano;2
same;201
last;490
year;274
how;1635
interview;56
think;1824
mean;1042
impressed;12
didn;1106
well;2961
said;564
had;913
hired;48
everyone;290
needed;76
understand;207
sharp;18
prepared;17
someone;496
begged;5
work;780
day;492
graduated;13
queens;92
college;47
exploring;2
other;399
options;29
hilda;559
am;926
going;1010
sell;59
herbalux;30
wasn;291
saying;247
necessarily;7
this;5350
dream;66
hear;239
somebody;122
else;293
has;669
pretty;250
big;521
dreams;42
too;856
talking;377
her;2158
boyfriend;181
night;565
walter;144
his;1063
cell;62
phone;208
he;3423
she;2921
wants;235
marry;56
does;418
would;1134
do;3657
haven;240
talked;82
yet;210
catch;63
him;1541
ignacio;84
hey;1218
return;54
mute;4
sounds;133
awesome;41
thank;903
uh;1812
talk;735
yes;899
sure;609
oh;4709
outside;64
yeah;2155
celebrity;30
studded;2
funeral;24
services;10
held;17
today;389
fey;257
sommers;132
loved;90
hated;28
editor;294
chief;133
bible;3
mode;719
magazine;496
bitch;119
slap;12
heard;178
round;27
longtime;3
creative;65
director;48
wilhelmina;753
slater;216
passed;21
over;716
top;101
spot;25
favor;52
daniel;2208
nominally;2
experienced;4
son;222
owner;7
bradford;266
notorious;7
manwhore;2
translate;3
talent;17
at;2130
bedding;2
women;177
into;471
dressing;16
new;767
office;296
scared;51
just;4374
give;563
few;153
minutes;112
things;526
wrap;16
before;450
leave;255
interesting;68
decorating;8
motif;2
knows;154
d;909
introduce;29
assistant;247
charmaine;2
interrupt;24
dictation;2
way;847
run;178
love;895
with;3286
gina;66
gambarro;34
no;4565
say;896
anything;532
luck;79
everything;478
feeling;93
better;438
fine;458
hello;336
guy;432
from;1166
meat;19
serious;136
tomorrow;306
be;3588
first;585
thing;702
morning;319
wanted;398
wouldn;209
choice;61
go;1927
anywhere;79
company;197
dress;145
fashionably;3
god;910
after;332
photo;92
shoot;194
delivering;6
something;1051
f;39
conference;40
room;226
staff;30
meeting;256
amanda;455
by;618
y;167
betsy;5
assistants;30
usually;49
their;290
bosses;3
filling;8
paperwork;12
h;36
r;37
let;1055
happen;154
again;443
where;740
job;491
apart;38
internships;2
part;146
time;1092
jobs;29
pay;140
school;224
real;260
funny;119
told;411
enough;243
experience;29
an;1125
attractive;15
intelligent;8
confident;11
businesswoman;4
gotta;375
confess;19
probably;212
gonna;1938
remember;272
names;23
anyway;249
wish;112
coming;323
under;124
such;207
terrible;82
circumstances;11
realize;92
awful;61
teeth;56
shoes;81
fill;37
excited;74
working;229
amazingly;3
talented;15
dedicated;5
now;1635
take;884
moment;81
late;231
began;7
without;148
waited;10
shh;82
marc;746
gift;70
aren;150
open;131
swarovski;2
crystal;9
commemorate;2
danny;36
hellaciously;2
upset;51
purge;2
memory;16
please;658
particularly;5
exciting;31
because;886
discuss;31
fabia;71
cosmetics;14
supplement;10
biggest;29
ad;40
buy;109
only;591
paid;54
layout;41
editorial;18
works;82
will;982
whatever;174
right;2126
given;59
needs;125
sign;93
off;692
spread;75
print;35
obviously;62
help;598
succeed;6
plenty;36
back;1201
make;934
very;568
issue;227
name;208
masthead;6
sparkles;4
dillydally;2
our;794
us;814
killer;14
thanks;358
mr;251
excuse;305
personally;15
pleasure;29
meet;251
crease;3
hairline;4
willie;207
years;300
done;290
worked;110
harder;19
bled;3
helped;42
icon;9
nasty;16
nepotistic;7
gives;30
self;26
absorbed;4
lothario;2
punk;5
nothing;388
truth;101
old;328
absolutely;73
ugh;115
though;94
tad;5
bit;203
between;111
brows;4
wait;704
see;1227
falling;28
flat;19
face;187
believe;372
dog;89
fancy;43
leftover;6
yours;109
recovering;11
darling;72
feel;431
once;166
starts;30
boil;2
doing;775
gathering;6
information;41
fabulously;2
douchey;2
phillippe;10
michel;2
photographer;22
isn;389
shot;83
looks;230
friends;192
drama;36
hooked;17
ex;57
girlfriend;119
couple;119
ago;171
went;227
week;257
call;511
tripod;2
drift;3
crap;69
trust;120
brother;134
anyone;219
especially;49
secret;109
trying;366
wrong;248
direction;13
million;42
keep;356
q;5
these;469
people;642
still;602
loyal;15
mucking;2
lunch;178
fan;35
travel;26
tiki;2
torches;2
wow;309
gorgeous;23
kind;337
reminded;8
hiroaki;2
seen;155
listen;322
implying;7
never;830
use;195
another;259
idea;317
story;150
hire;40
father;539
made;390
kidding;92
look;1569
appears;8
capable;35
fugly;2
business;191
image;21
representing;4
paparazzi;15
taking;180
pictures;77
standing;34
behind;91
fire;139
quits;8
beat;44
pulp;2
everybody;128
around;342
christina;302
closet;68
mm;316
hmm;255
clothes;102
kept;38
act;51
house;221
seamstress;17
sort;108
track;21
sometimes;123
even;716
crappy;13
season;44
improvise;3
cause;318
size;71
zero;10
voila;3
nice;442
mostly;21
away;351
chic;12
ees;4
bitches;16
girls;162
zelda;2
nancy;15
bizarro;2
version;13
sex;111
city;146
stop;465
gagging;6
schlub;4
sitting;48
feeding;15
stupid;168
pigeons;8
doubt;27
artisanal;2
pain;56
de;40
mie;2
themselves;21
worry;182
gone;180
weren;77
front;102
row;19
closed;24
casket;4
double;23
triple;6
check;129
knew;196
problem;185
cole;5
slaw;4
cabbage;3
tart;3
tangy;2
gets;137
temperature;3
money;331
treat;38
onetta;2
corner;39
stands;18
wonders;5
strange;26
seem;93
forgot;87
busy;117
home;367
soon;121
red;57
turkey;25
move;176
hold;192
ya;41
sleep;87
hopefully;13
boss;148
why;1353
stick;47
perfect;183
timing;16
sleeping;46
mom;433
died;60
together;281
hope;166
worth;85
saved;46
piece;85
fridge;8
sick;92
best;273
far;93
set;133
speak;74
huh;253
overwhelmed;5
wondering;58
quick;38
damn;98
outfits;9
bring;163
fabric;15
rough;38
burlap;2
basically;15
designer;67
potato;12
sack;8
wear;106
chuck;6
next;277
brutal;3
treats;8
dirt;17
show;370
taken;67
seconds;30
head;154
human;30
resources;16
apparently;83
tempted;11
anymore;192
explains;5
lot;356
grateful;9
break;109
easy;120
supposed;246
traffic;15
hangover;6
read;127
contract;20
test;60
shots;24
izabela;2
brazilian;7
model;80
crazy;248
complicated;46
dressed;25
ready;229
stand;96
specific;16
skin;35
tone;12
bet;47
whoops;12
glad;128
crisis;15
models;111
wardrobe;10
finally;118
quit;46
smart;48
ass;98
allow;15
superstar;3
short;56
shadow;6
light;60
movement;6
ladies;95
sexy;61
devouring;2
camera;42
eyes;91
coquette;2
humiliate;9
forbid;10
ugly;127
girl;404
forced;11
congratulations;56
chamomile;3
happens;71
surprised;46
owning;3
unless;67
j;74
lo;16
wishes;4
realistic;2
full;72
unfair;10
live;161
two;570
doors;16
hell;234
sweet;109
looking;254
screen;21
used;219
discount;15
offered;31
broke;74
plasma;8
thrilled;15
smettila;2
freaking;27
joke;46
stupido;6
idiots;13
happened;234
sensitive;17
accident;51
month;108
backed;9
u;52
v;25
marquee;3
saint;21
tropez;2
may;207
include;12
concept;48
canceling;7
considering;13
pulling;21
advertising;20
every;350
single;57
true;113
own;281
consult;2
explain;60
strong;58
sabotage;11
person;232
sabotaged;5
yourself;232
hoping;46
leg;16
cramping;2
fix;82
present;41
whole;264
book;215
called;274
unavailable;7
earlier;40
difference;19
teamwork;2
revenge;10
heart;159
condition;13
medication;15
cover;220
pills;30
then;803
randomly;2
decide;26
health;13
case;92
number;107
em;138
mi;16
amor;18
dealing;16
bureaucratic;2
mind;219
determined;3
optimistic;2
mother;367
returned;9
calls;100
dumped;31
dating;94
interior;2
designers;36
deserve;60
put;443
listened;5
blame;31
appreciate;64
town;78
car;126
soho;11
loft;7
problems;60
restaurant;37
eat;185
spending;31
o;85
prescriptions;3
lining;6
rent;43
lost;187
family;441
quite;67
measured;3
compare;6
mine;131
saw;205
beautiful;138
giving;100
credit;67
promise;111
different;114
tonight;340
otherwise;14
word;99
behalf;6
entire;80
ci;5
perdoni;2
unacceptable;5
showing;30
file;14
sec;7
second;185
softer;3
side;131
mothers;3
daughters;9
focusing;10
small;47
special;80
moments;12
granted;6
theme;17
being;322
events;4
daughter;112
none;59
those;444
makes;145
appeal;6
customers;12
statistics;4
might;393
assume;21
demographic;9
young;69
fact;77
tremendous;2
brand;16
loyalty;16
launched;3
means;160
teenagers;7
using;59
beginning;33
settle;22
children;62
exact;24
approve;11
images;4
beforehand;4
nah;18
sappy;2
picture;100
hair;190
biting;4
each;140
indeed;6
welcome;108
unhappy;9
setback;5
ours;9
played;21
seems;95
eye;53
confirmed;8
graphics;11
department;36
feature;42
map;11
suddenly;31
transcript;69
raceman;67
subtitles;68
willow;67
team;144
www;191
forom;67
com;207
previously;53
great;700
bunny;29
sister;173
gave;173
america;28
value;5
colleges;2
yep;79
charm;11
seeing;117
publishing;37
kudos;4
certainly;39
applaud;3
efforts;4
personalizing;2
desk;84
coffee;136
page;41
six;112
confirms;2
wearing;135
dior;7
suit;39
gucci;45
tie;18
maggini;2
wore;24
magginis;4
comfortable;35
unfortunately;30
sweatshop;6
cambodian;2
kids;119
labor;10
point;120
press;71
twisting;2
protect;40
ourselves;23
twist;14
natalie;57
whitman;18
favorite;90
jenna;10
fletcher;11
movies;38
catchphrase;2
math;17
gains;3
pounds;29
role;7
hasn;47
black;70
extra;44
sugar;32
humiliation;4
question;74
lips;14
recent;13
regime;2
change;186
slutty;10
scion;3
parent;15
named;29
took;188
hot;249
death;45
former;27
fiery;6
crash;19
mourning;4
fur;15
loving;21
martyr;2
control;57
vehicle;3
chased;3
angry;40
animal;20
rights;12
activists;2
checking;19
terrific;37
goes;90
star;54
featured;3
remind;46
importance;3
succeeding;2
stepping;17
stone;19
significant;2
eventually;15
end;134
running;80
referring;3
exactly;247
dummies;2
mock;21
submits;2
section;5
throughout;3
style;33
secrets;46
charge;77
takes;49
overnight;10
notes;40
controls;6
edgar;2
miss;250
someday;22
responsibility;34
smooth;6
chin;65
tighten;10
punem;2
lean;7
arm;22
flab;2
downsize;2
hips;16
least;127
area;11
breasts;7
lift;17
notch;8
sag;2
begone;2
looked;61
bad;370
normal;81
wonderfully;3
aspirational;2
modern;14
technology;4
opportunity;64
stunning;10
possibly;16
gr;2
super;38
tres;2
land;28
dollar;19
baby;437
guess;407
guys;321
experts;2
magic;16
fabulous;51
features;31
finish;60
finished;37
beyonce;2
pyromia;2
receiving;8
advice;30
focus;53
afraid;79
delegate;3
certain;36
purview;2
reiving;2
important;155
plane;54
handcuffed;2
