Mot,Occurrence
i,4236
you,1890
the,1674
a,1470
to,1350
s,1251
de,1048
je,993
on,914
est,904
vous,854
t,843
it,787
we,762
le,759
pas,730
la,651
les,643
que,608
that,586
à,582
un,579
of,578
il,570
me,523
m,521
l,517
and,493
c,488
tu,473
d,446
what,440
is,438
ne,429
this,426
et,410
en,409
in,387
ce,387
nous,375
re,373
they,364
j,359
have,352
he,351
for,345
des,344
une,344
can,341
ça,330
pour,328
my,326
be,322
qu,321
your,306
are,306
v,301
n,298
ai,296
ils,289
do,287
anna,285
with,280
not,262
know,259
there,258
was,256
don,236
as,227
ll,221
y,221
here,214
no,213
get,213
him,213
our,213
about,205
elle,204
if,204
us,197
but,197
just,196
si,190
all,188
she,186
avec,186
plus,185
qui,184
mais,183
her,181
sur,175
out,175
up,173
need,170
will,169
ve,169
from,166
moi,164
them,163
ont,163
tout,162
au,160
dans,158
how,155
mon,155
so,153
like,152
bien,149
tyler,148
être,147
du,145
one,144
now,142
te,141
visiteurs,141
va,139
suis,138
gonna,138
been,137
right,136
fait,136
who,133
want,130
sont,129
se,127
column,125
why,125
go,124
là,123
avez,121
colonne,121
visitors,119
did,118
at,117
5e,117
were,117
votre,116
peut,116
faire,115
quoi,115
était,114
people,113
toi,111
got,111
okay,108
ma,108
lui,107
sais,106
comme,105
pourquoi,102
an,102
could,102
ship,101
time,100
notre,100
son,99
5th,97
doit,95
see,94
ici,94
ryan,93
let,91
good,90
come,90
find,88
help,87
lisa,87
fbi,86
rien,86
think,85
may,85
back,84
going,84
où,83
would,83
hobbes,81
any,81
something,80
more,80
message,80
leur,79
didn,79
chose,79
voir,78
down,78
his,78
cette,77
georgie,77
non,77
comment,77
tell,77
avoir,77
has,77
êtes,76
peux,76
human,76
veux,75
tous,75
erica,75
where,74
chad,74
only,74
really,73
too,72
take,71
es,71
decker,68
by,68
sure,68
yeah,68
jack,67
par,67
nos,66
été,64
merci,64
vaisseau,64
mère,64
their,63
or,63
when,63
mom,63
dois,63
make,63
parker,62
had,62
some,62
sorry,61
père,61
please,61
plan,60
oui,60
john,60
everything,60
way,60
dit,59
before,59
val,59
off,58
besoin,58
look,58
sa,57
anything,57
because,57
agent,57
mother,56
today,56
gens,56
avant,56
never,55
into,55
call,55
quelque,55
parler,55
father,55
nothing,55
jamais,54
dale,53
quand,53
doing,53
live,53
depuis,52
then,52
ton,51
baby,51
trust,51
told,51
talk,51
am,49
joshua,49
temps,49
visitor,49
two,48
bon,48
life,48
thank,48
monde,48
vu,47
thing,47
said,47
vais,47
autres,47
won,47
peace,47
vie,46
stop,46
autre,46
aussi,46
even,46
evans,46
fais,45
humains,45
than,45
new,45
aux,44
god,44
looking,44
même,44
first,44
should,44
eu,44
peur,44
believe,43
dire,43
ou,43
day,42
home,42
sans,42
important,41
long,41
those,41
keep,41
bord,41
bébé,41
team,41
après,41
encore,40
guy,40
crois,40
thought,40
dieu,40
toujours,40
cause,40
ces,40
faut,40
vos,39
ta,39
aider,39
world,39
deux,39
say,39
humans,39
every,38
paix,38
eux,38
yes,38
last,38
coming,38
vs,38
maybe,38
contre,38
still,38
fils,38
work,38
much,38
confiance,38
vraiment,38
other,37
alex,37
away,37
chance,36
against,36
love,36
someone,36
shuttle,36
aller,36
personne,36
beaucoup,36
voulez,36
alors,36
fois,36
does,36
sera,36
trop,35
lézards,35
navette,35
warehouse,35
quelqu,35
over,35
avait,35
vivre,35
avons,34
mes,34
through,34
anyone,34
ships,34
mr,34
gotta,34
aboard,34
safe,34
ses,34
stay,34
ni,34
give,34
