Mot;Occurrence
où;83
étiez;13
vous;854
quand;53
jfk;1
a;575
été;64
assassiné;2
le;759
septembre;2
ce;387
matin;13
tyler;62
tu;473
as;110
senti;1
ouais;6
vas;31
avoir;77
des;344
ennuis;5
gros;4
i;1235
je;993
ne;429
rigole;1
pas;729
sais;106
bonjour;21
roy;3
père;61
jack;27
les;643
saisies;1
ont;163
augmenté;2
de;1046
rien;86
que;608
mois;11
dernier;3
l;516
immobilier;1
continue;5
chuter;1
un;579
plan;33
relance;1
économique;3
merci;64
d;368
être;147
venu;13
si;190
vite;17
n;295
est;904
c;484
seul;27
moment;17
pouvais;6
venir;17
grave;4
suis;138
excité;2
avez;121
la;649
bague;3
bien;149
sûr;28
ai;296
elle;204
va;139
aimer;1
vrai;16
adorer;2
vais;47
lui;107
demander;12
genou;2
à;582
terre;10
trop;35
banal;2
classique;1
ça;330
peut;116
se;127
passer;18
pour;327
était;114
quoi;115
ignore;7
haley;1
voilà;22
proposé;1
mon;155
idée;10
franny;1
il;570
adoré;2
aussi;46
plu;2
au;160
vice;2
président;2
laisse;14
moi;164
deviner;2
veut;28
martinez;1
ils;289
t;206
adorent;1
j;359
saisi;1
ferme;2
chad;27
et;410
lis;2
infos;6
comment;75
es;71
retrouvé;3
dans;158
cette;77
bagarre;2
accident;8
une;344
fête;3
fait;136
mur;3
aller;36
taré;2
brandon;10
qui;184
clinique;1
près;7
bloomfield;1
viens;24
te;141
chercher;13
rentrerai;2
en;409
vélo;1
qu;321
passe;23
maman;14
regardez;7
s;157
écraser;1
reste;20
endroit;5
mec;8
dois;63
y;219
nulle;4
part;13
bouge;10
allez;30
par;67
là;123
chez;26
dégage;2
tout;162
monde;48
toi;111
ma;104
moto;11
on;537
fiche;2
avancez;1
plus;184
eu;44
contact;7
avec;186
aucun;20
vaisseaux;25
stationnant;1
dessus;9
grandes;4
villes;5
mondiales;1
décroche;1
ryan;33
rues;1
sont;129
bondées;1
gens;56
fuient;1
énorme;3
masse;2
route;8
vers;9
ny;1
provoqué;3
cet;22
ébranlement;1
norad;1
confirme;1
jet;1
censé;4
contacter;5
vaisseau;64
subi;2
panne;2
électrique;2
générale;1
independance;1
day;2
plagiat;1
films;2
invasion;2
alien;3
dieu;40
oui;60
personne;36
fbi;43
division;1
