Mot;Occurrence
tyler;86
did;118
you;1889
feel;33
that;586
yeah;68
mom;63
re;373
in;387
big;21
trouble;12
no;212
huge;3
i;3001
m;330
not;262
kidding;2
know;259
good;90
morning;24
roy;4
father;55
jack;40
foreclosures;1
are;306
on;377
the;1672
rise;2
up;173
another;21
last;38
month;4
alone;20
and;492
housing;1
prices;1
continue;6
to;1349
fall;2
even;46
as;117
latest;2
economic;3
stimulus;1
package;2
thanks;26
for;345
coming;38
so;153
early;3
oh;30
it;786
s;1094
a;895
pleasure;5
only;73
time;100
could;102
make;63
down;78
here;214
ah;2
don;235
t;637
mention;3
all;188
right;136
little;20
excited;4
got;111
ring;6
of;578
course;14
she;186
is;437
gonna;138
like;152
this;426
isn;22
love;36
was;256
do;287
whole;14
get;213
one;144
knee;5
thing;47
too;72
corny;1
classic;1
can;340
go;124
wrong;33
with;280
what;440
haley;1
hey;20
thank;48
pitch;1
freddie;2
my;326
idea;24
he;351
loved;4
thought;40
great;26
take;71
vice;2
president;2
let;91
me;386
guess;9
wants;14
martinez;1
they;364
cool;5
shut;3
chad;47
read;7
news;24
how;155
exactly;18
into;55
fight;26
crashing;1
party;3
soho;1
snuck;2
out;175
middle;1
night;29
well;29
brandon;10
dumb;3
ass;5
who;133
where;74
some;62
clinic;1
off;58
bloomfield;1
ll;221
just;196
bike;13
home;42
going;84
look;58
stay;34
somewhere;8
safe;34
something;80
man;32
gotta;34
anywhere;12
god;44
idiot;2
kid;11
move;28
come;90
way;60
mean;24
streets;2
blocked;2
area;4
restricted;3
but;195
w;1
about;205
more;80
people;113
since;23
their;63
arrival;5
there;257
been;137
contact;10
any;81
ships;34
now;142
hovering;1
over;35
major;3
cities;6
world;39
ryan;60
pick;7
jammed;1
trying;20
flee;1
sheer;1
mass;3
moving;6
through;34
new;33
york;16
l;1
enough;14
rock;4
both;10
miles;1
n;3
o;2
r;19
d;78
confirming;1
first;44
jet;2
encounter;2
spacecrafts;1
experienced;2
full;13
electrical;1
failure;2
dude;12
independence;1
day;40
which;15
rip;1
number;12
alien;6
invasion;2
predecessors;1
okay;108
need;170
nobody;10
getting;21
again;33
sergeant;1
fbi;43
counterterrorism;1
division;2
still;38
past;9
looking;44
son;40
everybody;8
if;204
will;169
find;88
him;213
tell;77
turn;17
around;24
please;61
called;22
an;100
hour;5
ago;21
ty;21
pilot;1
be;322
frightened;2
we;761
harm;9
accept;2
our;213
apologies;1
truly;4
anguished;1
by;68
turmoil;1
has;77
caused;5
momentous;1
until;21
believed;4
were;117
intelligent;2
life;48
universe;1
overjoyed;1
name;24
anna;155
am;49
leader;3
delighted;1
meet;25
your;306
help;87
far;10
from;166
after;28
ve;169
replenished;1
ourselves;3
shared;1
leave;23
hopefully;3
better;25
than;45
found;29
forward;5
friends;15
communication;2
leaders;6
hours;8
then;52
peace;47
always;29
creatures;2
vatican;2
explains;1
existence;2
aliens;6
yes;38
decided;2
rattlesnakes;1
doesn;34
us;197
have;352
faith;11
lot;28
scripture;1
subject;2
meaning;2
at;117
loss;7
explain;12
exist;2
same;18
aren;14
want;130
call;55
question;17
position;5
pray;3
minster;1
congregation;4
amounts;3
two;48
bag;2
ladies;2
heroin;1
addict;1
may;55
landry;4
minister;1
size;1
appears;2
kind;27
translation;1
opening;1
underneath;2
ohh;1
why;125
didn;79
calling;12
themselves;11
visitors;119
say;39
bothers;2
old;14
drop;3
drink;2
see;93
comsat;1
alert;1
today;56
uh;6
busy;6
spaceships;1
outside;12
window;2
terrorist;21
alerts;1
chatter;3
among;13
cells;6
worldwide;4
dropped;3
when;63
v;177
showed;13
except;3
tracking;4
instead;5
falling;4
actually;7
spiked;1
think;85
connection;2
between;7
intercepted;2
uncoded;1
message;42
them;163
yesterday;16
suddenly;1
acquire;3
large;2
c;4
unless;13
target;4
while;8
distracted;1
run;13
databases;1
put;30
together;28
profile;3
watching;6
her;181
entourage;1
escorted;1
building;9
fine;23
hear;15
ex;5
left;24
wanted;28
um;1
bitter;1
happy;4
anything;57
hit;10
ground;15
running;8
tomorrow;6
these;23
live;53
pictures;5
lobby;1
united;7
nations;2
starting;5
approaching;2
mike;1
statement;1
listen;24
damn;9
hot;2
guys;17
inspiring;1
moment;8
mankind;3
honored;3
friendship;2
cherish;1
nurture;1
never;55
abandon;2
long;34
damage;2
similarities;1
humans;39
scientists;5
impossible;4
answer;11
show;24
respect;4
ooh;1
such;10
ugly;1
visitor;45
understand;27
seem;6
consider;4
attractive;2
bad;23
yourself;12
sorry;61
allowed;5
point;8
back;84
remarkable;1
midst;4
chaos;1
hostility;1
came;25
unexpected;1
sense;2
humor;1
should;44
press;2
tough;3
joined;6
panel;1
media;3
experts;1
discuss;4
much;38
three;8
weeks;18
yet;24
thousands;7
flocking;1
mother;56
person;10
result;5
host;2
mini;1
boom;2
tourism;1
spending;2
merchandise;1
welcome;30
shot;20
arm;3
local;1
economies;1
newly;1
opened;1
healing;31
centers;19
drawing;1
crowds;2
afflicted;1
ailments;2
cure;4
jamming;1
hoping;7
own;25
personal;5
miracle;10
government;14
officials;3
begun;2
talks;3
open;14
embassies;1
everyone;25
likes;3
violent;1
protests;3
denouncing;1
broken;5
numerous;2
demonstrations;1
planned;7
days;11
finally;5
real;23
lead;14
cell;20
heard;32
before;59
coffee;2
truck;5
suspected;4
hauling;1
drugs;4
impounded;1
y;2
p;2
searched;1
residue;1
traces;1
huh;3
island;3
nice;19
field;1
trip;1
drive;16
copy;1
silos;1
empty;2
searching;3
grounds;1
e;2
feels;1
dead;19
end;7
leads;3
every;38
fallen;2
sat;2
photo;2
white;4
doing;53
parked;2
front;7
shack;1
nothin;2
rule;4
suicide;7
guy;40
anymore;27
ready;15
lunch;2
hungry;2
important;20
sweetheart;12
nothing;55
tickets;1
believe;43
inside;9
freakin;2
spaceship;2
holy;3
awesome;4
incredible;2
amusement;1
park;2
main;1
docking;1
station;1
minutes;12
hang;13
tight;2
enjoy;4
ride;3
wow;1
unbelievable;1
step;9
hello;17
ship;101
lisa;49
examiner;1
says;13
body;9
less;6
tortured;1
killed;22
printing;1
fake;6
docs;1
passports;3
best;19
fakes;1
ever;34
seen;16
operation;1
cleared;2
knew;18
prints;10
victim;5
his;78
ability;2
manipulate;1
gravity;1
essential;1
term;2
space;4
travel;5
check;18
girl;10
having;5
ambassador;22
program;31
sign;5
learn;5
culture;2
act;6
ambassadors;9
communities;1
uniform;7
sucks;2
years;24
join;13
parent;2
signature;2
sell;1
parents;4
assigned;2
chapter;1
spent;5
quick;3
jump;3
bandwagon;2
sounds;8
fun;2
least;9
sure;68
sturdy;1
sound;2
examine;1
really;73
climb;1
aboard;34
saying;13
trust;51
earn;1
clear;7
part;19
plan;27
church;9
stood;1
driving;4
away;37
scared;19
blessing;2
disguise;3
needed;13
most;23
shape;2
wouldn;31
savior;3
agree;2
godsend;1
grateful;2
danger;3
under;13
conditions;1
gratitude;1
morph;1
worship;1
or;63
worse;5
devotion;5
priest;17
types;1
would;83
somethin;2
healed;8
pain;7
amazing;11
second;12
principal;1
sent;17
link;2
video;1
account;1
hurry;4
foremost;1
fact;7
tagging;6
proud;4
folks;1
spread;4
joy;2
weren;4
surprised;3
said;47
obsessed;3
because;57
looks;10
very;24
obsessive;1
texts;1
instant;2
messages;3
entire;8
page;1
word;17
those;41
links;1
whatever;16
whoever;7
tells;5
myself;9
someone;36
property;2
web;1
site;4
thinking;16
spreading;3
hope;17
talk;51
dad;24
blaming;2
excuse;10
touch;8
mr;34
decker;41
selected;7
broadcast;3
intimate;1
ease;2
against;36
interview;11
calls;16
keep;41
secrets;6
things;16
pretty;11
forgot;1
spoon;2
extra;1
sir;2
others;22
solve;1
case;9
sherlock;1
matches;1
anyone;34
system;11
creepy;2
biometric;2
parameter;1
facial;1
recognition;1
software;2
sexy;1
computer;6
absolutely;2
progress;4
ed;1
silo;1
owen;5
chapman;1
search;2
warrant;1
house;9
tipped;5
text;2
attending;1
tonight;18
location;6
pier;4
avenue;4
brooklyn;4
pass;4
code;8
prepared;2
test;16
info;4
share;13
meeting;15
sleeper;11
cops;3
georgie;44
told;51
stop;45
met;13
couple;7
times;6
recruiting;1
being;33
careful;15
engaged;1
fiancã;1
risk;12
involved;10
puts;3
happen;16
sit;10
sidelines;1
many;23
lives;15
stake;2
change;11
mind;10
grow;3
conscience;2
liked;3
sermon;1
other;37
reason;12
obliterate;1
bleeding;1
address;11
give;34
information;17
promise;11
choosing;1
questions;15
air;6
ask;23
paint;3
negative;3
light;9
portray;1
negatively;1
ones;8
mistake;12
journalist;4
job;12
uncomfortable;1
understanding;2
standing;1
afraid;21
choice;11
canceled;1
whoa;3
done;25
swear;5
fair;3
proceed;1
elevate;2
career;5
invited;8
expecting;3
haven;21
stupid;5
backup;4
mole;2
tipping;1
closed;2
loop;1
watch;5
perimeter;1
cavalry;1
mouth;1
group;21
personally;3
referred;2
woman;12
doctor;12
injecting;1
small;1
dose;1
anesthetic;2
each;15
wait;23
minute;9
evening;6
prime;7
focus;7
present;8
close;10
high;19
commander;11
behalf;2
wanna;18
opportunity;5
free;7
everything;60
topics;3
without;21
reserve;3
confirm;6
skull;2
bone;2
next;17
place;14
beauty;2
vast;1
massive;3
oceans;1
earth;8
though;8
unlike;2
divide;1
countries;3
passed;5
ensure;3
order;1
walk;16
appearance;3
cloning;3
human;76
flesh;5
reptilian;2
skin;8
speed;1
encountered;1
travels;1
humanity;6
rare;1
gift;6
hold;9
highest;3
regard;3
decades;1
implementing;2
extermination;2
child;13
face;19
privileged;1
able;17
assist;2
knowledge;2
technology;23
truth;24
stirs;1
