Mot,Occurrence
i,23816
you,13838
a,13681
de,12869
je,11631
the,11002
est,10170
s,9035
tu,8373
que,8240
to,7913
le,7498
pas,7124
la,6960
un,6655
t,6507
it,6081
on,6058
c,6016
à,5957
et,5711
me,5571
il,5526
vous,5192
l,5177
that,4776
m,4759
and,4751
j,4645
les,4496
d,4466
ce,4324
of,4177
une,4174
ne,4051
en,3876
pour,3790
ai,3703
qu,3640
in,3400
des,3160
n,3137
ça,3023
what,2947
is,2866
my,2788
this,2607
for,2599
qui,2563
he,2544
your,2529
elle,2526
was,2518
as,2461
we,2335
du,2305
dans,2298
know,2285
si,2248
veronica,2220
have,2094
so,2083
mais,2078
just,2008
moi,1938
suis,1933
re,1905
be,1877
y,1827
mon,1827
avec,1823
with,1811
do,1797
te,1783
bien,1756
don,1733
était,1699
can,1696
fait,1659
sur,1639
but,1630
she,1622
plus,1606
au,1605
out,1565
like,1528
être,1516
all,1515
not,1497
no,1490
if,1471
tout,1455
are,1432
oh,1431
about,1415
non,1391
faire,1381
up,1363
there,1330
son,1318
at,1316
sais,1308
her,1239
get,1238
got,1214
ils,1212
yeah,1204
here,1200
toi,1198
they,1159
es,1158
ll,1152
lui,1122
ma,1115
se,1113
comme,1112
dit,1107
one,1107
là,1072
think,1070
who,1057
va,1055
him,1052
ton,1048
quoi,1027
right,1020
mars,1014
nous,1012
oui,998
peut,995
veux,987
his,980
où,958
peux,951
how,948
did,940
ca,935
want,934
well,933
hey,929
cette,906
now,894
alors,888
time,842
ici,835
pourquoi,827
quand,826
votre,821
ve,817
see,816
avez,808
an,805
from,796
dire,791
ont,788
sont,787
when,770
go,767
logan,763
ou,747
été,743
were,737
vraiment,730
avoir,727
rien,723
okay,709
chose,703
didn,700
or,699
ta,689
gonna,685
par,685
why,679
juste,675
had,672
some,672
avait,668
would,667
come,665
comment,659
bon,656
really,652
good,652
back,650
père,644
sa,637
dad,630
voir,630
let,630
crois,621
been,610
something,606
need,601
quelqu,581
merci,580
vais,569
même,566
fille,566
where,565
ouais,562
fais,561
salut,556
could,555
look,552
neptune,547
autre,532
quelque,532
man,527
tell,520
off,517
take,511
vu,509
deux,508
mes,498
peu,496
très,496
keith,491
night,486
donc,485
guy,485
wallace,481
say,477
étais,477
kane,474
going,474
make,474
ces,471
tous,468
should,460
uh,459
little,459
sure,458
by,457
lilly,455
temps,453
après,451
then,438
aussi,438
toujours,437
duncan,435
êtes,433
thing,432
down,431
sorry,431
find,429
way,428
mr,426
besoin,422
parce,421
parler,418
more,417
nuit,415
faut,413
them,411
mean,407
car,406
chez,405
our,405
will,404
encore,404
avais,402
doing,401
over,401
jamais,399
school,398
maintenant,396
savoir,391
two,389
fois,388
girl,384
thought,379
dois,376
never,375
call,375
maybe,374
has,373
dick,370
pense,370
used,369
eu,368
sûr,366
said,365
someone,361
ses,360
aller,358
last,358
notre,356
shérif,356
dis,355
any,353
déjà,351
long,351
us,348
help,344
avant,344
aux,342
voilà,342
veut,342
femme,340
allez,339
voiture,337
sans,336
cool,336
friends,335
type,331
papa,328
people,328
into,327
mère,327
because,327
moment,324
question,321
might,321
leur,320
hearst,319
anything,317
tes,315
o,315
argent,314
soir,314
grand,314
chambre,313
talk,312
day,311
vie,310
still,310
trouvé,309
after,309
accord,309
parents,308
vas,307
