Mot;Occurrence
précédemment;60
dans;2298
veronica;1203
mars;558
qu;3639
est;10167
ce;4323
que;8237
vous;5191
faites;138
ici;835
mon;1825
mari;169
ne;4051
s;1591
pas;7124
suicidé;17
qui;2563
fait;1658
penser;88
ça;3023
car;119
je;11630
connais;263
pourquoi;827
embêter;20
avec;1823
quelque;532
chose;694
n;3102
bien;1755
surtout;42
quand;826
tu;8373
fais;561
la;6935
différence;16
peu;496
de;12861
personnes;72
font;90
veux;987
dire;791
toi;1198
peux;951
crois;621
oui;997
vas;307
manger;102
cette;906
frite;4
en;3874
particulier;10
c;5945
était;1699
le;7496
but;83
dis;355
juste;675
si;2246
voulais;247
ou;746
allais;72
consommer;4
par;685
obligation;5
pour;3786
répondre;43
aux;342
attentes;4
quelqu;581
un;6643
d;3718
autre;532
serait;165
prête;66
à;5957
t;2266
débarrasser;19
peut;995
être;1516
du;2305
ketchup;4
convenir;4
demoiselle;8
rien;723
bon;653
vais;569
astronomie;4
as;1779
déjà;348
lu;67
lampoon;19
mmh;11
mhh;4
régale;4
i;7383
ufs;21
pourris;9
me;2401
ils;1212
ont;788
écrit;72
des;3159
trucs;106
vraiment;730
drôles;6
dedans;64
mieux;245
les;4496
bureaux;9
reçu;66
nuit;415
après;451
doyen;266
a;6234
réinstauré;4
système;40
grec;13
vois;245
furent;6
lancés;9
là;1072
fête;205
pi;120
sigs;73
inconnus;6
comprendre;48
filles;215
maison;213
lilith;16
j;4618
arrive;190
croire;97
ces;471
gens;212
soit;274
bêtes;5
sais;1308
veulent;63
au;1605
alors;888
lui;1122
balancent;5
comme;1112
devait;86
nettoyer;13
fenêtre;44
mentionne;6
aussi;438
balancé;11
son;1189
bureau;210
parlé;157
trouvé;309
comment;649
rendre;97
drôle;54
type;302
quel;221
dommage;26
ai;3702
rempli;16
demande;182
il;5524
y;1809
une;4174
semaine;147
ah;153
l;5157
avait;668
classé;7
m;2229
demandé;164
rapport;69
sur;1639
suicide;38
cyrus;119
o;202
dell;142
es;1157
plus;1577
shérif;356
hein;198
citoyen;10
concerné;9
archives;10
publiques;6
formulaire;9
toujours;437
chercher;117
crime;71
où;958
besoin;422
nouveau;158
hobby;8
keith;285
oh;594
trouve;144
résoudre;21
enquêtes;12
très;496
relaxant;6
devrais;243
essayer;94
fois;388
ouais;562
ailleurs;49
mettre;132
salut;556
maître;24
tricheur;7
vont;110
affaires;151
explose;13
personne;303
veut;342
faire;1381
ses;360
propres;15
devoirs;35
même;566
dû;226
embaucher;7
question;203
ton;1044
équipe;131
fournit;4
elle;2525
guides;5
exams;4
éthique;12
tous;468
jours;161
ironie;13
ternie;4
temps;453
ma;1093
vrai;300
détective;89
privée;44
junior;14
cool;160
et;5706
deux;508
aurais;299
affaire;219
autres;210
profiter;23
mes;498
qualités;9
payer;112
main;130
uvre;4
option;19
tes;315
sans;333
famille;193
proches;13
malheureusement;20
partie;120
paierai;9
voilà;342
truc;276
femme;339
aime;257
se;1110
marie;12
prochaine;62
aucune;110
idée;191
ni;95
adresse;77
numéro;205
nom;278
retrouves;22
prends;158
bain;20
sèche;9
cheveux;76
long;121
time;102
ago;88
we;150
used;135
to;210
be;151
friends;132
haven;44
thought;53
of;109
you;154
lately;44
at;51
all;72
come;44
on;3548
now;64
sugar;46
bring;88
it;130
yeah;52
just;70
remember;44
when;46
3x11;4
poughkeepsie;12
tramps;4
and;109
thieves;4
résumer;5
fille;566
aimes;51
habite;11
va;1055
épouser;9
comprends;136
prénom;10
victoire;13
gaffe;19
sait;157
rencontré;58
convention;12
discuté;8
entendu;215
fini;137
passer;197
chambre;313
hôtel;97
parler;418
vie;310
toutes;188
belles;9
choses;200
accroché;14
niveau;36
noms;38
importance;13
ok;265
quoi;1027
syndicat;6
fournisseurs;4
anti;18
sèches;4
comic;8
con;19
trop;279
transpiré;4
costume;21
wookie;4
beurk;7
accrocs;8
star;38
trek;7
wars;4
étais;477
parce;421
dave;14
gibbons;8
sort;41
nouvelle;169
bd;10
écrite;11
dessinée;4
semble;84
tout;1455
suite;90
celle;91
évanouie;6
habillée;11
cylon;4
connaissais;31
six;44
chelsea;44
normalement;21
pu;198
plonger;9
session;6
battlestar;10
galactica;6
accord;309
commencé;57
chasseurs;9
cylons;8
bsg;4
ressemblent;4
voiture;337
batman;9
avion;32
mais;2077
ensuite;49
nos;209
relations;17
pourries;4
parents;172
chuck;5
klosterman;4
morosité;4
sac;138
plastique;20
vole;23
penses;158
tant;126
beauté;19
monde;302
te;1783
dépasse;6
genre;211
effet;41
connexion;13
puis;218
avez;808
baisé;6
non;1380
sexe;27
finalité;6
été;743
tellement;91
emmenée;7
aéroport;29
lendemain;36
matin;105
beaucoup;202
dit;1107
laissé;122
note;42
près;84
lit;48
coordonnées;11
dessus;120
suis;1933
retourné;13
ménage;6
disparu;98
sûr;366
laissée;38
certain;33
quelques;221
envoyé;97
texto;13
disait;48
cessait;4
attendre;68
appel;97
ex;104
étaient;148
ensemble;145
allaient;10
marier;14
dois;376
empêcher;20
épouse;12
uniquement;14
rappelée;5
appelle;255
explique;38
appelé;146
plein;103
répond;12
jamais;399
voir;630
message;111
montré;23
colloc;22
supprimé;5
accident;108
contre;164
asseoir;29
merci;580
facile;77
fouiner;8
bouger;11
coin;62
mac;112
parker;165
leur;320
heu;161
photo;135
tour;55
brian;25
pote;104
fred;12
sensée;5
canada;10
naze;14
essayons;8
coup;240
désolé;254
déranger;14
encore;404
ami;191
essaie;118
retrouver;139
sms;20
depuis;249
téléphone;168
pouvez;163
vient;132
code;49
régional;5
goshen;8
état;45
new;33
york;30
environ;24
kilomètres;10
êtes;433
moment;254
emprunté;8
votre;821
portable;81
prêté;7
fac;116
californie;42
petite;201
arts;7
dont;114
hearst;204
pourrais;198
vérifier;41
messages;46
envoyés;14
eu;368
mois;112
dernier;122
servir;25
dérange;55
viens;277
moi;1937
allez;339
occupe;69
problèmes;60
transport;6
descend;9
jusqu;174
bingo;11
max;82
nouvelles;90
apparemment;58
trompée;14
passée;47
dernière;176
côte;24
noël;56
sorti;43
ville;108
bonnes;38
jeune;63
douce;17
créature;4
emprunter;25
chaud;15
devant;115
plateau;7
muffins;4
dirait;180
bonne;290
sérieuse;16
mauvaise;61
pute;22
débile;9
paraît;50
cru;49
confiance;69
perdais;6
ta;682
virginité;7
aller;358
buter;6
potes;26
donc;485
pouvais;68
laisser;152
facture;25
impression;51
eue;14
pensaient;9
quelle;138
planète;11
misère;8
sexuelle;19
avais;402
opportunités;4
exigences;8
hautes;7
choisie;5
savaient;20
interviewée;6
cherchaient;4
vos;196
points;80
communs;10
préparée;5
fan;43
donné;137
shirt;26
ainsi;38
phrase;14
ressemble;58
soufflé;5
vu;506
languir;5
voulaient;16
trouver;218
moyen;84
sortir;135
eh;221
assommer;4
su;42
bossait;6
nord;9
piqué;12
passant;7
passes;20
restera;9
prostituée;42
stupide;20
simuler;16
femmes;96
sont;787
universellement;4
connues;9
professionnelle;10
larmes;13
yeux;71
pensait;23
prix;44
taxi;30
revenir;38
job;28
apprendre;37
boulot;133
ferait;46
attiser;4
feu;64
obsédé;4
croit;52
première;130
avoir;727
touché;24
couvert;18
maillot;8
évidemment;19
