Mot;Occurrence
i;16433
previously;52
on;2510
veronica;1017
mars;456
it;5951
just;1938
went;185
straight;52
off;515
the;10834
cliff;53
they;1155
re;1890
all;1443
dead;136
woody;115
s;7444
a;7447
pervert;7
he;2543
sick;29
what;2924
did;938
to;7703
us;348
is;2834
wrong;169
two;381
of;4068
boys;99
who;1051
died;68
in;3350
bus;187
crash;90
were;737
little;452
league;24
team;92
most;104
adults;6
keep;226
their;283
hands;76
other;257
people;321
children;28
you;13684
ll;1065
be;1726
guy;479
let;626
child;42
molester;3
and;4642
murderer;22
get;1234
away;199
gone;109
took;139
his;979
private;91
plane;36
my;2737
grandmother;14
asked;107
me;3170
for;2574
one;1080
thing;432
whole;140
life;245
she;1618
wants;88
see;811
walk;70
across;34
that;4740
stage;14
at;1265
graduation;19
weevil;122
m;2530
telling;72
set;72
up;1341
got;1200
something;600
bless;13
father;164
have;2078
sinned;4
ve;808
chlamydia;10
jackie;69
left;197
france;6
this;2599
morning;118
thought;326
our;401
story;120
was;2513
epic;11
go;756
don;1663
t;4241
want;922
lose;42
from;793
stepmom;11
gold;21
digger;6
cash;73
strapped;7
can;1683
help;344
but;1547
quid;11
pro;21
quo;12
mrs;107
c;71
we;2185
find;427
defendant;8
not;1485
guilty;46
how;945
innocent;26
suffer;7
free;108
truth;74
fiction;3
are;1416
pretty;210
much;273
interchangeable;2
mr;357
echolls;142
do;1783
feel;155
about;1409
your;2494
acquittal;3
relieved;5
name;278
cleared;11
horrible;23
crime;62
there;1313
neither;18
santa;9
claus;3
nor;7
an;710
easter;9
bunny;8
no;1479
angels;7
watching;43
over;400
things;191
happen;67
reason;64
nothing;245
makes;100
any;351
sense;51
will;400
stick;33
head;127
however;15
turned;48
out;1541
done;165
with;1792
lives;45
obsess;3
move;73
aaron;84
justice;21
own;170
way;426
really;652
believe;225
yes;243
now;830
come;621
running;77
business;130
here;1192
look;545
alive;34
happened;134
moving;29
posted;26
today;101
meg;112
dad;630
offering;18
grand;91
capture;3
goodman;40
well;933
sure;453
someone;359
him;1050
didn;698
say;467
run;130
shouldn;43
hunting;9
down;414
like;1514
dog;92
also;70
said;362
being;195
kid;133
gonna;683
graduate;10
high;181
school;397
miss;165
blew;30
molested;7
guess;303
sentimental;5
when;724
management;7
gives;19
cake;22
supposed;133
eat;57
prepared;11
going;474
never;352
figured;66
would;659
note;40
afraid;55
if;1452
saw;213
wouldn;125
able;68
always;196
then;436
bunch;43
stuff;171
could;553
use;112
method;2
time;740
tested;7
by;454
women;44
throughout;3
ages;4
gorge;2
right;1002
back;642
johnny;14
ludden;2
thanks;305
dropping;15
gelato;5
show;206
why;677
old;200
yeah;1152
so;2077
or;669
carton;2
few;133
more;415
questions;68
first;239
hey;903
honey;150
hello;159
call;372
vinnie;34
van;39
lowe;12
course;121
know;2264
bounty;6
aware;26
g;14
big;221
boy;155
money;253
lot;181
top;70
guys;271
had;670
