Mot;Occurrence
des;1743
petites;29
boîtes;9
sur;681
les;1992
côteaux;2
de;7251
pacotille;3
toutes;90
pareilles;2
il;2531
y;1060
en;2300
a;2551
une;2199
verte;8
rose;6
et;3434
bleue;9
jaune;5
elles;81
sont;391
ont;240
l;2414
air;143
gens;141
dans;1384
maisons;42
tous;266
allés;6
à;3098
université;19
ils;570
été;236
mis;70
sortis;2
pareils;2
médecins;3
avocats;7
cadres;3
supérieurs;2
alors;529
je;6969
pense;203
vraiment;451
qu;1828
est;6284
important;28
que;3851
nous;537
enlevions;1
boissons;5
sans;184
alcool;13
distributeurs;5
pour;1882
remplacer;5
par;343
eau;45
bouteille;8
jus;24
fruits;16
naturels;1
ce;2377
ça;2009
comprend;4
aussi;314
sodas;3
light;17
parce;291
on;2281
devrait;95
garder;31
la;3620
plupart;17
nos;103
filles;52
surveillent;1
leur;142
poids;11
ces;278
ans;152
ne;2080
devraient;9
pas;4502
faire;977
attention;43
ligne;15
crois;217
elle;1291
eu;151
petite;117
injection;4
botox;1
entre;86
yeux;48
c;3648
tellement;53
naïf;2
sûrement;39
dû;85
se;583
le;3558
même;288
pauvre;22
si;981
mon;1159
mari;70
tombait;3
mort;135
me;1233
ferais;36
aspirer;1
lifter;1
injecter;1
tout;899
qui;1246
bouge;23
sais;624
tu;4603
as;1106
garçons;26
donc;197
comprends;52
peut;498
être;814
comprendre;23
quoi;860
enfants;143
engloutir;2
du;951
sucre;7
colorants;1
non;1061
avis;44
sucrées;2
enlevées;1
celles;7
enlever;22
mesdames;18
merveilleux;12
bon;366
merci;332
nancy;308
botwin;145
responsable;18
comité;1
sanitaire;3
fait;878
pause;8
maintenant;391
un;3432
pur;8
sac;74
lui;476
laisser;84
mal;152
d;1963
argent;266
j;2435
ai;1989
entendu;76
n;1407
avait;167
rien;417
dépensé;5
nouvelle;59
cuisine;29
vous;2898
avez;338
vu;141
devenu;9
magnifique;22
allez;278
monde;151
s;738
applaudit;1
demande;65
comment;396
sort;24
étions;3
train;88
dire;412
quel;138
point;61
adorions;1
votre;390
contrefaçon;1
mais;899
voit;26
laisse;135
moi;1308
voir;234
ray;5
acheter;60
combien;107
payé;19
dollars;34
jeter;19
oeil;12
cette;514
couture;4
travers;17
saurait;4
pourquoi;448
es;770
salope;111
radine;2
coutures;1
parfaites;1
ah;98
oui;548
juste;414
ici;522
putain;399
merde;425
ouais;401
regardant;4
dictionnaire;2
autre;230
jour;84
ta;514
photo;24
coté;5
blanche;48
écervelée;2
ca;340
sent;37
féculents;3
manquent;2
amie;60
talisha;2
essayé;47
régime;6
mangé;19
bacon;5
oeufs;12
pendant;91
mois;60
entier;9
parle;131
douzaines;2
cochon;4
perdu;40
kilos;9
marche;65
connerie;9
ma;770
soeur;31
utilise;22
truc;116
réfrigérent;1
rempli;13
bouffe;24
dehors;63
jours;74
lancer;11
quartier;16
appellerait;4
deviens;8
maigre;3
renoi;3
volé;28
toujours;204
grosse;49
parait;4
bien;1060
ronnie;1
quittée;3
découvert;7
prenait;11
son;306
petit;222
ron;1
dépensait;1
shareek;1
salut;205
fils;162
pris;122
adidas;1
stupide;36
chaussures;20
chères;1
gamin;34
seront;12
trop;260
grandes;8
noirs;21
stupides;8
fainéants;1
volent;2
chantent;5
dansent;1
blancs;13
enron;1
world;6
com;91
milliards;3
transférés;1
vers;37
comptes;11
bancaires;1
étranger;4
allongés;1
plage;28
compter;9
quelqu;177
écouté;5
sermons;1
révérend;1
sharp;1
plus;854
suis;1262
dis;282
peu;278
osé;1
peux;618
gramme;7
espace;16
avec;1070
mes;311
lunettes;3
cassées;2
donne;114
agis;3
comme;562
remplissais;1
chèques;6
ton;620
cul;201
pourrait;80
couvrir;8
mets;60
jamais;280
doute;11
vue;52
heylia;80
rain;1
man;16
herbe;151
amen;7
m;1037
excuse;31
encore;246
novice;2
là;661
dedans;85
avais;152
tort;7
tiens;70
désolée;149
te;1165
genoux;3
met;15
ses;155
états;11
vient;69
chez;215
donner;67
leçons;2
affaires;88
dois;379
avouer;7
très;375
ok;474
montre;21
respect;20
grande;40
vendeuse;11
communauté;16
privée;8
agrestic;89
drogue;122
vend;27
biscuits;7
enlève;18
fais;481
cadeau;37
paies;8
avoir;368
amener;17
beauté;23
hideux;1
oh;479
où;502
sauves;1
feu;102
au;755
docteur;17
phil;2
ouvre;41
avant;171
16h;4
shane;266
conseiller;7
psychologique;2
attends;120
raccompagne;3
imaginer;10
garçon;40
courrant;1
papa;86
amuser;11
boom;2
tombe;16
foutre;84
veut;220
pain;19
maïs;9
vas;301
va;887
retard;30
sûre;59
conrad;125
personnel;14
multicartes;1
andy;248
dit;433
quand;412
contact;15
mots;11
exacts;1
beau;65
frère;64
étaient;36
meilleur;51
jeunot;2
meilleure;24
came;16
répéter;2
aller;300
conduis;17
prudemment;1
vis;26
bye;25
passé;117
chambre;71
amis;79
deux;218
tombé;20
lucarne;1
t;1625
inquiètes;4
vais;508
remets;10
émission;5
trou;46
énorme;14
plafond;2
faisais;31
haut;46
lupita;51
descendre;7
madame;58
entendue;7
fille;147
sourde;17
douise;2
street;3
aurait;64
bizarrement;3
cloche;3
sa;220
langue;17
complètement;54
dennis;3
kling;4
hey;93
veux;747
embrassés;3
mme;99
quinn;29
chili;3
vrai;140
embrassé;3
megan;29
beals;1
beaucoup;174
épaule;3
remise;17
télécommande;2
plait;97
étais;162
officiellement;6
kim;1
travailler;16
projet;10
science;8
pelotaient;1
dénudé;1
tais;12
toi;829
sortir;78
seconde;34
surveillance;9
reviens;46
suite;61
aille;23
cochonneries;1
sûr;158
rater;10
ours;32
adore;76
boo;1
jesus;9
josh;11
faut;259
déstresses;1
crise;15
cardiaque;9
gamins;20
soient;7
orphelins;3
neuf;28
gars;126
allé;26
stage;1
yoga;9
redlands;1
sera;80
retour;13
semaine;64
demandais;16
pourriez;12
aider;102
occupé;10
partir;90
passent;11
peuple;17
migrateur;1
séance;3
minuit;2
plex;1
toute;112
lessivé;2
partie;80
vite;58
depuis;101
passion;7
christ;12
défoncés;3
perturbant;2
regarder;33
défoncé;24
religion;7
film;26
snuff;1
arrêterais;2
encontre;1
éthique;8
chrétienne;4
travail;63
b;8
aidez;15
besoin;346
fasses;15
cash;24
orthodontiste;1
courant;42
moto;6
couter;2
sacré;7
paquet;21
selon;11
règles;16
espèce;36
deales;11
