Mot;Occurrence
little;371
boxes;19
on;1482
the;5772
hillside;3
made;95
of;2236
ticky;3
tacky;5
all;984
same;68
there;885
s;4840
a;5118
green;34
one;597
and;3375
pink;6
blue;38
yellow;6
they;691
re;1817
out;940
look;418
just;1148
people;275
in;2387
houses;24
went;84
to;4837
university;8
were;311
put;181
came;62
doctors;3
lawyers;6
business;236
executives;1
so;1140
i;10819
really;428
think;605
it;4030
important;27
that;2979
we;2008
remove;5
soft;13
drinks;7
from;425
vending;6
machines;8
replace;5
them;297
with;1273
bottled;3
water;51
naturally;1
sweetened;1
fruit;16
juice;13
are;1243
you;10374
talking;147
about;780
diet;20
soda;6
too;327
because;206
don;1332
t;2956
should;319
take;484
away;163
many;63
our;300
girls;43
watching;18
their;112
weight;12
those;156
shouldn;37
be;1218
dieting;2
she;1111
got;840
botie;1
between;31
eyes;34
naive;4
probably;88
treated;6
herself;11
poor;23
thing;237
if;679
my;2154
husband;62
dropped;15
dead;135
d;308
suck;50
lift;8
up;936
inject;1
anything;163
moves;6
know;1169
ve;429
boys;61
may;48
not;1505
understand;48
what;2103
children;73
guzzling;4
sugar;10
chemicals;4
no;1630
total;23
agreement;2
sugary;2
go;926
everyone;60
favor;26
eliminating;1
ladies;39
wonderful;25
done;114
thank;218
nancy;332
botwin;148
head;92
healthy;7
committee;1
now;730
let;495
break;55
big;228
bag;56
guess;85
he;1324
left;97
her;719
pretty;97
well;513
fixed;12
huh;89
heard;51
was;947
nothing;204
spent;17
money;265
new;153
kitchen;21
have;1479
seen;52
turned;14
gorgeous;7
give;266
yourselves;6
round;4
applause;1
wonder;17
how;718
getting;151
by;271
saying;52
much;216
love;338
your;1908
purse;10
knock;16
off;332
but;805
can;1210
even;183
tell;334
me;2398
see;413
ray;10
buy;105
these;180
paid;24
bucks;35
at;685
crooked;6
stitch;1
then;347
cheap;19
trick;6
stitching;1
this;1801
is;2106
perfect;32
oh;636
yeah;632
right;782
goddamn;31
looking;107
dictionary;2
other;151
day;141
saw;62
picture;20
sitting;36
next;121
dumbass;2
white;72
chick;21
smells;38
good;551
miss;68
carbs;3
friend;104
talisha;2
tried;42
ate;18
bacon;6
eggs;13
for;1660
whole;123
month;30
m;2136
like;1013
dozen;3
pig;6
lost;44
pounds;21
shit;519
works;24
sister;33
does;147
where;440
leave;139
cooler;10
full;49
carb;1
food;52
outside;46
house;312
everyday;7
start;92
neighborhood;12
call;208
skinny;5
cause;190
come;446
nigger;9
stole;22
still;194
fat;47
looks;54
why;472
ronnie;1
dumped;4
ass;202
found;62
taking;88
his;375
ron;1
spending;5
shareek;1
hey;337
y;41
did;542
son;125
adidas;1
stupid;59
expensive;9
shoes;20
year;69
old;124
ll;823
outgrow;1
calling;36
black;67
lazy;4
also;61
steal;17
sings;3
dances;1
real;95
enron;1
world;50
com;95
been;299
stealing;9
billions;1
dollars;12
flush;12
through;142
some;507
overseas;2
bank;11
account;20
sit;90
beach;38
count;19
somebody;43
listening;24
reverend;1
sharp;2
maybe;230
need;564
bit;32
bigger;27
thought;126
small;48
say;331
bitch;147
eyeball;1
an;383
ounce;10
outer;2
space;24
glasses;1
cracked;1
acting;7
writing;10
checks;4
cash;93
never;257
question;37
heylia;86
eyeballing;1
rain;6
man;352
weed;152
amen;7
apologize;19
stand;22
corrected;2
knees;1
beside;1
coming;137
telling;35
recognize;3
alright;58
fine;259
respect;23
biggest;3
game;40
private;15
community;23
agrestic;89
drugs;104
sell;96
themselves;8
biscuit;2
ain;164
crap;32
giving;38
present;15
paying;13
excuse;59
trying;106
bring;99
beauty;11
into;211
ugly;10
rushing;3
fire;82
doctor;43
phil;2
till;63
shane;282
grief;5
counselor;3
sorry;301
wait;181
walk;53
damn;62
imagine;16
boy;99
jogging;5
daddy;32
having;82
time;414
boom;2
drops;1
could;338
fuck;525
kid;97
show;78
who;549
fucked;109
wants;105
cornbread;6
late;46
sure;237
conrad;112
do;1412
personal;22
service;16
andy;259
didn;266
when;399
hooked;5
us;291
believe;59
brother;56
law;39
exact;4
words;15
dude;28
meet;48
finest;6
jit;2
quoting;1
gotta;105
drive;72
safe;46
live;100
bye;54
happened;79
guest;11
room;156
ask;125
asking;34
both;80
fell;25
skylight;1
worry;66
okay;651
turn;123
back;535
huge;25
hole;14
ceiling;2
hell;114
doing;273
lupita;49
told;130
him;519
get;1046
down;315
mrs;92
hear;150
deaf;22
girl;152
douise;2
street;28
talks;6
weird;48
something;274
wrong;112
tongue;9
totally;89
dennis;3
kling;4
says;72
mean;229
french;5
kiss;17
quinn;32
want;692
chili;2
nah;10
kissed;5
megan;39
beals;1
lot;141
more;286
than;109
shoulder;3
remote;3
please;249
here;1039
officially;7
kim;1
working;71
science;23
project;9
making;70
naked;19
shut;79
second;50
going;386
watch;71
wanna;153
fool;11
around;157
bear;39
boo;3
christ;32
josh;11
relax;25
died;31
heart;46
attack;7
orphan;8
kids;109
guy;161
yoga;9
retreat;1
redlands;1
won;108
week;63
wondering;13
help;198
care;120
before;120
playing;36
winged;1
migration;2
plex;1
midnight;1
wiped;5
hasn;20
gone;63
fast;29
since;48
passion;8
stoned;16
disturbing;3
as;285
religion;5
straight;31
snuff;1
film;4
goes;57
against;33
christian;6
work;177
ethic;1
b;9
doesn;137
orthodontist;1
over;273
bike;5
costing;2
serious;30
gonna;855
play;63
rules;16
own;116
kind;145
deal;96
putting;20
glove;2
listen;104
stay;118
customer;19
base;14
clear;30
young;41
bleed;4
grass;7
field;12
will;431
yield;4
poet;1
ride;24
home;167
suburb;3
streets;15
night;128
wow;27
easy;34
lattés;1
yourself;106
caffeine;5
drug;125
later;79
hassle;4
ref;3
matter;50
whistle;3
technically;12
foul;4
kicked;14
teammates;1
isabel;46
nutrionist;1
months;29
has;205
very;220
slow;22
metabolism;1
thinking;119
thyroid;1
medication;2
couldn;55
after;146
side;59
family;170
kick;24
running;55
isabelly;1
burns;6
great;196
yes;324
drink;50
or;454
only;182
dean;83
ruined;9
asthma;1
inherited;1
unfortunate;5
build;18
breaks;3
crosses;1
bleeding;10
ew;3
licked;1
blood;36
needs;51
iron;4
healing;7
begin;8
half;53
feel;110
rickets;1
tough;19
father;66
would;352
said;215
quarter;4
again;165
punch;12
books;9
read;38
encouraging;3
silas;221
talk;226
juda;3
death;28
road;27
two;180
dysfunctional;4
adults;2
trouble;33
sustaining;1
relationships;4
celia;232
had;325
idea;76
douglas;5
somewhere;38
happens;42
nice;214
stuff;80
doug;203
kinda;16
promise;38
worth;25
every;78
penny;2
haven;68
yet;53
nanc;20
welcome;56
catch;20
find;121
dana;30
birthday;33
wanted;67
wife;71
ship;9
delinquent;1
military;9
school;140
scumbag;1
sells;10
playground;1
nobody;48
police;38
save;43
weekend;5
minutes;59
drop;21
whatever;38
sees;7
marching;1
sandbox;1
which;89
means;63
arrest;23
order;46
reruns;1
finding;8
jerry;2
orbach;1
oddly;1
confident;1
such;65
brave;5
widow;12
chase;3
fucker;16
marijuana;29
lunch;22
box;28
yesterday;19
ankle;6
short;25
coach;2
few;80
wouldn;57
make;413
difference;11
ice;18
cowboy;5
hurricanes;4
fully;8
blow;37
unless;37
devon;8
especially;6
hard;67
way;257
actually;105
alternate;3
cold;26
hot;83
weirdo;3
lipstick;8
pretending;7
taste;16
vampire;2
confused;8
am;359
pick;53
insult;1
name;165
stick;30
kill;151
freak;18
honey;68
happen;84
mom;360
spy;2
cameras;14
light;56
fixtures;1
kidding;44
woman;92
stuffed;7
teddy;1
nanny;2
cams;1
pantry;3
sneaking;5
chasing;3
wearing;32
throw;28
rensler;4
called;65
fuckwad;3
hit;59
grazed;1
bad;127
missed;16
shot;75
nowhere;6
optimum;2
zone;18
hunt;3
wilderness;1
channel;11
somehow;3
best;87
history;7
television;7
guys;129
gun;55
racks;3
monster;9
trucks;3
horrible;8
awesome;38
enough;102
job;121
cgs;2
wet;16
carter;1
grizzli;1
host;1
end;53
each;62
leaves;9
wise;8
parting;4
rip;9
open;74
mamma;5
christmas;6
morning;73
breaking;10
foreplay;1
whisper;3
shoot;57
linoleum;1
finally;19
god;253
crazy;63
jesus;105
weren;17
primo;3
climb;5
buying;22
ditch;8
housekeeper;3
cousin;36
suggest;9
clue;2
pipe;16
pot;128
city;55
council;32
someone;102
walked;10
tits;15
raging;2
boning;2
tennis;8
pro;7
asian;6
loved;28
long;153
anaheim;1
bangkok;3
balls;37
twat;3
last;125
stuck;23
racket;2
blowing;17
felt;11
unbelievable;13
any;169
lets;4
least;55
part;57
fag;4
poker;13
shared;4
losing;14
drank;5
ever;127
sex;100
life;200
games;7
wives;4
usually;18
jinx;4
loud;8
lived;8
foreign;3
objects;1
finger;13
amazing;33
lady;68
idiot;27
air;30
van;44
keep;155
smoke;52
wasn;84
cool;124
pay;91
textures;1
