Mot,Occurrence
i,830
the,638
a,607
you,407
s,395
de,369
est,316
to,307
le,289
on,286
il,275
l,257
vous,253
un,237
it,235
je,234
he,223
à,205
pas,198
la,196
and,195
of,170
et,169
in,165
we,163
t,162
c,161
les,148
is,148
une,140
d,137
this,131
que,129
was,127
that,126
no,115
en,113
have,106
n,101
des,100
her,99
me,93
what,93
qu,93
for,92
ça,92
all,90
j,90
ce,90
m,89
jack,85
mary,84
pour,81
ne,80
be,78
there,77
with,75
his,75
not,74
him,74
can,74
ai,73
she,73
my,72
y,72
son,71
got,69
du,69
know,68
do,68
your,67
re,66
but,66
like,66
get,64
ve,63
dans,63
mais,62
ll,62
elle,61
at,61
ripper,61
qui,59
sur,58
are,56
so,56
up,55
right,54
non,54
as,54
au,52
out,51
who,51
here,50
murder,48
bien,48
plus,47
avec,46
était,46
don,46
man,45
about,44
think,44
éventreur,44
buchan,43
être,43
they,43
from,42
an,42
if,42
now,41
si,41
go,41
tout,41
had,41
moi,41
fait,40
comme,40
been,39
joe,39
mon,38
meurtre,37
nous,37
where,37
look,36
suspect,36
police,36
où,36
sir,36
one,35
killer,35
leary,35
votre,35
square,35
été,34
merci,34
ses,34
tueur,33
want,33
par,33
lui,33
miles,33
va,32
see,32
sa,32
kent,32
come,32
were,32
over,31
good,31
kelly,31
oh,30
oui,30
ici,30
peut,30
john,30
alors,30
là,30
rien,30
se,30
yeah,30
tu,30
avez,29
just,29
time,29
mitre,28
rob,28
by,28
maduro,28
alice,28
yes,27
then,27
graves,27
suis,27
bon,27
cut,26
quoi,26
could,26
ils,26
did,26
avait,25
lees,25
will,25
ma,25
night,25
back,25
well,24
nothing,24
off,24
found,24
ok,24
how,23
thank,23
need,23
going,23
homme,22
avoir,22
us,22
whitechapel,22
when,21
am,21
why,21
them,21
let,21
very,20
cathy,20
bousfield,20
eddowes,20
femme,20
dead,20
has,20
catherine,20
more,20
même,19
dr,19
ces,19
last,19
mccormack,19
veux,19
say,19
street,19
vu,19
temps,19
body,19
voir,19
tell,19
tous,19
down,18
would,18
ont,18
any,18
quand,18
chandler,18
woman,18
annie,18
meurtres,18
way,18
faire,18
lane,17
take,17
encore,17
comment,17
jones,17
